run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,0,1,wrn28x10,wrn28x10,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,2,4,wrn28x10,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,3,5,wrn28x10,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,0,1,wrn28x10,wrn28x10,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,2,4,wrn28x10,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,3,5,wrn28x10,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,0,3,wrn28x10,wrn28x10,0.862800,0.862800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,1,6,wrn28x10,resnet32,0.951400,0.951400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,2,7,wrn28x10,resnet32,0.930400,0.930400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,4,5,resnet32,resnet32,0.945200,0.945200,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,0,3,wrn28x10,wrn28x10,0.848400,0.848400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,1,5,wrn28x10,resnet32,0.894000,0.894000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,2,6,wrn28x10,resnet32,0.909400,0.909400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,1,0,4,7,resnet32,resnet32,0.934200,0.934200,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,0,5,wrn28x10,resnet32,0.845400,0.845400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,1,4,wrn28x10,resnet32,0.822200,0.822200,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,2,6,wrn28x10,resnet32,0.721800,0.721800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,3,7,wrn28x10,resnet32,0.847800,0.847800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,0,4,wrn28x10,resnet32,0.810200,0.810200,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,1,6,wrn28x10,resnet32,0.841000,0.841000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,2,5,wrn28x10,resnet32,0.676400,0.676400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001,,2,0,3,7,wrn28x10,resnet32,0.841200,0.841200,disagreement,exact,1
