run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,0,0.1,7,78.02,0.020675,0.007220067520459902,0.012,0.0351,0.0333,0.012625000000000004,0.02255,0.035,0.6926285714285714,0.28853200702135784,0.692767857142857,0.2848252971824884,0.020675,resnet32,0.0146,0.0148,4.6789066601883285,4.630494446239688,0.048412217416791296,resnet32,0.0351,0.0378,4.670628066767346,4.606286189095541,0.06434187358271712,resnet32,0.0166,0.0196,4.698181900788438,4.6420323571020905,0.05614953896358863,resnet32,0.0227,0.0244,4.6674356162548065,4.619494075124914,0.047941549425641744,resnet32,0.012,0.0136,4.729522601447322,4.663563673469153,0.06595893294367917,resnet32,0.0179,0.0204,4.691009197045457,4.630706748501821,0.06030245149155566,resnet32,0.018,0.0204,4.680555013093081,4.627631642601707,0.05292336969614553,resnet32,0.0285,0.0294,4.676187359473922,4.617181180553003,0.05900618258320636,31500000.0,0.0,126000000.0,126000000.0,1008000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,1,0.1,7,77.84,0.043812500000000004,0.010788470408264557,0.0291,0.0601,0.0554,0.011587499999999994,0.045950000000000005,0.059,0.6939071428571427,0.3934319521897252,0.6922928571428572,0.4033194734465589,0.043812500000000004,resnet32,0.0291,0.034,4.581143968484619,4.554351843893528,0.026792127049041235,resnet32,0.0601,0.0596,4.499991936439818,4.467762443152341,0.03222949034269815,resnet32,0.0312,0.0292,4.597875778647986,4.557115394283425,0.04076038343588483,resnet32,0.0453,0.0478,4.536918930032036,4.511588702824983,0.025330229188760066,resnet32,0.0329,0.0362,4.592205267060887,4.563729955391451,0.02847530879344876,resnet32,0.0491,0.0524,4.570031590082428,4.543338378722018,0.02669322586602489,resnet32,0.0478,0.0498,4.565846971490166,4.539631833407012,0.026215136332955972,resnet32,0.055,0.0586,4.522799099710855,4.4955068020658056,0.027292288301396184,31500000.0,0.0,126000000.0,252000000.0,2016000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,2,0.1,7,77.24,0.06206250000000001,0.009407169805525997,0.0487,0.0775,0.0741,0.012037499999999993,0.0643,0.0774,0.6324500000000001,0.4371000867223208,0.6356821428571429,0.4384664352781325,0.06206250000000001,resnet32,0.0487,0.0544,4.479041963138363,4.451667814092203,0.027374141055836597,resnet32,0.0775,0.0796,4.4236845082857394,4.396845639429309,0.02683887065822174,resnet32,0.0543,0.0546,4.5020257078788495,4.467398199168119,0.03462750164643777,resnet32,0.0631,0.0636,4.4445377276702365,4.42292934385213,0.021608393791459755,resnet32,0.0513,0.0524,4.473542316393419,4.449795521118424,0.0237468004448932,resnet32,0.0693,0.0776,4.453697632659566,4.431744956834749,0.021952669115059754,resnet32,0.0624,0.0658,4.451410095800053,4.429471527310935,0.02193856924846345,resnet32,0.0699,0.0664,4.436039063740861,4.41137810390104,0.024660958331713282,31500000.0,0.0,126000000.0,378000000.0,3024000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,3,0.1,7,76.32,0.0873375,0.01477971054351201,0.0525,0.1015,0.0956,0.008262500000000006,0.08727499999999999,0.0972,0.5779071428571428,0.5518650923103693,0.5764428571428571,0.5577556165551164,0.0873375,resnet32,0.0872,0.088,4.392738514325836,4.364603826268152,0.028134689777454532,resnet32,0.0989,0.0958,4.366417991166765,4.3370106023820965,0.029407391115620903,resnet32,0.0525,0.0538,4.435590303756974,4.399755725129084,0.03583457490524531,resnet32,0.0887,0.0872,4.374717541716316,4.3493794080885975,0.02533813107187267,resnet32,0.0819,0.0838,4.4114121137694875,4.383331324566495,0.02808078500939618,resnet32,0.1003,0.094,4.384047072719444,4.35864882780747,0.025398240437921646,resnet32,0.0877,0.0938,4.378298661925576,4.352143554524942,0.026155099957990882,resnet32,0.1015,0.1018,4.37012620608915,4.340651251375675,0.029474955980814146,31500000.0,0.0,126000000.0,504000000.0,4032000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,4,0.1,7,77.12,0.1207125,0.01125638013528328,0.1044,0.1405,0.1354,0.014687499999999992,0.11860000000000001,0.1318,0.5440214285714287,0.6018286033314838,0.5493107142857141,0.6080409376936766,0.1207125,resnet32,0.1158,0.1118,4.3181441568515515,4.288805898617614,0.029338251447453247,resnet32,0.1405,0.1376,4.3110443770208144,4.28062373094938,0.03042064486759376,resnet32,0.1044,0.1048,4.364596742797982,4.32756409523162,0.037032644140047276,resnet32,0.1326,0.13,4.31089808080684,4.282625613564795,0.028272465337067842,resnet32,0.1103,0.1016,4.345949137752706,4.314729925922372,0.0312192132352555,resnet32,0.1181,0.1176,4.324592075564644,4.2968323782763695,0.02775970590300858,resnet32,0.128,0.128,4.314008551226421,4.285771362822164,0.028237187663431872,resnet32,0.116,0.1174,4.311670284379613,4.28126591748812,0.030404368449870326,31500000.0,0.0,126000000.0,630000000.0,5040000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,5,0.1,7,76.93,0.13379999999999997,0.006608138921057877,0.1215,0.142,0.1474,0.013600000000000029,0.130925,0.1432,0.5061857142857143,0.6394292420888571,0.5090785714285714,0.6446229042996664,0.13379999999999997,resnet32,0.1215,0.1204,4.267930642447689,4.234355007044294,0.033575637702597305,resnet32,0.1295,0.1282,4.262447899715467,4.228088669817556,0.034359229413728994,resnet32,0.1277,0.1308,4.308705107054927,4.269328120079908,0.039376981535249135,resnet32,0.142,0.1384,4.260748919099569,4.228175110776316,0.03257380267975598,resnet32,0.1349,0.1322,4.294329500672492,4.2585961842401465,0.03573331503800794,resnet32,0.1356,0.1346,4.273709599944678,4.2410051971673965,0.0327044025153472,resnet32,0.1409,0.1336,4.2620295916091315,4.228419299491427,0.03361028470945629,resnet32,0.1383,0.1292,4.264422513883222,4.230474532666531,0.033947979234984486,31500000.0,0.0,126000000.0,756000000.0,6048000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,6,0.1,7,76.73,0.16326249999999998,0.008510278711652162,0.1512,0.18,0.1777,0.01443750000000002,0.166225,0.1854,0.5395642857142857,0.610353543860862,0.5357035714285715,0.6107510422736931,0.16326249999999998,resnet32,0.1667,0.169,4.220428622581742,4.179948726160959,0.04047990100595846,resnet32,0.1704,0.1744,4.21545770290223,4.174145787277005,0.04131191458277912,resnet32,0.1553,0.158,4.254531897943128,4.209933675825596,0.04459821476749229,resnet32,0.18,0.1832,4.212285779755224,4.172817291183905,0.03946849350309507,resnet32,0.1596,0.166,4.247567176141522,4.205010493709282,0.042556680188598955,resnet32,0.1595,0.1612,4.2277752025560895,4.1877415948970755,0.0400336102492557,resnet32,0.1512,0.1516,4.214644832705909,4.173845117403702,0.040799714561382476,resnet32,0.1634,0.1664,4.217927066439932,4.177500189366666,0.04042687615781853,31500000.0,0.0,126000000.0,882000000.0,7056000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,7,0.1,7,77.19,0.18241249999999998,0.004504841145922904,0.176,0.1876,0.196,0.01358750000000003,0.1772,0.1902,0.4911857142857142,0.6489819108304903,0.49411071428571424,0.646663701246838,0.18241249999999998,resnet32,0.181,0.1752,4.169255961748687,4.122942379929802,0.04631357030435042,resnet32,0.1876,0.1806,4.169333080676469,4.12199714441191,0.04733594279969111,resnet32,0.1776,0.167,4.197143902494148,4.147934038530696,0.04920986102131957,resnet32,0.176,0.179,4.165460506623441,4.1201013611121615,0.04535914950644259,resnet32,0.1871,0.1792,4.1955675740133636,4.146742913533341,0.048824668335410853,resnet32,0.1782,0.1764,4.176660397513346,4.13042414188385,0.046236257169353354,resnet32,0.1875,0.1814,4.163463504815644,4.11600909890099,0.04745439910964871,resnet32,0.1843,0.1788,4.173803525553509,4.127759743143212,0.046043785331262785,31500000.0,0.0,126000000.0,1008000000.0,8064000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,8,0.1,7,77.4,0.19325,0.011745424641110254,0.1759,0.2137,0.2117,0.018449999999999994,0.189375,0.2048,0.5020428571428571,0.6421742156381268,0.5026678571428571,0.6552939216273875,0.19325,resnet32,0.1961,0.1904,4.12703111056577,4.076043359257958,0.05098774674644863,resnet32,0.2137,0.208,4.127169727601788,4.075232701206749,0.05193703271850774,resnet32,0.1844,0.177,4.152801598337564,4.099770318039439,0.0530312729745426,resnet32,0.1943,0.1896,4.126271842894229,4.07681523331187,0.04945661443476142,resnet32,0.1799,0.1724,4.156258355487477,4.10279752347957,0.05346082681155002,resnet32,0.1759,0.1788,4.135948989201676,4.084268952296539,0.05168003335976126,resnet32,0.1996,0.1986,4.124413091689348,4.071475000205365,0.05293809088074009,resnet32,0.2021,0.2002,4.133473260158842,4.082288969308138,0.051184291787318544,31500000.0,0.0,126000000.0,1134000000.0,9072000000.0
resnet32x8_cifar100_K8_dml_noise40_seed0001_d001,d001,resnet32:8,cifar100,8,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,9,0.1,7,77.08,0.19619999999999999,0.012670339379827207,0.1734,0.2142,0.2139,0.01770000000000002,0.19937500000000002,0.219,0.5216500000000001,0.6510426391062077,0.5242321428571428,0.6441240442260332,0.19619999999999999,resnet32,0.1734,0.1824,4.091826191341335,4.035394914786924,0.05643127128397199,resnet32,0.2038,0.2102,4.091064784337174,4.033793086355383,0.05727169792887501,resnet32,0.1872,0.1942,4.115606168115681,4.057252708483826,0.05835345117057758,resnet32,0.1866,0.1848,4.092585604637861,4.0379108221016144,0.05467478131388568,resnet32,0.2029,0.2014,4.1193432740189815,4.060391637750647,0.05895164161814715,resnet32,0.2142,0.2198,4.0979428944939915,4.040998360988769,0.05694453131449832,resnet32,0.1929,0.1958,4.088748612864451,4.031301997940648,0.05744661119851199,resnet32,0.2086,0.2064,4.098530638624322,4.041993308473717,0.05653733061097393,31500000.0,0.0,126000000.0,1260000000.0,10080000000.0
