run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,0,0.1,0,68.74,0.0521375,0.00960155423616406,0.0389,0.0659,0.0612,0.009062499999999994,0.05255,0.0576,0.6381428571428571,0.425466758449633,0.6372857142857141,0.45070788378262333,0.0521375,resnet32,0.0501,0.0496,4.550823494791985,4.550823494791985,0.0,resnet32,0.0611,0.0596,4.5117674564773385,4.5117674564773385,0.0,resnet32,0.0421,0.0446,4.546606152572415,4.546606152572415,0.0,resnet32,0.058,0.0572,4.546487465500832,4.546487465500832,0.0,resnet32,0.0659,0.068,4.522989320484075,4.522989320484075,0.0,resnet32,0.0389,0.041,4.57469460435889,4.57469460435889,0.0,resnet32,0.0591,0.058,4.516364136880094,4.516364136880094,0.0,resnet32,0.0419,0.0424,4.579929607158357,4.579929607158357,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,1,0.1,0,69.65,0.082375,0.017704854560261146,0.0516,0.1012,0.1019,0.019525,0.0824,0.0978,0.69855,0.41452757771392895,0.6972249999999999,0.399571834000424,0.082375,resnet32,0.0811,0.0796,4.402127660133622,4.402127660133622,0.0,resnet32,0.0982,0.0978,4.352712036872452,4.352712036872452,0.0,resnet32,0.0946,0.0846,4.398899027569727,4.398899027569727,0.0,resnet32,0.0723,0.0722,4.385428304022009,4.385428304022009,0.0,resnet32,0.1012,0.109,4.34497166831385,4.34497166831385,0.0,resnet32,0.0516,0.056,4.41499083285982,4.41499083285982,0.0,resnet32,0.0986,0.0954,4.359175323085352,4.359175323085352,0.0,resnet32,0.0614,0.0646,4.425994740968401,4.425994740968401,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,2,0.1,0,67.33,0.12065000000000001,0.011927279656317279,0.1039,0.1379,0.1375,0.016850000000000004,0.120075,0.1352,0.59985,0.5426648839062106,0.6044214285714286,0.5414893390462753,0.12065000000000001,resnet32,0.1039,0.1042,4.323052459142425,4.323052459142425,0.0,resnet32,0.1379,0.1338,4.274913325567137,4.274913325567137,0.0,resnet32,0.1335,0.129,4.305109549991109,4.305109549991109,0.0,resnet32,0.1182,0.1188,4.3083566349338405,4.3083566349338405,0.0,resnet32,0.1167,0.1204,4.2657637582583865,4.2657637582583865,0.0,resnet32,0.1076,0.1094,4.3348124765537,4.3348124765537,0.0,resnet32,0.1333,0.1308,4.282998653298074,4.282998653298074,0.0,resnet32,0.1141,0.1142,4.347676571119916,4.347676571119916,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,3,0.1,0,79.34,0.14973749999999997,0.01328127794114708,0.1296,0.1654,0.177,0.027262500000000023,0.148025,0.176,0.6449999999999999,0.5065965650951243,0.6495357142857142,0.5121032438274825,0.14973749999999997,resnet32,0.1415,0.1396,4.2647021341730245,4.2647021341730245,0.0,resnet32,0.1654,0.1644,4.214077127250758,4.214077127250758,0.0,resnet32,0.1321,0.1298,4.236120201647282,4.236120201647282,0.0,resnet32,0.1568,0.157,4.2459427744827485,4.2459427744827485,0.0,resnet32,0.1619,0.154,4.201869754628702,4.201869754628702,0.0,resnet32,0.1296,0.1324,4.27513665672053,4.27513665672053,0.0,resnet32,0.1631,0.1604,4.217403913424774,4.217403913424774,0.0,resnet32,0.1475,0.1466,4.286630738526583,4.286630738526583,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,4,0.1,0,82.89,0.151675,0.014706099924861113,0.1186,0.1688,0.1771,0.025425000000000003,0.149925,0.177,0.6611,0.5109133007125826,0.6590678571428571,0.5165508186684876,0.151675,resnet32,0.1186,0.1186,4.20111271603541,4.20111271603541,0.0,resnet32,0.1485,0.1442,4.150777844881469,4.150777844881469,0.0,resnet32,0.1558,0.1524,4.17576744238084,4.17576744238084,0.0,resnet32,0.1569,0.1594,4.186012870547446,4.186012870547446,0.0,resnet32,0.1688,0.1624,4.147551685910333,4.147551685910333,0.0,resnet32,0.1441,0.1462,4.212601885876873,4.212601885876873,0.0,resnet32,0.1667,0.164,4.15909007191658,4.15909007191658,0.0,resnet32,0.154,0.1522,4.227088452062824,4.227088452062824,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,5,0.1,0,82.03,0.1864875,0.01342613472858068,0.1724,0.2156,0.2165,0.030012499999999998,0.184525,0.2144,0.6009285714285714,0.5481925130860056,0.6022071428571428,0.5502422563449182,0.1864875,resnet32,0.1737,0.1698,4.143056066537445,4.143056066537445,0.0,resnet32,0.1858,0.1844,4.099494136869907,4.099494136869907,0.0,resnet32,0.1917,0.1988,4.125055134296417,4.125055134296417,0.0,resnet32,0.1724,0.1694,4.131904844871976,4.131904844871976,0.0,resnet32,0.1903,0.1862,4.0985550148920575,4.0985550148920575,0.0,resnet32,0.173,0.1664,4.164461794901978,4.164461794901978,0.0,resnet32,0.2156,0.2132,4.10633110627532,4.10633110627532,0.0,resnet32,0.1894,0.188,4.162449410693212,4.162449410693212,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,6,0.1,0,80.18,0.155275,0.020369140261680168,0.128,0.1943,0.1672,0.011924999999999991,0.15815,0.1688,0.6049571428571427,0.5385040774055335,0.6013642857142857,0.5367586827283098,0.155275,resnet32,0.1433,0.1442,4.093712174418298,4.093712174418298,0.0,resnet32,0.128,0.1322,4.06029947000471,4.06029947000471,0.0,resnet32,0.1754,0.1836,4.088974956423044,4.088974956423044,0.0,resnet32,0.1372,0.148,4.096815846521746,4.096815846521746,0.0,resnet32,0.1652,0.1668,4.061752489005977,4.061752489005977,0.0,resnet32,0.1472,0.1478,4.119521527466449,4.119521527466449,0.0,resnet32,0.1943,0.1948,4.064240106127479,4.064240106127479,0.0,resnet32,0.1516,0.1478,4.11257398433306,4.11257398433306,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,7,0.1,0,80.74,0.2072,0.011558114033007284,0.1854,0.2228,0.2467,0.03950000000000001,0.211025,0.247,0.63535,0.5201482410916805,0.6388678571428571,0.5137302798325744,0.2072,resnet32,0.2127,0.2224,4.049488910219886,4.049488910219886,0.0,resnet32,0.2133,0.217,4.022744205864993,4.022744205864993,0.0,resnet32,0.2007,0.2094,4.047920888797804,4.047920888797804,0.0,resnet32,0.1956,0.1982,4.059210015968843,4.059210015968843,0.0,resnet32,0.2228,0.2214,4.0262901525605805,4.0262901525605805,0.0,resnet32,0.1854,0.1912,4.083921981467442,4.083921981467442,0.0,resnet32,0.2171,0.214,4.030782534317537,4.030782534317537,0.0,resnet32,0.21,0.2146,4.063998335125771,4.063998335125771,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,8,0.1,0,81.27,0.185825,0.021056219390004464,0.1353,0.2047,0.2069,0.02107500000000001,0.1832,0.2006,0.6287428571428572,0.5629596538424035,0.6312035714285715,0.5638988161036178,0.185825,resnet32,0.2047,0.1994,4.008930292996493,4.008930292996493,0.0,resnet32,0.173,0.1752,3.9910657426173035,3.9910657426173035,0.0,resnet32,0.1984,0.1994,4.010934358970686,4.010934358970686,0.0,resnet32,0.1992,0.1936,4.029182389039885,4.029182389039885,0.0,resnet32,0.1353,0.1368,3.9987331188537856,3.9987331188537856,0.0,resnet32,0.1905,0.1842,4.050836219706318,4.050836219706318,0.0,resnet32,0.1897,0.1844,4.001814891330221,4.001814891330221,0.0,resnet32,0.1958,0.1926,4.019431369548494,4.019431369548494,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar100_K8_indep_noise40_seed0004_d001,d001,resnet32:8,cifar100,8,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,9,0.1,0,80.07,0.2427,0.013885153942250704,0.2234,0.274,0.2927,0.05000000000000002,0.23982499999999998,0.2938,0.6261214285714286,0.5349294464850074,0.6279857142857141,0.5374144584458183,0.2427,resnet32,0.2405,0.2352,3.9795859174972232,3.9795859174972232,0.0,resnet32,0.2446,0.2522,3.9613041559403595,3.9613041559403595,0.0,resnet32,0.274,0.2632,3.9795987985350867,3.9795987985350867,0.0,resnet32,0.2429,0.2344,4.006406406448646,4.006406406448646,0.0,resnet32,0.2338,0.2294,3.9766601706770333,3.9766601706770333,0.0,resnet32,0.2234,0.2176,4.024386166510257,4.024386166510257,0.0,resnet32,0.2482,0.2436,3.972743737426671,3.972743737426671,0.0,resnet32,0.2342,0.243,3.9914027486335146,3.9914027486335146,0.0,0.0,0.0,0.0,0.0,0.0
