run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,0,0.1,1,71.0,0.019225,0.004602648693958729,0.0128,0.0278,0.0349,0.015675,0.018000000000000002,0.0358,0.7845857142857146,0.18745677100464103,0.7832892857142859,0.20029248393179033,0.019225,resnet32,0.0199,0.017,4.728740357539871,4.647731021723964,0.08100933628156781,resnet32,0.0278,0.0268,4.699432463808493,4.62842562997883,0.07100684220247123,resnet32,0.0225,0.0236,4.712070345878601,4.618522499772635,0.09354784723572349,resnet32,0.0224,0.0222,4.725513068789786,4.652967649427327,0.07254541222060983,resnet32,0.0154,0.0144,4.715600153939291,4.633818224749782,0.0817819334704175,resnet32,0.0179,0.0152,4.766602676700462,4.638011894442818,0.128590790584481,resnet32,0.0128,0.0106,4.7637790522792125,4.658876631070267,0.10490242120361225,resnet32,0.0151,0.0142,4.787312113425949,4.66885706172748,0.11845505527625474,4500000.0,5000.0,18010000.0,18010000.0,144080000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,1,0.1,1,69.0,0.025325,0.009136431196041484,0.0162,0.0461,0.0372,0.011874999999999997,0.025075,0.038,0.7617357142857143,0.21718864097405782,0.7610607142857143,0.22132983533300638,0.025325,resnet32,0.0245,0.0214,4.6001692129807035,4.57701984454285,0.023149366780258293,resnet32,0.0461,0.0476,4.5484243692322215,4.526840663091703,0.021583708509834567,resnet32,0.0314,0.0298,4.579903582957658,4.56094204634428,0.01896153471633707,resnet32,0.0235,0.0234,4.571816226975485,4.564465617591685,0.007350605866949164,resnet32,0.0247,0.0216,4.577895356172865,4.570497233081948,0.007398118064222878,resnet32,0.02,0.0202,4.602388140830127,4.590592905879021,0.011795230048102729,resnet32,0.0162,0.0188,4.613044645298611,4.592883662066677,0.020160975824348334,resnet32,0.0162,0.0178,4.603416671807116,4.592121666127985,0.01129500722361792,4500000.0,5000.0,18010000.0,36020000.0,288160000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,2,0.1,1,69.11,0.0406875,0.015233223353906419,0.0258,0.0696,0.0628,0.022112499999999993,0.043274999999999994,0.0654,0.7208499999999998,0.37316039851346167,0.7179500000000001,0.3644464147287613,0.0406875,resnet32,0.0324,0.0344,4.55897903713313,4.549082031981512,0.009897013630093583,resnet32,0.0696,0.0694,4.459341948682612,4.441431644965302,0.017910316251800396,resnet32,0.0624,0.0652,4.4684395519169895,4.450635540891778,0.017804009349095973,resnet32,0.0358,0.0364,4.541604115881703,4.523351279849356,0.018252843428027434,resnet32,0.0387,0.0414,4.547986277802424,4.521925690499219,0.02606058086067523,resnet32,0.0258,0.0288,4.5651906112378295,4.555374137379906,0.009816479538792257,resnet32,0.0335,0.0378,4.558952621438286,4.540143579921939,0.018809043175265702,resnet32,0.0273,0.0328,4.585299659181725,4.557971014895222,0.027328646133272825,4500000.0,5000.0,18010000.0,54030000.0,432240000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,3,0.1,1,68.67,0.05975,0.013283448347473633,0.0458,0.0832,0.0695,0.009750000000000009,0.0636,0.0754,0.5835285714285715,0.5370806574891328,0.5802357142857143,0.5191066080294726,0.05975,resnet32,0.0463,0.05,4.485356591641903,4.469583337957209,0.015773249669026965,resnet32,0.0757,0.0792,4.424061744727871,4.390954304825176,0.03310744561498392,resnet32,0.0832,0.0874,4.412822738289833,4.388099196959626,0.02472354665488555,resnet32,0.0594,0.0642,4.466507042673501,4.441461900418455,0.025045150373691948,resnet32,0.0498,0.054,4.477327831089497,4.457405145872723,0.019922680597202005,resnet32,0.067,0.0652,4.497891747138717,4.464248126203364,0.03364361526275223,resnet32,0.0508,0.055,4.479740618982098,4.463859922506592,0.015880698105981784,resnet32,0.0458,0.0538,4.494515529410406,4.474396933208812,0.020118602091150187,4500000.0,5000.0,18010000.0,72040000.0,576320000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,4,0.1,1,68.73,0.0825125,0.011416045451468737,0.0642,0.0977,0.0968,0.014287499999999995,0.0817,0.09,0.5248642857142857,0.5466061795303333,0.5251750000000001,0.5499317412989211,0.0825125,resnet32,0.0701,0.0692,4.424669288098812,4.408430664376779,0.016238620215021496,resnet32,0.0977,0.1004,4.369883782484314,4.343126834116199,0.026756950332624416,resnet32,0.0912,0.0892,4.370707939294252,4.338348408314315,0.03235953074578323,resnet32,0.081,0.0802,4.405955115502531,4.386195759881627,0.01975935229513032,resnet32,0.0954,0.0934,4.40716674585234,4.380376767028462,0.026789973839186132,resnet32,0.0744,0.0686,4.406100820411336,4.389847692440856,0.016253136020333677,resnet32,0.0642,0.0654,4.428733193061569,4.408955573358319,0.019777619783946484,resnet32,0.0861,0.0872,4.4348650628870185,4.402317995374853,0.03254706706502475,4500000.0,5000.0,18010000.0,90050000.0,720400000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,5,0.1,1,69.39,0.10416249999999999,0.00861117551499213,0.0887,0.119,0.1118,0.007637500000000005,0.103,0.1108,0.5605357142857142,0.5656290164050248,0.557682142857143,0.5762733885364406,0.10416249999999999,resnet32,0.102,0.1024,4.369070534001697,4.346377964385531,0.022692571666663174,resnet32,0.119,0.1158,4.33441961048679,4.301184190606529,0.033235425399404696,resnet32,0.1132,0.1118,4.3117908994582566,4.287518478591334,0.024272412186044014,resnet32,0.1034,0.1006,4.344239158386534,4.320010500198061,0.024228661334332588,resnet32,0.1062,0.105,4.345296551219442,4.322554117915305,0.02274243457676758,resnet32,0.1031,0.1026,4.36084807054563,4.3361270840872415,0.024720989729923367,resnet32,0.0887,0.09,4.388943389058113,4.35566346956925,0.03327992680979977,resnet32,0.0977,0.0958,4.358867858621207,4.334148323671385,0.02471952162291431,4500000.0,5000.0,18010000.0,108060000.0,864480000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,6,0.1,1,68.98,0.12341250000000001,0.012489439288855202,0.1044,0.147,0.1339,0.010487499999999983,0.12385000000000002,0.1356,0.5708857142857141,0.5750279640475776,0.5736714285714285,0.5760632708953383,0.12341250000000001,resnet32,0.1184,0.1226,4.308283164419911,4.286639437418092,0.021643731580380434,resnet32,0.135,0.1324,4.284323044121265,4.250809440558607,0.03351359764399769,resnet32,0.147,0.1474,4.2729667828164315,4.23638509654186,0.03658169095235115,resnet32,0.1308,0.1314,4.2894343134354465,4.263390643352812,0.02604367265700024,resnet32,0.1165,0.1192,4.292897979982874,4.2668588923459705,0.02603908532182686,resnet32,0.117,0.1186,4.309828814457763,4.288212265819311,0.021616551888820886,resnet32,0.1044,0.1032,4.326256632127545,4.289709620177746,0.036547009827865455,resnet32,0.1182,0.116,4.317677701738748,4.28417927805673,0.03349842611880211,4500000.0,5000.0,18010000.0,126070000.0,1008560000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,7,0.1,1,68.83,0.13877499999999998,0.00990375560078095,0.1249,0.1564,0.1535,0.014725000000000016,0.1393,0.1554,0.5369,0.627959912273787,0.5414035714285714,0.603286796665793,0.13877499999999998,resnet32,0.1389,0.138,4.2580007070844825,4.229696084829894,0.028304627448299223,resnet32,0.1508,0.1516,4.234279248524796,4.200381782244552,0.03389746848419732,resnet32,0.1564,0.1534,4.220586261627349,4.186650938269767,0.03393531880680133,resnet32,0.1345,0.1388,4.255823561075059,4.220557816665281,0.03526573928485794,resnet32,0.1291,0.132,4.246359517289833,4.218001543459567,0.028357976917918262,resnet32,0.1412,0.144,4.2680514969609,4.2350991561331535,0.03295233959480273,resnet32,0.1344,0.134,4.272169747474519,4.236960194666278,0.035209553586107424,resnet32,0.1249,0.1226,4.271007618443533,4.238066949288953,0.03294067877471785,4500000.0,5000.0,18010000.0,144080000.0,1152640000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,8,0.1,1,68.72,0.16496249999999998,0.012972850255437313,0.1449,0.1848,0.1863,0.02133750000000001,0.161825,0.1814,0.5395214285714285,0.5999534026680899,0.5345500000000001,0.6080244232330599,0.16496249999999998,resnet32,0.18,0.1762,4.207115086303516,4.169261584905061,0.0378535020599057,resnet32,0.1848,0.181,4.1954184882342815,4.1524583700705655,0.04296011957392858,resnet32,0.1731,0.1732,4.176429392261938,4.13859354399822,0.03783585308966311,resnet32,0.1581,0.1556,4.210909111594612,4.17665079540827,0.034258309002986854,resnet32,0.1681,0.1636,4.204599190842021,4.164259296587923,0.040339894770030776,resnet32,0.1449,0.145,4.21865576268597,4.184421313418583,0.034234463985988194,resnet32,0.1582,0.1574,4.221564971926537,4.181339301168919,0.0402256643362555,resnet32,0.1525,0.1426,4.227598265490749,4.184756831011989,0.042841431279984216,4500000.0,5000.0,18010000.0,162090000.0,1296720000.0
resnet32x8_cifar100_K8_mwmd1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,9,0.1,1,68.65,0.165075,0.015011891120042134,0.1413,0.1846,0.1807,0.015625,0.159575,0.17,0.559142857142857,0.611871509156419,0.5576000000000001,0.6067083874686517,0.165075,resnet32,0.1659,0.1592,4.16086643460122,4.119713072072376,0.04115336373797618,resnet32,0.1807,0.1704,4.156966473907232,4.113316618583419,0.04364986159436574,resnet32,0.1561,0.1536,4.1437841708009895,4.092545748772946,0.051238420895639465,resnet32,0.1846,0.1744,4.167234045876698,4.126130880279974,0.04110316718420522,resnet32,0.1413,0.134,4.156393048438159,4.113633308898319,0.04275972945933146,resnet32,0.1584,0.16,4.174352928657424,4.130713285370306,0.043639653182419184,resnet32,0.1823,0.1764,4.172625930133191,4.129910364747047,0.04271557423899966,resnet32,0.1513,0.1486,4.184170128946954,4.1330149349841205,0.05115519099424339,4500000.0,5000.0,18010000.0,180100000.0,1440800000.0
