run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,1,77.46,0.0211375,0.00952679609050178,0.0108,0.0435,0.0389,0.017762499999999997,0.0216,0.0386,0.6386357142857141,0.2914786385682704,0.6366607142857142,0.28490602530434833,0.0211375,resnet32,0.0115,0.011,4.7722193808718165,4.672671808437868,0.09954756884599192,resnet32,0.0204,0.0222,4.761512546376749,4.642229110002518,0.11928344460027968,resnet32,0.0174,0.0168,4.7162296893921765,4.603868590837175,0.11236109273241626,resnet32,0.0201,0.0202,4.686200754208998,4.601932927288792,0.08426783292502064,resnet32,0.0435,0.0452,4.675824226303534,4.557270927185362,0.11855330364514058,resnet32,0.0244,0.0256,4.73865158110857,4.6291504014622085,0.10950118261098396,resnet32,0.021,0.0206,4.714482570236379,4.615574578669938,0.09890799844023687,resnet32,0.0108,0.0112,4.762117087841034,4.64114658805457,0.12097049751252019,4500000.0,5000.0,18010000.0,18010000.0,144080000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,1,72.77,0.041637499999999994,0.029492920230963907,0.0126,0.1013,0.0826,0.04096250000000001,0.03985,0.0734,0.8383142857142857,0.16659599683461337,0.8382178571428572,0.16576413107047885,0.041637499999999994,resnet32,0.0126,0.012,4.746203601360321,4.600980008190328,0.14522359284191308,resnet32,0.0198,0.019,4.524719420481812,4.460211602124301,0.0645078254323876,resnet32,0.0338,0.037,4.559849607673558,4.531680648299781,0.02816895821359305,resnet32,0.0203,0.0188,4.616390742361546,4.551325246691704,0.0650654956063425,resnet32,0.1013,0.095,4.3158911202441566,4.185026661238887,0.1308644610689953,resnet32,0.0595,0.059,4.276950949295,4.216607058251446,0.06034389814488928,resnet32,0.0678,0.0648,4.272334768690846,4.212389563294974,0.059945207210892644,resnet32,0.018,0.0132,4.623471298678354,4.5942628878084095,0.029208414371665145,4500000.0,5000.0,18010000.0,36020000.0,288160000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,1,74.84,0.09066250000000001,0.025365081189501447,0.0496,0.121,0.1133,0.02263749999999999,0.088825,0.1198,0.7439357142857144,0.3914331090865365,0.7452535714285714,0.3840195529412345,0.09066250000000001,resnet32,0.0496,0.0498,4.33033973114057,4.303735164756125,0.02660457133738832,resnet32,0.0917,0.0946,4.081491187214851,3.983190130781044,0.09830105660313909,resnet32,0.1091,0.1046,4.028865609318018,3.9419990178536284,0.08686659188242629,resnet32,0.0687,0.0678,4.29655362631787,4.1433049132200805,0.1532487104519863,resnet32,0.1159,0.1146,3.905786893245849,3.7588450099256905,0.14694188093893568,resnet32,0.1071,0.1024,3.8910392627797346,3.8020714101466266,0.08896785798292099,resnet32,0.121,0.117,3.9281838035041634,3.828827891837467,0.09935590603113682,resnet32,0.0622,0.0598,4.325399489903992,4.298582697456533,0.026816796004078988,4500000.0,5000.0,18010000.0,54030000.0,432240000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,1,69.36,0.15541249999999998,0.022075463613478202,0.1093,0.1877,0.19,0.03458750000000002,0.148675,0.1764,0.6739142857142857,0.48070734251408753,0.6738214285714286,0.5022573453087331,0.15541249999999998,resnet32,0.1541,0.148,3.801794508302754,3.6807825785468924,0.12101192997810854,resnet32,0.1394,0.1332,3.6065856363962996,3.503136283972047,0.10344935381065377,resnet32,0.1613,0.16,3.5977357124740426,3.494526893916455,0.10320881296965209,resnet32,0.1567,0.1436,3.649468149312518,3.5389613316140394,0.11050681625916199,resnet32,0.176,0.17,3.5437653955410826,3.386552505872466,0.15721289135134695,resnet32,0.1588,0.1542,3.6138967841186305,3.4899121428077873,0.1239846481264315,resnet32,0.1877,0.1798,3.5245037725703283,3.412518760697408,0.1119850095551969,resnet32,0.1093,0.1006,3.8310039649632843,3.6763489557938143,0.15465501087336717,4500000.0,5000.0,18010000.0,72040000.0,576320000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,1,69.87,0.182925,0.018764710895721258,0.1511,0.2088,0.2132,0.030274999999999996,0.17947500000000002,0.2116,0.5834571428571429,0.5127654307712584,0.5877357142857143,0.5167222056954701,0.182925,resnet32,0.1759,0.1748,3.4035927548327227,3.261037352071567,0.14255540287757124,resnet32,0.1865,0.1796,3.3066269894215194,3.1620347316969526,0.144592260137539,resnet32,0.2001,0.1982,3.286815523423932,3.140573610297658,0.14624191233253275,resnet32,0.1511,0.1522,3.3061551068994133,3.1682405322790146,0.1379145764301277,resnet32,0.2088,0.2086,3.1824779693375933,3.02224207601764,0.16023590140552682,resnet32,0.1688,0.164,3.3027879866686733,3.1653355045074765,0.1374524816849523,resnet32,0.2028,0.193,3.178030150180513,3.0172827284444463,0.16074741889976643,resnet32,0.1694,0.1654,3.330647075040774,3.185524233024229,0.1451228369683535,4500000.0,5000.0,18010000.0,90050000.0,720400000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,1,69.37,0.22841250000000002,0.030131894957834963,0.1636,0.2687,0.2685,0.0400875,0.21937500000000001,0.253,0.6021142857142857,0.5089091623735269,0.6008285714285714,0.5123094102120482,0.22841250000000002,resnet32,0.2487,0.2386,3.1390904777429323,2.97860719432885,0.16048328400674192,resnet32,0.2187,0.214,3.059141529216008,2.889497472481294,0.16964405597272245,resnet32,0.2206,0.2132,3.008570142767646,2.8410001403906127,0.16757000219711865,resnet32,0.1636,0.1622,3.0734733211045917,2.9042639176953924,0.16920940259429204,resnet32,0.2565,0.2446,2.979192476380955,2.800202240998095,0.17899023204914888,resnet32,0.2309,0.2226,3.078445016999136,2.916682916608724,0.16176209741653028,resnet32,0.2687,0.2572,2.937657329846512,2.7687447487630625,0.16891258408908139,resnet32,0.2196,0.2026,3.0477782250805334,2.8698009191588922,0.17797730570997705,4500000.0,5000.0,18010000.0,108060000.0,864480000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,1,69.57,0.2914875,0.02352920724865163,0.2517,0.3183,0.3406,0.0491125,0.28807499999999997,0.331,0.5601142857142857,0.5596899706694006,0.5626035714285715,0.5568911790973204,0.2914875,resnet32,0.2517,0.2588,2.9429479756138544,2.7684637765315445,0.17448419657408853,resnet32,0.2827,0.2814,2.8615198094736445,2.6724680069495332,0.1890517987988212,resnet32,0.3132,0.3098,2.835221941498193,2.645111390135505,0.1901105502197011,resnet32,0.2663,0.2606,2.903133147480813,2.7272945774549786,0.1758385730949654,resnet32,0.3161,0.3076,2.827212731607936,2.6374945627017454,0.1897181727373126,resnet32,0.3048,0.292,2.918916627764702,2.716328988698396,0.20258764092895118,resnet32,0.3183,0.3178,2.8014167313548652,2.595336689190431,0.20608004144477574,resnet32,0.2788,0.2766,2.847671203315258,2.65806720033288,0.18960400414653122,4500000.0,5000.0,18010000.0,126070000.0,1008560000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,1,69.9,0.257175,0.045300296632582886,0.1597,0.3118,0.2974,0.04022500000000001,0.25734999999999997,0.296,0.5776071428571429,0.5439321695033591,0.5766178571428571,0.5451563332764958,0.257175,resnet32,0.2512,0.257,2.8228274671868845,2.6057729172435673,0.21705454647202382,resnet32,0.2899,0.287,2.7271306944841687,2.5236529848453673,0.20347770604050971,resnet32,0.3118,0.3064,2.7316894703968004,2.5109585428779777,0.22073092944496733,resnet32,0.2544,0.2524,2.8153155483305454,2.5952686956998976,0.22004685347730463,resnet32,0.2892,0.2798,2.720191087235104,2.502647376703945,0.21754371211864054,resnet32,0.1597,0.171,2.7471147921275008,2.544293758544055,0.20282103326594966,resnet32,0.2798,0.2816,2.6538437455892563,2.433923401107842,0.21992034630172633,resnet32,0.2214,0.2236,2.7432801059701224,2.5211243344978853,0.22215577098540962,4500000.0,5000.0,18010000.0,144080000.0,1152640000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,1,69.58,0.31555,0.016476726009738707,0.3022,0.3542,0.3656,0.05004999999999998,0.3079,0.3516,0.5076928571428571,0.5960631063894545,0.5135642857142858,0.5910156278006676,0.31555,resnet32,0.3022,0.2944,2.7122938592325556,2.4941052332181823,0.21818862355906854,resnet32,0.3078,0.2964,2.646200120787729,2.425140358846296,0.22105975755998356,resnet32,0.3101,0.3068,2.621072554452853,2.406591562046246,0.2144809928934344,resnet32,0.3069,0.2972,2.7179402001202106,2.4845104720443487,0.23342972352508118,resnet32,0.329,0.316,2.637130530551076,2.4125626899979333,0.2245678415902975,resnet32,0.3047,0.3016,2.6467253365977244,2.432748598300598,0.2139767348469997,resnet32,0.3542,0.3472,2.589552915231748,2.350938583978198,0.23861433110538532,resnet32,0.3095,0.3036,2.6387976221740246,2.414647412063046,0.22415021292611279,4500000.0,5000.0,18010000.0,162090000.0,1296720000.0
resnet32x8_cifar100_K8_mwmd1_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,1,75.2,0.3247,0.037216528586100014,0.2641,0.3666,0.3837,0.059,0.318375,0.3676,0.5551,0.5452281496517327,0.5484035714285714,0.5479381760055053,0.3247,resnet32,0.3503,0.3478,2.632099933922291,2.401367895474488,0.23073203857480126,resnet32,0.3341,0.324,2.572797376831824,2.339326609434052,0.2334707642863081,resnet32,0.3666,0.3558,2.548792039975524,2.3171203825622797,0.23167165806940335,resnet32,0.2686,0.2708,2.6265819990499453,2.3884441173550757,0.23813788031905211,resnet32,0.2641,0.2606,2.5646090883422983,2.3336138523776424,0.2309952334881845,resnet32,0.3516,0.338,2.5712344866584647,2.3317356162111866,0.23949887046844445,resnet32,0.353,0.3456,2.506412794474851,2.2639403089203616,0.242472490507432,resnet32,0.3093,0.3044,2.564209958030419,2.324459455907345,0.23975050580603155,4500000.0,5000.0,18010000.0,180100000.0,1440800000.0
