run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,0,0,0,1,resnet32,resnet32,0.141421,0.141421,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,0,0,2,4,resnet32,resnet32,0.140371,0.140371,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,0,0,3,7,resnet32,resnet32,0.128043,0.128043,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,0,0,5,6,resnet32,resnet32,0.141421,0.141421,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,1,0,0,1,resnet32,resnet32,0.126536,0.126536,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,1,0,2,6,resnet32,resnet32,0.150238,0.150238,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,1,0,3,7,resnet32,resnet32,0.130726,0.130726,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,1,0,4,5,resnet32,resnet32,0.151753,0.151753,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,2,0,0,4,resnet32,resnet32,0.128518,0.128518,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,2,0,1,7,resnet32,resnet32,0.169549,0.169549,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,2,0,2,5,resnet32,resnet32,0.107828,0.107828,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,2,0,3,6,resnet32,resnet32,0.135265,0.135265,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,3,0,0,7,resnet32,resnet32,0.126330,0.126330,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,3,0,1,5,resnet32,resnet32,0.167315,0.167315,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,3,0,2,6,resnet32,resnet32,0.147216,0.147216,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,3,0,3,4,resnet32,resnet32,0.159738,0.159738,perclass,exact,1
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0001_d001,d001,4,0,0,2,resnet32,resnet32,0.108276,0.108276,perclass,exact,1
