run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,0,0.1,1,127.49,0.0158875,0.004509001413838767,0.0092,0.0218,0.0318,0.015912500000000003,0.015850000000000003,0.0318,0.5727928571428571,0.36604491899651076,0.5737428571428571,0.37235127274544616,0.0158875,resnet32,0.01,0.0088,4.790691289712083,4.675896000455726,0.1147952900209103,resnet32,0.0183,0.0162,4.775227370587262,4.641756429590962,0.13347094256038294,resnet32,0.0176,0.016,4.759915916079825,4.6486897780136625,0.11122613883832276,resnet32,0.0213,0.0234,4.7146301811391655,4.632786993275989,0.08184319195788703,resnet32,0.0127,0.0118,4.709587557749315,4.631066518073732,0.07852104501150527,resnet32,0.0092,0.0084,4.704952825199474,4.641022122719071,0.06393070432518884,resnet32,0.0218,0.0252,4.6827432960271835,4.6181154677813705,0.0646278227923176,resnet32,0.0162,0.017,4.778972069648179,4.6532436250285665,0.12572843171702433,4500000.0,5000.0,18010000.0,18010000.0,144080000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,1,0.1,1,122.32,0.023525,0.010586400474193293,0.01,0.038,0.0422,0.018675,0.024075,0.0424,0.7189357142857143,0.2613882102828299,0.7202321428571431,0.25003745036561215,0.023525,resnet32,0.01,0.011,4.620083317837932,4.609267004511573,0.010816312315662137,resnet32,0.0375,0.0326,4.602421869608489,4.585019294511188,0.017402560968052552,resnet32,0.0173,0.0178,4.605195622552525,4.591340187598359,0.013855433687488337,resnet32,0.0327,0.0336,4.580384948036888,4.563902318477631,0.016482635580442464,resnet32,0.0209,0.0242,4.598186953501268,4.58491412685676,0.013272819654296407,resnet32,0.0103,0.0132,4.628804701295766,4.608829566023567,0.01997513881096066,resnet32,0.038,0.037,4.567687711932442,4.550142787396908,0.017544921781915367,resnet32,0.0215,0.0232,4.586953206495806,4.577626974067905,0.00932623309927294,4500000.0,5000.0,18010000.0,36020000.0,288160000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,2,0.1,1,122.19,0.035625000000000004,0.014091109785960792,0.01,0.0593,0.0457,0.010074999999999994,0.03625,0.0482,0.8154714285714285,0.2971194559272374,0.814117857142857,0.2998712169962146,0.035625000000000004,resnet32,0.01,0.0122,4.6554050059481105,4.609896490519697,0.045508518426107585,resnet32,0.0441,0.0432,4.544405295090242,4.517218820750713,0.027186468841550362,resnet32,0.0312,0.0296,4.561658863994208,4.546462264250625,0.015196590715442488,resnet32,0.048,0.0506,4.52895035256039,4.514366886155172,0.014583458229026292,resnet32,0.0346,0.0366,4.573730985549363,4.548638700084253,0.025092283957002855,resnet32,0.0247,0.03,4.617723587561738,4.58857307379896,0.029150523963670075,resnet32,0.0593,0.0564,4.516234262423082,4.476594087075103,0.03964016762752594,resnet32,0.0331,0.0314,4.573177769780159,4.548158439722928,0.02501932648936583,4500000.0,5000.0,18010000.0,54030000.0,432240000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,3,0.1,1,121.92,0.0550375,0.019905334555088493,0.0108,0.0821,0.0758,0.020762500000000003,0.051949999999999996,0.0694,0.7080214285714287,0.3649305075689049,0.7121392857142858,0.37960416673468594,0.0550375,resnet32,0.0108,0.0082,4.658577938648787,4.608623617752031,0.04995431694392623,resnet32,0.0574,0.055,4.46361454102126,4.442604630508206,0.021009922335823914,resnet32,0.046,0.0458,4.500057754191485,4.481188094751402,0.01886965987399559,resnet32,0.068,0.0642,4.509528088976037,4.465633762831038,0.043894327396463435,resnet32,0.0565,0.0522,4.4758115668188445,4.457062349400737,0.01874921791419514,resnet32,0.0692,0.0666,4.4604951468381016,4.436356342651627,0.024138809188364328,resnet32,0.0821,0.0786,4.421651477840814,4.397744077850472,0.02390740494857627,resnet32,0.0503,0.045,4.500290385701439,4.479233848777684,0.021056529732463372,4500000.0,5000.0,18010000.0,72040000.0,576320000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,4,0.1,1,122.02,0.06755,0.02170178564081767,0.016,0.0915,0.0874,0.019850000000000007,0.07070000000000001,0.0946,0.7201428571428571,0.396498026749701,0.7237750000000001,0.3982609628624642,0.06755,resnet32,0.016,0.0118,4.647376158020713,4.594954105940732,0.05242205332086252,resnet32,0.0727,0.0792,4.412819329987872,4.386866298588839,0.025953032954765313,resnet32,0.058,0.0612,4.499733773144809,4.452476994557814,0.04725678055547178,resnet32,0.0739,0.0812,4.401740970259363,4.380772666497664,0.020968298829922623,resnet32,0.0706,0.0754,4.414851308546283,4.393915947188031,0.0209353600816526,resnet32,0.0864,0.0918,4.385753122243014,4.359813235022805,0.02593988986336626,resnet32,0.0915,0.0926,4.372200633314523,4.340637746859681,0.031562881409296424,resnet32,0.0713,0.0724,4.434433715587312,4.402522096579725,0.031911622574129564,4500000.0,5000.0,18010000.0,90050000.0,720400000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,5,0.1,1,121.95,0.089975,0.018518892380485392,0.0462,0.1157,0.107,0.017025,0.091875,0.1102,0.6209071428571428,0.480793673915075,0.6265678571428573,0.4866861736906098,0.089975,resnet32,0.0462,0.0486,4.557451169599187,4.502128280021927,0.055322890844598245,resnet32,0.0904,0.0918,4.350625661963766,4.3256510624831375,0.024974603444041513,resnet32,0.09,0.0924,4.3810133439573375,4.347259984097698,0.03375336350820197,resnet32,0.0887,0.0894,4.412647708573124,4.3602930368347605,0.05235467243421061,resnet32,0.0987,0.1034,4.351863081482324,4.329289716075767,0.02257335431932006,resnet32,0.0908,0.0938,4.326288505372676,4.3036437278444115,0.022644771661196664,resnet32,0.1157,0.118,4.326316544278101,4.292720653794029,0.03359588662384671,resnet32,0.0993,0.0976,4.358029335059903,4.33309650963003,0.024932817950188604,4500000.0,5000.0,18010000.0,108060000.0,864480000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,6,0.1,1,122.03,0.1207125,0.013768845040525366,0.0918,0.1385,0.1467,0.025987499999999997,0.12260000000000001,0.1482,0.6637571428571428,0.4946461721762891,0.6716392857142857,0.4943126953607723,0.1207125,resnet32,0.0918,0.0982,4.444764733314514,4.4021551771597425,0.04260955958902328,resnet32,0.1294,0.1358,4.306460414759138,4.27436631240628,0.03209409842648628,resnet32,0.1258,0.129,4.3139340024102815,4.2849884344772855,0.0289455695760394,resnet32,0.1147,0.1128,4.317347427660769,4.288582163439556,0.028765265152535656,resnet32,0.1252,0.1242,4.345688637007367,4.303367781368169,0.0423208500883034,resnet32,0.1303,0.1264,4.292936003343626,4.2640858651562175,0.028850142740835014,resnet32,0.1385,0.1406,4.2752650417387486,4.243141883476214,0.03212315925206481,resnet32,0.11,0.1138,4.319821892136877,4.290939901362766,0.028881990430156955,4500000.0,5000.0,18010000.0,126070000.0,1008560000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,7,0.1,1,121.86,0.12895,0.015278988840888654,0.0969,0.1446,0.1407,0.011749999999999983,0.128925,0.1402,0.5527357142857142,0.6102922752327694,0.5543714285714285,0.6081612004644891,0.12895,resnet32,0.0969,0.0978,4.359722661362453,4.311060527847572,0.04866213878532025,resnet32,0.1356,0.1296,4.260459186001257,4.224642635407773,0.03581655328955755,resnet32,0.1374,0.1316,4.267596652900631,4.230013676665046,0.03758297986298038,resnet32,0.1347,0.1392,4.2648481242358685,4.22909243370999,0.03575569041475484,resnet32,0.1118,0.1128,4.282329129563137,4.24549934911457,0.03682977674973451,resnet32,0.1446,0.1484,4.249681440605358,4.212137504057451,0.037543934672033756,resnet32,0.1413,0.1468,4.260866528207606,4.21255324543877,0.04831328974317082,resnet32,0.1293,0.1252,4.282016714865511,4.245129815556786,0.03688689560989256,4500000.0,5000.0,18010000.0,144080000.0,1152640000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,8,0.1,1,121.84,0.15418749999999998,0.009997304324166591,0.1333,0.1651,0.17,0.015812500000000035,0.151225,0.1664,0.5484428571428571,0.5945441758451981,0.55075,0.6058263947557007,0.15418749999999998,resnet32,0.1333,0.1378,4.2919182343916455,4.249695470725948,0.04222276336936788,resnet32,0.1651,0.1632,4.219550686803731,4.180373846807263,0.03917684003086337,resnet32,0.1527,0.149,4.218274802308191,4.179122190245173,0.03915261526708491,resnet32,0.144,0.1428,4.23453249071132,4.1923061016608365,0.042226385139987214,resnet32,0.1616,0.1524,4.224645427682183,4.191021922637116,0.033623503066006706,resnet32,0.159,0.154,4.204477688466961,4.170794572681189,0.03368311674355275,resnet32,0.1561,0.1506,4.2089859233661135,4.1710432493551215,0.037942675791617315,resnet32,0.1617,0.16,4.2354230474342,4.19746433198452,0.03795871796054681,4500000.0,5000.0,18010000.0,162090000.0,1296720000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,9,0.1,1,122.11,0.18077500000000002,0.013026295520983699,0.1592,0.2006,0.1988,0.018024999999999985,0.186075,0.2072,0.5432285714285714,0.6340067916083657,0.5516642857142857,0.6185038566228982,0.18077500000000002,resnet32,0.1592,0.1608,4.229344996200367,4.182992343198169,0.04635265564535406,resnet32,0.1826,0.1874,4.182946702296084,4.138378153809092,0.04456855233663439,resnet32,0.1686,0.1786,4.180764829570597,4.136945519935001,0.04381930088063448,resnet32,0.181,0.1882,4.184072248299014,4.140322517942298,0.04374972939099693,resnet32,0.1834,0.1914,4.184346497397531,4.13983290777965,0.04451360003440641,resnet32,0.1976,0.2022,4.165487066927281,4.122187544337728,0.0432995162978345,resnet32,0.2006,0.1986,4.16337845779278,4.120115169747309,0.04326329441127283,resnet32,0.1732,0.1814,4.202948291532018,4.1565658924254505,0.04638240161478858,4500000.0,5000.0,18010000.0,180100000.0,1440800000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,10,0.1,1,122.05,0.18867499999999998,0.011309813216848456,0.1712,0.2045,0.2048,0.016125000000000028,0.18445,0.1986,0.5104785714285713,0.6323910647282619,0.507417857142857,0.6375199064052258,0.18867499999999998,resnet32,0.1752,0.1698,4.177033772522753,4.13019085065885,0.046842921578156,resnet32,0.2045,0.1948,4.144172375513748,4.099146850068461,0.04502552589507435,resnet32,0.1712,0.1648,4.150463674556125,4.103514990684661,0.046948686305602845,resnet32,0.1856,0.1844,4.1411437757990575,4.096147073940798,0.04499670604392039,resnet32,0.1847,0.1878,4.14292021874677,4.099711755121296,0.04320846215705387,resnet32,0.2014,0.1944,4.127838418565013,4.084583314982328,0.043255105350081896,resnet32,0.1986,0.1978,4.131894773380323,4.085903553122824,0.045991223845207554,resnet32,0.1882,0.1818,4.15785369344733,4.1118926785208965,0.045961009248540824,4500000.0,5000.0,18010000.0,198110000.0,1584880000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,11,0.1,1,122.13,0.1912,0.017035257556021866,0.1565,0.2125,0.2092,0.017999999999999988,0.19130000000000003,0.2092,0.5186785714285714,0.6313628766489774,0.5244928571428571,0.6228195986327721,0.1912,resnet32,0.1565,0.1652,4.139189436015758,4.085418249395761,0.05377118495314128,resnet32,0.2011,0.2064,4.10937051102519,4.0609288811683655,0.04844163221952675,resnet32,0.198,0.1934,4.111856072463772,4.063412897966125,0.0484431740028826,resnet32,0.2008,0.2004,4.1122462536123665,4.05846219882369,0.053784060963979835,resnet32,0.178,0.1778,4.112554859708656,4.059823322702538,0.05273153395815329,resnet32,0.2125,0.2052,4.094314204020933,4.043658139014786,0.05065605908484114,resnet32,0.2026,0.1988,4.092122356661341,4.041491592133587,0.05063077281440862,resnet32,0.1801,0.1832,4.122903152284297,4.07022617825053,0.052676965371409264,4500000.0,5000.0,18010000.0,216120000.0,1728960000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,12,0.1,1,121.98,0.19382500000000003,0.01621633050353871,0.1559,0.2131,0.2196,0.025774999999999965,0.1898,0.2162,0.5774214285714285,0.5928976350605059,0.5781857142857144,0.5840338852160496,0.19382500000000003,resnet32,0.1559,0.1526,4.1058429479599,4.052395561879331,0.05344738166207786,resnet32,0.2072,0.1998,4.091969141905958,4.038536098531702,0.05343304317846725,resnet32,0.187,0.1812,4.088050845671784,4.0357343320819465,0.05231651591285216,resnet32,0.2015,0.2018,4.081358561800285,4.024213839999654,0.05714472708165307,resnet32,0.1948,0.1906,4.080042578957298,4.029116284440864,0.05092629060064527,resnet32,0.2131,0.213,4.067328485575589,4.016339571299878,0.050988909613806754,resnet32,0.1944,0.1898,4.073862216012045,4.016707511788065,0.057154700054194436,resnet32,0.1967,0.1896,4.094461493871429,4.042171743105758,0.052289744749114936,4500000.0,5000.0,18010000.0,234130000.0,1873040000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,13,0.1,1,122.11,0.2098375,0.017566369680443367,0.1828,0.2344,0.234,0.024162500000000003,0.20675,0.2328,0.5474500000000001,0.5783781552762982,0.5527285714285715,0.5883765540566078,0.2098375,resnet32,0.1831,0.1796,4.078803868794983,4.020781415768645,0.05802244869251312,resnet32,0.2078,0.212,4.071376125243577,4.015586477111686,0.055789651746057316,resnet32,0.2344,0.23,4.069546598263762,4.0114905068820175,0.05805609225485982,resnet32,0.2207,0.2188,4.061857190660455,4.000200841575861,0.06165635657221587,resnet32,0.2129,0.2094,4.066191039979458,4.004548891362819,0.06164214714028111,resnet32,0.1828,0.1788,4.055242558771914,3.997154068540443,0.05808848534731872,resnet32,0.2268,0.2196,4.055961734191938,3.997899641028859,0.05806209228467196,resnet32,0.2102,0.2058,4.073264674706892,4.017481645399874,0.05578303228090094,4500000.0,5000.0,18010000.0,252140000.0,2017120000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,14,0.1,1,122.04,0.1988125,0.013559999769542766,0.1831,0.219,0.215,0.016187499999999994,0.199525,0.216,0.5142714285714286,0.6530485461845338,0.5184642857142857,0.6443299654473554,0.1988125,resnet32,0.2,0.2058,4.049511623992161,3.9889467514374037,0.06056487488835542,resnet32,0.2075,0.2098,4.04903705926104,3.9891224307092754,0.0599146316843954,resnet32,0.186,0.1862,4.050564193251458,3.990019291300665,0.06054490136871622,resnet32,0.1831,0.1856,4.038157984614372,3.9765325473113493,0.06162543954137205,resnet32,0.192,0.1964,4.044799781997096,3.9832236062396658,0.06157616849205541,resnet32,0.219,0.2084,4.030983009460297,3.9709843644364313,0.05999865029430525,resnet32,0.1854,0.186,4.038113086061045,3.9776494465768337,0.060463642336385834,resnet32,0.2175,0.218,4.049675833095204,3.9892667169598015,0.06040912041101943,4500000.0,5000.0,18010000.0,270150000.0,2161200000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,15,0.1,1,122.05,0.2180375,0.012978919205773645,0.1955,0.2415,0.2396,0.021562500000000012,0.218525,0.24,0.5277357142857142,0.6208985132074644,0.5280321428571427,0.622662323446877,0.2180375,resnet32,0.2145,0.2148,4.034532532095909,3.9712354371493515,0.06329709263941781,resnet32,0.1955,0.206,4.029389477588913,3.9697758474133233,0.05961362903789533,resnet32,0.2109,0.2094,4.028903885321184,3.96931186250665,0.05959202743410556,resnet32,0.2318,0.2286,4.026520062237978,3.9611736752770166,0.06534638902997937,resnet32,0.2209,0.2214,4.031884038990194,3.9683525372635233,0.06353149585298855,resnet32,0.2161,0.2132,4.018139699981972,3.9527668485587295,0.065372845036274,resnet32,0.2415,0.2424,4.027268936349587,3.9640056402845816,0.06326329971621321,resnet32,0.2131,0.2124,4.033322453160178,3.969753576273268,0.06356887829447673,4500000.0,5000.0,18010000.0,288160000.0,2305280000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,16,0.1,1,122.1,0.2303875,0.013044485185318734,0.2045,0.2522,0.2567,0.02631249999999999,0.22824999999999998,0.2462,0.5352285714285714,0.6223084354111587,0.5374857142857142,0.6252875031059643,0.2303875,resnet32,0.2045,0.2022,4.0173419727520505,3.946821130134843,0.07052083814051002,resnet32,0.2346,0.2318,4.0153312090445645,3.948111479593949,0.06721972865158353,resnet32,0.2387,0.24,4.013963472098112,3.9509833339940417,0.0629801331193779,resnet32,0.2522,0.2482,4.010518065907738,3.9400610998272896,0.07045696329177273,resnet32,0.2265,0.2322,4.0137258551337505,3.946518087928945,0.06720776461720974,resnet32,0.235,0.2332,3.9972416524859993,3.9336405768990517,0.06360108285761354,resnet32,0.2208,0.2128,4.005790593949231,3.9422601278532636,0.06353047058854083,resnet32,0.2308,0.2256,4.013340187005022,3.9503157650205223,0.06302442210091447,4500000.0,5000.0,18010000.0,306170000.0,2449360000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,17,0.1,1,122.05,0.23904999999999998,0.010563380140845076,0.2224,0.2604,0.2687,0.02965000000000001,0.239625,0.2674,0.5365857142857143,0.5965064363581246,0.5451642857142857,0.5912571082579264,0.23904999999999998,resnet32,0.2224,0.2282,4.0011607032607905,3.931324417956851,0.06983628619822081,resnet32,0.2361,0.229,4.002358300780708,3.9360401058061556,0.06631820034024051,resnet32,0.2313,0.2318,3.9966404830867592,3.929062583907084,0.06757790100527927,resnet32,0.2604,0.2636,3.998182104731148,3.928345665335655,0.06983642991293561,resnet32,0.2465,0.241,4.002699520100247,3.9370603192258966,0.06563920547804711,resnet32,0.2339,0.2346,3.986426102505489,3.919991110197522,0.06643499071519314,resnet32,0.2399,0.2478,3.9969327324493364,3.9294642000035807,0.067468530847691,resnet32,0.2419,0.241,4.002658588303761,3.936963944949887,0.0656946403641169,4500000.0,5000.0,18010000.0,324180000.0,2593440000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,18,0.1,1,121.82,0.24385,0.010579461233919238,0.2242,0.2582,0.2671,0.023249999999999993,0.239475,0.2588,0.5150857142857143,0.6242591920361632,0.5177499999999999,0.6272418436354601,0.24385,resnet32,0.2481,0.2444,3.9865980558097363,3.9157697660001842,0.07082829310622235,resnet32,0.2582,0.2596,3.9878896549344063,3.920438099313866,0.06745155317052691,resnet32,0.2387,0.2248,3.988498560406945,3.9182493646036494,0.07024919181871651,resnet32,0.2365,0.2274,3.9827606075189332,3.911975622177124,0.07078498146306215,resnet32,0.2242,0.2232,3.9881351210854272,3.9179722443223,0.070162873826286,resnet32,0.2579,0.2534,3.9829762432385576,3.915599014610052,0.06737722181291743,resnet32,0.2455,0.2468,3.9850391271439465,3.9176662662489847,0.06737285771470686,resnet32,0.2417,0.2362,3.992233412170952,3.9248222478411416,0.06741116576912728,4500000.0,5000.0,18010000.0,342190000.0,2737520000.0
resnet32x8_cifar100_K8_mwmpc1_noise40_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmpc1,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,perclass,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,19,0.1,1,122.07,0.2573125,0.020957363711831697,0.2187,0.2839,0.2876,0.030287500000000023,0.253725,0.2884,0.5530428571428572,0.5767069757501181,0.5508107142857143,0.580919017466267,0.2573125,resnet32,0.276,0.2808,3.982837352901697,3.9082716039635916,0.07456574751466344,resnet32,0.2624,0.2604,3.9852660985832866,3.9099055752158165,0.07536052134078504,resnet32,0.2187,0.2162,3.9775511967864903,3.9068416976793245,0.07070949344514785,resnet32,0.2839,0.2864,3.978282729333097,3.902848086573861,0.07543463926148516,resnet32,0.2664,0.2582,3.9827694323929874,3.913909262215549,0.06886015846182338,resnet32,0.2699,0.2626,3.971123414283449,3.9003704837100073,0.07075294032057916,resnet32,0.2322,0.2212,3.9779219346290287,3.9090033451264556,0.06891858928032558,resnet32,0.249,0.244,3.989278867502104,3.9147372357547283,0.07454162591602653,4500000.0,5000.0,18010000.0,360200000.0,2881600000.0
