run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,0,0.1,1,70.41,0.0217875,0.007398046617182134,0.0101,0.0352,0.0383,0.0165125,0.0201,0.0338,0.7064,0.23628062310932857,0.706875,0.2650043121595985,0.0217875,resnet32,0.028,0.0254,4.7101024057377465,4.633641694757071,0.07646071036486485,resnet32,0.0211,0.0194,4.725695020095869,4.640639974989674,0.08505504256870401,resnet32,0.0256,0.0258,4.719374517148191,4.6064373180270195,0.1129371906648554,resnet32,0.0197,0.0186,4.707788972014731,4.637440719387748,0.0703482493362654,resnet32,0.0101,0.009,4.7299936562776566,4.657556654377417,0.07243701048719231,resnet32,0.0207,0.0192,4.674244107170538,4.621659352020784,0.05258474879238664,resnet32,0.0352,0.0312,4.687530556863004,4.602333233437755,0.08519732340606755,resnet32,0.0139,0.0122,4.792801557616754,4.676806144416332,0.11599541955547465,4500000.0,0.0,18000000.0,18000000.0,144000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,1,0.1,1,69.28,0.028950000000000004,0.010116694124070373,0.0164,0.0466,0.0344,0.0054499999999999965,0.02805,0.0356,0.7050785714285717,0.3201897251278272,0.7026214285714285,0.3298472834745469,0.028950000000000004,resnet32,0.0317,0.0312,4.564304166896776,4.544786589389497,0.019517582751260223,resnet32,0.0251,0.0236,4.57046555321325,4.566551049324599,0.00391450909046398,resnet32,0.0276,0.0246,4.557753983546387,4.541484970938075,0.0162690082672105,resnet32,0.042,0.0486,4.575053263794292,4.55960592830723,0.01544734064207825,resnet32,0.0164,0.016,4.624470805579966,4.607307115061716,0.01716369392108225,resnet32,0.0251,0.0194,4.569514981724999,4.565652097490701,0.0038628833358002753,resnet32,0.0466,0.0442,4.522149634632197,4.506930937143889,0.015218704971299634,resnet32,0.0171,0.0168,4.611433415250345,4.590776320208203,0.020657099547944115,4500000.0,0.0,18000000.0,36000000.0,288000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,2,0.1,1,68.93,0.0479,0.01298730149030198,0.02,0.0655,0.0593,0.0114,0.0484,0.0622,0.6333285714285716,0.4112862490197186,0.6308428571428573,0.40622000003833525,0.0479,resnet32,0.0514,0.0512,4.501472223888744,4.477872280911966,0.023599941418400373,resnet32,0.0389,0.0422,4.529111438854174,4.5086464969949285,0.020464942779984664,resnet32,0.0526,0.0516,4.498879226093942,4.485363030298189,0.013516197217210323,resnet32,0.0655,0.0686,4.466369297016751,4.443200387060642,0.023168903424944307,resnet32,0.0483,0.0492,4.534070645543662,4.507687339051203,0.026383303153455596,resnet32,0.0466,0.0444,4.518502198159695,4.505039362067526,0.013462829539838078,resnet32,0.0599,0.0586,4.466859522190961,4.4412980215115985,0.025561506988279605,resnet32,0.02,0.0214,4.560930181633342,4.5398969927972015,0.021033189588871955,4500000.0,0.0,18000000.0,54000000.0,432000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,3,0.1,1,68.74,0.07005,0.01608850521335031,0.0439,0.0985,0.0878,0.017750000000000002,0.07145,0.0862,0.6829857142857143,0.4357771977977088,0.6835892857142856,0.4369625102336686,0.07005,resnet32,0.0564,0.059,4.449546436694535,4.424440331079743,0.02510610946708105,resnet32,0.0675,0.0698,4.448705924505537,4.422807211903009,0.025898708033227278,resnet32,0.0662,0.0694,4.433975553648039,4.418247986923564,0.015727556383353658,resnet32,0.0877,0.0874,4.394218734719536,4.374337324364618,0.01988140125997068,resnet32,0.0647,0.069,4.445554446767677,4.429793544113636,0.015760895505081862,resnet32,0.0755,0.0734,4.430668332360008,4.410682094368068,0.019986234389679423,resnet32,0.0985,0.0972,4.405364919115197,4.379610556093129,0.02575437336186455,resnet32,0.0439,0.0464,4.493537179448388,4.468404241583564,0.025132942133826542,4500000.0,0.0,18000000.0,72000000.0,576000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,4,0.1,1,68.99,0.0941375,0.0151196013092277,0.072,0.1175,0.1039,0.009762500000000007,0.09179999999999999,0.107,0.5475571428571429,0.5609926210536658,0.548975,0.5598924007477216,0.0941375,resnet32,0.0906,0.0916,4.388722625645724,4.362508932975206,0.026213688019197434,resnet32,0.088,0.0846,4.3922615674409,4.366136901080608,0.02612466616185636,resnet32,0.0812,0.0832,4.394896249879491,4.3672489273277195,0.02764732389583845,resnet32,0.1164,0.1132,4.342953033745289,4.315156426280737,0.02779659644213759,resnet32,0.0874,0.0874,4.383395702324131,4.355539649047635,0.027856051694305443,resnet32,0.1,0.0928,4.357393865558234,4.334472441537813,0.0229214194140778,resnet32,0.1175,0.109,4.334801705723459,4.3118735975162545,0.022928110468042592,resnet32,0.072,0.0726,4.429912945763632,4.402176384898749,0.027736549120163545,4500000.0,0.0,18000000.0,90000000.0,720000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,5,0.1,1,69.2,0.115875,0.012852893643067307,0.0927,0.1399,0.1286,0.012724999999999986,0.11465,0.1264,0.5663357142857142,0.5866401242776952,0.5711892857142856,0.5707760056599075,0.115875,resnet32,0.1065,0.1062,4.3296941915019,4.303691581230272,0.02600261482769962,resnet32,0.1104,0.1054,4.338036556474187,4.312099281698465,0.025937279749831014,resnet32,0.1189,0.1214,4.331624088639563,4.300675701011311,0.030948384199291468,resnet32,0.1158,0.1166,4.297546235336498,4.271683493121103,0.02586274927439676,resnet32,0.1183,0.1168,4.315132996914062,4.289279461584308,0.025853542163862254,resnet32,0.1245,0.1232,4.321074202656746,4.285984778607434,0.035089427274545996,resnet32,0.1399,0.1342,4.293401242995804,4.262388976121491,0.031012258479181168,resnet32,0.0927,0.0934,4.374146109277552,4.3390965035015885,0.0350496017860926,4500000.0,0.0,18000000.0,108000000.0,864000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,6,0.1,1,69.11,0.1446,0.01825554710218239,0.1096,0.1662,0.1654,0.020799999999999985,0.143175,0.1606,0.5476214285714286,0.6045797967764429,0.5548571428571429,0.5955008753770645,0.1446,resnet32,0.1378,0.1396,4.27722365680066,4.243110280145299,0.034113374501678416,resnet32,0.1096,0.1124,4.3013909909535535,4.269515514712442,0.031875484691805796,resnet32,0.15,0.1462,4.27645737982609,4.247515740381046,0.02894162526618774,resnet32,0.1615,0.1612,4.250714238733053,4.215946387838233,0.03476785415974022,resnet32,0.1539,0.1494,4.265196952630173,4.231008726764809,0.03418822648448192,resnet32,0.1541,0.1538,4.261625461957672,4.232700002125719,0.028925456529991192,resnet32,0.1662,0.1632,4.242588292130015,4.20784040201794,0.0347478914085183,resnet32,0.1237,0.1196,4.316847375509414,4.284913312643766,0.031934056629490275,4500000.0,0.0,18000000.0,126000000.0,1008000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,7,0.1,1,69.02,0.1412875,0.008171052181328915,0.128,0.1574,0.1649,0.02361249999999998,0.14175,0.1624,0.5644428571428571,0.5830952430397582,0.5707714285714285,0.5692188038171854,0.1412875,resnet32,0.1364,0.1384,4.233312916010618,4.192457952282646,0.040854959335940126,resnet32,0.1405,0.1448,4.268688228997317,4.22801169177348,0.04067653738258576,resnet32,0.1351,0.1372,4.23142127523368,4.199867045676166,0.031554227189520716,resnet32,0.142,0.1416,4.204106585884636,4.164200692014261,0.03990590090291913,resnet32,0.1454,0.1444,4.21098533611406,4.171098836443641,0.039886499228569766,resnet32,0.1455,0.1412,4.212989677082408,4.181441369381818,0.031548311322694644,resnet32,0.1574,0.1592,4.213400347666307,4.168632067401301,0.04476828517561609,resnet32,0.128,0.1272,4.276737975464626,4.2320182912729,0.04471969026648863,4500000.0,0.0,18000000.0,144000000.0,1152000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,8,0.1,1,69.11,0.175525,0.013889091942960133,0.1503,0.1942,0.1982,0.022675,0.17412499999999997,0.1938,0.5523357142857143,0.5786239799093492,0.5505535714285715,0.5909399975094379,0.175525,resnet32,0.1705,0.1704,4.1919303766705776,4.146198696710846,0.045731686002744194,resnet32,0.1605,0.1626,4.232706595550884,4.180140706964514,0.052565881437410346,resnet32,0.1729,0.1756,4.1931400021368805,4.150856368243694,0.042283634128662845,resnet32,0.1883,0.1844,4.18131995099512,4.128545946695588,0.052774009040810844,resnet32,0.1942,0.186,4.162224779413505,4.119751270183108,0.04247351473895833,resnet32,0.1847,0.1868,4.168271852149204,4.125812371684746,0.04245947881083174,resnet32,0.1828,0.182,4.169619472528046,4.1273482367396355,0.042271235383602536,resnet32,0.1503,0.1452,4.227402826601809,4.181770257651806,0.04563256536758589,4500000.0,0.0,18000000.0,162000000.0,1296000000.0
resnet32x8_cifar100_K8_rand1_noise40_seed0002_d001,d001,resnet32:8,cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,3760032,9,0.1,1,68.9,0.1704875,0.0157085516120997,0.146,0.1963,0.1902,0.01971250000000002,0.16905,0.191,0.5766,0.595853735972789,0.5842357142857144,0.580125251290336,0.1704875,resnet32,0.1872,0.1856,4.138433893634514,4.0903564766049385,0.04807742284505035,resnet32,0.146,0.1438,4.185732163827527,4.134995960715142,0.05073620957343585,resnet32,0.1699,0.1684,4.162533078004014,4.111533819274469,0.050999255623372104,resnet32,0.1567,0.1582,4.133258002725515,4.088267828930508,0.04499017060945996,resnet32,0.1963,0.1868,4.133148431777954,4.07919300279834,0.053955431530167436,resnet32,0.1807,0.1758,4.123184452680024,4.078128927810625,0.045055522398218854,resnet32,0.1679,0.172,4.132630916481668,4.084511652588844,0.048119263532994824,resnet32,0.1592,0.1618,4.179860342293978,4.126130473884669,0.05372985891087658,4500000.0,0.0,18000000.0,180000000.0,1440000000.0
