run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,0,0,0,1,resnet32,resnet32,0.841836,0.841836,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,0,0,2,4,resnet32,resnet32,0.547429,0.547429,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,0,0,3,7,resnet32,resnet32,0.608077,0.608077,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,0,0,5,6,resnet32,resnet32,0.740733,0.740733,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,1,0,0,2,resnet32,resnet32,0.661309,0.661309,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,1,0,1,4,resnet32,resnet32,0.678821,0.678821,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,1,0,3,6,resnet32,resnet32,0.858958,0.858958,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,1,0,5,7,resnet32,resnet32,0.737650,0.737650,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,2,0,0,7,resnet32,resnet32,0.900879,0.900879,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,2,0,1,6,resnet32,resnet32,0.730562,0.730562,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,2,0,2,3,resnet32,resnet32,0.768444,0.768444,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,2,0,4,5,resnet32,resnet32,0.867981,0.867981,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,3,0,0,6,resnet32,resnet32,0.641763,0.641763,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,3,0,1,7,resnet32,resnet32,0.722957,0.722957,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,3,0,2,5,resnet32,resnet32,0.897604,0.897604,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,3,0,3,4,resnet32,resnet32,0.440015,0.440015,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,4,0,0,3,resnet32,resnet32,0.783188,0.783188,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,4,0,1,2,resnet32,resnet32,0.669772,0.669772,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,4,0,4,5,resnet32,resnet32,0.787091,0.787091,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,4,0,6,7,resnet32,resnet32,0.678861,0.678861,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,5,0,0,3,resnet32,resnet32,0.659141,0.659141,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,5,0,1,6,resnet32,resnet32,0.761139,0.761139,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,5,0,2,4,resnet32,resnet32,0.548583,0.548583,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,5,0,5,7,resnet32,resnet32,0.712576,0.712576,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,6,0,0,6,resnet32,resnet32,0.635579,0.635579,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,6,0,1,4,resnet32,resnet32,0.977413,0.977413,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,6,0,2,7,resnet32,resnet32,0.835682,0.835682,random,exact,1
resnet32x8_cifar100_K8_rand1_noise40_seed0003_d001,d001,6,0,3,5,resnet32,resnet32,0.715251,0.715251,random,exact,1
