run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,0,0.1,1,142.4,0.0789125,0.03766651156863349,0.0372,0.1446,0.1407,0.061787499999999995,0.07815,0.1396,0.8158642857142857,0.296180162459735,0.8158,0.30460501936516815,0.04535,0.112475,wrn28x10,0.1218,0.1294,3.6960919004949657,3.652669174088673,0.04342272070987912,wrn28x10,0.1446,0.1486,3.6918925121426582,3.649314244362441,0.04257826947353103,wrn28x10,0.0995,0.0928,4.409755527973175,4.265303692018444,0.14445183879103174,wrn28x10,0.084,0.077,4.44991332698952,4.319993986663493,0.1299193368600258,resnet32,0.045,0.0462,4.678881245580587,4.479281735691157,0.1995995169722433,resnet32,0.0579,0.0568,4.649175455624407,4.484414811838757,0.16476064287549394,resnet32,0.0372,0.036,4.61615105311979,4.524386325343088,0.09176472346437302,resnet32,0.0413,0.0384,4.620080350474878,4.512865888124162,0.10721445246136599,4500000.0,5000.0,18010000.0,18010000.0,144080000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,1,0.1,1,135.35,0.14181249999999998,0.04471312551980682,0.0776,0.2092,0.1925,0.050687500000000024,0.13945,0.1844,0.7116214285714283,0.4219508254792955,0.7169642857142854,0.4254617816428738,0.10882499999999999,0.1748,wrn28x10,0.1803,0.1836,3.4404460076581347,3.12974344024604,0.3107025681529194,wrn28x10,0.2092,0.2086,3.3743661259385673,3.0913597518070177,0.28300637868233025,wrn28x10,0.1668,0.1578,3.766679596155882,3.601528292352503,0.16515130379279566,wrn28x10,0.1429,0.1374,3.737750615924597,3.649232876571742,0.08851773845857348,resnet32,0.109,0.1088,3.8415856283496725,3.753719450397925,0.08786617688813501,resnet32,0.1664,0.1576,4.026656494221904,3.749095084992322,0.27756141617216845,resnet32,0.0776,0.0798,4.14241091974757,3.977642181922089,0.16476873051248153,resnet32,0.0823,0.082,4.241304717619311,3.92744367942214,0.3138610427691178,4500000.0,5000.0,18010000.0,36020000.0,288160000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,2,0.1,1,135.06,0.18885,0.042474551204221105,0.1267,0.261,0.2423,0.05345,0.19095,0.2394,0.6754142857142859,0.47150797392387517,0.6900000000000001,0.45837762900277734,0.16335,0.21434999999999998,wrn28x10,0.261,0.2572,2.963726476512172,2.715553131970492,0.24817334667948837,wrn28x10,0.2006,0.2102,2.9901018366217613,2.73142111165957,0.25868072555485094,wrn28x10,0.2203,0.218,3.2159225290471856,3.010102520950816,0.20582001137716527,wrn28x10,0.1755,0.186,3.263111885975708,3.0864737176082353,0.1766381656370041,resnet32,0.2153,0.2118,3.446432537991892,3.1954026093537156,0.25102993268096313,resnet32,0.1798,0.1834,3.3550642945549707,3.1141228079795837,0.24094148689288308,resnet32,0.1267,0.1292,3.5460577122867107,3.3733683878725227,0.17268932836172593,resnet32,0.1316,0.1318,3.548003068024462,3.347258673811501,0.20074439933523536,4500000.0,5000.0,18010000.0,54030000.0,432240000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,3,0.1,1,135.62,0.25527500000000003,0.03207123906243723,0.1862,0.2939,0.311,0.05572499999999997,0.25435,0.3076,0.6353,0.4984118879938128,0.6362535714285713,0.490698689024151,0.257625,0.252925,wrn28x10,0.2924,0.2936,2.72959323159673,2.4709918160330164,0.258601416897198,wrn28x10,0.2939,0.2848,2.811703383922577,2.5187371515414934,0.2929662355772135,wrn28x10,0.1862,0.1862,2.8182040364904837,2.615388400175355,0.20281563601879912,wrn28x10,0.2392,0.242,2.906295631080866,2.6944006739014927,0.21189496156082235,resnet32,0.258,0.2632,3.057298492301594,2.8077037517320025,0.24959474277089944,resnet32,0.2711,0.2732,2.9413831958716568,2.7407859072766523,0.20059729075397958,resnet32,0.2545,0.2516,3.1583009734749794,2.951828646727584,0.20647232202728363,resnet32,0.2469,0.2402,3.2690559192137285,2.987172906033017,0.2818830103655769,4500000.0,5000.0,18010000.0,72040000.0,576320000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,4,0.1,1,135.12,0.2731,0.03959690644482218,0.1825,0.3179,0.3336,0.0605,0.2677,0.3146,0.5975642857142857,0.5259494506758216,0.5939178571428572,0.5308970754092012,0.2747,0.27149999999999996,wrn28x10,0.2831,0.272,2.6177207583730873,2.329834347590804,0.28788640902546997,wrn28x10,0.3179,0.3054,2.5792153183032167,2.3144399847157975,0.26477533792653546,wrn28x10,0.3025,0.295,2.5965682085264814,2.371922895142978,0.22464531048370356,wrn28x10,0.1825,0.181,2.722756628285755,2.4622650513933464,0.2604915786703879,resnet32,0.2946,0.2962,2.8437468582256273,2.5870404483919796,0.2567064119714566,resnet32,0.2672,0.2708,2.735089972615242,2.5150472464209255,0.22004272672347724,resnet32,0.2482,0.243,2.97739789634943,2.70025884360075,0.2771390556908128,resnet32,0.2888,0.2782,2.997748278081417,2.746676352552392,0.2510719245765358,4500000.0,5000.0,18010000.0,90050000.0,720400000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,5,0.1,1,135.58,0.3174625,0.043546955619767506,0.2408,0.3901,0.3853,0.0678375,0.311175,0.3792,0.5908857142857142,0.5125540462227397,0.5943357142857142,0.5176603949053261,0.30812500000000004,0.3268,wrn28x10,0.3276,0.3254,2.465028100393035,2.1908430118452418,0.2741850881667977,wrn28x10,0.3901,0.3808,2.529531868005341,2.2104511618275535,0.3190807042939758,wrn28x10,0.3487,0.3438,2.526011708785187,2.2476720662618224,0.27833964076655154,wrn28x10,0.2408,0.2408,2.5015739815478977,2.262019033628431,0.23955494256436147,resnet32,0.2647,0.254,2.7055484682998876,2.4391282932324843,0.26642016956413334,resnet32,0.328,0.3114,2.6139263705435125,2.377173436974937,0.23675293160009792,resnet32,0.3159,0.3072,2.782578328793699,2.5130652502517807,0.2695130788170817,resnet32,0.3239,0.326,2.8952691067348826,2.590108569372784,0.3051605355417864,4500000.0,5000.0,18010000.0,108060000.0,864480000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,6,0.1,1,135.55,0.3606625,0.026214639874505247,0.321,0.4,0.4193,0.05863750000000001,0.35297500000000004,0.405,0.5057142857142857,0.5767407143068037,0.5065107142857143,0.5827220629037886,0.337475,0.38385,wrn28x10,0.3934,0.3758,2.3622379926117985,2.0800558093257924,0.28218218800611794,wrn28x10,0.3776,0.3812,2.3492851883850316,2.0716830276968805,0.2776021618099714,wrn28x10,0.4,0.3834,2.463536674156785,2.157234775410457,0.3063018982806666,wrn28x10,0.3644,0.3574,2.427570392631672,2.1431788632815536,0.2843915288421241,resnet32,0.3364,0.331,2.5834302953021093,2.3085999114608224,0.27483038405295124,resnet32,0.3467,0.3404,2.5321762246841732,2.2602991372008217,0.27187707963060925,resnet32,0.3458,0.3368,2.656471549109979,2.3810157013887707,0.27545584782704036,resnet32,0.321,0.3178,2.760584006255323,2.465632750737396,0.2949512551369315,4500000.0,5000.0,18010000.0,126070000.0,1008560000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,7,0.1,1,134.88,0.3782375,0.03342386637943014,0.3059,0.4223,0.4508,0.07256249999999997,0.364725,0.4304,0.55325,0.5371909845778339,0.5465642857142858,0.5451133119591066,0.357625,0.39885000000000004,wrn28x10,0.373,0.358,2.3176891918886793,2.006799680942839,0.31088951213115995,wrn28x10,0.4223,0.4148,2.3582458780570463,2.0180920533497226,0.34015382415699685,wrn28x10,0.4076,0.386,2.3171881289983336,2.0360810053958134,0.28110712148587813,wrn28x10,0.3925,0.3768,2.2958045363087547,2.025847601788965,0.2699569350701164,resnet32,0.3543,0.336,2.479085849090056,2.2033046551726083,0.27578119144097646,resnet32,0.3843,0.373,2.4229432439262215,2.1577345476570455,0.2652086933905428,resnet32,0.386,0.375,2.5764332726936447,2.276198574426499,0.3002347028814256,resnet32,0.3059,0.2982,2.6987902874296363,2.374027149074457,0.3247631417418068,4500000.0,5000.0,18010000.0,144080000.0,1152640000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,8,0.1,1,135.4,0.39545,0.031151203829065735,0.3284,0.4298,0.4577,0.06224999999999997,0.38727500000000004,0.4452,0.49299999999999994,0.5810447959113041,0.4970214285714286,0.5742404629239787,0.37875,0.41214999999999996,wrn28x10,0.416,0.4046,2.247141859070821,1.9378782818940552,0.3092635756104507,wrn28x10,0.4237,0.4238,2.2276676234535198,1.927974317392165,0.29969330796633253,wrn28x10,0.3791,0.3712,2.228735558857972,1.9420000202953815,0.2867355369539423,wrn28x10,0.4298,0.4228,2.3078925489363344,1.9763633663004094,0.3315291836730797,resnet32,0.3795,0.3546,2.4259264792569657,2.1338612491434272,0.2920652278063988,resnet32,0.4139,0.4074,2.373438357460228,2.0916118120605294,0.2818265429655598,resnet32,0.3932,0.3836,2.491033371199261,2.192007624290206,0.2990257477557117,resnet32,0.3284,0.3302,2.6017776382240383,2.2845712712203916,0.3172063671518117,4500000.0,5000.0,18010000.0,162090000.0,1296720000.0
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1_seed0001_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,9,0.1,1,135.26,0.3644875,0.04682329648529672,0.2771,0.4176,0.434,0.06951249999999998,0.36077499999999996,0.436,0.5422357142857142,0.5402834197992844,0.5394178571428572,0.5394380026541146,0.331025,0.39794999999999997,wrn28x10,0.3492,0.3524,2.183449249714613,1.8758296351879835,0.3076196122829887,wrn28x10,0.4176,0.4064,2.247474140572277,1.8982894791459495,0.3491846595636823,wrn28x10,0.4154,0.4166,2.168666586618532,1.87406535836106,0.2946012318345972,wrn28x10,0.4096,0.4068,2.2155647328631445,1.9075707832181996,0.3079939544920556,resnet32,0.3528,0.3482,2.3724814343520184,2.0727178789675236,0.29976355451667175,resnet32,0.3743,0.3788,2.3233019784092903,2.034984726120125,0.28831725159067323,resnet32,0.2771,0.2668,2.425573792816563,2.12689458460293,0.2986792078114707,resnet32,0.3199,0.3102,2.563826445659453,2.22997338053855,0.33385306581939483,4500000.0,5000.0,18010000.0,180100000.0,1440800000.0
