run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,0,0.1,1,139.84,0.098575,0.057397925702938085,0.0229,0.1811,0.1864,0.08782500000000001,0.0955,0.1804,0.8537071428571428,0.21721978199467093,0.8548571428571429,0.21813785744825212,0.052524999999999995,0.144625,wrn28x10,0.1811,0.1718,3.747933715920557,3.6843643611805006,0.06356935651009818,wrn28x10,0.0893,0.0838,4.434759948402643,4.306371488354423,0.12838845502648671,wrn28x10,0.1637,0.1562,3.67880894345316,3.6169570281424304,0.06185191844600591,wrn28x10,0.1444,0.14,4.061530093916438,3.9362856942144306,0.12524440152761104,resnet32,0.0229,0.0278,4.755082945932042,4.637282426384362,0.11780051797210365,resnet32,0.1102,0.1066,4.202173963866451,4.0728143958205525,0.12935957164418968,resnet32,0.0429,0.0452,4.639542652802034,4.521407568319277,0.11813508881459711,resnet32,0.0341,0.0326,4.680115289308808,4.509038690816272,0.17107660211463968,4500000.0,0.0,18000000.0,18000000.0,144000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,1,0.1,1,138.01,0.1533875,0.04252697489535318,0.0804,0.1995,0.2032,0.04981249999999998,0.1572,0.2062,0.7060000000000002,0.46220899486455785,0.7094464285714283,0.4526273540770494,0.12177500000000001,0.185,wrn28x10,0.1838,0.191,3.456715354187922,3.152467440475117,0.30424791398796847,wrn28x10,0.1593,0.162,3.655451301823963,3.5494774102487345,0.10597389693033289,wrn28x10,0.1995,0.2032,3.4437960609793663,3.12915806540034,0.31463799365288153,wrn28x10,0.1974,0.2012,3.6418353620577943,3.3551154976541344,0.28671985906972125,resnet32,0.0804,0.081,4.483499447053129,4.183231472630393,0.3002679761372168,resnet32,0.1814,0.1832,3.575754031877626,3.46874510767785,0.10700891933149913,resnet32,0.1153,0.1208,4.286006294529546,3.9659550271250983,0.32005125999620015,resnet32,0.11,0.1152,4.2367981618100945,3.932576767761599,0.30422139673663134,4500000.0,0.0,18000000.0,36000000.0,288000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,2,0.1,1,136.59,0.172625,0.032321113455448906,0.1168,0.2194,0.2227,0.05007500000000001,0.17120000000000002,0.219,0.7313357142857144,0.4365823954201741,0.7357678571428573,0.42638423679417325,0.15925,0.186,wrn28x10,0.1739,0.1732,2.7592169862579214,2.656392686746337,0.10282430337445642,wrn28x10,0.2194,0.215,3.244188649749214,3.0373512618243694,0.20683739222162825,wrn28x10,0.1981,0.2028,2.883911397308111,2.6626419641754846,0.22126943328079174,wrn28x10,0.1526,0.158,2.8103816471993923,2.7082128428261387,0.10216880827845837,resnet32,0.1168,0.1142,3.7123325030234726,3.5980650267817755,0.11426747374405916,resnet32,0.2084,0.1994,3.1360324075953527,2.9199543598700655,0.21607804416932844,resnet32,0.1649,0.1644,3.607346446676688,3.491531532596458,0.11581491619687188,resnet32,0.1469,0.1426,3.588640421967615,3.388504995202476,0.20013542784462598,4500000.0,0.0,18000000.0,54000000.0,432000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,3,0.1,1,135.11,0.24053750000000002,0.04451639971684593,0.1586,0.3128,0.3037,0.06316250000000001,0.238625,0.2946,0.6408571428571428,0.4799570924023722,0.6486035714285714,0.4724415933038366,0.2508,0.23027499999999998,wrn28x10,0.2621,0.2596,2.8141360855238005,2.49575223790651,0.3183838475961238,wrn28x10,0.2196,0.2194,2.9390576522458685,2.708550302142447,0.23050734735178677,wrn28x10,0.2808,0.2758,2.8365847034887834,2.518074508079074,0.31851019464771857,wrn28x10,0.1586,0.1676,2.6309337758205156,2.4023538910868494,0.22857988316735084,resnet32,0.2107,0.2096,3.396412233737382,3.0907227620482445,0.30568947209129954,resnet32,0.3128,0.3062,2.770101946863261,2.545677099038254,0.22442484917965802,resnet32,0.2557,0.2476,3.247085818851536,3.023572490973906,0.2235133302694356,resnet32,0.224,0.2232,3.28831995786591,2.985192235220562,0.3031277230475098,4500000.0,0.0,18000000.0,72000000.0,576000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,4,0.1,1,141.54,0.2627125,0.04302413385240893,0.1928,0.3272,0.3184,0.0556875,0.256675,0.3092,0.592892857142857,0.4958342530192907,0.5976214285714285,0.4950731412569027,0.23445000000000002,0.290975,wrn28x10,0.3272,0.3186,2.4548826065253126,2.289358838376674,0.16552376738664779,wrn28x10,0.2922,0.2882,2.5383233580399645,2.3749475084583866,0.16337584897833454,wrn28x10,0.2338,0.2314,2.6226233017038214,2.319697643884204,0.302925658729774,wrn28x10,0.3107,0.304,2.5997867072847756,2.3081783550706776,0.29160835763270204,resnet32,0.1928,0.1924,2.973909547383135,2.6952602988616987,0.27864924708211963,resnet32,0.2725,0.266,2.6831380183046516,2.4299698367037554,0.25316818469119345,resnet32,0.2476,0.237,2.916507933966138,2.673384913666682,0.2431230176113207,resnet32,0.2249,0.2158,3.0004130957478825,2.7095516815104266,0.29086140877651895,4500000.0,0.0,18000000.0,90000000.0,720000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,5,0.1,1,138.55,0.3372625,0.032574182165481906,0.278,0.3814,0.4067,0.06943749999999999,0.3397,0.4074,0.5700357142857143,0.5242449510377274,0.5787285714285714,0.5286993865198267,0.353125,0.3214,wrn28x10,0.3048,0.3076,2.2941179644655096,2.1122706430879505,0.18184733054261992,wrn28x10,0.3619,0.3758,2.3305875291539864,2.1494675732471724,0.18111994843506676,wrn28x10,0.278,0.28,2.460948786952279,2.171119449152188,0.28982933739792893,wrn28x10,0.3409,0.3458,2.468958036296747,2.193285895850171,0.27567214194939216,resnet32,0.3157,0.3136,2.7452539771117945,2.479044417596676,0.2662095599596135,resnet32,0.3814,0.3822,2.589186820455573,2.329974702136083,0.2592121202033013,resnet32,0.3629,0.3664,2.725877883420749,2.4461587228896944,0.2797191590705717,resnet32,0.3525,0.3462,2.7696563601493835,2.5182149159637364,0.25144144435497845,4500000.0,0.0,18000000.0,108000000.0,864000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,6,0.1,1,135.32,0.36741250000000003,0.02091114759524211,0.3322,0.4033,0.4343,0.06688749999999999,0.36562500000000003,0.438,0.5453785714285714,0.5334850765923862,0.5469678571428571,0.5473441303020679,0.35455000000000003,0.38027500000000003,wrn28x10,0.3938,0.397,2.3529342712665144,2.0480905075303535,0.3048437663184648,wrn28x10,0.3657,0.3624,2.385419089855118,2.0731052930720826,0.31231379513205454,wrn28x10,0.4033,0.401,2.3181405155496164,2.0479203408414666,0.27022017242217605,wrn28x10,0.3583,0.3582,2.3714418837969955,2.089696992696686,0.28174489101564343,resnet32,0.367,0.366,2.63144129243764,2.339054288173264,0.292387002740394,resnet32,0.3651,0.366,2.4630655861375006,2.198080340739001,0.2649852458006618,resnet32,0.3322,0.329,2.558148459785364,2.2827492652630266,0.27539919486100023,resnet32,0.3539,0.3454,2.6636503518305044,2.3642530243166466,0.2993973330382935,4500000.0,0.0,18000000.0,126000000.0,1008000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,7,0.1,1,137.69,0.3624875,0.024358696470665252,0.325,0.3998,0.4264,0.06391249999999998,0.35812499999999997,0.4146,0.5371785714285713,0.549198406541131,0.5412535714285714,0.5529571115870454,0.35490000000000005,0.370075,wrn28x10,0.325,0.3288,2.171019661494277,1.9527842896905812,0.21823537220585754,wrn28x10,0.3998,0.3936,2.1762051062489096,1.958168619058349,0.21803648477758875,wrn28x10,0.376,0.3712,2.2215460779314693,1.9375472622500225,0.2839988152369518,wrn28x10,0.3795,0.3776,2.296124615621838,2.0013782490383494,0.2947463659061627,resnet32,0.3296,0.3208,2.5156420675868336,2.2298909446055237,0.2857511197005145,resnet32,0.3795,0.3734,2.3706348065964202,2.0927787949754433,0.2778560137587853,resnet32,0.3544,0.3474,2.462505652145906,2.198360513387756,0.2641451338052072,resnet32,0.3561,0.3522,2.5352331584488805,2.274598440324718,0.26063471558419143,4500000.0,0.0,18000000.0,144000000.0,1152000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,8,0.1,1,137.92,0.39756250000000004,0.017574124266944276,0.3667,0.4202,0.4603,0.06273749999999995,0.39785000000000004,0.4618,0.5110571428571428,0.5530993422027742,0.5114535714285714,0.5711291135359466,0.39005,0.405075,wrn28x10,0.4082,0.4086,2.2361555458469824,1.9042893956330689,0.3318661536640403,wrn28x10,0.4202,0.4316,2.1016761999238622,1.8692901879549026,0.23238601427609948,wrn28x10,0.3865,0.386,2.1990027395500378,1.8903499445454641,0.3086527945389124,wrn28x10,0.4054,0.4078,2.1253123549236492,1.8948289757086472,0.230483377056027,resnet32,0.3667,0.3632,2.426514995369044,2.152884105220437,0.2736308887304569,resnet32,0.4195,0.421,2.330340937626633,2.051567279310389,0.27877365554344247,resnet32,0.3855,0.382,2.423135282471776,2.1248839363794434,0.29825134486468,resnet32,0.3885,0.3826,2.5065814734182577,2.188116530464454,0.31846494547260756,4500000.0,0.0,18000000.0,162000000.0,1296000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,9,0.1,1,138.96,0.3848625,0.028542202853844338,0.3281,0.426,0.4503,0.06543749999999998,0.385275,0.4582,0.5232785714285716,0.5389480771939867,0.5268071428571429,0.5429288422042801,0.373825,0.3959,wrn28x10,0.37,0.365,2.173106684942137,1.858836624094031,0.31427006201225927,wrn28x10,0.4179,0.4204,2.039283659817143,1.79931316152215,0.23997049528936093,wrn28x10,0.3697,0.3884,2.0468885139985518,1.8078688530420715,0.23901966154914012,wrn28x10,0.426,0.4318,2.136629703539339,1.8316964044828306,0.3049332982733507,resnet32,0.3893,0.3882,2.396047480404377,2.1202912389893425,0.275756241732531,resnet32,0.3909,0.3886,2.290257800370455,1.993351568721912,0.2969062337016856,resnet32,0.3281,0.3218,2.3562641951509495,2.0501837489957158,0.30608044685372576,resnet32,0.387,0.378,2.419817128303376,2.1457441857253965,0.2740729451602833,4500000.0,0.0,18000000.0,180000000.0,1440000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,10,0.1,1,138.74,0.40976250000000003,0.03541048352889297,0.3655,0.4598,0.4757,0.06593749999999998,0.39497499999999997,0.4574,0.4990857142857142,0.5643075451091542,0.49805,0.5688907794272743,0.37949999999999995,0.440025,wrn28x10,0.4129,0.3912,2.108538148755377,1.8032394969327883,0.3052986554208804,wrn28x10,0.4598,0.449,2.130082809620283,1.7863935130563648,0.34368929730474274,wrn28x10,0.4456,0.4254,2.087419681081718,1.7646584869785742,0.32276119192300196,wrn28x10,0.4418,0.4314,2.128031235865571,1.804527409882708,0.3235038246917115,resnet32,0.3691,0.3594,2.369690643962134,2.058784494176507,0.3109061497009613,resnet32,0.4134,0.401,2.243739289824258,1.9447203461419453,0.29901894567195664,resnet32,0.3655,0.3544,2.2987718268890274,1.9876031489534811,0.3111686776603826,resnet32,0.37,0.348,2.4108281536874445,2.083010244267908,0.32781790916553954,4500000.0,0.0,18000000.0,198000000.0,1584000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,11,0.1,1,139.04,0.3845375,0.039123232787564986,0.329,0.4387,0.4541,0.06956250000000003,0.382625,0.4516,0.5118857142857144,0.559452716285878,0.517307142857143,0.5551763830383885,0.37755,0.391525,wrn28x10,0.4003,0.4044,2.096377535977147,1.7752693053334951,0.3211082291196693,wrn28x10,0.3313,0.3328,2.105078275230798,1.7754668227650903,0.329611449227245,wrn28x10,0.4272,0.4236,2.099794815209779,1.761676748706536,0.3381180665879087,wrn28x10,0.4073,0.4066,2.075258242135698,1.7657012902200222,0.3095569518098438,resnet32,0.3863,0.3846,2.3291131872683764,2.010179431601004,0.31893375333906576,resnet32,0.4387,0.423,2.219990861178799,1.9155079669911752,0.3044828941876238,resnet32,0.3562,0.3594,2.269423873925751,1.9567373225634748,0.3126865513622761,resnet32,0.329,0.3266,2.3611515039070086,2.0356975075873462,0.32545400089160964,4500000.0,0.0,18000000.0,216000000.0,1728000000.0
wrn28x10x4-resnet32x4_cifar100_K8_rand1_seed0002_d001,d001,"wrn28x10:4,resnet32:4",cifar100,8,matched,rand1,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,148027552,12,0.1,1,138.96,0.3975375,0.05080816709693432,0.323,0.4778,0.4749,0.0773625,0.3953,0.4642,0.5437857142857142,0.5142117106595622,0.54875,0.5178729771181094,0.353575,0.4415,wrn28x10,0.3995,0.3956,2.0778512187640774,1.7467124978588386,0.3311387209687382,wrn28x10,0.4778,0.468,2.0538554416800086,1.7338208772919395,0.3200345670127056,wrn28x10,0.4445,0.4452,2.0510628262365405,1.7285063734108752,0.32255645225417207,wrn28x10,0.4442,0.437,2.0912563624707134,1.7522361800074577,0.3390201848762279,resnet32,0.3442,0.3396,2.2935122585093435,1.9727527558464895,0.3207595039116727,resnet32,0.323,0.3296,2.205378416587006,1.8917400545694611,0.3136383606417274,resnet32,0.3852,0.385,2.2435604384676977,1.9300609283487906,0.31349951263771136,resnet32,0.3619,0.3624,2.3304199009117754,2.0042378702624277,0.3261820327024907,4500000.0,0.0,18000000.0,234000000.0,1872000000.0
