run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,1,0,2,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,1,1,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,1,4,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,1,5,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,2,0,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,2,1,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,2,2,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,0,2,4,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,0,0,7,resnet32,resnet32,0.836000,0.836000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,0,1,2,resnet32,resnet32,0.993200,0.993200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,0,3,4,resnet32,resnet32,0.746800,0.746800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,0,5,6,resnet32,resnet32,0.825600,0.825600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,1,0,3,resnet32,resnet32,0.756600,0.756600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,1,1,4,resnet32,resnet32,0.984600,0.984600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,1,2,6,resnet32,resnet32,0.689600,0.689600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,1,5,7,resnet32,resnet32,0.910200,0.910200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,2,0,1,resnet32,resnet32,0.989600,0.989600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,2,2,7,resnet32,resnet32,0.827800,0.827800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,2,3,6,resnet32,resnet32,0.713600,0.713600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,1,2,4,5,resnet32,resnet32,0.781000,0.781000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,0,0,4,resnet32,resnet32,0.680200,0.680200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,0,1,3,resnet32,resnet32,0.669200,0.669200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,0,2,5,resnet32,resnet32,0.695800,0.695800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,0,6,7,resnet32,resnet32,0.534000,0.534000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,1,0,6,resnet32,resnet32,0.653400,0.653400,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,1,1,5,resnet32,resnet32,0.665600,0.665600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,1,2,4,resnet32,resnet32,0.541800,0.541800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,1,3,7,resnet32,resnet32,0.570600,0.570600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,2,0,2,resnet32,resnet32,0.623600,0.623600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,2,1,6,resnet32,resnet32,0.606000,0.606000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,2,3,4,resnet32,resnet32,0.535200,0.535200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,2,2,5,7,resnet32,resnet32,0.601400,0.601400,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,0,0,4,resnet32,resnet32,0.667800,0.667800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,0,1,2,resnet32,resnet32,0.581800,0.581800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,0,3,5,resnet32,resnet32,0.566600,0.566600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,0,6,7,resnet32,resnet32,0.545800,0.545800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,1,0,7,resnet32,resnet32,0.528000,0.528000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,1,1,5,resnet32,resnet32,0.568800,0.568800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,1,2,4,resnet32,resnet32,0.675800,0.675800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,1,3,6,resnet32,resnet32,0.571000,0.571000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,2,0,1,resnet32,resnet32,0.571800,0.571800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,2,2,3,resnet32,resnet32,0.576000,0.576000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,2,4,6,resnet32,resnet32,0.652000,0.652000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,3,2,5,7,resnet32,resnet32,0.523200,0.523200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd1-anneal321_seed0001_d001,d001,4,0,0,2,resnet32,resnet32,0.596000,0.596000,disagreement,exact,3
