run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,2,127.97,0.0209125,0.010704606193130134,0.011,0.046,0.0328,0.011887500000000002,0.0214,0.0344,0.7831714285714286,0.2603695684607409,0.7806357142857142,0.2557161454192891,0.0209125,resnet32,0.0173,0.0188,4.6940459649671205,4.6030355583537705,0.09101040477054828,resnet32,0.046,0.0452,4.638301833786747,4.502067229287191,0.1362346029914492,resnet32,0.0173,0.017,4.733788013458252,4.6327750452540135,0.10101297080721204,resnet32,0.0168,0.0186,4.729779180477966,4.621868930757046,0.10791024652346758,resnet32,0.0141,0.0142,4.754063580523837,4.641469582915306,0.11259399677014285,resnet32,0.0293,0.0296,4.684269267049703,4.589725933291695,0.09454332929189233,resnet32,0.011,0.0132,4.726203268901869,4.631582315672528,0.09462094082366755,resnet32,0.0155,0.0146,4.738150635226206,4.62939250875603,0.10875812704762211,9000000.0,5000.0,36010000.0,36010000.0,288080000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,2,120.32,0.061275,0.016202912546823177,0.0352,0.089,0.0755,0.014224999999999995,0.057499999999999996,0.0722,0.6950500000000001,0.37624318631013004,0.6944392857142857,0.382148168286883,0.061275,resnet32,0.0589,0.056,4.39274285767566,4.327940799634565,0.06480206340149214,resnet32,0.089,0.0808,4.159525249830701,4.056228384714235,0.10329686315857213,resnet32,0.0517,0.0448,4.466462218287316,4.392900840802626,0.07356137027752331,resnet32,0.0652,0.062,4.374330964278091,4.305780108002099,0.06855085571508178,resnet32,0.0352,0.0352,4.3661332343789665,4.280065414580432,0.08606782351324166,resnet32,0.0799,0.0762,4.249900318682194,4.1708468987860465,0.07905342013956132,resnet32,0.0475,0.045,4.402305846525864,4.325769571756775,0.07653627665819261,resnet32,0.0628,0.06,4.365503659302538,4.2746304852718655,0.09087317814754153,9000000.0,5000.0,36010000.0,72020000.0,576160000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,2,120.36,0.12,0.020788217816830764,0.075,0.1371,0.1446,0.02460000000000001,0.12057499999999999,0.1404,0.6669857142857143,0.4813330551229867,0.6709857142857144,0.4724016251497046,0.12,resnet32,0.1363,0.1326,3.796864665028724,3.713326731188731,0.08353793850718913,resnet32,0.1371,0.1352,3.7220839841121975,3.6152197271585464,0.10686425607524473,resnet32,0.1225,0.1226,3.92113536325368,3.8178005018694834,0.10333485768007283,resnet32,0.0979,0.0946,3.8970286090942947,3.8145522197539155,0.08247638816035098,resnet32,0.075,0.0796,3.9998604015193204,3.8989501107822764,0.1009102861227637,resnet32,0.1362,0.1386,3.819546442817558,3.720465429465879,0.09908101434650068,resnet32,0.126,0.1308,3.893794332715598,3.8154515708712013,0.07834275914567777,resnet32,0.129,0.1306,3.849776657128876,3.767763288183646,0.082013370918999,9000000.0,5000.0,36010000.0,108030000.0,864240000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,2,120.18,0.18617499999999998,0.012876019377121175,0.1681,0.208,0.2165,0.03032500000000002,0.180525,0.2108,0.5943642857142858,0.5720337499739123,0.5972357142857143,0.5722247028205623,0.18617499999999998,resnet32,0.1834,0.1776,3.4408621947196396,3.3192214407026768,0.12164075672626495,resnet32,0.1916,0.1912,3.3968422802334484,3.2587225660681725,0.13811971457802097,resnet32,0.1681,0.1572,3.5315866988490927,3.408395825461908,0.12319087315435437,resnet32,0.19,0.1894,3.5393799279223788,3.4085848798806015,0.13079504716337065,resnet32,0.1701,0.1622,3.648214180361141,3.509469546377659,0.13874463357073677,resnet32,0.208,0.2016,3.495115225288001,3.354344153946096,0.14077107051641427,resnet32,0.199,0.1924,3.509664358740503,3.3940811807459053,0.11558317850259217,resnet32,0.1792,0.1726,3.489729702134024,3.37036995454268,0.11935975187754427,9000000.0,5000.0,36010000.0,144040000.0,1152320000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,2,120.64,0.2109,0.026011728124059733,0.1677,0.248,0.2437,0.032799999999999996,0.210925,0.243,0.5741285714285714,0.5461027301009674,0.5754857142857143,0.5435299096948968,0.2109,resnet32,0.1677,0.1652,3.1523482884195717,2.9909744821488857,0.1613738099324771,resnet32,0.2307,0.2298,3.121787514537573,2.961612789129669,0.16017472655089063,resnet32,0.1836,0.1904,3.223393564535813,3.06544179469347,0.15795177229764787,resnet32,0.2249,0.2252,3.2430676784027708,3.078101398931308,0.1649662800323726,resnet32,0.1936,0.191,3.276365051892671,3.105699663812464,0.1706653865562244,resnet32,0.2334,0.2336,3.191475612873381,3.0349036831070078,0.15657193236984313,resnet32,0.2053,0.2066,3.188040322878144,3.029370192438364,0.15867013165684926,resnet32,0.248,0.2456,3.1573762883516876,3.000401009212841,0.15697528056758034,9000000.0,5000.0,36010000.0,180050000.0,1440400000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,2,120.93,0.244125,0.014742858440614562,0.2187,0.2636,0.2704,0.026274999999999965,0.23485,0.2622,0.5325642857142857,0.5910690486240885,0.5311107142857143,0.5871244544649876,0.244125,resnet32,0.2187,0.2152,2.924611892212521,2.74907219206745,0.17553969781676476,resnet32,0.2636,0.2458,2.9344288700006227,2.7497233734889464,0.18470549572851847,resnet32,0.2257,0.209,3.0197416181591423,2.8347866027192636,0.18495501192625274,resnet32,0.2408,0.2276,3.0110431127250195,2.8330572592941197,0.17798585434105585,resnet32,0.2482,0.2382,3.031224777752703,2.8408669104630295,0.19035786657001486,resnet32,0.253,0.2444,2.965161281553182,2.785385922274806,0.17977536023086446,resnet32,0.2604,0.2586,2.9507161226462233,2.773732623254711,0.1769834954333915,resnet32,0.2426,0.24,2.927164579656991,2.756106424060735,0.17105815551159056,9000000.0,5000.0,36010000.0,216060000.0,1728480000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,2,120.68,0.3121,0.015444902071557456,0.2821,0.3354,0.3574,0.04530000000000001,0.3069,0.3532,0.5138999999999999,0.6002769868729423,0.513792857142857,0.6013565265679552,0.3121,resnet32,0.3181,0.3182,2.7895555834878576,2.5885238996283575,0.20103168316100808,resnet32,0.3354,0.331,2.801031776449897,2.5921401141042058,0.2088916584510695,resnet32,0.2821,0.271,2.8653863590549338,2.6608574586835774,0.20452889783138578,resnet32,0.309,0.302,2.855086460370909,2.655497409403324,0.19958904453299262,resnet32,0.297,0.294,2.8543003892356698,2.6477732566947285,0.20652713383209298,resnet32,0.3117,0.31,2.821709598668597,2.6187352920797737,0.2029743012972176,resnet32,0.3234,0.3172,2.7798356776210396,2.5844650874761017,0.19537059185941788,resnet32,0.3201,0.3118,2.764760398729281,2.571631668304855,0.19312873266806657,9000000.0,5000.0,36010000.0,252070000.0,2016560000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,2,120.51,0.2718875,0.026767538059186552,0.2158,0.3057,0.3027,0.03081250000000002,0.2658,0.2954,0.5217142857142857,0.5890420695709964,0.5146071428571429,0.5966200096550788,0.2718875,resnet32,0.2902,0.2838,2.663296214897524,2.4549907749010758,0.20830544173209506,resnet32,0.2519,0.2506,2.6738327067684042,2.461163968186487,0.21266873568211767,resnet32,0.2708,0.2552,2.73685464838689,2.5159609444778073,0.220893702914261,resnet32,0.266,0.2556,2.7526370114223524,2.523253295570612,0.22938371989452702,resnet32,0.2775,0.2768,2.7371983589096502,2.5044287917288868,0.23276956597427753,resnet32,0.2972,0.2902,2.695939699695869,2.4837723570791157,0.21216734756969594,resnet32,0.2158,0.21,2.6492313122884794,2.438031831078909,0.21119947858493437,resnet32,0.3057,0.3042,2.654214756224643,2.435740978880362,0.21847377476197752,9000000.0,5000.0,36010000.0,288080000.0,2304640000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,2,120.42,0.3204125,0.02500867037149316,0.2786,0.3585,0.3689,0.04848750000000002,0.310725,0.3546,0.5230928571428571,0.5883441651946191,0.5284500000000001,0.5801182141578414,0.3204125,resnet32,0.3394,0.323,2.5879849276759406,2.3659931707449933,0.2219917580739341,resnet32,0.327,0.3146,2.597919902679595,2.368737902661616,0.22918199944648554,resnet32,0.3131,0.3058,2.6519519977948884,2.4216034812006084,0.2303485131653195,resnet32,0.339,0.3238,2.667866036973216,2.431696279482408,0.2361697552048347,resnet32,0.2786,0.2754,2.626411367885091,2.391748074272817,0.23466330055486073,resnet32,0.3585,0.3458,2.631706227971749,2.400608829137954,0.23109740232625467,resnet32,0.2888,0.2874,2.56205413388935,2.3456188660453665,0.21643526864830742,resnet32,0.3189,0.31,2.5787231593646784,2.3516808529807762,0.22704230943186718,9000000.0,5000.0,36010000.0,324090000.0,2592720000.0
resnet32x8_cifar100_K8_mwmd2-unif_seed0005_d001,d001,resnet32:8,cifar100,8,matched,mwmd2-unif,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,uniform,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,2,120.38,0.3339875,0.017984468125301897,0.2994,0.362,0.3761,0.0421125,0.32805,0.3664,0.5034642857142857,0.5902258640811954,0.49860357142857153,0.5989270454306876,0.3339875,resnet32,0.3288,0.3224,2.5221514361487194,2.2881703209131956,0.23398111267438668,resnet32,0.3523,0.3482,2.512697505002672,2.27428310144354,0.2384144025643102,resnet32,0.2994,0.295,2.580343363637274,2.338480353863402,0.24186300981620495,resnet32,0.3399,0.3442,2.613388913429596,2.354897167872299,0.2584917474411089,resnet32,0.3273,0.315,2.5535526621070774,2.2985341777517037,0.2550184823233973,resnet32,0.362,0.352,2.5516038218682464,2.3140947815369475,0.23750904062762856,resnet32,0.3397,0.337,2.485118777237155,2.257140810686079,0.227977966487577,resnet32,0.3225,0.3106,2.490648914128542,2.2574836879291316,0.2331652267074043,9000000.0,5000.0,36010000.0,360100000.0,2880800000.0
