run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,0,0.1,2,134.89,0.0368625,0.012558158453770202,0.01,0.0491,0.0588,0.0219375,0.0371,0.0572,0.8341714285714287,0.22217955670541345,0.8342,0.22339631468386809,0.0368625,resnet32,0.042,0.0442,4.574238676239144,4.495062679052353,0.07917599786147052,resnet32,0.0435,0.0446,4.591629780151627,4.484463888135823,0.10716588185459841,resnet32,0.027,0.0264,4.672101074321703,4.554005181247538,0.11809589723204474,resnet32,0.01,0.0088,4.781482920050621,4.645571727644313,0.13591118998473659,resnet32,0.0491,0.0486,4.676938241855665,4.5610379698601635,0.1159002715258711,resnet32,0.0467,0.0468,4.6144485527818855,4.5021153444593605,0.11233320970363407,resnet32,0.0305,0.0302,4.64427755095742,4.540769411081618,0.10350814521503211,resnet32,0.0461,0.0472,4.569743908941746,4.473039950836789,0.09670395356475968,9000000.0,5000.0,36010000.0,36010000.0,288080000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,1,0.1,2,121.91,0.08045,0.025140853207478855,0.0235,0.105,0.1025,0.02205,0.07847499999999999,0.0996,0.70575,0.4087006457178778,0.7097392857142858,0.38902200997529063,0.08045,resnet32,0.1026,0.1004,4.057428849353031,3.979939552870664,0.07748929840851236,resnet32,0.0987,0.0978,4.043185002763163,3.9511838372458112,0.09200117335421965,resnet32,0.0754,0.0744,4.1527366882020775,4.060552204874429,0.09218448701060632,resnet32,0.0235,0.0202,4.878317726606673,4.597727473486554,0.2805902599780397,resnet32,0.0857,0.082,4.248683610761708,4.0640585063533345,0.18462509566664018,resnet32,0.105,0.1046,4.036188111047853,3.962589107792486,0.07359900166788562,resnet32,0.0641,0.0624,4.142798390239477,4.053389468314973,0.08940892408877103,resnet32,0.0886,0.086,4.2252966189249,4.035452143712477,0.18984446600502866,9000000.0,5000.0,36010000.0,72020000.0,576160000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,2,0.1,2,121.84,0.16847499999999999,0.028422515282782418,0.0977,0.1999,0.1943,0.025825000000000015,0.164925,0.1874,0.5614142857142856,0.5643409985169369,0.5711499999999999,0.5550573014279375,0.16847499999999999,resnet32,0.1999,0.1898,3.617473578588529,3.518187690187584,0.09928588789295066,resnet32,0.1714,0.1662,3.768664191730998,3.5949203788556834,0.1737438119228252,resnet32,0.1727,0.1748,3.720936844972047,3.6215833354402673,0.09935350640973245,resnet32,0.0977,0.0972,4.243041494691914,4.026488936082884,0.21655255877836185,resnet32,0.1791,0.1762,3.6692336059429427,3.568232613192363,0.10100099706852977,resnet32,0.1834,0.1754,3.777181002904068,3.6044761565598575,0.17270485088440843,resnet32,0.1654,0.1612,3.6872819208286027,3.5902818603949114,0.09700006715403023,resnet32,0.1782,0.1786,3.651387749070471,3.5498109883205458,0.10157676118383692,9000000.0,5000.0,36010000.0,108030000.0,864240000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,3,0.1,2,123.21,0.20890000000000003,0.01071669258680121,0.192,0.2232,0.2438,0.03489999999999996,0.204075,0.2364,0.5961857142857143,0.5523192552970866,0.59465,0.5623289113389712,0.20890000000000003,resnet32,0.2232,0.223,3.2518565536222677,3.1193262626501648,0.1325302927183326,resnet32,0.2161,0.2118,3.2697365253486415,3.1381555785509674,0.13158094265963882,resnet32,0.192,0.1868,3.4119067581539806,3.267982581461018,0.14392417791003193,resnet32,0.2019,0.1924,3.543070026080717,3.3915968611836433,0.1514731643996625,resnet32,0.2023,0.2006,3.3355432708155024,3.1984350444241003,0.13710822511083362,resnet32,0.2207,0.2134,3.327054277401079,3.191042933613062,0.13601134612690657,resnet32,0.1991,0.1936,3.4035620997575196,3.2705702388828453,0.13299186096992344,resnet32,0.2159,0.211,3.3783251243558796,3.2322604778138073,0.14606464870104735,9000000.0,5000.0,36010000.0,144040000.0,1152320000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,4,0.1,2,122.03,0.25163749999999996,0.030128762731814928,0.2034,0.2932,0.2873,0.03566250000000004,0.24459999999999998,0.2796,0.5571571428571429,0.56385713341008,0.5554142857142856,0.5761594985779392,0.25163749999999996,resnet32,0.2598,0.262,3.008505988527428,2.826121967963197,0.18238402075472882,resnet32,0.2734,0.2672,3.01767592064359,2.8297376825728198,0.1879382361022925,resnet32,0.2535,0.2492,3.0950781509957532,2.933656707744707,0.16142144282771784,resnet32,0.2034,0.1982,3.1528103090822697,2.971451360732317,0.18135894760912794,resnet32,0.2932,0.2818,3.0704815976999025,2.909395895898342,0.16108570140998132,resnet32,0.2837,0.273,3.049442398277196,2.8844097886573183,0.16503261093219573,resnet32,0.2222,0.2074,3.16270166601647,2.984782598574053,0.1779190678657456,resnet32,0.2239,0.218,3.0899531360376966,2.922980981116945,0.16697215369309892,9000000.0,5000.0,36010000.0,180050000.0,1440400000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,5,0.1,2,121.88,0.2920625,0.025546914564189543,0.2348,0.3233,0.3292,0.03713749999999999,0.284075,0.3206,0.5143928571428573,0.5911179304660633,0.5187,0.5902748720433343,0.2920625,resnet32,0.3233,0.3074,2.8188870572908358,2.625686989589171,0.19320006831549108,resnet32,0.3016,0.296,2.8254002007571133,2.6252826364202932,0.20011756251650778,resnet32,0.3123,0.3062,2.8950215730477464,2.70211414958943,0.19290742347948253,resnet32,0.2739,0.271,2.9022913297468964,2.716063193299554,0.18622813890264792,resnet32,0.2902,0.2838,2.881116961552338,2.6985442032190887,0.1825727567881007,resnet32,0.3,0.2866,2.879968586631797,2.690365578640591,0.18960300807587124,resnet32,0.2348,0.2304,2.9658260453831065,2.7652397619729694,0.200586280785501,resnet32,0.3004,0.2912,2.8930001634765756,2.712154946543954,0.18084521932442757,9000000.0,5000.0,36010000.0,216060000.0,1728480000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,6,0.1,2,121.82,0.2845,0.020777692364649162,0.2537,0.3243,0.3205,0.03600000000000003,0.2824,0.3146,0.5175428571428571,0.6083217508369839,0.5207142857142857,0.6132564180065474,0.2845,resnet32,0.3243,0.3142,2.677487896924669,2.468692142685706,0.20879575504328718,resnet32,0.2808,0.2774,2.681736987422813,2.46970950033177,0.21202748522839762,resnet32,0.2537,0.2454,2.7607669701630417,2.5573803950101137,0.2033865796613761,resnet32,0.2613,0.262,2.7683449143713172,2.55416264876046,0.21418226457370276,resnet32,0.2905,0.296,2.7559369680556385,2.5465759836475956,0.20936097915876994,resnet32,0.2757,0.2748,2.746481928635727,2.542788065123287,0.20369386577724732,resnet32,0.2994,0.296,2.836772978983142,2.6194203695790335,0.21735260788012634,resnet32,0.2903,0.2934,2.7773141075264323,2.5635733389380304,0.21374076877889986,9000000.0,5000.0,36010000.0,252070000.0,2016560000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,7,0.1,2,125.93,0.3369125,0.022091256047359547,0.2943,0.3635,0.3856,0.048687499999999995,0.319525,0.3612,0.5167499999999999,0.5950048774469974,0.5110357142857144,0.6046538790080557,0.3369125,resnet32,0.329,0.3176,2.5796664888885887,2.352944515984167,0.22672197601588612,resnet32,0.3635,0.3464,2.5890200192278083,2.358018308877945,0.23100171341899445,resnet32,0.3133,0.2924,2.670315357094461,2.444364868273789,0.2259504885031757,resnet32,0.3555,0.3384,2.6505582647567447,2.43089968982068,0.21965857840735803,resnet32,0.2943,0.2732,2.647263118827885,2.4290277918970045,0.21823532445440916,resnet32,0.3547,0.339,2.6498051688752393,2.4261021204292774,0.2237030481707982,resnet32,0.3382,0.3168,2.7266626327552577,2.4952071370048956,0.23145549310455946,resnet32,0.3468,0.3324,2.6578047299249605,2.440421113744378,0.21738362136635592,9000000.0,5000.0,36010000.0,288080000.0,2304640000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,8,0.1,2,122.25,0.34130000000000005,0.020895394229351123,0.2976,0.3681,0.3778,0.03649999999999998,0.33662499999999995,0.3716,0.4877857142857144,0.6136626546921838,0.48726071428571416,0.6088714622550054,0.34130000000000005,resnet32,0.3681,0.3654,2.4854419725862416,2.2520726568658245,0.23336931720206683,resnet32,0.3633,0.3552,2.5056543231687765,2.2714271719821473,0.23422715067863464,resnet32,0.3427,0.3378,2.5799315976486965,2.3455934597348627,0.23433814108879727,resnet32,0.2976,0.29,2.5566267990930513,2.321150681342591,0.2354761178986254,resnet32,0.3231,0.3272,2.566305948252028,2.3274087880484085,0.23889716303992,resnet32,0.3445,0.337,2.5587229838764127,2.321974619207057,0.23674836166372354,resnet32,0.3464,0.3392,2.6272208338434044,2.385641586882147,0.24157924351113086,resnet32,0.3447,0.3412,2.5804300369186834,2.3422859834337775,0.23814405494538898,9000000.0,5000.0,36010000.0,324090000.0,2592720000.0
resnet32x8_cifar100_K8_mwmd2_seed0001_d001,d001,resnet32:8,cifar100,8,matched,mwmd2,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,2,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3760032,9,0.1,2,122.55,0.32958750000000003,0.024566768077018193,0.2919,0.3606,0.373,0.043412499999999965,0.3244,0.3666,0.5153142857142856,0.5858117979341603,0.5128964285714284,0.5874473169510308,0.32958750000000003,resnet32,0.3327,0.3266,2.4357951266521756,2.188597993078557,0.24719713039865548,resnet32,0.3582,0.3628,2.440119856799191,2.1996663625944746,0.24045349390838633,resnet32,0.3606,0.3502,2.5136951228434388,2.2727979479188267,0.24089717659675938,resnet32,0.3409,0.3394,2.4974493245509537,2.248200838708065,0.24924848518672993,resnet32,0.2925,0.2836,2.499307047575712,2.2538858638568358,0.24542118342254648,resnet32,0.3224,0.3068,2.502899714491584,2.259330903941935,0.24356880599886857,resnet32,0.3375,0.3358,2.5675773559646173,2.3168024596842853,0.25077489551834087,resnet32,0.2919,0.29,2.510088837282224,2.268258911134167,0.24182992667721753,9000000.0,5000.0,36010000.0,360100000.0,2880800000.0
