run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,1,0,2,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,1,1,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,1,4,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,1,5,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,2,0,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,2,1,2,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,2,3,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,0,2,4,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,0,0,3,resnet32,resnet32,0.554800,0.554800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,0,1,7,resnet32,resnet32,0.555400,0.555400,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,0,2,6,resnet32,resnet32,0.710000,0.710000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,0,4,5,resnet32,resnet32,0.613600,0.613600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,1,0,7,resnet32,resnet32,0.563800,0.563800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,1,1,5,resnet32,resnet32,0.585600,0.585600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,1,2,4,resnet32,resnet32,0.637200,0.637200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,1,3,6,resnet32,resnet32,0.634200,0.634200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,2,0,4,resnet32,resnet32,0.574600,0.574600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,2,1,6,resnet32,resnet32,0.655000,0.655000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,2,2,7,resnet32,resnet32,0.606600,0.606600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,1,2,3,5,resnet32,resnet32,0.555200,0.555200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,0,0,1,resnet32,resnet32,0.514200,0.514200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,0,2,5,resnet32,resnet32,0.692600,0.692600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,0,3,7,resnet32,resnet32,0.610800,0.610800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,0,4,6,resnet32,resnet32,0.503200,0.503200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,1,0,2,resnet32,resnet32,0.547200,0.547200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,1,1,5,resnet32,resnet32,0.633400,0.633400,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,1,3,4,resnet32,resnet32,0.540800,0.540800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,1,6,7,resnet32,resnet32,0.552200,0.552200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,2,0,3,resnet32,resnet32,0.530200,0.530200,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,2,1,4,resnet32,resnet32,0.524400,0.524400,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,2,2,6,resnet32,resnet32,0.547000,0.547000,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,2,2,5,7,resnet32,resnet32,0.623800,0.623800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,3,0,0,5,resnet32,resnet32,0.570800,0.570800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,3,0,1,2,resnet32,resnet32,0.500800,0.500800,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,3,0,3,7,resnet32,resnet32,0.508600,0.508600,disagreement,exact,3
resnet32x8_cifar100_K8_mwmd3_seed0004_d001,d001,3,0,4,6,resnet32,resnet32,0.566000,0.566000,disagreement,exact,3
