run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,0,0.1,1,34.15,0.020399999999999998,0.0068,0.0136,0.0272,0.0289,0.0085,0.0186,0.0262,0.4792,0.365635010548617,0.4919,0.4315216603323044,0.020399999999999998,resnet32,0.0272,0.0248,4.70803534781391,4.603722635317933,0.10431271386799133,resnet32,0.0136,0.0124,4.760914551940831,4.639030300080776,0.12188424952331513,4500000.0,5000.0,18010000.0,18010000.0,36020000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,1,0.1,1,30.86,0.0381,0.009000000000000001,0.0291,0.0471,0.039,0.000899999999999998,0.0393,0.04,0.6046,0.5649205912378946,0.6099,0.5231554723669043,0.0381,resnet32,0.0471,0.047,4.426119006492875,4.365514984862371,0.060604017296678976,resnet32,0.0291,0.0316,4.566211475567385,4.502840566364202,0.06337091117959724,4500000.0,5000.0,18010000.0,36020000.0,72040000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,2,0.1,1,30.8,0.09734999999999999,0.00775,0.0896,0.1051,0.1054,0.008050000000000002,0.1004,0.1064,0.6292,0.49235539571534537,0.6353,0.45533340466756606,0.09734999999999999,resnet32,0.1051,0.1072,3.978130013427951,3.915237635374069,0.0628923738338265,resnet32,0.0896,0.0936,4.0494425798004325,3.9870648265562276,0.062377758194501934,4500000.0,5000.0,18010000.0,54030000.0,108060000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,3,0.1,1,30.61,0.12775,0.025750000000000002,0.102,0.1535,0.1332,0.00545000000000001,0.1287,0.1306,0.693,0.48354597075401573,0.6994,0.4587091590037476,0.12775,resnet32,0.1535,0.1572,3.621145559644157,3.5373011590404944,0.08384440001629462,resnet32,0.102,0.1002,3.674962301484563,3.5916498347439547,0.08331246904774824,4500000.0,5000.0,18010000.0,72040000.0,144080000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,4,0.1,1,31.01,0.20065,0.016350000000000003,0.1843,0.217,0.2165,0.015850000000000003,0.1946,0.2072,0.55,0.5882234860380896,0.5497,0.5806863530169094,0.20065,resnet32,0.1843,0.1776,3.331969300792976,3.221721935678612,0.11024736470161853,resnet32,0.217,0.2116,3.372444289651784,3.262551473961635,0.10989281899211081,4500000.0,5000.0,18010000.0,90050000.0,180100000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,5,0.1,1,30.78,0.23795,0.030649999999999997,0.2073,0.2686,0.2557,0.017749999999999988,0.2271,0.2472,0.5894,0.5405148442876775,0.5953,0.53886132818435,0.23795,resnet32,0.2686,0.254,3.089515649120916,2.95184436338869,0.13767128601797263,resnet32,0.2073,0.2002,3.1155207959765736,2.9781244227832016,0.13739637430460955,4500000.0,5000.0,18010000.0,108060000.0,216120000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,6,0.1,1,30.67,0.26980000000000004,0.00470000000000001,0.2651,0.2745,0.2834,0.013599999999999945,0.27759999999999996,0.2862,0.4444,0.6751669978797805,0.4613,0.6459231165401512,0.26980000000000004,resnet32,0.2745,0.2722,2.8973594842986627,2.7401289106769995,0.15723057444715363,resnet32,0.2651,0.283,2.9314655620943415,2.775132775984027,0.15633278617381371,4500000.0,5000.0,18010000.0,126070000.0,252140000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,7,0.1,1,30.7,0.31325000000000003,0.0002500000000000002,0.313,0.3135,0.3284,0.015149999999999997,0.3002,0.3138,0.4406,0.6553783828492002,0.4322,0.6757696039526639,0.31325000000000003,resnet32,0.3135,0.2992,2.7704778195104818,2.5980207679623906,0.17245705660686575,resnet32,0.313,0.3012,2.807917884466323,2.6362852830101144,0.17163260219703344,4500000.0,5000.0,18010000.0,144080000.0,288160000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,8,0.1,1,30.7,0.32420000000000004,0.004200000000000009,0.32,0.3284,0.3487,0.024499999999999966,0.3163,0.3392,0.5012,0.608341567037842,0.5016,0.6167477293142457,0.32420000000000004,resnet32,0.3284,0.3174,2.6688847880471838,2.4795044171200558,0.18938037164678628,resnet32,0.32,0.3152,2.707990762184967,2.519932971589945,0.18805779252116653,4500000.0,5000.0,18010000.0,162090000.0,324180000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,9,0.1,1,30.69,0.29485,0.005749999999999977,0.2891,0.3006,0.313,0.01815,0.2899,0.3138,0.5252,0.5927088864360516,0.5255,0.5902645631263045,0.29485,resnet32,0.2891,0.2844,2.6000932224772195,2.3999381195753813,0.2001551010391929,resnet32,0.3006,0.2954,2.627819988876581,2.428357425399802,0.19946257054636424,4500000.0,5000.0,18010000.0,180100000.0,360200000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,10,0.1,1,30.76,0.27415,0.004850000000000021,0.2693,0.279,0.3007,0.026550000000000018,0.2781,0.3042,0.619,0.4839207684592606,0.6215,0.5150143754557153,0.27415,resnet32,0.279,0.2854,2.5337126759642903,2.3225811313499105,0.2111315460960296,resnet32,0.2693,0.2708,2.564080807126381,2.354047716510567,0.2100330849008804,4500000.0,5000.0,18010000.0,198110000.0,396220000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,11,0.1,1,30.81,0.36155000000000004,0.004650000000000015,0.3569,0.3662,0.3889,0.027349999999999985,0.3558,0.379,0.4916,0.5969888664504784,0.4999,0.5966179006228641,0.36155000000000004,resnet32,0.3662,0.3598,2.4934179051355883,2.2691753225570377,0.22424258014441215,resnet32,0.3569,0.3518,2.5228274327448825,2.300346115096049,0.22248131563802334,4500000.0,5000.0,18010000.0,216120000.0,432240000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,12,0.1,1,30.73,0.36905,0.00714999999999999,0.3619,0.3762,0.3976,0.02855000000000002,0.3527,0.3722,0.4832,0.6013911086785156,0.4871,0.6115001255807206,0.36905,resnet32,0.3762,0.3602,2.4433969010344962,2.2118076629598034,0.23158924362029543,resnet32,0.3619,0.3452,2.478066826069897,2.248499709943479,0.2295671212910251,4500000.0,5000.0,18010000.0,234130000.0,468260000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,13,0.1,1,30.76,0.3257,0.03489999999999999,0.2908,0.3606,0.3499,0.0242,0.3151,0.3368,0.5996,0.5313874398262465,0.6,0.5380915389569912,0.3257,resnet32,0.2908,0.2794,2.411273520439863,2.171034284613349,0.24023923474702646,resnet32,0.3606,0.3508,2.441577811132778,2.2026605286042797,0.23891728403131393,4500000.0,5000.0,18010000.0,252140000.0,504280000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,14,0.1,1,30.84,0.3236,0.020100000000000007,0.3035,0.3437,0.3407,0.017100000000000004,0.3166,0.338,0.4846,0.6128704931247357,0.4805,0.6241280693292112,0.3236,resnet32,0.3437,0.3322,2.3759020197797907,2.1294052114879545,0.24649680947715585,resnet32,0.3035,0.301,2.405155958607793,2.160196938128634,0.2449590198864991,4500000.0,5000.0,18010000.0,270150000.0,540300000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,15,0.1,1,30.54,0.36455,0.022749999999999992,0.3418,0.3873,0.389,0.024450000000000027,0.353,0.3752,0.5244,0.5615147296959095,0.5212,0.5640288003560221,0.36455,resnet32,0.3873,0.3728,2.351933606815609,2.100527573207563,0.2514060302002525,resnet32,0.3418,0.3332,2.385115060955286,2.1351989558474584,0.2499161045151678,4500000.0,5000.0,18010000.0,288160000.0,576320000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,16,0.1,1,30.65,0.37665,0.010649999999999993,0.366,0.3873,0.4122,0.035550000000000026,0.3719,0.407,0.5464,0.5561295901120088,0.5353,0.5669909710361256,0.37665,resnet32,0.3873,0.3834,2.3278676588088274,2.0737555299631576,0.2541121312374757,resnet32,0.366,0.3604,2.3541943256489257,2.1015759237449276,0.2526183976283805,4500000.0,5000.0,18010000.0,306170000.0,612340000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,17,0.1,1,30.95,0.38275000000000003,0.02485000000000001,0.3579,0.4076,0.4077,0.024949999999999972,0.3767,0.3992,0.5046,0.580102625438968,0.5016,0.6054433502225675,0.38275000000000003,resnet32,0.3579,0.356,2.3085742189802905,2.0519698731262577,0.2566043433563953,resnet32,0.4076,0.3974,2.341664080592719,2.0862597184763714,0.25540435722690413,4500000.0,5000.0,18010000.0,324180000.0,648360000.0
resnet32x2_cifar100_K2_mwmd1_seed0001_d001,d001,resnet32:2,cifar100,2,matched,mwmd1,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,18,0.1,1,30.72,0.34850000000000003,0.018700000000000022,0.3298,0.3672,0.3684,0.019899999999999973,0.3499,0.373,0.4706,0.6271017683465124,0.4772,0.6159782039449518,0.34850000000000003,resnet32,0.3672,0.3664,2.2994651056148787,2.039337804202329,0.260127299211242,resnet32,0.3298,0.3334,2.3262202577157454,2.0677822289819066,0.2584380316124721,4500000.0,5000.0,18010000.0,342190000.0,684380000.0
