run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,0,0,0,1,wrn28x10,wrn28x10,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,0,0,2,3,wrn28x10,wrn28x10,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,1,0,0,4,wrn28x10,resnet32,0.997400,0.997400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,1,0,1,5,wrn28x10,resnet32,0.987800,0.987800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,1,0,2,6,wrn28x10,resnet32,0.949800,0.949800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,1,0,3,7,wrn28x10,resnet32,0.927800,0.927800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,2,0,0,6,wrn28x10,resnet32,0.770800,0.770800,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,2,0,1,7,wrn28x10,resnet32,0.700200,0.700200,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,2,0,2,5,wrn28x10,resnet32,0.780400,0.780400,disagreement,exact,1
wrn28x10x4-resnet32x4_cifar100_K8_mwmd1-rec1_seed0003_d001,d001,2,0,3,4,wrn28x10,resnet32,0.808000,0.808000,disagreement,exact,1
