run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,0,0.1,0,112.38,0.0488,0.012659976303295357,0.0268,0.0693,0.0637,0.014900000000000004,0.049216666666666666,0.0652,0.754042424242424,0.39617495999885616,0.7576454545454547,0.37722934708071365,0.0488,resnet32,0.0512,0.0522,4.581268659369512,4.581268659369512,0.0,resnet32,0.0399,0.0404,4.578692119229924,4.578692119229924,0.0,resnet32,0.0693,0.0734,4.534184239127419,4.534184239127419,0.0,resnet32,0.0336,0.0382,4.61986378851262,4.61986378851262,0.0,resnet32,0.045,0.0438,4.598075323484161,4.598075323484161,0.0,resnet32,0.06,0.057,4.584591417827389,4.584591417827389,0.0,resnet32,0.0689,0.0692,4.522087148644707,4.522087148644707,0.0,resnet32,0.0561,0.0554,4.54740248485045,4.54740248485045,0.0,resnet32,0.04,0.0404,4.593005107207731,4.593005107207731,0.0,resnet32,0.0509,0.0516,4.588428780436516,4.588428780436516,0.0,resnet32,0.0439,0.044,4.615363394672221,4.615363394672221,0.0,resnet32,0.0268,0.025,4.602435099807653,4.602435099807653,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,1,0.1,0,110.88,0.08660833333333334,0.013141819910330366,0.0668,0.1116,0.1088,0.02219166666666665,0.08539999999999999,0.1002,0.6531242424242424,0.4522852218964956,0.6528621212121214,0.45864681862674356,0.08660833333333334,resnet32,0.0925,0.0932,4.400236753577536,4.400236753577536,0.0,resnet32,0.0915,0.091,4.412338489835912,4.412338489835912,0.0,resnet32,0.1043,0.102,4.358408835123885,4.358408835123885,0.0,resnet32,0.0879,0.0872,4.453867077827454,4.453867077827454,0.0,resnet32,0.0686,0.0698,4.438678832216696,4.438678832216696,0.0,resnet32,0.0903,0.092,4.394486076452515,4.394486076452515,0.0,resnet32,0.1116,0.1068,4.369747638702393,4.369747638702393,0.0,resnet32,0.0933,0.0944,4.393412508747795,4.393412508747795,0.0,resnet32,0.0807,0.0748,4.438794696872884,4.438794696872884,0.0,resnet32,0.0801,0.0816,4.41785429418087,4.41785429418087,0.0,resnet32,0.0717,0.0744,4.449052705006166,4.449052705006166,0.0,resnet32,0.0668,0.0576,4.484072515910322,4.484072515910322,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,2,0.1,0,110.86,0.10739166666666668,0.011007456437443766,0.0877,0.1272,0.1278,0.02040833333333332,0.10528333333333333,0.1246,0.6205666666666667,0.5117163194568753,0.6283212121212124,0.5049396025972421,0.10739166666666668,resnet32,0.1009,0.103,4.321223670108751,4.321223670108751,0.0,resnet32,0.1076,0.111,4.324059718034484,4.324059718034484,0.0,resnet32,0.1116,0.1072,4.27336865121668,4.27336865121668,0.0,resnet32,0.1057,0.1072,4.354349503462965,4.354349503462965,0.0,resnet32,0.0942,0.0934,4.3670066899874,4.3670066899874,0.0,resnet32,0.1154,0.1084,4.308321357450702,4.308321357450702,0.0,resnet32,0.1256,0.1228,4.284952388568358,4.284952388568358,0.0,resnet32,0.1272,0.126,4.308314437554642,4.308314437554642,0.0,resnet32,0.1045,0.107,4.349563358182257,4.349563358182257,0.0,resnet32,0.1066,0.0942,4.339609826152975,4.339609826152975,0.0,resnet32,0.0877,0.0854,4.374901978807016,4.374901978807016,0.0,resnet32,0.1017,0.0978,4.3642068742351094,4.3642068742351094,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,3,0.1,0,110.57,0.13434166666666666,0.01545641497530682,0.1074,0.1604,0.1703,0.03595833333333334,0.13265000000000002,0.164,0.6777242424242423,0.4699154385755649,0.6790787878787881,0.47023078045673233,0.13434166666666666,resnet32,0.1336,0.1342,4.259126304902813,4.259126304902813,0.0,resnet32,0.143,0.1426,4.260155756365169,4.260155756365169,0.0,resnet32,0.1604,0.1552,4.214394361119378,4.214394361119378,0.0,resnet32,0.1296,0.1312,4.283813666552305,4.283813666552305,0.0,resnet32,0.1237,0.1234,4.298661818219856,4.298661818219856,0.0,resnet32,0.1358,0.1286,4.244469149207527,4.244469149207527,0.0,resnet32,0.1519,0.1534,4.218558508225462,4.218558508225462,0.0,resnet32,0.1509,0.1538,4.243303440511227,4.243303440511227,0.0,resnet32,0.1243,0.1174,4.284150983122262,4.284150983122262,0.0,resnet32,0.1402,0.1408,4.273107751526616,4.273107751526616,0.0,resnet32,0.1074,0.1028,4.314420785077593,4.314420785077593,0.0,resnet32,0.1113,0.1084,4.286224313080311,4.286224313080311,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,4,0.1,0,110.33,0.14252499999999999,0.011688250867145747,0.1269,0.1637,0.1711,0.028575000000000017,0.14641666666666667,0.1704,0.6048545454545453,0.568742502806168,0.6094818181818182,0.5577985124784133,0.14252499999999999,resnet32,0.1377,0.1444,4.204807351935994,4.204807351935994,0.0,resnet32,0.131,0.1368,4.193344704468142,4.193344704468142,0.0,resnet32,0.1629,0.1634,4.160476473922079,4.160476473922079,0.0,resnet32,0.1457,0.1464,4.225143556229093,4.225143556229093,0.0,resnet32,0.1346,0.1344,4.246928122910586,4.246928122910586,0.0,resnet32,0.1487,0.1526,4.185580872337926,4.185580872337926,0.0,resnet32,0.1637,0.1654,4.164514147761193,4.164514147761193,0.0,resnet32,0.1399,0.1436,4.186125523326072,4.186125523326072,0.0,resnet32,0.1302,0.1374,4.231309174814007,4.231309174814007,0.0,resnet32,0.1515,0.1516,4.2145844372836025,4.2145844372836025,0.0,resnet32,0.1269,0.1352,4.255483070219105,4.255483070219105,0.0,resnet32,0.1375,0.1458,4.2145572883838955,4.2145572883838955,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,5,0.1,0,111.23,0.16349166666666665,0.017185772135370845,0.1321,0.1915,0.1934,0.029908333333333342,0.15893333333333334,0.1896,0.6522575757575757,0.4982925968550478,0.6497484848484848,0.5148841042963064,0.16349166666666665,resnet32,0.145,0.1438,4.156123297797008,4.156123297797008,0.0,resnet32,0.1764,0.165,4.141477856107733,4.141477856107733,0.0,resnet32,0.1837,0.1752,4.111695505339991,4.111695505339991,0.0,resnet32,0.1666,0.166,4.173176076601852,4.173176076601852,0.0,resnet32,0.1515,0.1476,4.19688186862252,4.19688186862252,0.0,resnet32,0.1435,0.1436,4.1321109706027945,4.1321109706027945,0.0,resnet32,0.1767,0.1774,4.117596013302153,4.117596013302153,0.0,resnet32,0.1915,0.1902,4.136943579736081,4.136943579736081,0.0,resnet32,0.1598,0.1524,4.181329911066727,4.181329911066727,0.0,resnet32,0.174,0.165,4.158880479295146,4.158880479295146,0.0,resnet32,0.1321,0.1294,4.195900740271265,4.195900740271265,0.0,resnet32,0.1611,0.1516,4.157763657244769,4.157763657244769,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,6,0.1,0,110.99,0.17574166666666666,0.01445259252022126,0.1479,0.1954,0.2202,0.04445833333333335,0.17278333333333332,0.2164,0.6521242424242424,0.4793898254078712,0.6596651515151518,0.4608528307180766,0.17574166666666666,resnet32,0.1736,0.1614,4.114821179685268,4.114821179685268,0.0,resnet32,0.1676,0.1662,4.092500966380943,4.092500966380943,0.0,resnet32,0.1954,0.1946,4.073929744349285,4.073929744349285,0.0,resnet32,0.1731,0.1716,4.123734148049897,4.123734148049897,0.0,resnet32,0.1479,0.1448,4.1494691493836315,4.1494691493836315,0.0,resnet32,0.1869,0.184,4.080491018566218,4.080491018566218,0.0,resnet32,0.1945,0.1828,4.070881889625029,4.070881889625029,0.0,resnet32,0.1926,0.198,4.084115026688034,4.084115026688034,0.0,resnet32,0.1541,0.1568,4.134822369299152,4.134822369299152,0.0,resnet32,0.1774,0.176,4.112761159173467,4.112761159173467,0.0,resnet32,0.176,0.1656,4.145769624547525,4.145769624547525,0.0,resnet32,0.1698,0.1716,4.099061265926469,4.099061265926469,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,7,0.1,0,110.37,0.19495833333333334,0.020329471969423002,0.1466,0.2192,0.2309,0.03594166666666665,0.19686666666666666,0.2274,0.6121515151515152,0.5614324631547829,0.6195818181818181,0.559292749828772,0.19495833333333334,resnet32,0.1466,0.1542,4.080460199916905,4.080460199916905,0.0,resnet32,0.2108,0.2026,4.0538594820960006,4.0538594820960006,0.0,resnet32,0.206,0.214,4.03588948703625,4.03588948703625,0.0,resnet32,0.186,0.1884,4.079129795797846,4.079129795797846,0.0,resnet32,0.1823,0.1814,4.109157631681724,4.109157631681724,0.0,resnet32,0.2192,0.2206,4.036461709913882,4.036461709913882,0.0,resnet32,0.211,0.2132,4.031994024460966,4.031994024460966,0.0,resnet32,0.2034,0.206,4.040339968421242,4.040339968421242,0.0,resnet32,0.1704,0.1734,4.092453574253754,4.092453574253754,0.0,resnet32,0.1945,0.1974,4.074749726802111,4.074749726802111,0.0,resnet32,0.1924,0.2,4.099480172788555,4.099480172788555,0.0,resnet32,0.2169,0.2112,4.051326982676983,4.051326982676983,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,8,0.1,0,110.53,0.20865833333333336,0.016835402100600066,0.1704,0.2335,0.2535,0.04484166666666664,0.2001666666666667,0.2426,0.6278484848484848,0.5004171310059401,0.6268484848484849,0.514754934002848,0.20865833333333336,resnet32,0.1704,0.164,4.046133917841044,4.046133917841044,0.0,resnet32,0.2174,0.2078,4.023776992478154,4.023776992478154,0.0,resnet32,0.2335,0.221,4.002602226016196,4.002602226016196,0.0,resnet32,0.2198,0.214,4.040354544466192,4.040354544466192,0.0,resnet32,0.1993,0.186,4.068822977556423,4.068822977556423,0.0,resnet32,0.2204,0.2114,3.999425559219989,3.999425559219989,0.0,resnet32,0.2204,0.2156,3.9936066639016974,3.9936066639016974,0.0,resnet32,0.2235,0.2162,4.002426066520539,4.002426066520539,0.0,resnet32,0.2044,0.1976,4.060866751792756,4.060866751792756,0.0,resnet32,0.1883,0.1874,4.039813084358519,4.039813084358519,0.0,resnet32,0.208,0.1976,4.053509030829776,4.053509030829776,0.0,resnet32,0.1985,0.1834,4.009155644950542,4.009155644950542,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_noise40_seed0003_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.398956,42,0,45000,5000,10000,5640048,9,0.1,0,111.23,0.21636666666666668,0.01925739396237773,0.1876,0.2581,0.2634,0.047033333333333344,0.21488333333333334,0.264,0.6350696969696971,0.505444656776558,0.6381606060606059,0.5021600605835788,0.21636666666666668,resnet32,0.1906,0.1912,4.019637680189176,4.019637680189176,0.0,resnet32,0.2163,0.2088,3.998443287543275,3.998443287543275,0.0,resnet32,0.2387,0.2352,3.9792028824714096,3.9792028824714096,0.0,resnet32,0.2104,0.2156,4.009780516678637,4.009780516678637,0.0,resnet32,0.206,0.198,4.043985970995643,4.043985970995643,0.0,resnet32,0.2328,0.2334,3.9729174751449716,3.9729174751449716,0.0,resnet32,0.2581,0.2576,3.972830503840338,3.972830503840338,0.0,resnet32,0.2229,0.2282,3.976789355616678,3.976789355616678,0.0,resnet32,0.2012,0.1942,4.031881871548566,4.031881871548566,0.0,resnet32,0.2119,0.2148,4.011703787202185,4.011703787202185,0.0,resnet32,0.2199,0.209,4.020224695855921,4.020224695855921,0.0,resnet32,0.1876,0.1926,3.980896307663484,3.980896307663484,0.0,0.0,0.0,0.0,0.0,0.0
