run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,0,0.1,0,104.75,0.10729166666666666,0.021404261971755892,0.0689,0.1446,0.1293,0.022008333333333338,0.10088333333333332,0.121,0.6585181818181816,0.44144652145325103,0.6611030303030301,0.4444615586656933,0.10729166666666666,resnet32,0.1083,0.1062,4.097109923647209,4.097109923647209,0.0,resnet32,0.1446,0.1314,3.9201009696857496,3.9201009696857496,0.0,resnet32,0.1409,0.1316,3.931815081360665,3.931815081360665,0.0,resnet32,0.0961,0.0948,4.14220098473809,4.14220098473809,0.0,resnet32,0.0877,0.0848,4.245065837759864,4.245065837759864,0.0,resnet32,0.102,0.0996,4.182788222012195,4.182788222012195,0.0,resnet32,0.1314,0.1234,3.9252227006310765,3.9252227006310765,0.0,resnet32,0.1072,0.1002,4.043138367885893,4.043138367885893,0.0,resnet32,0.1106,0.108,4.0147115808318965,4.0147115808318965,0.0,resnet32,0.0689,0.0632,4.216340073130348,4.216340073130348,0.0,resnet32,0.1006,0.0884,4.1441873637112705,4.1441873637112705,0.0,resnet32,0.0892,0.079,4.168056566606868,4.168056566606868,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,1,0.1,0,100.82,0.18162499999999995,0.02751160739881744,0.1383,0.2258,0.2171,0.035475000000000034,0.17966666666666667,0.2106,0.6625696969696968,0.5181582136514934,0.6726015151515151,0.5086677669840094,0.18162499999999995,resnet32,0.163,0.156,3.4319828867234965,3.4319828867234965,0.0,resnet32,0.2192,0.2184,3.251793359152295,3.251793359152295,0.0,resnet32,0.2258,0.2284,3.2804556614296003,3.2804556614296003,0.0,resnet32,0.1666,0.169,3.471197258342396,3.471197258342396,0.0,resnet32,0.1383,0.1316,3.4946590557017108,3.4946590557017108,0.0,resnet32,0.1512,0.1496,3.4847312291914765,3.4847312291914765,0.0,resnet32,0.2219,0.2134,3.2848412983796815,3.2848412983796815,0.0,resnet32,0.163,0.1608,3.3916207907552067,3.3916207907552067,0.0,resnet32,0.1976,0.1988,3.3167950954626906,3.3167950954626906,0.0,resnet32,0.1845,0.1826,3.5938226495954124,3.5938226495954124,0.0,resnet32,0.175,0.1728,3.4550041149963033,3.4550041149963033,0.0,resnet32,0.1734,0.1746,3.55827898633751,3.55827898633751,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,2,0.1,0,100.71,0.23458333333333334,0.019873467795586713,0.2019,0.2647,0.2889,0.05431666666666665,0.23543333333333336,0.287,0.6192515151515153,0.5184254137302444,0.6223848484848483,0.5169750035184764,0.23458333333333334,resnet32,0.2019,0.2048,2.9981734332713215,2.9981734332713215,0.0,resnet32,0.2547,0.2612,2.8629007786512375,2.8629007786512375,0.0,resnet32,0.2494,0.2462,2.872869007966735,2.872869007966735,0.0,resnet32,0.2647,0.265,3.0057592049918394,3.0057592049918394,0.0,resnet32,0.2047,0.2084,3.0898015661673113,3.0898015661673113,0.0,resnet32,0.245,0.239,3.0238042026758194,3.0238042026758194,0.0,resnet32,0.2327,0.2306,2.9012389829890295,2.9012389829890295,0.0,resnet32,0.2102,0.2142,2.920755961063233,2.920755961063233,0.0,resnet32,0.25,0.2594,2.9113031649454073,2.9113031649454073,0.0,resnet32,0.2366,0.23,3.112751893021844,3.112751893021844,0.0,resnet32,0.2446,0.245,2.997328145598823,2.997328145598823,0.0,resnet32,0.2205,0.2214,3.119052528996359,3.119052528996359,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,3,0.1,0,100.41,0.282325,0.019452383101649352,0.2502,0.3067,0.3467,0.06437500000000002,0.28485,0.3462,0.6003333333333333,0.5204497453018336,0.6081166666666667,0.5178706885555722,0.282325,resnet32,0.2508,0.257,2.699260327287696,2.699260327287696,0.0,resnet32,0.2779,0.2772,2.6252298141745003,2.6252298141745003,0.0,resnet32,0.3048,0.3054,2.6261628053405066,2.6261628053405066,0.0,resnet32,0.2948,0.2998,2.696264934810725,2.696264934810725,0.0,resnet32,0.2595,0.269,2.804274432361126,2.804274432361126,0.0,resnet32,0.2922,0.295,2.7387490323321386,2.7387490323321386,0.0,resnet32,0.3067,0.3026,2.6439689391038637,2.6439689391038637,0.0,resnet32,0.2916,0.302,2.6455849930644035,2.6455849930644035,0.0,resnet32,0.303,0.304,2.650574458085678,2.650574458085678,0.0,resnet32,0.2721,0.2704,2.7731490599160846,2.7731490599160846,0.0,resnet32,0.2843,0.2848,2.707415780221874,2.707415780221874,0.0,resnet32,0.2502,0.251,2.7944561815397306,2.7944561815397306,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,4,0.1,0,100.92,0.30849166666666666,0.019449012757007028,0.2604,0.3413,0.3742,0.06570833333333331,0.30691666666666667,0.371,0.5949393939393938,0.5124539545217179,0.5927787878787879,0.5153219145059872,0.30849166666666666,resnet32,0.3086,0.3052,2.512103741649877,2.512103741649877,0.0,resnet32,0.2993,0.2894,2.4687778809192507,2.4687778809192507,0.0,resnet32,0.3166,0.326,2.4474419348619203,2.4474419348619203,0.0,resnet32,0.3102,0.3116,2.4998634339056234,2.4998634339056234,0.0,resnet32,0.2604,0.259,2.609431643038988,2.609431643038988,0.0,resnet32,0.3069,0.3004,2.5417121670801532,2.5417121670801532,0.0,resnet32,0.3295,0.3224,2.4674444923346694,2.4674444923346694,0.0,resnet32,0.3413,0.3322,2.442573995244774,2.442573995244774,0.0,resnet32,0.2905,0.2994,2.473512977023016,2.473512977023016,0.0,resnet32,0.3235,0.3246,2.5415424155918034,2.5415424155918034,0.0,resnet32,0.3086,0.3124,2.5193622025915166,2.5193622025915166,0.0,resnet32,0.3065,0.3004,2.5672518253665078,2.5672518253665078,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,5,0.1,0,100.05,0.3167166666666666,0.02964674893175005,0.2703,0.3674,0.3837,0.0669833333333334,0.3134666666666667,0.3748,0.5862393939393941,0.5250774228293527,0.584722727272727,0.5298100378270775,0.3167166666666666,resnet32,0.3045,0.2966,2.3635328222404826,2.3635328222404826,0.0,resnet32,0.2743,0.2718,2.339431169188835,2.339431169188835,0.0,resnet32,0.3643,0.3672,2.3162491998889227,2.3162491998889227,0.0,resnet32,0.306,0.3122,2.3573571541769938,2.3573571541769938,0.0,resnet32,0.3323,0.3192,2.4588435503908177,2.4588435503908177,0.0,resnet32,0.3131,0.3,2.388455122539943,2.388455122539943,0.0,resnet32,0.3472,0.3408,2.3346085070886393,2.3346085070886393,0.0,resnet32,0.3674,0.3684,2.300236202268438,2.300236202268438,0.0,resnet32,0.3099,0.3062,2.3266306555067953,2.3266306555067953,0.0,resnet32,0.3088,0.3094,2.37312664819712,2.37312664819712,0.0,resnet32,0.3025,0.3042,2.3695938412777404,2.3695938412777404,0.0,resnet32,0.2703,0.2656,2.406155063347383,2.406155063347383,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,6,0.1,0,99.95,0.3437666666666666,0.01395255850691509,0.3083,0.3641,0.41,0.06623333333333337,0.3425333333333333,0.4078,0.558060606060606,0.5348004838768071,0.5624651515151515,0.5354680378347296,0.3437666666666666,resnet32,0.3641,0.3544,2.2633985079486263,2.2633985079486263,0.0,resnet32,0.3559,0.361,2.257768040522933,2.257768040522933,0.0,resnet32,0.3576,0.3574,2.2234436847608197,2.2234436847608197,0.0,resnet32,0.3393,0.3376,2.262259285219691,2.262259285219691,0.0,resnet32,0.3083,0.303,2.346539054235274,2.346539054235274,0.0,resnet32,0.3412,0.3432,2.2790113218467343,2.2790113218467343,0.0,resnet32,0.3379,0.3344,2.2408697953955694,2.2408697953955694,0.0,resnet32,0.3357,0.3318,2.2114541447636755,2.2114541447636755,0.0,resnet32,0.3465,0.3546,2.2328444790433752,2.2328444790433752,0.0,resnet32,0.3507,0.353,2.269076146185398,2.269076146185398,0.0,resnet32,0.3525,0.3514,2.2710460515862163,2.2710460515862163,0.0,resnet32,0.3355,0.3286,2.304957491769032,2.304957491769032,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,7,0.1,0,99.91,0.3494833333333333,0.025384340098222415,0.3026,0.38,0.4166,0.06711666666666671,0.3522666666666667,0.4204,0.5594303030303029,0.5261122538866824,0.5621848484848486,0.5271456108940205,0.3494833333333333,resnet32,0.3569,0.3538,2.184795007617636,2.184795007617636,0.0,resnet32,0.3035,0.3116,2.189947243441235,2.189947243441235,0.0,resnet32,0.3757,0.3758,2.1607564271173696,2.1607564271173696,0.0,resnet32,0.3678,0.3664,2.1885790052739056,2.1885790052739056,0.0,resnet32,0.3363,0.3392,2.2555606278844853,2.2555606278844853,0.0,resnet32,0.3685,0.361,2.1880735983564095,2.1880735983564095,0.0,resnet32,0.38,0.378,2.1684762840582565,2.1684762840582565,0.0,resnet32,0.3646,0.37,2.139563075012781,2.139563075012781,0.0,resnet32,0.3316,0.3356,2.1631714430722324,2.1631714430722324,0.0,resnet32,0.3026,0.3122,2.1853433684869246,2.1853433684869246,0.0,resnet32,0.3654,0.3746,2.1844040009785783,2.1844040009785783,0.0,resnet32,0.3409,0.349,2.2165889631618154,2.2165889631618154,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,8,0.1,0,101.03,0.33708333333333335,0.027493024367808077,0.2776,0.3754,0.3956,0.05851666666666666,0.3388166666666667,0.4,0.5529363636363636,0.5466768154665184,0.5575454545454547,0.5451607448181862,0.33708333333333335,resnet32,0.3382,0.337,2.1303118961778553,2.1303118961778553,0.0,resnet32,0.3754,0.3738,2.142854829911481,2.142854829911481,0.0,resnet32,0.3012,0.3034,2.110806471922181,2.110806471922181,0.0,resnet32,0.3387,0.34,2.1391622254794296,2.1391622254794296,0.0,resnet32,0.2776,0.2762,2.1861885906281797,2.1861885906281797,0.0,resnet32,0.3272,0.3396,2.1315182269635526,2.1315182269635526,0.0,resnet32,0.337,0.348,2.121184538711201,2.121184538711201,0.0,resnet32,0.3647,0.358,2.093471738425168,2.093471738425168,0.0,resnet32,0.3438,0.3432,2.118145488710566,2.118145488710566,0.0,resnet32,0.3161,0.3216,2.1310740558599885,2.1310740558599885,0.0,resnet32,0.3545,0.3578,2.1336276783523234,2.1336276783523234,0.0,resnet32,0.3706,0.3672,2.152058903635903,2.152058903635903,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x12_cifar100_K12_indep_seed0004_d011,d011,resnet32:12,cifar100,12,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,9,0.1,0,99.86,0.3790166666666666,0.018002445821486475,0.3548,0.4047,0.4644,0.08538333333333337,0.37233333333333335,0.4516,0.5522060606060607,0.526191572244853,0.5535863636363637,0.5186573540267837,0.3790166666666666,resnet32,0.3548,0.3548,2.0772029447623273,2.0772029447623273,0.0,resnet32,0.3608,0.3534,2.0942350129850884,2.0942350129850884,0.0,resnet32,0.3714,0.3692,2.0680397268046034,2.0680397268046034,0.0,resnet32,0.3975,0.3888,2.089110670949925,2.089110670949925,0.0,resnet32,0.4036,0.3908,2.1364975832402706,2.1364975832402706,0.0,resnet32,0.3575,0.3528,2.0801930466497485,2.0801930466497485,0.0,resnet32,0.3746,0.3694,2.074711739847606,2.074711739847606,0.0,resnet32,0.3995,0.3888,2.0479669867252763,2.0479669867252763,0.0,resnet32,0.3874,0.3774,2.06904200701551,2.06904200701551,0.0,resnet32,0.4047,0.3952,2.0790122723714872,2.0790122723714872,0.0,resnet32,0.3753,0.3734,2.0820631056346675,2.0820631056346675,0.0,resnet32,0.3611,0.354,2.1032151232727547,2.1032151232727547,0.0,0.0,0.0,0.0,0.0,0.0
