run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,2,3,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,4,5,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,6,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,8,9,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,0,0,10,11,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,0,8,resnet32,resnet32,0.943600,0.943600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,1,3,resnet32,resnet32,0.781800,0.781800,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,2,7,resnet32,resnet32,0.866400,0.866400,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,4,6,resnet32,resnet32,0.949600,0.949600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,5,11,resnet32,resnet32,0.794600,0.794600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,1,0,9,10,resnet32,resnet32,0.887800,0.887800,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,0,10,resnet32,resnet32,0.800000,0.800000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,1,6,resnet32,resnet32,0.842400,0.842400,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,2,5,resnet32,resnet32,0.847000,0.847000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,3,9,resnet32,resnet32,0.826400,0.826400,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,4,8,resnet32,resnet32,0.761000,0.761000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,2,0,7,11,resnet32,resnet32,0.827200,0.827200,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,0,11,resnet32,resnet32,0.753200,0.753200,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,1,5,resnet32,resnet32,0.681600,0.681600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,2,9,resnet32,resnet32,0.712600,0.712600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,3,10,resnet32,resnet32,0.668200,0.668200,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,4,7,resnet32,resnet32,0.798400,0.798400,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,3,0,6,8,resnet32,resnet32,0.755000,0.755000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,4,0,0,5,resnet32,resnet32,0.613000,0.613000,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,4,0,1,4,resnet32,resnet32,0.656600,0.656600,disagreement,exact,1
resnet32x12_cifar100_K12_mwmd1_seed0002_d011,d011,4,0,2,6,resnet32,resnet32,0.772000,0.772000,disagreement,exact,1
