run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,0,0.1,3,109.61,0.053649999999999996,0.018608756899194886,0.0141,0.0827,0.0745,0.02085,0.05050000000000001,0.0726,0.7542999999999999,0.2799836692689849,0.7575545454545455,0.27550466123541906,0.053649999999999996,resnet32,0.0666,0.0604,4.461681957949292,4.368820501999422,0.09286146610446105,resnet32,0.0827,0.0776,4.3924444886771115,4.286736378954216,0.10570810483345254,resnet32,0.0518,0.0532,4.488344555890018,4.387105072763833,0.10123947506971573,resnet32,0.0653,0.0628,4.423182676800272,4.308439347893,0.1147433220956538,resnet32,0.0678,0.0622,4.451692494479093,4.35623504661701,0.09545745349764316,resnet32,0.058,0.0544,4.518497079949487,4.396096291528507,0.12240077382673255,resnet32,0.0587,0.0524,4.528054931963032,4.428850028663874,0.09920490318274294,resnet32,0.0635,0.0598,4.47513482008468,4.3849897144193,0.09014511090406979,resnet32,0.0426,0.042,4.609691308980638,4.531012272970243,0.07867904357011536,resnet32,0.0141,0.0138,4.738467774607918,4.62934482504021,0.10912294894065284,resnet32,0.0501,0.0444,4.649374420669946,4.566370888189836,0.08300353518478171,resnet32,0.0226,0.023,4.689685816791925,4.606498684395444,0.08318713579699927,13500000.0,0.0,54000000.0,54000000.0,648000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,1,0.1,3,109.76,0.13331666666666667,0.032135516004708695,0.0695,0.1793,0.1618,0.028483333333333333,0.1351166666666667,0.1628,0.5981848484848488,0.5464469469868429,0.603112121212121,0.5442719421266187,0.13331666666666667,resnet32,0.1516,0.1582,3.7770285078070382,3.684406850148331,0.09262165443082764,resnet32,0.1793,0.184,3.71143267032775,3.601960863579403,0.10947180608160455,resnet32,0.1486,0.1472,3.7908269478516146,3.6986273903061044,0.09219955740792846,resnet32,0.1373,0.1386,3.806330892172727,3.708466802131046,0.0978640873905864,resnet32,0.1606,0.1632,3.8164199448444625,3.7372980165210636,0.0791219326836819,resnet32,0.1438,0.1482,3.8809168873862787,3.7963870225304905,0.08452986553311348,resnet32,0.1565,0.1516,3.863811055706306,3.7831910862164064,0.08061996847920289,resnet32,0.1488,0.1464,3.842060814526948,3.763909099792892,0.07815171209883622,resnet32,0.1043,0.1088,4.146386629139835,4.047393986108628,0.09899264295712452,resnet32,0.0695,0.0688,4.507647022943605,4.355997471308166,0.1516495558052239,resnet32,0.1209,0.1222,4.09987385571003,3.9910766177556734,0.10879723622929305,resnet32,0.0786,0.0842,4.273151961917227,4.177296876907349,0.09585508919024671,13500000.0,0.0,54000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,2,0.1,3,108.21,0.19480833333333336,0.022896268194232485,0.1607,0.235,0.2246,0.029791666666666633,0.19525,0.2206,0.5623454545454545,0.5751904812653611,0.5723151515151517,0.5692692249959812,0.19480833333333336,resnet32,0.2034,0.2026,3.3461428758772938,3.222219410606406,0.12392346090002154,resnet32,0.2336,0.2428,3.293916342272,3.15833848410032,0.13557786028832197,resnet32,0.235,0.2354,3.339475658129562,3.215498311275786,0.1239773488434201,resnet32,0.2072,0.2058,3.3798397559333933,3.2478794784031133,0.13196028173181482,resnet32,0.1985,0.195,3.3984047726474027,3.28303666988557,0.11536809857088057,resnet32,0.1966,0.1994,3.4742613146928223,3.3561541488902136,0.1181071597595953,resnet32,0.1983,0.1994,3.44028880785812,3.3250064341859384,0.1152823760534044,resnet32,0.181,0.177,3.4362351599742067,3.3217147429558365,0.11452041661620817,resnet32,0.1607,0.1604,3.655627639456229,3.559331388974732,0.09629625393162397,resnet32,0.163,0.166,3.7791947715661744,3.671541113067757,0.10765365831850265,resnet32,0.188,0.1896,3.59730945087292,3.4910773529925128,0.10623210080137307,resnet32,0.1724,0.1696,3.723631339317018,3.624839734963395,0.09879160660784692,13500000.0,0.0,54000000.0,162000000.0,1944000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,3,0.1,3,108.39,0.23616666666666666,0.01667264892637706,0.2034,0.2633,0.275,0.03883333333333336,0.24128333333333332,0.2782,0.5474424242424241,0.5837984083438059,0.5589363636363639,0.5803481965457725,0.23616666666666666,resnet32,0.2491,0.253,3.0414803485301407,2.8829313191500576,0.1585490268083628,resnet32,0.2294,0.2392,2.989624860950492,2.823343426327814,0.16628143485550853,resnet32,0.2496,0.2512,3.024582823907787,2.865729560906237,0.1588532627898861,resnet32,0.2446,0.2454,3.0623221404173155,2.8940592770549385,0.16826285912909292,resnet32,0.2633,0.2628,3.0763440061021936,2.9250883148475126,0.1512556881961328,resnet32,0.2349,0.2368,3.1488830379464408,2.9965065616098316,0.1523764779240909,resnet32,0.2544,0.2558,3.101249402219599,2.950595197013833,0.1506542045919394,resnet32,0.2351,0.25,3.115145400843837,2.9648984911089595,0.15024691201026805,resnet32,0.2111,0.2202,3.3026205213232473,3.1717148243703623,0.13090569659305568,resnet32,0.2273,0.2326,3.3698506985198367,3.23655789853497,0.1332928006198596,resnet32,0.2318,0.2382,3.2439024600793016,3.10983083024621,0.1340716265946288,resnet32,0.2034,0.2102,3.3463887111707167,3.2139809030023487,0.1324078111105006,13500000.0,0.0,54000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,4,0.1,3,108.8,0.2755166666666667,0.01877404384308885,0.2511,0.3049,0.3121,0.0365833333333333,0.2736166666666667,0.3074,0.5176636363636365,0.6105675045395896,0.514480303030303,0.6068566010554971,0.2755166666666667,resnet32,0.295,0.2944,2.8247998881746423,2.643440256064588,0.18135963172905825,resnet32,0.3049,0.3066,2.7803813236003574,2.5935794531621714,0.1868018694010309,resnet32,0.3028,0.295,2.8030062040144745,2.6209449727426875,0.1820612280121581,resnet32,0.2857,0.2832,2.8437610891732303,2.651954452761195,0.19180663931183517,resnet32,0.2511,0.2468,2.836064010519873,2.656682051718235,0.17938195761631837,resnet32,0.2657,0.259,2.914795295081355,2.734636365012689,0.1801589307459918,resnet32,0.2709,0.2756,2.863922955298966,2.684792610054666,0.1791303423868323,resnet32,0.2895,0.289,2.8845322626558216,2.708479928022081,0.17605233171277426,resnet32,0.2743,0.2724,3.010981023650278,2.8480081551454286,0.16297286727719687,resnet32,0.2547,0.255,3.0748571929606525,2.908091242679141,0.16676594896919347,resnet32,0.2587,0.26,2.9715192314576018,2.806166453117674,0.16535277723927388,resnet32,0.2529,0.2464,3.056898799132217,2.891577070748264,0.1653217275902121,13500000.0,0.0,54000000.0,270000000.0,3240000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,5,0.1,3,110.75,0.30372499999999997,0.03132007143989299,0.2337,0.3556,0.3466,0.04287500000000005,0.29951666666666665,0.3476,0.5262848484848486,0.5802296355529464,0.5257409090909091,0.5875172033724768,0.30372499999999997,resnet32,0.3177,0.309,2.678263725543564,2.4786544103514063,0.1996093158906495,resnet32,0.3556,0.356,2.6412977112287823,2.436831553212621,0.2044661575505002,resnet32,0.3174,0.3204,2.660320529375564,2.460576634684747,0.19974389744245194,resnet32,0.3036,0.2984,2.7058882168070837,2.4961810100146313,0.20970720317299393,resnet32,0.3112,0.3122,2.686679860407656,2.4888386619700626,0.19784119746393777,resnet32,0.303,0.297,2.7603553841737183,2.5607407721267506,0.19961461117914456,resnet32,0.3238,0.3134,2.7126374786550347,2.514705343002623,0.19793213493275372,resnet32,0.3108,0.3096,2.732922076162967,2.538294516503811,0.1946275603788143,resnet32,0.2337,0.2288,2.8227203004062176,2.642321404408325,0.18039889631538905,resnet32,0.2672,0.2656,2.8901626010510055,2.7050206742503424,0.1851419266948307,resnet32,0.2693,0.2602,2.7919019630009476,2.608984396538951,0.18291756510734558,resnet32,0.3314,0.3236,2.864041332155466,2.6809096299111843,0.1831317060754042,13500000.0,0.0,54000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,6,0.1,3,108.66,0.31695,0.01931491220102574,0.2931,0.3579,0.3552,0.038250000000000006,0.3154166666666666,0.3546,0.5023212121212122,0.5993249060032694,0.5034515151515152,0.6133526897270402,0.31695,resnet32,0.3148,0.3116,2.5804639465429564,2.3633344635706055,0.21712948201986199,resnet32,0.3489,0.3502,2.554410733113235,2.3314291960136457,0.22298153947022828,resnet32,0.3225,0.3274,2.561168200251731,2.342702803794633,0.2184653942981227,resnet32,0.3579,0.3512,2.612258840860291,2.383958861739798,0.2282999760301953,resnet32,0.33,0.3216,2.5863784673539074,2.37160517224534,0.21477329610338944,resnet32,0.2931,0.2972,2.6597877226092597,2.442708742550828,0.21707897800528866,resnet32,0.3032,0.3036,2.6018798407167196,2.389031408015977,0.21284843517721377,resnet32,0.3164,0.3204,2.6290091154250232,2.4173519289629026,0.21165719042024153,resnet32,0.3047,0.2936,2.699802739037709,2.501572489061139,0.19823024730960076,resnet32,0.2969,0.29,2.758712002160874,2.553791246292266,0.20492075379429894,resnet32,0.314,0.3142,2.6711677946150303,2.46840234761211,0.20276544423011894,resnet32,0.301,0.304,2.741912021555684,2.5402713014998217,0.20164072236300193,13500000.0,0.0,54000000.0,378000000.0,4536000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,7,0.1,3,110.36,0.3460916666666667,0.02185972164862938,0.3031,0.3799,0.3923,0.046208333333333296,0.34990000000000004,0.3988,0.48054242424242416,0.6003992408986146,0.4828015151515153,0.5982614799293299,0.3460916666666667,resnet32,0.3643,0.3608,2.4994471816515382,2.272466055371545,0.22698112985711882,resnet32,0.3646,0.3716,2.4784272462129593,2.246262751181017,0.23216449420645155,resnet32,0.3799,0.3874,2.4826024574312298,2.254772488874468,0.22782996682111512,resnet32,0.3422,0.344,2.536289756948298,2.2975828068500217,0.2387069487224587,resnet32,0.3167,0.3196,2.502536976201968,2.2762926689941776,0.22624430911276827,resnet32,0.3431,0.3452,2.5725579644468697,2.3453660241582175,0.22719193605536764,resnet32,0.3728,0.38,2.519803110679442,2.2957023532891814,0.22410076020539485,resnet32,0.3481,0.3518,2.546298439529809,2.322824570604346,0.22347386901012875,resnet32,0.3248,0.3242,2.6106793843209743,2.400329739194025,0.2103496460159394,resnet32,0.3031,0.3112,2.657718221402981,2.4422130093655805,0.2155052115082402,resnet32,0.3446,0.3542,2.5752960040488024,2.3603022025728766,0.2149937999731099,resnet32,0.3489,0.3488,2.6502371853725477,2.4365803468972445,0.21365684444423427,13500000.0,0.0,54000000.0,432000000.0,5184000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,8,0.1,3,131.57,0.34357499999999996,0.025623300756668067,0.2926,0.3867,0.3904,0.04682500000000006,0.3393833333333333,0.3908,0.5104787878787878,0.5881438309801997,0.5069257575757575,0.5908970123150921,0.34357499999999996,resnet32,0.37,0.3678,2.4374462357637556,2.2001945356076416,0.23725169621915979,resnet32,0.3461,0.3424,2.419392212040045,2.179157292639667,0.24023492058569734,resnet32,0.2926,0.2988,2.427378694272854,2.1888252054764465,0.23855348786508496,resnet32,0.3326,0.324,2.4844186328012836,2.235614614899863,0.2488040174357593,resnet32,0.3867,0.3844,2.444584734229879,2.2087616944177584,0.23582304654304276,resnet32,0.3276,0.32,2.5008095072751697,2.264046932316639,0.23676257527602668,resnet32,0.3452,0.3448,2.4547031003643167,2.221354641866955,0.23334845589389178,resnet32,0.3704,0.3676,2.480583635920828,2.2478804810141977,0.23270315437746997,resnet32,0.3663,0.3634,2.5408339517360385,2.316559700295329,0.2242742500013926,resnet32,0.3439,0.3352,2.5895490287379785,2.359486173669046,0.23006285832856188,resnet32,0.3262,0.3142,2.506786290386861,2.279209833422845,0.22757645704868165,resnet32,0.3153,0.31,2.575717168775472,2.3463880477303807,0.22932912375439296,13500000.0,0.0,54000000.0,486000000.0,5832000000.0
resnet32x12_cifar100_K12_topo-clusters4_seed0004_d011,d011,resnet32:12,cifar100,12,topology,topo-clusters4,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,clusters:4,0.0,0.0,42,0,45000,5000,10000,5640048,9,0.1,3,129.48,0.377975,0.016324119424949098,0.346,0.4032,0.435,0.05702499999999999,0.36946666666666667,0.4218,0.4840363636363638,0.585421852728212,0.48709393939393963,0.5822153245887872,0.377975,resnet32,0.4032,0.3898,2.3853478101505474,2.1379914544522762,0.24735635679892518,resnet32,0.3741,0.3708,2.3601480551402676,2.1106686741113663,0.24947938225655394,resnet32,0.403,0.395,2.3745478569445284,2.1283063407648695,0.24624151457101107,resnet32,0.3797,0.3646,2.435674674639648,2.1762916670942847,0.2593830131756311,resnet32,0.3768,0.3612,2.3883556511930446,2.145028292624788,0.24332735399630936,resnet32,0.35,0.3392,2.4376069403846157,2.192506660961292,0.24510027789934116,resnet32,0.3834,0.3778,2.4026744687421755,2.1601292330094357,0.24254523839970882,resnet32,0.3808,0.379,2.414609135551886,2.173544447191737,0.24106469039212575,resnet32,0.3849,0.3776,2.4712918123061005,2.2364166883582417,0.23487512219104578,resnet32,0.3735,0.3766,2.5168402279642494,2.276428424160589,0.24041180501014672,resnet32,0.3803,0.373,2.440842016346075,2.2040573204444214,0.23678469814529474,resnet32,0.346,0.329,2.499568749049848,2.260732525959611,0.23883622321723538,13500000.0,0.0,54000000.0,540000000.0,6480000000.0
