run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,0,0.1,2,117.74,0.015666666666666666,0.004132661235679606,0.0096,0.0211,0.0233,0.007633333333333336,0.015066666666666666,0.0244,0.41771515151515165,0.4913331146163805,0.41705909090909093,0.5164543007863619,0.015666666666666666,resnet32,0.0209,0.0182,4.711817319420251,4.639154675331983,0.07266264702056188,resnet32,0.0211,0.0208,4.712897336618467,4.61276370964267,0.10013361877488271,resnet32,0.0099,0.0088,4.746551455421881,4.656491005962545,0.09006045195184759,resnet32,0.0193,0.019,4.706813107160005,4.636899002573707,0.06991410531099973,resnet32,0.0129,0.013,4.716181226752021,4.650446013970808,0.06573521392792,resnet32,0.0096,0.0084,4.741931214928627,4.658288705755364,0.08364250796437939,resnet32,0.0148,0.014,4.721088396554643,4.6350543763149865,0.08603401518001358,resnet32,0.0156,0.0178,4.760131885382262,4.644439487294718,0.11569239716411837,resnet32,0.0102,0.0092,4.728638538582758,4.650087794119662,0.07855074458066982,resnet32,0.0155,0.0158,4.711214855990627,4.6371657658707015,0.07404909424233418,resnet32,0.0203,0.0202,4.736505984582684,4.650360723110762,0.08614527661137056,resnet32,0.0179,0.0156,4.7072011306881905,4.639279722490094,0.06792140524835717,9000000.0,0.0,36000000.0,36000000.0,432000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,1,0.1,2,112.62,0.02214166666666667,0.009408370239077304,0.01,0.0416,0.0451,0.02295833333333333,0.022283333333333332,0.0448,0.5505363636363637,0.3733350511010371,0.5442969696969693,0.3859303916147158,0.02214166666666667,resnet32,0.0281,0.0272,4.5905240489677945,4.585376950150186,0.0051470914432601685,resnet32,0.0416,0.0424,4.577679220248353,4.564942086284811,0.01273712837792118,resnet32,0.01,0.011,4.626018667085604,4.609401246363467,0.01661742797626754,resnet32,0.0313,0.03,4.586860861290585,4.57613552768122,0.010725332533845423,resnet32,0.0284,0.0304,4.585081275891174,4.574370793320916,0.010710479280533036,resnet32,0.01,0.011,4.618810030547055,4.609195718711073,0.009614318151265748,resnet32,0.0174,0.0194,4.6060707846825775,4.5964008143002335,0.009669971910625463,resnet32,0.0265,0.0226,4.587988920509815,4.574269712648609,0.013719204252331772,resnet32,0.0149,0.0154,4.61530989408493,4.601482955569571,0.013826935374130368,resnet32,0.0277,0.0286,4.591304264285347,4.5746685659343544,0.016635704682399097,resnet32,0.0154,0.0132,4.601649365641854,4.5902068682692265,0.01144249425917885,resnet32,0.0144,0.0162,4.590469226241112,4.5885109955614265,0.0019582274005436125,9000000.0,0.0,36000000.0,72000000.0,864000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,2,0.1,2,112.04,0.030799999999999994,0.01335440002396214,0.0105,0.0542,0.0505,0.01970000000000001,0.031149999999999997,0.049,0.7948151515151514,0.29627967875953903,0.7951106060606059,0.29355500503881804,0.030799999999999994,resnet32,0.0486,0.048,4.515302124348554,4.489323863928968,0.025978264209697954,resnet32,0.0542,0.053,4.505715775896203,4.468711025335572,0.03700475436529483,resnet32,0.0105,0.0114,4.660351340066303,4.609874694862149,0.05047665590642613,resnet32,0.0424,0.045,4.554969045926224,4.536698163910345,0.018270890695434486,resnet32,0.0402,0.039,4.549970902502537,4.5306959104808895,0.019275002047916958,resnet32,0.011,0.0116,4.630492787469517,4.609217848967422,0.02127493701912251,resnet32,0.0184,0.0178,4.6143734786998145,4.591477399522608,0.02289607883986636,resnet32,0.0317,0.0304,4.553243258460001,4.526297873394056,0.026945389358760705,resnet32,0.0263,0.0294,4.578640414909883,4.563441326672381,0.015199087966307574,resnet32,0.0269,0.0302,4.556037879125639,4.535307086326859,0.02073079037257809,resnet32,0.0244,0.0222,4.589396086606112,4.5728238909081975,0.016572203278139404,resnet32,0.035,0.0358,4.589354414154183,4.56765059449456,0.02170381629780009,9000000.0,0.0,36000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,3,0.1,2,116.8,0.04889166666666667,0.020068941939114668,0.0118,0.0842,0.0673,0.018408333333333332,0.04745,0.0644,0.7136666666666663,0.36218897839926456,0.716539393939394,0.3725052794701065,0.04889166666666667,resnet32,0.0749,0.071,4.43958293511109,4.411135699261319,0.028447242781773886,resnet32,0.0842,0.0824,4.454043234613809,4.395433058115569,0.058610178202136674,resnet32,0.0118,0.0124,4.696210387078199,4.608130066909573,0.08808032474586401,resnet32,0.059,0.054,4.506424032151699,4.471457788212732,0.03496624522218057,resnet32,0.0516,0.0518,4.5141942067579786,4.479782428931106,0.03441178272160786,resnet32,0.0147,0.011,4.658159439536658,4.60652840543877,0.05163103606371971,resnet32,0.0373,0.0358,4.576709548180753,4.534850206564773,0.04185934138844128,resnet32,0.0556,0.0502,4.479803117838773,4.449341295117682,0.030461821395543997,resnet32,0.0475,0.05,4.4870052181861615,4.473464015532624,0.013541204898501746,resnet32,0.0539,0.0558,4.486194176430052,4.471404548395764,0.014789620451417497,resnet32,0.0432,0.0434,4.511089247736064,4.492026473310861,0.019062780964304693,resnet32,0.053,0.0516,4.50281991741874,4.475182781165296,0.027637135848635808,9000000.0,0.0,36000000.0,144000000.0,1728000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,4,0.1,2,113.0,0.06309166666666667,0.014170771464140156,0.0427,0.0875,0.0755,0.012408333333333327,0.06626666666666667,0.0788,0.6127151515151518,0.5000053695049751,0.6135560606060604,0.5047100756161674,0.06309166666666667,resnet32,0.084,0.0948,4.377169103784994,4.348703901198777,0.028465199366275392,resnet32,0.0875,0.095,4.385043466633016,4.332672093402255,0.05237136781480248,resnet32,0.0433,0.0442,4.56942267851396,4.504753568633036,0.06466911219864745,resnet32,0.0681,0.0704,4.443621344864368,4.415481168438088,0.02814018248781477,resnet32,0.0485,0.0532,4.465539645742286,4.434762508354404,0.030777133101682095,resnet32,0.0427,0.0468,4.570798975500193,4.5237645012411205,0.04703448082595556,resnet32,0.0517,0.0554,4.480031206526539,4.4438933736898685,0.03613783774992705,resnet32,0.0603,0.0604,4.416610545055433,4.394263936037367,0.022346612019728953,resnet32,0.0593,0.0582,4.420178691094572,4.404808024113828,0.01537066503210967,resnet32,0.0697,0.0664,4.4106188518079845,4.395713785155253,0.01490506972715428,resnet32,0.0687,0.0718,4.420162931761959,4.402768154035915,0.017394775780055417,resnet32,0.0733,0.0786,4.426530101759867,4.400093845345757,0.02643625111721287,9000000.0,0.0,36000000.0,180000000.0,2160000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,5,0.1,2,113.99,0.08628333333333334,0.013368173231805293,0.0685,0.1156,0.0958,0.00951666666666666,0.08963333333333334,0.1022,0.5218939393939394,0.5909413486319813,0.5257303030303032,0.5968547381550071,0.08628333333333334,resnet32,0.1061,0.1088,4.324990963732654,4.2958932024511425,0.029097761956191705,resnet32,0.1156,0.1188,4.325121954083443,4.28135664828799,0.04376529918094589,resnet32,0.0749,0.078,4.4457056427543815,4.4009382562203845,0.04476738881467926,resnet32,0.0834,0.0888,4.3836527222936805,4.358766834166917,0.024885882438287477,resnet32,0.08,0.082,4.408740660683676,4.386351882056757,0.022388787104070863,resnet32,0.0685,0.071,4.426548660478809,4.40504174340855,0.02150691695648923,resnet32,0.0693,0.0758,4.407247464765202,4.381848552010276,0.025398918649774383,resnet32,0.0855,0.0894,4.366130068898201,4.34014280275865,0.02598726510239596,resnet32,0.0854,0.0878,4.366974803534421,4.345989480614662,0.020985325504708188,resnet32,0.0961,0.1002,4.356626109643416,4.333958096463572,0.022668004054470326,resnet32,0.0876,0.0912,4.370706125416539,4.344876392998478,0.02582973641851409,resnet32,0.083,0.0838,4.363273909823461,4.3340005265040835,0.029273383261170238,9000000.0,0.0,36000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,6,0.1,2,116.78,0.12485833333333334,0.011906052965707072,0.1058,0.1464,0.1458,0.020941666666666678,0.12723333333333334,0.1492,0.6138212121212122,0.5449637725700368,0.6215015151515153,0.5453768281828768,0.12485833333333334,resnet32,0.141,0.1424,4.285528180951422,4.25206245617433,0.03346572644923898,resnet32,0.1464,0.1514,4.276422735980966,4.236959976228801,0.039462760990400886,resnet32,0.1142,0.1208,4.356588457457044,4.317961420525204,0.03862703427016227,resnet32,0.1177,0.1268,4.329619814049114,4.301885673606938,0.02773414680533196,resnet32,0.1323,0.1344,4.349355528300459,4.32270029254935,0.026655234057794918,resnet32,0.1058,0.1066,4.360322936692021,4.334168499504978,0.02615443157529543,resnet32,0.1161,0.1112,4.345033126459881,4.318318775770339,0.026714357327860358,resnet32,0.1248,0.1216,4.319007443094796,4.290483835745942,0.02852360688848421,resnet32,0.1339,0.1336,4.313599860803648,4.287026396190578,0.02657345932146365,resnet32,0.1298,0.136,4.303559752689167,4.275007026439363,0.02855272487663156,resnet32,0.1104,0.1144,4.319542094049129,4.288838440721685,0.030703656481240283,resnet32,0.1259,0.1276,4.310805016620592,4.2783413752913475,0.03246364929046566,9000000.0,0.0,36000000.0,252000000.0,3024000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,7,0.1,2,116.96,0.14021666666666666,0.012970597090685102,0.1109,0.1586,0.1549,0.014683333333333354,0.13981666666666667,0.1534,0.5677606060606061,0.6085431556479475,0.5717439393939392,0.5995135262951611,0.14021666666666666,resnet32,0.1492,0.1518,4.24490634622899,4.204067255285653,0.040839099666548216,resnet32,0.1503,0.1528,4.22561594302004,4.1845822910016235,0.04103364444083788,resnet32,0.1109,0.1138,4.285457258536057,4.2448229451071136,0.04063431406393647,resnet32,0.1326,0.1316,4.286797914315354,4.253113274208524,0.033684642093827606,resnet32,0.131,0.1298,4.294115777042779,4.263286423615434,0.030829367074395785,resnet32,0.1262,0.1238,4.304759666662324,4.274615182456645,0.030144481983205133,resnet32,0.1361,0.1342,4.290331557054412,4.258199969814583,0.032131585239602085,resnet32,0.1586,0.154,4.266846520318226,4.231431116434661,0.03541540584675121,resnet32,0.152,0.1486,4.258506332270124,4.225321764973077,0.03318456294470128,resnet32,0.1406,0.1438,4.248148445039988,4.2141280238601295,0.034020421507937666,resnet32,0.1433,0.148,4.264671829952435,4.227216691456058,0.037455128878884185,resnet32,0.1518,0.1456,4.254178506745533,4.213349862870845,0.04082864526638084,9000000.0,0.0,36000000.0,288000000.0,3456000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,8,0.1,2,116.75,0.15399166666666667,0.008100047153497866,0.141,0.1694,0.1731,0.01910833333333334,0.15373333333333336,0.1732,0.5339424242424242,0.6065944517625906,0.5417060606060606,0.605141453841324,0.15399166666666667,resnet32,0.1578,0.157,4.206728355789727,4.158703179183331,0.048025186131284994,resnet32,0.15,0.1536,4.18512961268425,4.139935061674226,0.04519455188842998,resnet32,0.1578,0.1574,4.233553054319187,4.187605365772139,0.04594769200775772,resnet32,0.1503,0.147,4.250982464714483,4.2098472819409585,0.04113518688774837,resnet32,0.141,0.145,4.251122108575973,4.214388017627326,0.03673408146344379,resnet32,0.1441,0.1448,4.258446602658792,4.2228726788677955,0.03557392335443927,resnet32,0.1529,0.1448,4.246947454796596,4.208128928799521,0.038818533709590236,resnet32,0.1677,0.1654,4.220066120340065,4.17877189882777,0.04129422187741676,resnet32,0.1493,0.1532,4.210883365436033,4.173910556869074,0.03697280631009066,resnet32,0.1564,0.159,4.203864823349497,4.166656451807781,0.03720837061833167,resnet32,0.1512,0.1522,4.216382204131647,4.174876693974841,0.04150552035372874,resnet32,0.1694,0.1654,4.203083008527756,4.155402361330661,0.04768064713888717,9000000.0,0.0,36000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-ring_noise40_seed0005_d011,d011,resnet32:12,cifar100,12,topology,topo-ring,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.4,0.398956,42,0,45000,5000,10000,5640048,9,0.1,2,116.94,0.18481666666666666,0.011563508214301672,0.1584,0.201,0.2047,0.019883333333333336,0.18945,0.2102,0.5390818181818182,0.6385302615418201,0.5467560606060606,0.620149860052708,0.18481666666666666,resnet32,0.1881,0.1946,4.166553327983076,4.113163540309126,0.0533897796465846,resnet32,0.1947,0.1986,4.141367362304167,4.091058895330537,0.05030845980350436,resnet32,0.1936,0.1928,4.192459292709827,4.140401290898973,0.05205800962655551,resnet32,0.1584,0.1644,4.218953064896843,4.170741832391783,0.04821123052600094,resnet32,0.1833,0.1862,4.209767536683516,4.166672612794421,0.0430949208040891,resnet32,0.1723,0.1734,4.216208986938,4.173700262199748,0.04250872518274595,resnet32,0.1872,0.191,4.200378484007987,4.153826281428337,0.04655220437350429,resnet32,0.1957,0.202,4.173977723853155,4.126337879422036,0.047639841118573466,resnet32,0.1895,0.1926,4.165349799123677,4.122625967657024,0.04272382119035518,resnet32,0.181,0.1884,4.157293107360601,4.11410039189187,0.04319271889769218,resnet32,0.173,0.1824,4.168298395181244,4.121415152807128,0.04688324679260735,resnet32,0.201,0.207,4.157477949830619,4.104604666544632,0.05287328410089354,9000000.0,0.0,36000000.0,360000000.0,4320000000.0
