run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,0,0.1,3,184.8,0.016058333333333334,0.0023210839182493076,0.0107,0.0199,0.0317,0.015641666666666665,0.017916666666666668,0.0328,0.4868606060606059,0.4544782347982442,0.4839863636363637,0.44761365837279876,0.016058333333333334,resnet32,0.0107,0.0114,4.719940275631168,4.642419966107065,0.07752030657055994,resnet32,0.0155,0.0184,4.709111095152118,4.6450653137131175,0.06404578136863909,resnet32,0.0148,0.0162,4.735282195562666,4.651950756934556,0.08333143249671014,resnet32,0.0139,0.0154,4.723179391839287,4.651232579215006,0.07194680617373127,resnet32,0.015,0.0164,4.701335207982496,4.638932853937149,0.062402353799288074,resnet32,0.0199,0.0214,4.712546829472888,4.633240714669228,0.0793061233998742,resnet32,0.0185,0.0198,4.714017152786255,4.638890515674245,0.07512663289336077,resnet32,0.0157,0.0182,4.713771695440466,4.63155792450363,0.08221376829715155,resnet32,0.0177,0.0196,4.7165317088365555,4.644975417716936,0.07155629797001563,resnet32,0.0161,0.0194,4.736312208527869,4.644206483255733,0.09210572085719998,resnet32,0.0181,0.018,4.677295661785386,4.6217904409224335,0.0555052291545673,resnet32,0.0168,0.0208,4.697272956371307,4.624662856486711,0.07261010541994685,13500000.0,0.0,54000000.0,54000000.0,648000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,1,0.1,3,183.07,0.02679166666666667,0.009654831116538956,0.0101,0.047,0.0427,0.015908333333333333,0.02836666666666667,0.0458,0.7646454545454547,0.25735185300187396,0.764742424242424,0.25321047852541084,0.02679166666666667,resnet32,0.0101,0.0112,4.6222949624061584,4.608886830508709,0.013408134516132784,resnet32,0.0234,0.0266,4.601925781504675,4.587077991528944,0.014847787614350884,resnet32,0.0184,0.0198,4.596197033470327,4.57217747989026,0.02401955730138897,resnet32,0.0212,0.0218,4.5968468920751056,4.57706455276771,0.019782338164408098,resnet32,0.0318,0.035,4.58023744889281,4.566295397552577,0.013942053530957888,resnet32,0.0387,0.0418,4.588254255327311,4.570162290876562,0.018091973061514596,resnet32,0.0317,0.0328,4.576500849967653,4.556604801931164,0.019896040392764422,resnet32,0.0243,0.0238,4.587325986813415,4.571159589019689,0.016166400028106927,resnet32,0.0181,0.0194,4.601094025102529,4.5862251289866185,0.01486889189717741,resnet32,0.0239,0.0242,4.583888798952103,4.568332302299413,0.015556499520740048,resnet32,0.047,0.0494,4.557762451469898,4.543480724773624,0.014281721935648502,resnet32,0.0329,0.0346,4.58099277317524,4.559745218266141,0.021247546610538848,13500000.0,0.0,54000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,2,0.1,3,182.89,0.044775,0.01608115486109958,0.011,0.0656,0.0592,0.014425,0.04581666666666667,0.0578,0.6834484848484846,0.3589552758576011,0.6826181818181819,0.3867971753543909,0.044775,resnet32,0.011,0.011,4.6627683815631,4.607154684987935,0.05561369436591948,resnet32,0.0467,0.047,4.5362216478044335,4.5044917315244675,0.031729914542996666,resnet32,0.0247,0.0248,4.574988678775051,4.538863877003843,0.03612479714105244,resnet32,0.042,0.0444,4.56520650671287,4.527792077172887,0.03741442422456616,resnet32,0.0582,0.0576,4.488817988471552,4.4670419069853695,0.0217760865700918,resnet32,0.0625,0.0626,4.492333818565715,4.45002712986686,0.04230669106684879,resnet32,0.0577,0.0586,4.51199334250255,4.479379240762103,0.0326141057991084,resnet32,0.0333,0.0346,4.550588983703744,4.524602371183309,0.02598660803712185,resnet32,0.0518,0.0532,4.556106014007872,4.523423822766,0.032682191842468455,resnet32,0.0306,0.032,4.562894285402515,4.538212797858498,0.024681480589523828,resnet32,0.0656,0.069,4.466377787292004,4.442647824233228,0.02372995916812215,resnet32,0.0532,0.055,4.486624616113576,4.462379246272824,0.024245363306942058,13500000.0,0.0,54000000.0,162000000.0,1944000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,3,0.1,3,183.12,0.06350833333333332,0.01828681028926465,0.037,0.0973,0.0816,0.018091666666666686,0.06123333333333334,0.0808,0.6655242424242425,0.4109166817362417,0.6683651515151516,0.43208251782053986,0.06350833333333332,resnet32,0.0441,0.0406,4.562670198353854,4.511473259465261,0.051196946818064054,resnet32,0.0705,0.0726,4.437066812406886,4.41822212189436,0.018844699038626542,resnet32,0.0438,0.0442,4.488939900289882,4.45880061794411,0.03013928114193153,resnet32,0.037,0.036,4.467103072865442,4.43564897166057,0.031454101284246215,resnet32,0.0677,0.0668,4.424681599844586,4.404864516447891,0.01981708306729243,resnet32,0.0813,0.0768,4.420991591431878,4.379869131879373,0.04112245063879527,resnet32,0.0724,0.0678,4.443173130804842,4.40962302820249,0.03355010983597657,resnet32,0.0502,0.0488,4.482944637537003,4.453498213805935,0.029446427337296136,resnet32,0.0684,0.0662,4.452580026604912,4.425762958147309,0.026817064348671756,resnet32,0.0455,0.044,4.523822123354131,4.4851568598638885,0.038665260855023836,resnet32,0.0973,0.0922,4.398654239421541,4.376200457188216,0.02245378592554268,resnet32,0.0839,0.0788,4.416906159032475,4.394048568199981,0.022857591238624245,13500000.0,0.0,54000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,4,0.1,3,183.45,0.0947,0.01930889259728101,0.0461,0.113,0.1108,0.01609999999999999,0.09708333333333334,0.12,0.6192242424242426,0.5154331264740074,0.6214545454545454,0.5286478713374834,0.0947,resnet32,0.0812,0.0828,4.4296048473228105,4.398822491141883,0.03078235769697296,resnet32,0.1036,0.107,4.376556384969842,4.350021661005237,0.026534724816552956,resnet32,0.0461,0.0418,4.424881299788302,4.3967736763033,0.028107627146792682,resnet32,0.0749,0.0828,4.407461216503924,4.3758096708492795,0.03165154811524024,resnet32,0.113,0.1126,4.360089507969943,4.3343378603458405,0.025751634818417104,resnet32,0.1099,0.1046,4.350749025967988,4.316997528753498,0.033751496209085664,resnet32,0.1052,0.11,4.380601779303768,4.347082880410281,0.03351888897437179,resnet32,0.0932,0.0946,4.408457000824538,4.377844639122486,0.03061236521832391,resnet32,0.1068,0.107,4.3879839364777915,4.35887710750103,0.02910682315599512,resnet32,0.0822,0.0892,4.43969395079396,4.40601118450815,0.03368276610854082,resnet32,0.1103,0.1106,4.338455092500556,4.311657568947836,0.02679752769340253,resnet32,0.11,0.122,4.354216125201095,4.3256528018550435,0.028563305690609428,13500000.0,0.0,54000000.0,270000000.0,3240000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,5,0.1,3,183.27,0.10605833333333335,0.012987523393198908,0.093,0.1379,0.1199,0.013841666666666655,0.10478333333333334,0.1208,0.5787151515151516,0.5729588691232572,0.5826409090909089,0.563209371938754,0.10605833333333335,resnet32,0.0942,0.096,4.354089866307649,4.321221345188943,0.032868524232815784,resnet32,0.1176,0.1146,4.320445972071453,4.290835266763514,0.02961070387126793,resnet32,0.0958,0.0966,4.36941706050526,4.335825785655867,0.03359127076427368,resnet32,0.1073,0.1058,4.345509577203881,4.312392715026032,0.033116862855174324,resnet32,0.1111,0.1084,4.307643343101848,4.27866422588175,0.028979112161323428,resnet32,0.1105,0.1066,4.3027438203042205,4.268587221476165,0.03415659679343331,resnet32,0.1169,0.1192,4.323719818483699,4.2870740565386685,0.03664576358807443,resnet32,0.0967,0.0964,4.35420828007839,4.320522055707195,0.03368621860863641,resnet32,0.0954,0.0948,4.32694333825599,4.2952684150500735,0.031674923044523566,resnet32,0.093,0.091,4.376977083357898,4.340582680295814,0.0363944078351117,resnet32,0.1379,0.128,4.286833348260685,4.256818893280896,0.030014453127726236,resnet32,0.0963,0.1,4.305003966458819,4.274270588362759,0.03073338035028428,13500000.0,0.0,54000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,6,0.1,3,183.15,0.13235,0.011255109950595777,0.1119,0.1486,0.1483,0.015949999999999992,0.13701666666666668,0.1546,0.5523242424242426,0.5914746730868694,0.5528106060606061,0.5938313194201246,0.13235,resnet32,0.13,0.1374,4.3007672608576035,4.265067278661511,0.03569998078058812,resnet32,0.1395,0.1374,4.2728242681107735,4.239749965681271,0.033074305379572747,resnet32,0.1246,0.1354,4.3197257894683965,4.28240445222367,0.037321340782165695,resnet32,0.1182,0.1264,4.2902667647735635,4.255542496049946,0.0347242699671452,resnet32,0.1358,0.1388,4.262741663239219,4.228121675550938,0.034619989651466974,resnet32,0.1481,0.1594,4.25592506270517,4.217544389041987,0.038380679886110804,resnet32,0.1412,0.1468,4.268315345387567,4.22858420082114,0.039731144378575584,resnet32,0.121,0.1272,4.306727672842416,4.269854321737181,0.03687334931138056,resnet32,0.13,0.1298,4.280069437555292,4.245712886479768,0.03435655799429779,resnet32,0.1119,0.1128,4.325302330607718,4.287211482836441,0.03809085074515844,resnet32,0.1486,0.1526,4.239597914232449,4.20470393686132,0.03489398377661763,resnet32,0.1393,0.1402,4.259692014618353,4.223859017884189,0.03583299672622657,13500000.0,0.0,54000000.0,378000000.0,4536000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,7,0.1,3,183.11,0.1643166666666667,0.012974066012198677,0.1462,0.193,0.1817,0.017383333333333306,0.16321666666666668,0.1814,0.517051515151515,0.6406993301983589,0.5217015151515151,0.6363736226348952,0.1643166666666667,resnet32,0.1636,0.1614,4.24955528466539,4.207497300749475,0.042057979211676866,resnet32,0.1462,0.1468,4.2277263612909755,4.188851500099355,0.03887486192186109,resnet32,0.1589,0.1608,4.263021925972267,4.220298238775947,0.042723672654987735,resnet32,0.1616,0.156,4.24193634736267,4.20106889815493,0.04086746036244387,resnet32,0.1625,0.162,4.217819858342409,4.177853913131085,0.03996594263431193,resnet32,0.1744,0.1734,4.208721001717177,4.163874667137861,0.04484633494972844,resnet32,0.1617,0.1574,4.216044231233272,4.171570630574768,0.044473604336169294,resnet32,0.1582,0.1566,4.254224214025519,4.210956513204358,0.043267699985087595,resnet32,0.1621,0.1656,4.2294332466342235,4.189511663195762,0.03992158104136417,resnet32,0.1464,0.1486,4.2695190886204895,4.225561471486634,0.043957621869842776,resnet32,0.193,0.1872,4.193090908229351,4.152643751691688,0.04044715605612675,resnet32,0.1832,0.1828,4.209557609124617,4.167594885961576,0.04196271949066696,13500000.0,0.0,54000000.0,432000000.0,5184000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,8,0.1,3,183.2,0.17137499999999997,0.012269822397519321,0.1533,0.1964,0.1901,0.01872500000000002,0.1733,0.194,0.5124969696969699,0.6273912361288656,0.515821212121212,0.632616474664058,0.17137499999999997,resnet32,0.1616,0.1638,4.1972624595192345,4.150283497842875,0.04697895547988909,resnet32,0.1672,0.1628,4.179251899434761,4.134295736524192,0.04495615711626173,resnet32,0.1771,0.1784,4.209234544160691,4.161139975555918,0.048094575616150076,resnet32,0.1689,0.1728,4.19266531447118,4.145774624225768,0.046890687742482194,resnet32,0.1829,0.1814,4.176100220531225,4.130404863167893,0.045695353733291005,resnet32,0.1807,0.1792,4.170174180445346,4.121648313308304,0.048525859839917924,resnet32,0.1842,0.186,4.171205719086257,4.122303429313681,0.048902291238350284,resnet32,0.1533,0.1612,4.210596026344732,4.161819526756352,0.04877650073665956,resnet32,0.1619,0.171,4.186508158391172,4.140615807676857,0.04589234115238386,resnet32,0.1581,0.16,4.221558632159775,4.172063168138266,0.049495465984695,resnet32,0.1964,0.1928,4.15054244988344,4.1045941050079735,0.045948345981411294,resnet32,0.1642,0.1702,4.164817031472921,4.11724501509558,0.04757202203935859,13500000.0,0.0,54000000.0,486000000.0,5832000000.0
resnet32x12_cifar100_K12_topo-rregular3_noise40_seed0001_d011,d011,resnet32:12,cifar100,12,topology,topo-rregular3,peers,1,200,64,0.1,0.9,0.0005,True,1,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.4,0.398956,42,0,45000,5000,10000,5640048,9,0.1,3,183.16,0.19035833333333332,0.011492712062675001,0.1746,0.2148,0.2098,0.019441666666666663,0.19028333333333333,0.2116,0.5270545454545453,0.6331581965794664,0.5320106060606059,0.6318876160380313,0.19035833333333332,resnet32,0.1874,0.1866,4.1488055834038695,4.095941545949741,0.05286403325788507,resnet32,0.1852,0.1826,4.136826208369299,4.088079998439008,0.04874620239504359,resnet32,0.1945,0.192,4.1622446995567195,4.108528129756451,0.053716575536368924,resnet32,0.1748,0.1736,4.146629742600701,4.094977733086456,0.05165199648631229,resnet32,0.1993,0.1988,4.136846657503735,4.086645059964874,0.05020159877709706,resnet32,0.1974,0.1938,4.132840331982482,4.079933885823596,0.05290644703729248,resnet32,0.197,0.1984,4.12769039246169,4.073955027894541,0.05373536466769027,resnet32,0.1867,0.1824,4.165966117246584,4.112515519288453,0.053450601725754415,resnet32,0.1746,0.1842,4.146640338003635,4.096570447087288,0.05006989574229175,resnet32,0.1757,0.1728,4.171954271468249,4.118121287023479,0.053832982582124794,resnet32,0.1969,0.2088,4.114131419834766,4.064204906198111,0.04992650928695432,resnet32,0.2148,0.2094,4.126995905556462,4.075303809209303,0.051692090224770997,13500000.0,0.0,54000000.0,540000000.0,6480000000.0
