run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,0,3,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,1,2,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,4,5,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,6,7,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,8,9,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,0,0,10,11,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,0,7,lenet,lenet,0.767200,0.767200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,1,6,lenet,lenet,0.753400,0.753400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,2,9,lenet,lenet,0.923600,0.923600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,3,10,lenet,lenet,0.748800,0.748800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,4,11,lenet,lenet,0.835600,0.835600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,1,0,5,8,lenet,lenet,0.966800,0.966800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,0,5,lenet,lenet,0.997600,0.997600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,1,2,lenet,lenet,0.650600,0.650600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,3,11,lenet,lenet,0.820800,0.820800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,4,8,lenet,lenet,0.774400,0.774400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,6,9,lenet,lenet,0.804600,0.804600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,2,0,7,10,lenet,lenet,0.703000,0.703000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,0,9,lenet,lenet,0.784000,0.784000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,1,5,lenet,lenet,0.997400,0.997400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,2,11,lenet,lenet,0.792200,0.792200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,3,4,lenet,lenet,0.879400,0.879400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,6,10,lenet,lenet,0.766800,0.766800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,3,0,7,8,lenet,lenet,0.802400,0.802400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,0,6,lenet,lenet,0.850800,0.850800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,1,7,lenet,lenet,0.887400,0.887400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,2,9,lenet,lenet,0.906800,0.906800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,3,11,lenet,lenet,0.921400,0.921400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,4,10,lenet,lenet,0.960200,0.960200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,4,0,5,8,lenet,lenet,0.964400,0.964400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,0,8,lenet,lenet,0.783000,0.783000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,1,4,lenet,lenet,0.869400,0.869400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,2,6,lenet,lenet,0.789800,0.789800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,3,7,lenet,lenet,0.821000,0.821000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,5,11,lenet,lenet,0.995600,0.995600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,5,0,9,10,lenet,lenet,0.789800,0.789800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,0,7,lenet,lenet,0.863800,0.863800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,1,5,lenet,lenet,0.984400,0.984400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,2,10,lenet,lenet,0.902000,0.902000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,3,11,lenet,lenet,0.931800,0.931800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,4,8,lenet,lenet,0.929800,0.929800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,6,0,6,9,lenet,lenet,0.943600,0.943600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,0,11,lenet,lenet,0.961000,0.961000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,1,6,lenet,lenet,0.906200,0.906200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,2,4,lenet,lenet,0.861200,0.861200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,3,7,lenet,lenet,0.874600,0.874600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,5,10,lenet,lenet,0.985400,0.985400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,7,0,8,9,lenet,lenet,0.910200,0.910200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,0,2,lenet,lenet,0.853400,0.853400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,1,5,lenet,lenet,0.997600,0.997600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,3,11,lenet,lenet,0.802600,0.802600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,4,10,lenet,lenet,0.827400,0.827400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,6,8,lenet,lenet,0.836200,0.836200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,8,0,7,9,lenet,lenet,0.867800,0.867800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,0,11,lenet,lenet,0.873000,0.873000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,1,4,lenet,lenet,0.840000,0.840000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,2,7,lenet,lenet,0.850800,0.850800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,3,5,lenet,lenet,0.983800,0.983800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,6,10,lenet,lenet,0.843600,0.843600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,9,0,8,9,lenet,lenet,0.815600,0.815600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,0,7,lenet,lenet,0.895000,0.895000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,1,9,lenet,lenet,0.839000,0.839000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,2,11,lenet,lenet,0.843400,0.843400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,3,6,lenet,lenet,0.854800,0.854800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,4,8,lenet,lenet,0.892600,0.892600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,10,0,5,10,lenet,lenet,0.997200,0.997200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,0,9,lenet,lenet,0.840600,0.840600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,1,6,lenet,lenet,0.782000,0.782000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,2,5,lenet,lenet,0.997800,0.997800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,3,4,lenet,lenet,0.819800,0.819800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,7,8,lenet,lenet,0.813400,0.813400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,11,0,10,11,lenet,lenet,0.836800,0.836800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,0,7,lenet,lenet,0.809800,0.809800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,1,2,lenet,lenet,0.806600,0.806600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,3,11,lenet,lenet,0.850200,0.850200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,4,6,lenet,lenet,0.831400,0.831400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,5,10,lenet,lenet,0.998200,0.998200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,12,0,8,9,lenet,lenet,0.793600,0.793600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,0,6,lenet,lenet,0.808000,0.808000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,1,11,lenet,lenet,0.886600,0.886600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,2,5,lenet,lenet,0.989200,0.989200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,3,7,lenet,lenet,0.843000,0.843000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,4,10,lenet,lenet,0.837400,0.837400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,13,0,8,9,lenet,lenet,0.803400,0.803400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,0,4,lenet,lenet,0.834000,0.834000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,1,9,lenet,lenet,0.861800,0.861800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,2,7,lenet,lenet,0.922200,0.922200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,3,11,lenet,lenet,0.827400,0.827400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,5,8,lenet,lenet,0.953400,0.953400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,14,0,6,10,lenet,lenet,0.865000,0.865000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,0,3,lenet,lenet,0.821800,0.821800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,1,6,lenet,lenet,0.817000,0.817000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,2,11,lenet,lenet,0.798200,0.798200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,4,8,lenet,lenet,0.865000,0.865000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,5,9,lenet,lenet,0.999800,0.999800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,15,0,7,10,lenet,lenet,0.810800,0.810800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,0,11,lenet,lenet,0.857000,0.857000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,1,4,lenet,lenet,0.875800,0.875800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,2,5,lenet,lenet,0.978600,0.978600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,3,7,lenet,lenet,0.880200,0.880200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,6,8,lenet,lenet,0.872200,0.872200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,16,0,9,10,lenet,lenet,0.870600,0.870600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,0,6,lenet,lenet,0.854200,0.854200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,1,11,lenet,lenet,0.862800,0.862800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,2,7,lenet,lenet,0.812800,0.812800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,3,9,lenet,lenet,0.834400,0.834400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,4,8,lenet,lenet,0.846400,0.846400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,17,0,5,10,lenet,lenet,0.989000,0.989000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,0,6,lenet,lenet,0.765800,0.765800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,1,4,lenet,lenet,0.953400,0.953400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,2,9,lenet,lenet,0.771800,0.771800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,3,5,lenet,lenet,0.996600,0.996600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,7,8,lenet,lenet,0.761000,0.761000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,18,0,10,11,lenet,lenet,0.772400,0.772400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,0,6,lenet,lenet,0.830800,0.830800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,1,10,lenet,lenet,0.828600,0.828600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,2,5,lenet,lenet,0.994600,0.994600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,3,7,lenet,lenet,0.841600,0.841600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,4,9,lenet,lenet,0.859400,0.859400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,19,0,8,11,lenet,lenet,0.856400,0.856400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,0,8,lenet,lenet,0.974200,0.974200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,1,11,lenet,lenet,0.990600,0.990600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,2,7,lenet,lenet,0.874000,0.874000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,3,5,lenet,lenet,0.984400,0.984400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,4,6,lenet,lenet,0.839600,0.839600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,20,0,9,10,lenet,lenet,0.831600,0.831600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,0,2,lenet,lenet,0.995600,0.995600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,1,6,lenet,lenet,0.989600,0.989600,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,3,10,lenet,lenet,0.865200,0.865200,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,4,5,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,7,8,lenet,lenet,0.993000,0.993000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,21,0,9,11,lenet,lenet,0.991800,0.991800,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,0,3,lenet,lenet,0.991400,0.991400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,1,4,lenet,lenet,0.997400,0.997400,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,2,5,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,6,7,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,8,9,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,22,0,10,11,lenet,lenet,1.000000,1.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,0,1,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,2,3,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,4,5,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,6,7,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,8,9,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,23,0,10,11,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,0,1,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,2,3,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,4,5,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,6,7,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,8,9,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,24,0,10,11,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,0,1,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,2,3,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,4,5,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,6,7,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,8,9,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,25,0,10,11,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,0,1,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,2,3,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,4,5,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,6,7,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,8,9,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,26,0,10,11,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,27,0,0,1,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,27,0,2,3,lenet,lenet,0.000000,0.000000,disagreement,exact,1
lenetx12_cifar100_K12_mwmd1_seed0003_d013,d013,27,0,4,5,lenet,lenet,0.000000,0.000000,disagreement,exact,1
