run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_lenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,0,0.1,3,23.74,0.04541666666666667,0.015646662760970965,0.0134,0.0655,0.0594,0.013983333333333334,0.046283333333333336,0.0608,0.7938575757575758,0.2808950628667538,0.7940757575757581,0.2631951337785709,0.04541666666666667,lenet,0.0483,0.0572,4.375647067346356,4.260844337669286,0.11480273308453351,lenet,0.033,0.0332,4.6836428994482215,4.533376438373869,0.15026645248260387,lenet,0.0134,0.0154,4.649699079042131,4.49988050555641,0.1498185753186011,lenet,0.0297,0.0272,4.389077540487051,4.280733088878068,0.10834446094072932,lenet,0.0479,0.0516,4.419850986112248,4.315785755826668,0.10406522286774073,lenet,0.0638,0.065,4.3834067339246925,4.254904699935154,0.12850203209481234,lenet,0.0655,0.0592,4.4231904074549675,4.313404233618216,0.10978617715293447,lenet,0.0635,0.0616,4.435716620900414,4.313423786312342,0.12229283990878188,lenet,0.0317,0.0308,4.570178506049243,4.44739568470554,0.12278281606135848,lenet,0.0502,0.0488,4.497585565190423,4.382031100717458,0.11555447321436739,lenet,0.0392,0.0432,4.462725465270606,4.357242924584583,0.10548254764249908,lenet,0.0588,0.0622,4.46541035852649,4.352837167002938,0.11257317884850306,13500000.0,0.0,54000000.0,54000000.0,648000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,1,0.1,3,23.83,0.06580833333333333,0.016979765326869376,0.0245,0.0907,0.0899,0.024091666666666664,0.06385,0.0852,0.7555242424242425,0.349505039603636,0.7599439393939391,0.34646481770708487,0.06580833333333333,lenet,0.063,0.061,4.266796190630306,4.105688527903774,0.16110767032527787,lenet,0.0532,0.0532,4.506139449775219,4.3224922760643745,0.18364718079101294,lenet,0.0245,0.0242,4.748780513351614,4.508160970427773,0.2406195488292724,lenet,0.0726,0.0704,4.342297684062611,4.181037871336395,0.1612598121494309,lenet,0.0807,0.0804,4.264923492277211,4.115978037091819,0.14894545063461093,lenet,0.0907,0.0846,4.239356348799034,4.045228418640115,0.1941279284867712,lenet,0.0836,0.084,4.255410425703634,4.101563347672874,0.1538470733318139,lenet,0.079,0.0742,4.31824491918087,4.140882174061104,0.17736275104636495,lenet,0.0613,0.0574,4.396145969629288,4.237835971469229,0.1583099975038997,lenet,0.0685,0.064,4.2515584067864856,4.103813926604661,0.1477444790547121,lenet,0.0565,0.0556,4.394511545923623,4.226486098359931,0.16802543902304024,lenet,0.0561,0.0572,4.316460608758709,4.157367025586692,0.1590935816586187,13500000.0,0.0,54000000.0,108000000.0,1296000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,2,0.1,3,23.14,0.06422499999999999,0.015189806066350333,0.0367,0.0888,0.0855,0.021275000000000016,0.06366666666666666,0.0874,0.7490727272727271,0.31741716859769964,0.7558924242424244,0.323647466045494,0.06422499999999999,lenet,0.0888,0.0858,4.200291668149558,4.0101863311773,0.19010534017897127,lenet,0.0678,0.067,4.348804211413318,4.160066349601204,0.1887378514829007,lenet,0.0403,0.0414,4.650066057389433,4.383009310473096,0.26705674278888514,lenet,0.0664,0.0664,4.210203343833035,4.0397991880097175,0.17040415252135557,lenet,0.0592,0.0586,4.227944596924565,4.045806894925508,0.18213770633817397,lenet,0.0641,0.0584,4.1886027749966495,3.9673242298039524,0.22127854127690874,lenet,0.0834,0.0872,4.20463754338297,4.015582409433343,0.1890551337062127,lenet,0.0821,0.0876,4.232533750208941,4.024832179261879,0.20770157160322097,lenet,0.0367,0.0332,4.490715009245005,4.265124306421388,0.22559069673827087,lenet,0.0556,0.0518,4.193979299203916,4.0210367871279065,0.17294250799088992,lenet,0.0669,0.0634,4.33127131990411,4.13064890761267,0.2006224151700735,lenet,0.0594,0.0632,4.295835994861343,4.11837135898796,0.1774646325925873,13500000.0,0.0,54000000.0,162000000.0,1944000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,3,0.1,3,23.1,0.07424166666666666,0.023379031143788278,0.01,0.0965,0.117,0.04275833333333334,0.074,0.114,0.8592666666666666,0.2526124919026667,0.8612984848484849,0.27667056194855355,0.07424166666666666,lenet,0.0965,0.0926,4.123278675092892,3.918181850490245,0.2050968209091066,lenet,0.01,0.0088,4.935692874545401,4.577724334868518,0.35796853087165137,lenet,0.0684,0.0674,4.44483384964141,4.1952312947674235,0.2496025604619221,lenet,0.0851,0.091,4.148955949666825,3.967445160177621,0.18151078739372845,lenet,0.0876,0.0896,4.194881676611575,4.000827393748543,0.19405427784658968,lenet,0.0552,0.0558,4.186911412260749,3.933098106221719,0.2538133068221875,lenet,0.074,0.0696,4.199146819046953,3.971682494675571,0.2274643318854611,lenet,0.0959,0.0926,4.169745698571205,3.9505147127942606,0.2192309852054512,lenet,0.059,0.058,4.413823405111378,4.189351739531213,0.2244716656859964,lenet,0.0797,0.0814,4.161062036725608,3.978804082355716,0.1822579510679299,lenet,0.0858,0.089,4.189772482961416,3.991072152487256,0.19870032755319367,lenet,0.0937,0.0922,4.225191814655608,4.000035282563079,0.22515653321434828,13500000.0,0.0,54000000.0,216000000.0,2592000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,4,0.1,3,23.0,0.08812500000000001,0.017928893115118215,0.0354,0.1017,0.1137,0.025574999999999987,0.08768333333333334,0.1118,0.7520727272727271,0.4124675275505349,0.7591348484848482,0.40173006198305533,0.08812500000000001,lenet,0.1017,0.0976,4.105984388088638,3.898919524794275,0.2070648631038652,lenet,0.0354,0.0388,4.817255693403157,4.458440452814102,0.3588152313816615,lenet,0.0782,0.0786,4.3255113800140945,4.074182835830883,0.25132854632101953,lenet,0.0964,0.099,4.121610370887951,3.9244888543405314,0.197121514451944,lenet,0.0894,0.088,4.152810357849706,3.9495864425870506,0.20322391716763377,lenet,0.1017,0.097,4.15667257390239,3.8983188068324868,0.25835377037186513,lenet,0.0998,0.0978,4.165182197974487,3.922851837494157,0.24233037193136459,lenet,0.092,0.0924,4.240390787747773,4.007408485832539,0.23298230138607323,lenet,0.0749,0.0746,4.211496724323793,4.007146848534996,0.20434988118623468,lenet,0.0985,0.0972,4.117240810258822,3.919854615222324,0.19738619645464828,lenet,0.0917,0.0972,4.147359197451309,3.9360554137013177,0.21130378436381844,lenet,0.0978,0.094,4.162572462789037,3.9211636131460015,0.24140886225822297,13500000.0,0.0,54000000.0,270000000.0,3240000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,5,0.1,3,22.88,0.07955833333333333,0.019123173478502172,0.0304,0.0986,0.1041,0.02454166666666667,0.07735,0.1052,0.805248484848485,0.3176971848859411,0.8051181818181817,0.33349087578599157,0.07955833333333333,lenet,0.0975,0.094,4.0714221918447455,3.853846641088074,0.2175755541009659,lenet,0.06,0.0586,4.604087440127676,4.266662650826302,0.33742479006336495,lenet,0.064,0.0622,4.299009752883152,4.02457229454409,0.2744374529204585,lenet,0.0722,0.0676,4.105478805235841,3.8880651149560106,0.21741369275630198,lenet,0.0846,0.0854,4.144420955330133,3.924462729218331,0.2199582147454335,lenet,0.0873,0.0918,4.124980827624148,3.8533544652163982,0.27162637197497214,lenet,0.0986,0.0916,4.123230734670704,3.873293460092761,0.24993726158175955,lenet,0.0871,0.08,4.142892085354436,3.9052784012799915,0.23761368422261017,lenet,0.0304,0.0322,4.160105180672624,3.9461363079872998,0.21396886428225448,lenet,0.0886,0.0822,4.086847141046416,3.8736771050501955,0.21317003136077387,lenet,0.0865,0.0824,4.14000029489398,3.9085727645592256,0.23142752891660415,lenet,0.0979,0.1002,4.145333267409693,3.8941227339885454,0.25121053676544264,13500000.0,0.0,54000000.0,324000000.0,3888000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,6,0.1,3,22.88,0.09064166666666668,0.018718104352619568,0.0616,0.1227,0.1303,0.03965833333333332,0.09073333333333335,0.1322,0.8083727272727271,0.32599284714441473,0.8145015151515149,0.3294929805394555,0.09064166666666668,lenet,0.1062,0.1026,4.0597093576057395,3.8342277871614154,0.2254815655760467,lenet,0.0622,0.0668,4.356472265313972,4.064277202568271,0.29219506145454943,lenet,0.0722,0.0764,4.294685711914843,4.006487346846949,0.2881983561568301,lenet,0.0788,0.0764,4.115487775003368,3.8839684758674013,0.23151929598216983,lenet,0.1035,0.1066,4.147316261448643,3.9152546640146864,0.23206159806894985,lenet,0.1227,0.1218,4.113734981891784,3.8493802476335657,0.2643547416452996,lenet,0.1053,0.1018,4.099007208238948,3.8552538231015205,0.24375338581475345,lenet,0.0804,0.083,4.156591255556453,3.9063119898465546,0.25027926541356876,lenet,0.0616,0.0592,4.12661058015444,3.90592512962493,0.22068545084700666,lenet,0.0894,0.0952,4.095518779348243,3.86883929270235,0.2266794909426773,lenet,0.0992,0.0938,4.128461110998284,3.8839021907611326,0.2445589228617874,lenet,0.1062,0.1052,4.123496045443145,3.8752539262852888,0.24824211972934956,13500000.0,0.0,54000000.0,378000000.0,4536000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,7,0.1,3,23.11,0.09878333333333333,0.028088041148423924,0.0247,0.122,0.142,0.04321666666666665,0.09685,0.1304,0.7835909090909091,0.34622014452288863,0.7915075757575759,0.34688239021340783,0.09878333333333333,lenet,0.1158,0.1096,4.052643465386196,3.823790117759596,0.2288533429488201,lenet,0.0247,0.0246,4.817927504127676,4.420282509516586,0.3976449953307482,lenet,0.0899,0.0898,4.2835276831280105,3.989047476852482,0.29448020890016446,lenet,0.1158,0.1162,4.073879274454984,3.8407870063727554,0.2330922668545761,lenet,0.0563,0.055,4.0823934999379246,3.8554729013280435,0.22692059803838757,lenet,0.122,0.1206,4.115038868039846,3.8235688964751633,0.29146996669640596,lenet,0.1151,0.115,4.144043374129317,3.876703668724407,0.26733969583768735,lenet,0.1115,0.1088,4.108155604790557,3.858571654354984,0.24958395794965327,lenet,0.1042,0.1014,4.093346820974892,3.8729842450808394,0.22036257868802006,lenet,0.1142,0.111,4.075782955031503,3.846498668193817,0.22928428563120012,lenet,0.1004,0.0992,4.097039101814682,3.8511196849021045,0.2459194160870869,lenet,0.1155,0.111,4.1300373690372165,3.851076824759895,0.2789605494419282,13500000.0,0.0,54000000.0,432000000.0,5184000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,8,0.1,3,23.09,0.10484166666666665,0.014531543754497965,0.0684,0.1205,0.1453,0.04045833333333336,0.10473333333333333,0.1396,0.7620818181818184,0.35273793052156016,0.7706772727272727,0.3561144954695443,0.10484166666666665,lenet,0.1186,0.11,4.049567160281268,3.806976628574458,0.24259052889167584,lenet,0.0684,0.0734,4.491321560672739,4.159464140168645,0.3318574206310917,lenet,0.0903,0.0846,4.279121848669919,3.9719500585713168,0.30717178173786536,lenet,0.0962,0.0998,4.063908401876688,3.8160647726194425,0.24784363037906587,lenet,0.0983,0.1042,4.092351719059727,3.8476501009003683,0.2447016180111942,lenet,0.1205,0.116,4.133945325897499,3.849678145890886,0.2842671766411513,lenet,0.1169,0.1158,4.077872621064836,3.813473868437789,0.26439875341020525,lenet,0.106,0.1088,4.10350157388232,3.842319413680922,0.26118215812708845,lenet,0.1012,0.0976,4.105839975178242,3.869471274316311,0.23636869815262881,lenet,0.1188,0.1178,4.060341715812683,3.8129604573954237,0.247381260343404,lenet,0.111,0.1112,4.077060431919315,3.814071909270503,0.262988521526991,lenet,0.1119,0.1176,4.083406577394768,3.8080482581122355,0.27535832207649946,13500000.0,0.0,54000000.0,486000000.0,5832000000.0
lenetx12_cifar100_K12_topo-rregular3_seed0003_d013,d013,lenet:12,cifar100,12,topology,topo-rregular3,peers,3,200,64,0.1,0.9,0.0005,True,3,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,1089312,9,0.1,3,22.72,0.09696666666666669,0.01787616352079557,0.0603,0.1184,0.1405,0.04353333333333333,0.0944,0.1412,0.8137454545454544,0.2826913444518053,0.817521212121212,0.30378429975606486,0.09696666666666669,lenet,0.1087,0.1084,4.043481040068648,3.79683126678521,0.24664977484975348,lenet,0.0922,0.0876,4.325881368057295,4.016726612367413,0.3091547660402615,lenet,0.0843,0.085,4.2919978428293355,3.9733310138637368,0.31866683226756076,lenet,0.0603,0.0556,4.077815074134957,3.819716863672842,0.25809821035628294,lenet,0.0905,0.0944,4.071084996854717,3.8210517564280466,0.25003324218348344,lenet,0.1087,0.1002,4.091366326605732,3.809226877648722,0.2821394546296109,lenet,0.1184,0.1066,4.077864192087542,3.812129370529543,0.26573482212949207,lenet,0.0747,0.0752,4.088925466957417,3.822865751656619,0.2660597187509252,lenet,0.0849,0.0852,4.080468005077406,3.842200883071531,0.23826712016439575,lenet,0.1147,0.116,4.052073128521442,3.797655766660517,0.2544173572889783,lenet,0.1183,0.1154,4.086266162043268,3.811107662591067,0.27515850423581223,lenet,0.1079,0.1032,4.061179531907493,3.7851489426737484,0.2760305909482254,13500000.0,0.0,54000000.0,540000000.0,6480000000.0
