run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,zombie_slot,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_zombie,avg_test_acc_healthy,avg_val_acc_healthy,disagreement_test_healthy,rho_test_healthy,disagreement_val_healthy,rho_val_healthy,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,0,0.1,11,192.49,0.070725,0.03040373126772436,0.01,0.109,0.1018,0.031075000000000005,0.06938333333333334,0.0968,0.7661575757575755,0.31389625840149377,0.7684151515151513,0.3241521608306215,0.07624545454545455,0.01,0.07624545454545455,0.07463636363636364,0.7291727272727272,0.3739968538899836,0.7265199999999997,0.3691071319249592,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0683,0.07,4.546695659445091,4.420908160846341,0.1257875013821335,resnet32,0.0599,0.059,4.553908502513712,4.420257129791108,0.13365137296601792,resnet32,0.0903,0.0836,4.33332471684976,4.1816624738276005,0.15166224813120524,resnet32,0.0171,0.015,4.8546099371530795,4.6425369930538265,0.21207294816849753,resnet32,0.0563,0.0564,4.593150222166018,4.453177314590324,0.1399729010802482,resnet32,0.0772,0.076,4.459003108468923,4.335530669513074,0.12347243661299051,resnet32,0.1029,0.0986,4.401373997330666,4.272518104788932,0.1288558965951035,resnet32,0.0762,0.0778,4.470105070620775,4.3457998243922535,0.12430524760698476,resnet32,0.0759,0.0828,4.469244535335085,4.350653315470978,0.11859121892220256,resnet32,0.1056,0.0984,4.377804367379709,4.246611165390774,0.13119319300378926,resnet32,0.109,0.1034,4.3173434321175925,4.160471691665324,0.15687175098785452,49500000.0,0.0,198000000.0,198000000.0,2376000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,1,0.1,11,193.47,0.12767499999999998,0.037903146857044295,0.01,0.1616,0.1539,0.026225000000000026,0.1236166666666667,0.1504,0.6297757575757577,0.47626135854726454,0.6335727272727274,0.47559556292394833,0.13837272727272729,0.01,0.13837272727272729,0.13380000000000003,0.5612672727272727,0.5693785996972891,0.5566836363636363,0.5720372341523601,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1433,0.1368,3.918304082344879,3.754643112082373,0.16366097193465315,resnet32,0.1329,0.1274,3.91915810988708,3.7565929920158605,0.16256511920470407,resnet32,0.1564,0.1468,3.746211718090556,3.5675446963445707,0.1786670211533254,resnet32,0.1175,0.1196,4.277564952657982,4.028811619024385,0.2487533344590867,resnet32,0.1247,0.1238,3.960614949126135,3.7904209697788414,0.17019398080777715,resnet32,0.1332,0.1338,3.862949686971578,3.7021230543878945,0.16082662958863445,resnet32,0.1402,0.1366,3.798982639204372,3.6304176341403616,0.1685650080167265,resnet32,0.1299,0.1236,3.8275655321776867,3.6629599017853085,0.16460563559931787,resnet32,0.1566,0.1486,3.8128515366803515,3.6504121399061247,0.1624393981500444,resnet32,0.1258,0.1184,3.769342951815237,3.5961996584453364,0.17314329305240375,resnet32,0.1616,0.1564,3.736076472157782,3.55833213403821,0.17774433648975735,49500000.0,0.0,198000000.0,396000000.0,4752000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,2,0.1,11,193.82,0.191775,0.056049503789061324,0.01,0.2289,0.2321,0.040325,0.18851666666666667,0.2254,0.5979575757575758,0.5260963023309645,0.6102924242424245,0.5258054328795052,0.2083,0.01,0.2083,0.2046,0.5385672727272727,0.6119621206833903,0.5233854545454544,0.6144863320289179,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2226,0.2164,3.4792096089910376,3.2634060399776157,0.21580356867475944,resnet32,0.2054,0.2086,3.4773700288073583,3.2604286924681882,0.21694133739749139,resnet32,0.2193,0.2182,3.3822653120891615,3.1632572883232073,0.21900802219963886,resnet32,0.2155,0.212,3.5652426941828295,3.342286041853103,0.2229566515042362,resnet32,0.1885,0.1822,3.513545650311492,3.291167352348566,0.22237829942340878,resnet32,0.1938,0.1922,3.468593943186782,3.2528304169801148,0.21576352265070786,resnet32,0.2156,0.2084,3.4211984195492486,3.204772685739127,0.21642573611726137,resnet32,0.1994,0.1952,3.410134306346828,3.194295869632201,0.21583843665112826,resnet32,0.2028,0.204,3.4135933880778877,3.199318338862874,0.2142750503156673,resnet32,0.2289,0.2192,3.3958408923988994,3.179151191291484,0.2166897050443698,resnet32,0.1995,0.1942,3.381398982283744,3.1645070639523594,0.2168919198976999,49500000.0,0.0,198000000.0,594000000.0,7128000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,3,0.1,11,194.44,0.24708333333333335,0.07254999234244543,0.01,0.2931,0.3051,0.05801666666666663,0.24721666666666667,0.2998,0.5954363636363637,0.5125184981763502,0.5952742424242421,0.5162124427788837,0.2686363636363637,0.01,0.2686363636363637,0.2686363636363636,0.5163636363636364,0.6062090283178887,0.5168909090909092,0.6024336761736078,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2644,0.2642,3.1717515022239904,2.9042558632791042,0.26749564173885365,resnet32,0.268,0.268,3.171013010496443,2.9002686352892355,0.27074438123963773,resnet32,0.2673,0.2618,3.113254798745567,2.8451440588317136,0.26811073904603044,resnet32,0.2414,0.242,3.2156967110931873,2.947185968472199,0.2685107428326525,resnet32,0.2542,0.2538,3.21635286916386,2.9443997794931587,0.27195309015752916,resnet32,0.2669,0.266,3.185233400965279,2.9181445423852312,0.2670888643161478,resnet32,0.2706,0.2746,3.134324127300219,2.8676428029483017,0.26668132545257156,resnet32,0.2837,0.2766,3.130401279099963,2.8662088347429577,0.2641924427060241,resnet32,0.2747,0.283,3.1410170614042063,2.874123961749402,0.2668930980461565,resnet32,0.2707,0.2692,3.116522189907052,2.850872649049217,0.2656495366457172,resnet32,0.2931,0.2958,3.1112801757725803,2.8457339859821578,0.26554619368504395,49500000.0,0.0,198000000.0,792000000.0,9504000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,4,0.1,11,195.68,0.27653333333333335,0.08145385537563925,0.01,0.3285,0.3381,0.06156666666666666,0.2717333333333333,0.33,0.5697090909090909,0.5287912998427947,0.5708924242424243,0.5366595511386175,0.30076363636363634,0.01,0.30076363636363634,0.2953818181818182,0.4872000000000001,0.6301001744818526,0.48592,0.6225985075883351,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2973,0.2884,2.962662116031755,2.6599688387729903,0.3026932770471004,resnet32,0.2982,0.3,2.9656623283570465,2.6589910313487053,0.30667129628868267,resnet32,0.3163,0.3146,2.935419509695335,2.6339778829027307,0.3014416245066307,resnet32,0.279,0.2738,2.997960825196721,2.6962841606952925,0.3016766634431075,resnet32,0.2869,0.2822,3.02023475210775,2.712983225218274,0.3072515288791196,resnet32,0.2904,0.2804,2.9879079864106397,2.68673260780898,0.3011753773316741,resnet32,0.3047,0.298,2.9501210857521403,2.649489627981728,0.3006314599717205,resnet32,0.3285,0.3196,2.9429216733710333,2.644313572821292,0.2986081013540653,resnet32,0.2982,0.2944,2.9541052823716942,2.6515519859438594,0.3025532967664979,resnet32,0.316,0.3082,2.930691564286297,2.6307090642777355,0.29998250415718014,resnet32,0.2929,0.2896,2.933878057720986,2.634756124155088,0.29912193229591305,49500000.0,0.0,198000000.0,990000000.0,11880000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,5,0.1,11,195.46,0.2976916666666667,0.08813952441378889,0.01,0.3548,0.3681,0.0704083333333333,0.2872333333333333,0.3552,0.5847666666666665,0.5102012318858609,0.5838121212121212,0.5137332234155165,0.3238454545454545,0.01,0.3238454545454545,0.3122909090909091,0.502029090909091,0.6104054073162459,0.5030909090909091,0.6093446751318871,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3166,0.3104,2.8244613619013266,2.497963322495872,0.32649804118343373,resnet32,0.3361,0.3242,2.8287565515122632,2.4970438263633032,0.3317127229688181,resnet32,0.3095,0.2986,2.810027900067243,2.4850482513958756,0.3249796465547247,resnet32,0.3433,0.3338,2.850455953316255,2.5260239826007322,0.3244319707578556,resnet32,0.3339,0.3228,2.890704765577208,2.559668527069417,0.3310362404551018,resnet32,0.3258,0.3176,2.8626370050690393,2.536111206832257,0.3265258013694124,resnet32,0.2976,0.2854,2.827048329805786,2.502275723963976,0.32477260554548015,resnet32,0.3063,0.2984,2.809875246814706,2.4869203973900187,0.32295485568994825,resnet32,0.3146,0.3026,2.830786918035962,2.5041098858822477,0.32667702914808283,resnet32,0.3548,0.3378,2.8007782020352106,2.4762065297161993,0.3245716732926667,resnet32,0.3238,0.3036,2.8053731129250745,2.482098902829669,0.3232742120003836,49500000.0,0.0,198000000.0,1188000000.0,14256000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,6,0.1,11,195.06,0.3002916666666667,0.09225620537695854,0.01,0.3728,0.3708,0.07050833333333334,0.29563333333333336,0.3668,0.5854636363636364,0.5107952382517981,0.5856257575757574,0.5182002880460373,0.32668181818181813,0.01,0.32668181818181813,0.32145454545454544,0.5052709090909091,0.6061430503108525,0.505130909090909,0.598043413320838,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2784,0.2816,2.7239579649811443,2.3763498728248207,0.34760809723626485,resnet32,0.3712,0.3658,2.7189714275300503,2.3663851867683907,0.3525862423279746,resnet32,0.3728,0.3704,2.711425793103196,2.3636722344566476,0.3477535579268905,resnet32,0.347,0.3296,2.733597992496057,2.387046944180673,0.3465510482307185,resnet32,0.3363,0.3234,2.782131903212179,2.4282460527663883,0.3538858523507687,resnet32,0.3521,0.344,2.7696525789797306,2.422123517502438,0.34752905961464753,resnet32,0.33,0.3276,2.728645026006482,2.3811470701951873,0.3474979510700161,resnet32,0.3032,0.297,2.7096241238442333,2.3651188398626717,0.3445052830502391,resnet32,0.304,0.3034,2.733304302462123,2.3861043974757195,0.3471999031660909,resnet32,0.2953,0.2942,2.70173344862732,2.354864012957974,0.3468694358810105,resnet32,0.3032,0.299,2.7043593180450527,2.35969977080822,0.3446595434268767,49500000.0,0.0,198000000.0,1386000000.0,16632000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,7,0.1,11,194.56,0.3502,0.10317961685009949,0.01,0.404,0.4314,0.0812,0.33851666666666663,0.411,0.566527272727273,0.5186536056027792,0.5641121212121211,0.5205786068600645,0.38112727272727276,0.01,0.38112727272727276,0.36823636363636364,0.47936181818181817,0.6114824990393772,0.48279272727272726,0.608003342344991,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3814,0.367,2.647413344207135,2.2846213909374042,0.36279195369305933,resnet32,0.374,0.3542,2.632647817446427,2.2660815954547036,0.3665662230923772,resnet32,0.404,0.394,2.6399142169816927,2.2786372226070273,0.3612769966183061,resnet32,0.3811,0.368,2.6519681642001327,2.2910118617794732,0.36095630148933694,resnet32,0.3784,0.3628,2.699935148385438,2.3309861844913526,0.36894896253943443,resnet32,0.3863,0.3786,2.682253038002686,2.3205308192832903,0.3617222151634368,resnet32,0.3822,0.3748,2.654917024075985,2.2924866627224465,0.36243035292930226,resnet32,0.399,0.3808,2.6338664432140915,2.274310877208005,0.35955556672574446,resnet32,0.362,0.359,2.6612002053721384,2.2991781398992646,0.36202206471088255,resnet32,0.3679,0.3486,2.6249536001546816,2.2633643323047594,0.3615892706438899,resnet32,0.3761,0.3628,2.6348090947351674,2.2743014434183184,0.36050765186717565,49500000.0,0.0,198000000.0,1584000000.0,19008000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,8,0.1,11,193.74,0.3511916666666666,0.10342813494026769,0.01,0.3968,0.4253,0.07410833333333339,0.34528333333333333,0.4152,0.5397787878787876,0.5338652884307404,0.5394681818181817,0.5357653356458628,0.3822090909090909,0.01,0.3822090909090909,0.37561818181818185,0.4507799999999999,0.6266046236407189,0.4514763636363636,0.6247021110370532,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3708,0.368,2.586164413528009,2.2118793959644707,0.37428501968018035,resnet32,0.3892,0.3652,2.5678631270473655,2.19103749147193,0.37682563930072566,resnet32,0.3773,0.3688,2.578229718926278,2.2048281126401643,0.37340160700577224,resnet32,0.3883,0.3878,2.5907288650897415,2.2181484032083643,0.3725804641673511,resnet32,0.3968,0.3942,2.631167904558507,2.251488509164615,0.3796793933195824,resnet32,0.3836,0.3786,2.612783504819328,2.238609042865309,0.37417446318167175,resnet32,0.3857,0.3842,2.596744514663111,2.221289186484434,0.3754553295333277,resnet32,0.3656,0.3606,2.5783347602594984,2.2058293291113595,0.3725054332224483,resnet32,0.3948,0.3814,2.601410520347682,2.227343167093667,0.37406735693697224,resnet32,0.3902,0.389,2.562182479284026,2.187549293887886,0.37463318184018135,resnet32,0.362,0.354,2.5750792758031325,2.201579425314611,0.37349985040385614,49500000.0,0.0,198000000.0,1782000000.0,21384000000.0
resnet32x12_cifar100_K12_dml-zomb0_seed0001_d015,d015,resnet32:12,cifar100,12,dml,dml-zomb0,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,9,0.1,11,194.28,0.3236833333333333,0.10145273803873188,0.01,0.396,0.4087,0.08501666666666668,0.32265000000000005,0.4066,0.5949848484848487,0.48919632219022835,0.5954712121212121,0.4850644380784022,0.3522,0.01,0.3522,0.3509272727272727,0.5172381818181819,0.5658560138062704,0.5168072727272727,0.5720072973767775,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.386,0.3802,2.5434018078852785,2.16027246771211,0.38312934364446183,resnet32,0.3579,0.3602,2.524996472353285,2.140413473275575,0.384582997511395,resnet32,0.3604,0.3622,2.535202993249351,2.154085552658547,0.38111744016747584,resnet32,0.2417,0.2454,2.5429181566631254,2.160447261211547,0.38247089608657087,resnet32,0.3375,0.3368,2.5821504169567064,2.193408651616086,0.3887417653406208,resnet32,0.3721,0.3708,2.5597640196369453,2.176851279864257,0.38291274121200497,resnet32,0.3538,0.3462,2.547212575646964,2.163636065680872,0.38357650729912246,resnet32,0.3522,0.3464,2.52704053406011,2.1454616410827096,0.3815788904374296,resnet32,0.3657,0.3702,2.5543184740976854,2.1696851521053095,0.384633322712034,resnet32,0.3509,0.3492,2.5181850313462992,2.1353470402007755,0.3828379930081693,resnet32,0.396,0.3926,2.527833258055828,2.1461022750220518,0.38173098366876895,49500000.0,0.0,198000000.0,1980000000.0,23760000000.0
