run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,zombie_slot,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_zombie,avg_test_acc_healthy,avg_val_acc_healthy,disagreement_test_healthy,rho_test_healthy,disagreement_val_healthy,rho_val_healthy,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,0,0.1,1,166.01,0.025808333333333332,0.01137998669692642,0.01,0.0458,0.0478,0.02199166666666667,0.027683333333333334,0.05,0.899245454545455,0.18414201542636807,0.8990848484848486,0.1734458830639519,0.02724545454545455,0.01,0.02724545454545455,0.029145454545454544,0.8789036363636363,0.2114340245946666,0.8791018181818184,0.22465827324476742,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0453,0.0506,4.6186701106754215,4.558355903083628,0.060314205251085114,resnet32,0.0249,0.0256,4.692591193724763,4.599957510151646,0.09263367910323889,resnet32,0.0189,0.0202,4.6801925687627355,4.6030066033655945,0.07718596252214577,resnet32,0.01,0.0116,4.744747942821546,4.643929505890066,0.10081844371928707,resnet32,0.0192,0.0192,4.704138904809952,4.606600262902,0.09753863910869272,resnet32,0.0309,0.0336,4.562877865000204,4.495704944160852,0.06717292622488458,resnet32,0.033,0.0352,4.664652560244907,4.557247324423357,0.10740522827770539,resnet32,0.0258,0.03,4.6680876748128375,4.5634914087978276,0.10459625588853007,resnet32,0.0163,0.019,4.712744699283079,4.618788033046505,0.09395666512930555,resnet32,0.0296,0.0312,4.663981720127842,4.54911667514931,0.11486504097543233,resnet32,0.0458,0.0444,4.529644632881338,4.448759153485298,0.08088547622107646,4500000.0,0.0,18000000.0,18000000.0,216000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,1,0.1,1,164.39,0.06982500000000001,0.028657085365868362,0.01,0.1184,0.0965,0.02667499999999999,0.06696666666666667,0.0936,0.7403878787878789,0.3295198362104923,0.7423575757575754,0.3378002782222802,0.07526363636363637,0.01,0.07526363636363637,0.07200000000000001,0.6938400000000002,0.39699233405008577,0.6915272727272729,0.38889390103746235,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1076,0.1074,4.200365451926535,4.069330972365358,0.13103448094757783,resnet32,0.0648,0.0636,4.259770775044506,4.21170596067201,0.04806481456034817,resnet32,0.0582,0.0594,4.434093488210982,4.354024097323418,0.08006939432975328,resnet32,0.0506,0.0492,4.668622117150914,4.504876287146048,0.16374582625840875,resnet32,0.0439,0.042,4.591513089496981,4.44968002221801,0.14183306754355066,resnet32,0.0948,0.0876,4.130586209283634,4.054839127781716,0.07574707998322662,resnet32,0.09,0.0842,4.187632626430555,4.113239851864901,0.07439277754482729,resnet32,0.0614,0.061,4.275503617457368,4.2403875734995715,0.0351160339540167,resnet32,0.0787,0.0674,4.264127986674959,4.229401825165207,0.03472616923549636,resnet32,0.0595,0.059,4.2200955003499985,4.171352983537045,0.04874251335488886,resnet32,0.1184,0.1112,4.210537746548653,4.05722599374977,0.15331175133839928,4500000.0,0.0,18000000.0,36000000.0,432000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,2,0.1,1,164.7,0.10687499999999998,0.03794643428571386,0.01,0.1554,0.1374,0.03052500000000001,0.10391666666666666,0.134,0.7371727272727274,0.37470967905935365,0.7388196969696968,0.3853187939647606,0.11568181818181816,0.01,0.11568181818181816,0.11230909090909091,0.6872381818181821,0.4607446521545233,0.6852290909090912,0.45128801469887053,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1554,0.1444,3.6511564441025257,3.536954291164875,0.11420215625019575,resnet32,0.0799,0.0768,3.925061611289328,3.8507933640344576,0.0742682496943003,resnet32,0.087,0.0882,3.907147309996865,3.829612523317337,0.07753478544658389,resnet32,0.1024,0.103,3.9428583319214257,3.86941393871199,0.073444400543601,resnet32,0.1076,0.1046,3.8935661681673746,3.7785528860986233,0.1150132834234021,resnet32,0.1258,0.1276,3.683667604896155,3.5981542092155325,0.0855133956594562,resnet32,0.1547,0.1426,4.1210619163784115,3.8969367383555933,0.22412518132478,resnet32,0.0934,0.092,3.918693630194122,3.841184365478429,0.07750926552001726,resnet32,0.1067,0.1052,3.7179277359761973,3.633097023110498,0.08483071577079086,resnet32,0.1137,0.1126,3.798711857335134,3.6861585690216585,0.11255328295837072,resnet32,0.1459,0.1384,3.694040559570898,3.5775022455914454,0.11653831490019168,4500000.0,0.0,18000000.0,54000000.0,648000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,3,0.1,1,164.49,0.16044166666666668,0.04951039383020723,0.01,0.2104,0.2001,0.03965833333333332,0.15581666666666666,0.1966,0.6684848484848486,0.47352206051291196,0.6688651515151512,0.4836353158587577,0.1741181818181818,0.01,0.1741181818181818,0.16892727272727276,0.6043290909090909,0.5682594347729283,0.603989090909091,0.556348900201057,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1817,0.188,3.247936041856354,3.1152939505197783,0.1326420947337862,resnet32,0.1708,0.1642,3.5240067263895813,3.3845668109980496,0.1394399160900238,resnet32,0.1805,0.1794,3.507098267701539,3.402212288907983,0.10488597565034236,resnet32,0.1662,0.1614,3.5279168266464365,3.4059264575215904,0.12199036965400657,resnet32,0.1792,0.1706,3.493721057068218,3.378470531580123,0.11525052778465165,resnet32,0.1775,0.1688,3.4109224981882353,3.2694290774789723,0.14149342372547835,resnet32,0.1929,0.1874,3.48111266405745,3.3665372285653246,0.11457543643403122,resnet32,0.1364,0.1334,3.5679543140259655,3.464383687824011,0.10357062618078833,resnet32,0.1373,0.1328,3.398612016303973,3.274320937693119,0.12429108386012641,resnet32,0.1824,0.1654,3.9173963625322687,3.606283623386513,0.31111273781227117,resnet32,0.2104,0.2068,3.2698406898839907,3.137854243544015,0.13198644702788442,4500000.0,0.0,18000000.0,72000000.0,864000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,4,0.1,1,164.33,0.2143083333333333,0.06443549045794215,0.01,0.2692,0.2728,0.05849166666666669,0.21318333333333336,0.272,0.654790909090909,0.4781540535272293,0.6565136363636362,0.4797245104412908,0.23288181818181816,0.01,0.23288181818181816,0.23150909090909097,0.5921890909090909,0.5590097512767721,0.5902618181818181,0.5595456902123142,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2692,0.2548,3.0523895634846254,2.858324470506473,0.1940650935919786,resnet32,0.2462,0.2474,3.1440613967451183,3.0039562599902805,0.14010513623626056,resnet32,0.2336,0.232,3.192189523780888,3.053099026734179,0.13909049732187254,resnet32,0.2118,0.221,3.22812564230778,3.089540349150246,0.13858529726382007,resnet32,0.2162,0.2088,3.2086899148469623,3.052949770946394,0.15574014285282994,resnet32,0.234,0.2272,3.1086183312264355,2.9679334295744244,0.14068490551488305,resnet32,0.2481,0.2462,3.1831732375377957,3.005758981813084,0.17741425841284747,resnet32,0.2156,0.2152,3.282075438987125,3.0937884243374523,0.1882870176764713,resnet32,0.2078,0.212,3.14767271686684,2.9908485690301116,0.1568241512445225,resnet32,0.2194,0.222,3.7583115707066925,3.422057881951332,0.33625368985601445,resnet32,0.2598,0.26,3.035275795581666,2.854491056705063,0.18078473722562194,4500000.0,0.0,18000000.0,90000000.0,1080000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,5,0.1,1,164.28,0.232325,0.07627393749942811,0.01,0.3138,0.3062,0.07387500000000002,0.22835000000000003,0.301,0.6620545454545457,0.4571945767691179,0.6655954545454547,0.4622060933765357,0.2525363636363636,0.01,0.2525363636363636,0.24805454545454547,0.6002327272727273,0.5478307601693534,0.5956472727272726,0.5491053986240765,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3138,0.3108,2.8256839500232176,2.64077947458083,0.1849044769240374,resnet32,0.2167,0.2118,2.9292007332498375,2.7548881102014673,0.1743126209952276,resnet32,0.2679,0.271,2.9642919078469276,2.798212217675014,0.16607968812935392,resnet32,0.2582,0.2538,3.0146425522186537,2.8532354875721713,0.16140705868813462,resnet32,0.2282,0.2234,2.975340930914337,2.8091974166983906,0.16614351742265915,resnet32,0.2917,0.28,2.8915244357829746,2.7082067379219965,0.183317697014321,resnet32,0.2309,0.2296,2.8976354571906002,2.7147084078328176,0.18292704512449828,resnet32,0.2298,0.2224,3.013662236319347,2.8524026132442732,0.16125962402756241,resnet32,0.2695,0.261,2.929564643312584,2.7550350796769965,0.17452955808998508,resnet32,0.1781,0.1776,3.628062817183408,3.259102613749829,0.3689602061852135,resnet32,0.2931,0.2872,2.8255754421380432,2.6415037211369383,0.1840717210222713,4500000.0,0.0,18000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,6,0.1,1,164.36,0.2635083333333333,0.08112861659461201,0.01,0.349,0.343,0.07949166666666674,0.26204999999999995,0.3406,0.628536363636364,0.4678674492822018,0.6351272727272727,0.46928522375331494,0.28655454545454545,0.01,0.28655454545454545,0.28481818181818175,0.5644254545454547,0.5481210966841312,0.5562618181818182,0.5501507741493719,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.349,0.3466,2.687190840190107,2.483362941918048,0.20382789793339642,resnet32,0.2547,0.2526,2.7607880512421783,2.5591995533217085,0.20158850238658488,resnet32,0.2876,0.2748,2.8206844190982254,2.6158484931696546,0.20483592863787303,resnet32,0.2787,0.2702,3.575184889476408,3.138445481319319,0.43673940206115897,resnet32,0.2789,0.2878,2.8504243706437675,2.652768635275689,0.19765572897581893,resnet32,0.2528,0.2512,2.7488930679180403,2.5409957822412252,0.20789727860723028,resnet32,0.2676,0.2678,2.7452622804452074,2.5437188007953493,0.20154348396780816,resnet32,0.2751,0.2756,2.900316148996353,2.7043888155709612,0.19592733744701202,resnet32,0.3176,0.3158,2.756052867932753,2.5550383400510657,0.20101453012532808,resnet32,0.2716,0.2724,2.9486627504229546,2.7068715942176906,0.24179116043854842,resnet32,0.3185,0.3182,2.773098665204915,2.524958607825366,0.24814005788754334,4500000.0,0.0,18000000.0,126000000.0,1512000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,7,0.1,1,164.63,0.2905833333333333,0.0860305840320109,0.01,0.3436,0.3597,0.06911666666666672,0.29095,0.357,0.5881515151515152,0.5247815737572221,0.5948772727272725,0.5236909819858598,0.3160909090909091,0.01,0.3160909090909091,0.31634545454545454,0.5167236363636364,0.6087511193934806,0.5087927272727273,0.6108582310316517,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3301,0.328,2.570936746217988,2.352578367529945,0.21835837729105895,resnet32,0.322,0.3194,2.6639484498988497,2.4308364552191715,0.23311199520883913,resnet32,0.3251,0.3286,3.4374462328851223,2.9558351409028876,0.4816110899079252,resnet32,0.2974,0.3006,2.8623850149187176,2.659580323845148,0.20280469401570206,resnet32,0.2941,0.2972,2.749555432661013,2.519974684850736,0.22958075255155563,resnet32,0.3436,0.343,2.618162399327213,2.401852971789512,0.21630943198264999,resnet32,0.3111,0.3108,2.632386277514425,2.4150310698896646,0.21735520368780603,resnet32,0.312,0.3142,2.808676129715009,2.6033867489207876,0.20528937969356775,resnet32,0.2899,0.287,2.6445103114978834,2.416643191128969,0.2278671237343753,resnet32,0.3333,0.328,2.714416214688258,2.488904409449209,0.22551180953583258,resnet32,0.3184,0.323,2.5937580105594615,2.3755516423420473,0.21820636671459812,4500000.0,0.0,18000000.0,144000000.0,1728000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,8,0.1,1,164.7,0.3138,0.0944445251633642,0.01,0.3808,0.4001,0.08629999999999999,0.3071,0.3934,0.6127878787878789,0.4719622339664447,0.6145060606060605,0.4768385381656867,0.34141818181818184,0.01,0.34141818181818184,0.33396363636363635,0.5393036363636365,0.5610919993774375,0.5372181818181817,0.5577371956999635,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3808,0.3736,2.4884423881091853,2.2569942882453855,0.23144810077395628,resnet32,0.3485,0.3412,2.5384271364997733,2.309112801131877,0.22931433545256202,resnet32,0.346,0.3312,2.6946026218885724,2.444626668976112,0.2499759547751058,resnet32,0.3233,0.3144,3.443415242162618,2.9740671004084023,0.4693481422198767,resnet32,0.3119,0.3134,2.6407666385851125,2.3992468743500384,0.2415197647219016,resnet32,0.3695,0.3554,2.5877155861393972,2.3316695485264063,0.2560460369568318,resnet32,0.3552,0.3582,2.52885739996352,2.3010248409753498,0.2278325620573014,resnet32,0.3123,0.3072,2.6833883049813183,2.453195385126905,0.23019292487085544,resnet32,0.3386,0.332,2.5666955228556287,2.3312021659856494,0.23549335744147273,resnet32,0.3631,0.35,2.6224755980074406,2.3796472359787333,0.2428283637855202,resnet32,0.3064,0.297,2.494699504057115,2.265833339738575,0.2288661663505164,4500000.0,0.0,18000000.0,162000000.0,1944000000.0
resnet32x12_cifar100_K12_rand1-zomb0_seed0003_d015,d015,resnet32:12,cifar100,12,matched,rand1-zomb0,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5170044,0,9,0.1,1,164.41,0.29245000000000004,0.09271355977777287,0.01,0.3675,0.3829,0.09044999999999997,0.2868833333333333,0.3812,0.6550424242424242,0.44484305941193614,0.6514636363636361,0.4570443398599954,0.31812727272727276,0.01,0.31812727272727276,0.3119090909090909,0.5839327272727275,0.5322980484158718,0.5881963636363636,0.5212957341188826,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3308,0.3196,2.4218579899858343,2.174025194719434,0.24783279560506344,resnet32,0.2234,0.2146,3.283753522417762,2.752406229011037,0.5313472933643921,resnet32,0.3004,0.299,2.5341657120734453,2.291138916869055,0.24302679632621055,resnet32,0.2776,0.2662,2.75901352817362,2.4886672417209907,0.27034628683362494,resnet32,0.3383,0.3334,2.5461245731196622,2.2911945572969588,0.2549300165211951,resnet32,0.3334,0.3268,2.5644414221698586,2.2844994091852144,0.2799420104023408,resnet32,0.3178,0.3138,2.4651818946003914,2.2188359797000885,0.2463459170169451,resnet32,0.3167,0.3104,2.5895804920318453,2.3529626124284486,0.23661788015372373,resnet32,0.3675,0.3684,2.49247621355409,2.2483791510828515,0.2440970615610819,resnet32,0.3592,0.354,2.542334792796861,2.303294888612899,0.23903990028934044,resnet32,0.3343,0.3248,2.4610609635710716,2.202181340279904,0.25887962468815123,4500000.0,0.0,18000000.0,180000000.0,2160000000.0
