run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,zombie_slot,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_zombie,avg_test_acc_healthy,avg_val_acc_healthy,disagreement_test_healthy,rho_test_healthy,disagreement_val_healthy,rho_val_healthy,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,0,0.1,3,174.22,0.022533333333333332,0.011867205043966988,0.01,0.053,0.0507,0.02816666666666667,0.023783333333333333,0.0522,0.8482090909090908,0.1725677333825342,0.845889393939394,0.1695036458086352,0.02367272727272727,0.01,0.02367272727272727,0.024890909090909095,0.8150672727272729,0.2064502454389219,0.817850909090909,0.21045771186168757,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0295,0.0318,4.645467280664227,4.5580535131421955,0.08741376563028264,resnet32,0.0303,0.0312,4.666798391802744,4.570996491746469,0.09580190603777407,resnet32,0.0106,0.0128,4.7419178878719155,4.637879018756476,0.1040388746984139,resnet32,0.0119,0.0128,4.7310881255702535,4.649327855895866,0.08176027175465027,resnet32,0.053,0.0532,4.61220713162964,4.526394176212224,0.08581294658506522,resnet32,0.011,0.012,4.720838088880885,4.657659941776232,0.06317814153986877,resnet32,0.0178,0.0166,4.7147171206095,4.644022864374247,0.07069425340655884,resnet32,0.0206,0.0246,4.712035828693346,4.624276517467066,0.08775931972856844,resnet32,0.0271,0.0256,4.662148143080148,4.543465883217075,0.11868226441385393,resnet32,0.0295,0.0338,4.687585145912387,4.601699008183046,0.08588614360864581,resnet32,0.0191,0.0194,4.681309508329088,4.594984139908444,0.08632536969658262,13500000.0,0.0,54000000.0,54000000.0,648000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,1,0.1,3,167.24,0.06183333333333333,0.02852158052344848,0.01,0.1135,0.0953,0.033466666666666665,0.06369999999999999,0.0916,0.815630303030303,0.30502641844011347,0.8148045454545451,0.3205906794927599,0.06654545454545456,0.01,0.06654545454545456,0.06843636363636364,0.7911872727272725,0.3488927228405137,0.7921309090909092,0.3382465290790061,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0789,0.078,4.304946982047775,4.193815934048458,0.1111310548836958,resnet32,0.0648,0.0606,4.337205743925138,4.241718702356923,0.09548703371547163,resnet32,0.0308,0.0286,4.71668119457635,4.570223523134535,0.1464576801147566,resnet32,0.0343,0.0352,4.628756146539342,4.5031296143477615,0.12562653083163736,resnet32,0.1135,0.1178,4.225620455023917,4.074104811657559,0.151515640985136,resnet32,0.032,0.0292,4.658133966678923,4.555838864635337,0.1022950963696613,resnet32,0.0606,0.0684,4.417520813643932,4.329117484390736,0.0884033277980052,resnet32,0.0673,0.0708,4.334020126610994,4.270199636166746,0.0638204921851866,resnet32,0.0892,0.09,4.2988847839561375,4.184167862615802,0.11471692635677755,resnet32,0.0843,0.0876,4.290547379038551,4.19184225526723,0.09870512947037985,resnet32,0.0763,0.0866,4.384019762616266,4.275914310731671,0.10810545126547698,13500000.0,0.0,54000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,2,0.1,3,167.01,0.11870833333333335,0.0400830899161008,0.01,0.1669,0.146,0.027291666666666645,0.11816666666666668,0.1446,0.6596727272727273,0.44174410719098717,0.6637590909090907,0.43735740776027465,0.1285909090909091,0.01,0.1285909090909091,0.12785454545454547,0.5969581818181817,0.5253353210247088,0.5920072727272727,0.5330686278782482,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1339,0.1328,4.004365719854832,3.776364676654339,0.22800104370848698,resnet32,0.1357,0.1326,3.891921043395996,3.7887884988026186,0.10313254131258211,resnet32,0.0829,0.0876,4.109593711793423,3.9862709658389743,0.12332275412468748,resnet32,0.1158,0.1164,4.1152533621273255,3.9701619409024715,0.1450914170233194,resnet32,0.1669,0.1606,3.8946074335412546,3.6228263428942724,0.27178109452043747,resnet32,0.0891,0.093,4.260414908555421,4.023663006722927,0.2367518988056955,resnet32,0.1283,0.1302,3.888870021158999,3.785265190357512,0.103604834262197,resnet32,0.1386,0.132,3.8815775124186818,3.798068826171485,0.08350867569044401,resnet32,0.1286,0.1284,3.8510218438777057,3.732841642742807,0.11818019717677751,resnet32,0.1367,0.1346,3.804363753646612,3.685351900079034,0.11901184586300091,resnet32,0.158,0.1582,3.837724595584653,3.7096161534163086,0.12810844773511318,13500000.0,0.0,54000000.0,162000000.0,1944000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,3,0.1,3,174.14,0.182025,0.05563200704929971,0.01,0.2158,0.2387,0.056675,0.1842,0.241,0.682187878787879,0.462356895388712,0.6896287878787879,0.45999137460583683,0.19766363636363637,0.01,0.19766363636363637,0.1998909090909091,0.6301327272727272,0.5361714201718215,0.6214290909090907,0.5390862148134026,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2016,0.211,3.7434595186601984,3.404276449910619,0.33918307249603624,resnet32,0.212,0.2108,3.512069483372298,3.3800608315928415,0.13200864654076708,resnet32,0.1502,0.1572,3.56782795319503,3.438050859353759,0.129777093693106,resnet32,0.1651,0.1668,3.607631578702818,3.4468132386153396,0.16081833804491907,resnet32,0.1925,0.1978,3.641426036981019,3.2820725105702877,0.3593535288237035,resnet32,0.188,0.1978,3.8761478039351376,3.5400714576244354,0.33607634592970664,resnet32,0.2113,0.2122,3.4807827553965827,3.345848422836174,0.13493433125867424,resnet32,0.2094,0.2068,3.4587127434259113,3.3404461578889326,0.11826658199160275,resnet32,0.2153,0.2142,3.4533063437451017,3.3205719668079507,0.13273437635507435,resnet32,0.2158,0.217,3.401730341328816,3.260565212843093,0.1411651264008304,resnet32,0.2131,0.2072,3.4306936744939196,3.284149230542508,0.14654443900905212,13500000.0,0.0,54000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,4,0.1,3,174.45,0.21164999999999998,0.06450344306055815,0.01,0.2722,0.2614,0.049750000000000044,0.21093333333333333,0.2562,0.6444060606060603,0.4829754014989229,0.6482772727272728,0.47264090060117986,0.22998181818181818,0.01,0.22998181818181818,0.22905454545454546,0.5785945454545454,0.5662839927027878,0.5738290909090911,0.5835366551208482,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.233,0.2302,3.522775187072429,3.0994814451445234,0.4232937421395697,resnet32,0.2476,0.2464,3.1744926304302434,3.0061772309921007,0.16831539939580994,resnet32,0.2186,0.2148,3.2094513228671118,3.0474640544165266,0.1619872676039284,resnet32,0.196,0.197,3.256288870491765,3.0678000182590703,0.18848885293118656,resnet32,0.2416,0.2374,3.450725978748365,3.0196235352619127,0.43110244611108844,resnet32,0.2253,0.2248,3.5501774038103493,3.129604842175137,0.4205725663341582,resnet32,0.2722,0.2678,3.1485320566730066,2.977481560273604,0.17105049711906098,resnet32,0.2366,0.2364,3.102927473119714,2.9538109834221276,0.14911648591938007,resnet32,0.2437,0.2472,3.13547265089371,2.9778923080726103,0.15758033998479898,resnet32,0.1877,0.1932,3.0966473526575347,2.9312725222923537,0.16537482543340462,resnet32,0.2275,0.2244,3.1237960725345393,2.950802356343378,0.1729937165298245,13500000.0,0.0,54000000.0,270000000.0,3240000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,5,0.1,3,174.17,0.24125833333333338,0.07572352626862773,0.01,0.3086,0.3012,0.05994166666666664,0.23898333333333333,0.2942,0.6229030303030301,0.503751824767013,0.6229712121212122,0.5039552985288063,0.2622818181818182,0.01,0.2622818181818182,0.2596545454545454,0.54998,0.5887288431176938,0.5500072727272727,0.5902676150493887,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2274,0.2242,3.3677042434838684,2.8887296210635793,0.47897462449459866,resnet32,0.2769,0.2784,2.9363755096088755,2.74060482904315,0.19577068380418827,resnet32,0.2249,0.2212,2.946052923459898,2.7628458223559638,0.1832071046387269,resnet32,0.2143,0.2132,3.0137347159060566,2.8045941665768623,0.20914055332964795,resnet32,0.2783,0.2772,3.3038045032457872,2.823963483964855,0.47984101805327967,resnet32,0.2741,0.2682,3.319056811996482,2.8461027423089202,0.47295406668192963,resnet32,0.3043,0.2996,2.915949793701822,2.7181660668416456,0.19778372870165517,resnet32,0.3086,0.3064,2.8621630604294213,2.6894484257156197,0.17271463386714458,resnet32,0.2341,0.235,2.8964399956166744,2.7200647958300332,0.1763752017339522,resnet32,0.2774,0.2698,2.890386800197038,2.705889021808451,0.1844977742611346,resnet32,0.2648,0.263,2.915869352492419,2.7205011915754187,0.19536815808069977,13500000.0,0.0,54000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,6,0.1,3,168.19,0.27320833333333333,0.08083181570740296,0.01,0.3146,0.3347,0.06149166666666667,0.2711166666666667,0.3352,0.5999727272727269,0.5088812127882758,0.5975954545454544,0.5225530777417535,0.29713636363636364,0.01,0.29713636363636364,0.294709090909091,0.52002,0.6089377077096831,0.5233018181818182,0.5921104756064594,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.307,0.3012,3.2468632205643435,2.7269727360795843,0.5198904887603765,resnet32,0.3045,0.3042,2.7826883356002243,2.5673066452145576,0.2153816903433339,resnet32,0.275,0.2748,2.779487592252818,2.581261119381948,0.19822647551667283,resnet32,0.3061,0.298,2.8531204011629927,2.6276136098260228,0.22550679326311432,resnet32,0.3098,0.3078,3.214112205261534,2.697946216233752,0.5161659917794168,resnet32,0.3086,0.3128,3.1825472245162185,2.673112000931393,0.509435223415494,resnet32,0.3092,0.3016,2.768648609180342,2.546776094897227,0.22187251673842018,resnet32,0.3146,0.3096,2.718813432211226,2.528462719510902,0.19035071318715133,resnet32,0.2828,0.28,2.7314654954455118,2.5375853804024784,0.19388011637651784,resnet32,0.2859,0.2858,2.7613315616141665,2.5592670284888963,0.20206452944231304,resnet32,0.265,0.266,2.792046260427345,2.5747761519795116,0.2172701084689999,13500000.0,0.0,54000000.0,378000000.0,4536000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,7,0.1,3,167.26,0.30001666666666665,0.08900071941032586,0.01,0.3455,0.3802,0.08018333333333333,0.3022,0.3794,0.6107636363636365,0.4923116819045311,0.6127378787878789,0.49513318991163585,0.32638181818181816,0.01,0.32638181818181816,0.3286181818181818,0.5384836363636362,0.5759447137103881,0.53656,0.5722166228184947,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3248,0.3182,3.155939222736792,2.61170864274556,0.5442305778322573,resnet32,0.3187,0.3218,2.6596024236218496,2.4269628004932944,0.23263962757350368,resnet32,0.3039,0.3032,2.6618080003695055,2.449564977633682,0.21224302176216786,resnet32,0.3356,0.334,2.733558651398529,2.492899630049413,0.24065902046012608,resnet32,0.3001,0.3024,3.139441927386956,2.5966006686741654,0.5428412604907696,resnet32,0.2996,0.3136,3.0808674811639567,2.547212116081606,0.5336553652093492,resnet32,0.3455,0.3532,2.660565883598544,2.4217712608250705,0.23879462512294677,resnet32,0.3404,0.342,2.6019247540018777,2.396035760133104,0.20588899551975456,resnet32,0.3335,0.3354,2.616683977402069,2.408747311173515,0.20793666639788586,resnet32,0.3446,0.346,2.6655301241712137,2.4508889618922365,0.21464116299863567,resnet32,0.3435,0.345,2.6898909993469715,2.4549785126000643,0.23491248454559932,13500000.0,0.0,54000000.0,432000000.0,5184000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,8,0.1,3,167.1,0.28823333333333334,0.08853113702094999,0.01,0.3513,0.3668,0.07856666666666667,0.28915,0.369,0.6059999999999999,0.4973317609507873,0.6079424242424244,0.49881146371781887,0.31352727272727277,0.01,0.31352727272727277,0.3143818181818182,0.535270909090909,0.5753368645957413,0.5333418181818181,0.5707056354525314,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3013,0.303,3.0877631939947605,2.520025390454314,0.5677378048950975,resnet32,0.3322,0.3296,2.564840637824752,2.315748172219504,0.24909246384843506,resnet32,0.3274,0.322,2.5664667524397373,2.345005217431621,0.22146153121932663,resnet32,0.3346,0.331,2.641814913600683,2.3872603193264115,0.25455459630624816,resnet32,0.309,0.307,3.0846845920790327,2.5192140452563763,0.5654705444096841,resnet32,0.2384,0.2392,3.012085108594461,2.4567931179295885,0.5552919909188693,resnet32,0.305,0.3106,2.5869209759614686,2.332037574357607,0.2548834023658525,resnet32,0.3513,0.35,2.517801866104657,2.297574233602394,0.22022763042795387,resnet32,0.2959,0.3012,2.5255372898483817,2.307031733068553,0.21850555620833553,resnet32,0.3447,0.3478,2.5799463489516214,2.35363972034644,0.22630662852051583,resnet32,0.309,0.3168,2.6196615421636538,2.370090823789889,0.24957072222605348,13500000.0,0.0,54000000.0,486000000.0,5832000000.0
resnet32x12_cifar100_K12_topo-prism-zomb0_seed0004_d015,d015,resnet32:12,cifar100,12,topology,topo-prism-zomb0,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,prism,0.0,0.0,42,0,45000,5000,10000,5170044,0,9,0.1,3,167.2,0.3300416666666666,0.09751759207388629,0.01,0.3904,0.4234,0.09335833333333338,0.32126666666666664,0.4084,0.6045666666666669,0.47551718739111043,0.6046075757575758,0.478160054921379,0.35913636363636364,0.01,0.35913636363636364,0.3494181818181818,0.5267799999999997,0.5705241194215669,0.5267127272727272,0.5705495546507082,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3444,0.332,3.019119919362393,2.435583155263554,0.5835367635908452,resnet32,0.348,0.3288,2.4951696917414665,2.233265420929952,0.2619042689700357,resnet32,0.3739,0.3682,2.4872272084043785,2.254255235364491,0.23297197363254699,resnet32,0.3519,0.351,2.5568996747447685,2.292915566739711,0.26398410703140224,resnet32,0.3356,0.3342,3.02404427731579,2.442047128623182,0.5819971528835595,resnet32,0.3592,0.35,2.9550918076526034,2.385122573003173,0.569969235623086,resnet32,0.3904,0.3806,2.517220102589239,2.252426316961646,0.2647937826431272,resnet32,0.3598,0.3456,2.4498841439119796,2.21716283143244,0.2327213145326823,resnet32,0.3626,0.3572,2.453117450191216,2.2211673087017103,0.23195014269599182,resnet32,0.3724,0.3598,2.4974251748486,2.2606004039672287,0.23682477376000446,resnet32,0.3523,0.3362,2.5517048490318386,2.2903693584217266,0.2613354896576228,13500000.0,0.0,54000000.0,540000000.0,6480000000.0
