run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,zombie_slot,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_zombie,avg_test_acc_healthy,avg_val_acc_healthy,disagreement_test_healthy,rho_test_healthy,disagreement_val_healthy,rho_val_healthy,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,0,0.1,2,167.6,0.0243,0.010761815212438219,0.01,0.0446,0.0591,0.0348,0.0253,0.0596,0.8817666666666665,0.1428169071619694,0.8824636363636366,0.14513824614126666,0.025599999999999998,0.01,0.025599999999999998,0.02654545454545455,0.8590381818181817,0.17654523693522692,0.8582036363636366,0.17455869904308605,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0446,0.046,4.588720845905217,4.503999650478363,0.08472120336955413,resnet32,0.0295,0.0314,4.623507104136727,4.511977260085669,0.11152984280885324,resnet32,0.0166,0.0168,4.730033530430361,4.621857645159418,0.10817589048780395,resnet32,0.031,0.0306,4.708243635567752,4.610970174724406,0.09727345913597674,resnet32,0.0254,0.0254,4.7209542542696,4.598165778951212,0.12278846334381589,resnet32,0.0191,0.0182,4.724548401480371,4.6163996099071065,0.10814878911795942,resnet32,0.0184,0.0194,4.716059503907507,4.612704607573423,0.10335489618823472,resnet32,0.015,0.0166,4.758794602345336,4.620568831535903,0.13822577730421803,resnet32,0.0293,0.0324,4.689332394437357,4.587343809956854,0.10198858874950516,resnet32,0.0415,0.0448,4.672341776842421,4.5721478563818065,0.10019391426381348,resnet32,0.0112,0.0104,4.71187105842612,4.6463482799855145,0.06552278318783712,9000000.0,0.0,36000000.0,36000000.0,432000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,1,0.1,2,166.64,0.05434166666666667,0.028368863751577284,0.01,0.0988,0.0954,0.04105833333333333,0.05615,0.096,0.8458696969696969,0.24719499727696032,0.8452015151515152,0.2537464739312991,0.05837272727272727,0.01,0.05837272727272727,0.060200000000000004,0.8171781818181819,0.2966104955439176,0.817930909090909,0.29336131240891994,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0988,0.102,4.257592039352113,4.111423374915665,0.14616865710757504,resnet32,0.0978,0.0988,4.201434806666591,4.130261718549511,0.07117309207520024,resnet32,0.0652,0.0698,4.35703395544128,4.291463668712161,0.06557028145603412,resnet32,0.0705,0.0714,4.286850426007401,4.23500500314615,0.051845421630952675,resnet32,0.0252,0.0258,4.416394340721044,4.337372735820034,0.07902160020735623,resnet32,0.0519,0.058,4.420399348166856,4.353676131841811,0.0667232132400386,resnet32,0.0424,0.0424,4.451405498453162,4.393299652094191,0.058105850364716556,resnet32,0.0356,0.0356,4.578286234289408,4.46677040444179,0.11151583562075923,resnet32,0.0596,0.0626,4.307286308570341,4.214585549113425,0.09270075847267766,resnet32,0.079,0.0806,4.282518160275438,4.162659806961363,0.11985836336812512,resnet32,0.0161,0.0152,4.696939435194839,4.589214598590678,0.10772482870908623,9000000.0,0.0,36000000.0,72000000.0,864000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,2,0.1,2,165.66,0.08644166666666665,0.03485700451686703,0.01,0.1361,0.1175,0.03105833333333334,0.08583333333333332,0.1162,0.7832515151515154,0.3562965132195984,0.7853151515151514,0.36991506558551795,0.09339090909090908,0.01,0.09339090909090908,0.09258181818181818,0.747218181818182,0.43327492280577823,0.7447490909090911,0.42123495297119723,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1017,0.1036,3.9806768911128696,3.698454340750521,0.28222254845737055,resnet32,0.1273,0.1206,3.7529001164842737,3.648374200544574,0.10452591441571712,resnet32,0.1026,0.099,3.8367447284134952,3.7459252920340407,0.09081943681865762,resnet32,0.0894,0.0834,3.8622224930335176,3.7696914107284765,0.09253108233149926,resnet32,0.0453,0.045,3.9972236390140923,3.891499389301647,0.10572424703489312,resnet32,0.0977,0.0974,4.021417753262953,3.936006421731277,0.08541133898225697,resnet32,0.0723,0.077,4.001808829266917,3.937958150763403,0.06385068346174773,resnet32,0.1042,0.104,3.9930987852540882,3.9085340442305263,0.08456473506521434,resnet32,0.1361,0.1342,3.8570156297223135,3.771669540215622,0.08534608685559678,resnet32,0.1029,0.1038,3.969891819764267,3.7937038405375048,0.1761879822747274,resnet32,0.0478,0.0504,4.547916641289538,4.330518832599575,0.21739780680615117,9000000.0,0.0,36000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,3,0.1,2,165.63,0.16625833333333334,0.05320176153620814,0.01,0.2293,0.2158,0.04954166666666665,0.16171666666666665,0.214,0.6953787878787878,0.4367525345374201,0.6972969696969696,0.4442056867109748,0.18046363636363638,0.01,0.18046363636363638,0.17536363636363636,0.6381527272727272,0.528357905189222,0.6359454545454544,0.5204129073006304,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2293,0.2262,3.7353131500157444,3.3451154726472767,0.39019768100909213,resnet32,0.2131,0.2022,3.3920152708888054,3.2409135787324472,0.15110169214577499,resnet32,0.1944,0.1942,3.4444196308878334,3.321775235574354,0.12264439509123225,resnet32,0.1778,0.1704,3.494174478067593,3.3757433769377796,0.11843110419894484,resnet32,0.1846,0.1786,3.585358304056254,3.4590519202703778,0.12630637960550797,resnet32,0.1791,0.1772,3.632826496254314,3.5171909549019555,0.1156355410348624,resnet32,0.1598,0.151,3.6583232435990465,3.5585520430044695,0.09977119689574465,resnet32,0.1555,0.1492,3.6059597320854664,3.4992295913398266,0.10673013906290924,resnet32,0.193,0.1888,3.503938564184037,3.4001088474284518,0.10382971303029494,resnet32,0.1651,0.162,3.592372051016851,3.429541336541826,0.16283071419986134,resnet32,0.1334,0.1292,4.144240190021017,3.8197467279705135,0.3244934603148563,9000000.0,0.0,36000000.0,144000000.0,1728000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,4,0.1,2,165.9,0.15743333333333331,0.05730308795247328,0.01,0.233,0.1977,0.04026666666666667,0.15285,0.1844,0.6950878787878787,0.39721494136544416,0.6977151515151518,0.40576694439780053,0.17083636363636365,0.01,0.17083636363636365,0.1656909090909091,0.6396309090909092,0.4719651948488127,0.6365418181818182,0.46358140636948464,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.233,0.221,3.5062368816950102,3.035691338506612,0.4705455388704484,resnet32,0.2188,0.2104,3.1263101801953534,2.9398533315821127,0.18645684349096633,resnet32,0.2066,0.201,3.1531551839275793,3.0000349269671873,0.1531202538065951,resnet32,0.1607,0.1632,3.1822054135528477,3.035648477687077,0.14655693706167353,resnet32,0.1684,0.153,3.234182399104942,3.0833613693036814,0.15082102903926914,resnet32,0.1663,0.1556,3.2651956433599647,3.114613140509887,0.15058250333690507,resnet32,0.1482,0.1478,3.320841443809596,3.176977454938672,0.14386399371803485,resnet32,0.1694,0.1642,3.3064596175470133,3.166275365447456,0.14018425373995508,resnet32,0.1742,0.169,3.2446380630135536,3.1142219714820385,0.1304160932248289,resnet32,0.0872,0.0862,3.3043072159317406,3.136605729433623,0.16770148503763432,resnet32,0.1464,0.1512,3.8127943968231026,3.406835225495425,0.40595916531641374,9000000.0,0.0,36000000.0,180000000.0,2160000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,5,0.1,2,176.0,0.24355833333333335,0.07258951322715669,0.01,0.2955,0.306,0.062441666666666645,0.2439166666666667,0.3076,0.6287181818181821,0.4889780367481079,0.635068181818182,0.4919381071657981,0.2647909090909091,0.01,0.2647909090909091,0.2650363636363636,0.5644436363636364,0.5763813997214694,0.5570145454545452,0.5760388251724073,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2872,0.2904,3.358260989189148,2.8380994634194807,0.5201615233143623,resnet32,0.2548,0.249,2.9432284086942673,2.7292737639085813,0.2139546429018744,resnet32,0.2955,0.2922,2.9353842501613228,2.7638202262195675,0.17156402732838283,resnet32,0.2732,0.2788,2.944954085756432,2.778813913803209,0.16614017022815955,resnet32,0.2868,0.2918,2.986616389656609,2.8150230947543275,0.17159329864873804,resnet32,0.2722,0.2722,3.0004650933498684,2.8257121802730993,0.17475291112945837,resnet32,0.2598,0.2654,3.060330941934477,2.883766572922468,0.17656436492688954,resnet32,0.2383,0.2282,3.082048863172531,2.9126538661393253,0.1693950017109852,resnet32,0.2487,0.2472,3.0336439572274685,2.8797921470620413,0.15385180976326493,resnet32,0.2516,0.256,3.0921427996998485,2.9026465724137696,0.18949622648175468,resnet32,0.2446,0.2442,3.582779521291906,3.1165398088368503,0.4662397083911029,9000000.0,0.0,36000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,6,0.1,2,175.93,0.2726916666666667,0.08100836848060138,0.01,0.3306,0.3457,0.07300833333333329,0.2717,0.3452,0.624327272727273,0.4714544604413901,0.6297863636363636,0.4748305415720031,0.29657272727272727,0.01,0.29657272727272727,0.2953454545454546,0.5562272727272727,0.5741108627533501,0.549650909090909,0.5725337022394738,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3306,0.3326,3.2559491439976473,2.7030340673571285,0.5529150805351409,resnet32,0.2866,0.2916,2.8150453367693857,2.5802851275286893,0.23476020883853463,resnet32,0.3123,0.3116,2.7825198149816557,2.5936778585680504,0.18884195463562553,resnet32,0.3048,0.2988,2.777868404307149,2.5937122482467783,0.18415615508671512,resnet32,0.2814,0.278,2.8170170502906497,2.6273702931675045,0.18964676118709825,resnet32,0.3216,0.3272,2.8285543877970087,2.6363313770429655,0.19222301145253534,resnet32,0.2818,0.276,2.8871107368984004,2.6899665387516674,0.19714419795623558,resnet32,0.2832,0.2784,2.925177514891733,2.736720202321356,0.18845730912025002,resnet32,0.2984,0.2942,2.8857602839442817,2.715206638994542,0.1705536482728679,resnet32,0.2892,0.2892,2.942990732802586,2.7330043349753725,0.20998639636673033,resnet32,0.2724,0.2712,3.4381897869435223,2.9293841888958756,0.5088055956346745,9000000.0,0.0,36000000.0,252000000.0,3024000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,7,0.1,2,173.93,0.2914666666666667,0.0860022415728541,0.01,0.3443,0.3681,0.07663333333333328,0.28496666666666665,0.3586,0.6120666666666662,0.4668700797995579,0.6125348484848487,0.47420137313709565,0.3170545454545454,0.01,0.3170545454545454,0.3098181818181818,0.5355036363636363,0.5744347194775399,0.5347563636363635,0.5699172732297871,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3443,0.326,3.1781386475671423,2.5987240997227756,0.5794145440344106,resnet32,0.3121,0.3076,2.7093677212568847,2.454595482654192,0.2547722399150106,resnet32,0.3279,0.324,2.6694680408320646,2.460701572962783,0.20876646577380598,resnet32,0.3004,0.2954,2.6531580093909395,2.4489921979944813,0.20416581220078198,resnet32,0.3314,0.3242,2.6847212832759726,2.4747029983184556,0.2100182861216705,resnet32,0.3285,0.3208,2.707585221664472,2.4953222918239506,0.21226292495107787,resnet32,0.3137,0.3112,2.7668073678558525,2.5458817341449587,0.22092563068409535,resnet32,0.3028,0.293,2.8207914148542015,2.612431280653585,0.20836013132198292,resnet32,0.2923,0.2906,2.781166084110737,2.595837327228351,0.18532875478691,resnet32,0.3187,0.3136,2.8303230039098044,2.604162809523669,0.22616019546562297,resnet32,0.3155,0.3016,3.33465138213201,2.796381366862492,0.5382700177671557,9000000.0,0.0,36000000.0,288000000.0,3456000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,8,0.1,2,167.71,0.32060833333333333,0.09722992901993821,0.01,0.392,0.409,0.08839166666666665,0.3176166666666666,0.399,0.5953363636363637,0.49642035777021565,0.59935,0.4949090349010993,0.3488454545454545,0.01,0.3488454545454545,0.3454363636363636,0.5249181818181817,0.5751667876539645,0.5208363636363638,0.574830507563044,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.392,0.3798,3.111614475196058,2.5149333636191757,0.5966811024753208,resnet32,0.3228,0.3242,2.6213300048627635,2.3529476237229328,0.268382378176532,resnet32,0.3633,0.3706,2.5648680410601874,2.3433987496590074,0.22146929339082402,resnet32,0.3814,0.373,2.545607900754972,2.3296156601810996,0.21599224156869407,resnet32,0.3455,0.3428,2.5698698928410355,2.34953605806963,0.2203338307921182,resnet32,0.3739,0.3724,2.6001979271796616,2.3773925363678825,0.2228053862398321,resnet32,0.3499,0.344,2.6671113554726946,2.429557342420925,0.237554010046138,resnet32,0.2911,0.2794,2.7424973496659235,2.5194044175811787,0.22309293113225562,resnet32,0.3444,0.34,2.700519120490009,2.505396206101233,0.19512291356328537,resnet32,0.3431,0.3424,2.755720932375301,2.5192304441536013,0.2364904855970632,resnet32,0.3299,0.3312,3.259413944049315,2.7028253864158285,0.5565885587764735,9000000.0,0.0,36000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-ring-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-ring-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,5170044,0,9,0.1,2,167.11,0.30645000000000006,0.09203855623233849,0.01,0.37,0.3879,0.08144999999999997,0.2973666666666667,0.376,0.6126393939393939,0.4679800217205657,0.6126999999999999,0.4695600084527905,0.33340000000000003,0.01,0.33340000000000003,0.3233454545454546,0.5375672727272727,0.5493932390239259,0.537469090909091,0.5497548012352312,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3494,0.3362,3.068055220625617,2.4560117447240786,0.6120434742928906,resnet32,0.37,0.3594,2.562350867485458,2.279652041806416,0.28269882417622616,resnet32,0.345,0.3328,2.494690028442578,2.261460275135257,0.2332297514235093,resnet32,0.3358,0.3218,2.4690109997649086,2.240693845024163,0.2283171498724683,resnet32,0.315,0.3026,2.4974248441444202,2.2647284547036346,0.23269639107060025,resnet32,0.3256,0.3218,2.5220729893242773,2.285278057848865,0.23679493685168299,resnet32,0.3188,0.3148,2.5975106195970015,2.340381278402426,0.25712933975525876,resnet32,0.2781,0.2646,2.6949769383804365,2.456337054006078,0.23863988915796985,resnet32,0.3435,0.3356,2.6497946384955537,2.44475640271875,0.2050382369197905,resnet32,0.3366,0.3256,2.7067219726741314,2.4594573979689316,0.2472645737103779,resnet32,0.3496,0.3416,3.2107115042480556,2.6403069597753612,0.5704045416787267,9000000.0,0.0,36000000.0,360000000.0,4320000000.0
