run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,zombie_slot,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_zombie,avg_test_acc_healthy,avg_val_acc_healthy,disagreement_test_healthy,rho_test_healthy,disagreement_val_healthy,rho_val_healthy,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,0,0.1,3,174.78,0.021624999999999995,0.010633917826151062,0.01,0.0484,0.0493,0.027675,0.02206666666666667,0.0522,0.863181818181818,0.14616928031434434,0.8621242424242421,0.14977301742599036,0.022681818181818178,0.01,0.022681818181818178,0.023018181818181823,0.8346836363636362,0.18233361856623267,0.8359309090909088,0.17833422838805152,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0107,0.0122,4.735087435353886,4.637439200146631,0.09764823016699996,resnet32,0.0109,0.0116,4.721096868542108,4.650393880903721,0.0707029945316952,resnet32,0.0258,0.0276,4.691146018152887,4.597929596223614,0.09321642285993387,resnet32,0.0177,0.0176,4.68599720434709,4.617421850562096,0.0685753635473454,resnet32,0.0278,0.0294,4.658037354322997,4.570403117347848,0.08763424155106557,resnet32,0.0484,0.0462,4.622715654698285,4.521553304385055,0.10116235608108003,resnet32,0.0215,0.02,4.695975097742948,4.6027711440216414,0.09320395840735397,resnet32,0.022,0.0238,4.692241257564588,4.597770445048809,0.09447080669765869,resnet32,0.032,0.0332,4.692912257530472,4.618715347891504,0.07419691347323268,resnet32,0.0121,0.0126,4.71149045703086,4.643401457504793,0.06808900387394798,resnet32,0.0206,0.019,4.7045587931167,4.629070138389414,0.0754886492527889,13500000.0,0.0,54000000.0,54000000.0,648000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,1,0.1,3,167.99,0.06134166666666666,0.023694635761895327,0.01,0.1081,0.0875,0.026158333333333332,0.06081666666666668,0.0842,0.7644696969696967,0.3263001493215987,0.7655272727272731,0.3304132781208837,0.0660090909090909,0.01,0.0660090909090909,0.0652909090909091,0.7214545454545455,0.39058018639605524,0.7202363636363635,0.38929561244310157,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.0365,0.0386,4.512585495344617,4.414256269620224,0.09832921946442431,resnet32,0.0411,0.04,4.496419621462172,4.417189335958525,0.07923028566504152,resnet32,0.0717,0.0758,4.338071941652081,4.263519266450947,0.07455266762355511,resnet32,0.0767,0.0748,4.424474387344989,4.315789176659151,0.10868521873437037,resnet32,0.0667,0.067,4.353096334433014,4.2248211628334085,0.12827517073178155,resnet32,0.1081,0.101,4.155321198430928,4.059623161838814,0.09569803445430641,resnet32,0.0656,0.0618,4.351154418492859,4.274011414836753,0.07714300736552104,resnet32,0.0748,0.0756,4.364050048996102,4.2924889979714695,0.07156104483609935,resnet32,0.0724,0.07,4.287473218007521,4.18933365019885,0.0981395684542473,resnet32,0.0647,0.0626,4.449706240133806,4.373002657158808,0.07670358307156923,resnet32,0.0478,0.051,4.451324913650751,4.373535022816875,0.07778989008246837,13500000.0,0.0,54000000.0,108000000.0,1296000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,2,0.1,3,167.54,0.10785,0.03382872300279749,0.01,0.1451,0.1331,0.025249999999999995,0.10788333333333333,0.1362,0.6822636363636363,0.4627571161453761,0.6886045454545452,0.4777742560312536,0.11674545454545454,0.01,0.11674545454545454,0.11663636363636364,0.6309163636363635,0.5600444337885621,0.62352,0.5479684285891756,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.104,0.1018,3.9477530741556124,3.842447757043622,0.1053053146672689,resnet32,0.0864,0.086,3.954130487347191,3.8485744449902666,0.10555604195476255,resnet32,0.1032,0.1058,3.8740961280736057,3.7844245440580626,0.08967158153377981,resnet32,0.1127,0.1122,4.043912512673573,3.823550982570106,0.22036153230477462,resnet32,0.1211,0.1234,4.091889913447878,3.8482173677872527,0.24367254502563315,resnet32,0.1451,0.1434,3.7376104190268298,3.6152735559100453,0.12233686097897589,resnet32,0.1082,0.11,3.8385394500060515,3.7422361516139726,0.09630330296402628,resnet32,0.1383,0.1416,3.797270182858814,3.7075498666275633,0.08972031574971466,resnet32,0.1406,0.1328,3.7705736217850987,3.676399479535493,0.09417414079970596,resnet32,0.1081,0.1104,4.047179034149105,3.837889166379517,0.20928986273197966,resnet32,0.1165,0.1156,3.8530963114039465,3.7683820064094933,0.08471430562415415,13500000.0,0.0,54000000.0,162000000.0,1944000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,3,0.1,3,167.56,0.17625833333333332,0.053969643602265485,0.01,0.2071,0.2181,0.041841666666666666,0.17178333333333332,0.2154,0.6473121212121211,0.47305454906017624,0.6465575757575761,0.4874537938027101,0.19137272727272725,0.01,0.19137272727272725,0.18634545454545456,0.5774690909090908,0.5759076753602491,0.5784072727272727,0.5613929371310917,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.187,0.1764,3.5455440574071626,3.405505735427141,0.140038322170519,resnet32,0.1913,0.1922,3.5331628688357095,3.3906092051077974,0.14255365749440072,resnet32,0.1283,0.1322,3.504814975979653,3.3773169595409525,0.12749801490413534,resnet32,0.1984,0.1874,3.7446522543376144,3.4288356866348875,0.31581656649624085,resnet32,0.1944,0.1918,3.8001721392978323,3.4528693705797195,0.3473027678714557,resnet32,0.1925,0.1912,3.3969812823290173,3.242878016761758,0.1541032688692212,resnet32,0.2053,0.1956,3.4578295590525325,3.3271223980594766,0.13070716134230184,resnet32,0.2055,0.192,3.436380734159188,3.317328917370601,0.11905181743416259,resnet32,0.1944,0.1888,3.3892825858836826,3.2627992538565938,0.12648333045019006,resnet32,0.2071,0.2088,3.7693798426877367,3.461736220527779,0.30764362516558985,resnet32,0.2009,0.1934,3.4567729800262232,3.33714895458384,0.11962402537888424,13500000.0,0.0,54000000.0,216000000.0,2592000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,4,0.1,3,167.63,0.18139166666666665,0.05389475018238995,0.01,0.2181,0.2317,0.050308333333333344,0.17795000000000002,0.2242,0.6655484848484847,0.43818116828778014,0.6663348484848485,0.447207096585304,0.19697272727272727,0.01,0.19697272727272727,0.19307272727272728,0.6016236363636364,0.5234626673850287,0.600767272727273,0.5171170346511891,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.1798,0.1742,3.2092967067252505,3.029123155569488,0.18017355033027177,resnet32,0.1564,0.1526,3.165499968623573,2.9770646041089837,0.1884353635621003,resnet32,0.201,0.1998,3.178832233290781,3.0171736306087538,0.16165860197295182,resnet32,0.2181,0.2144,3.4947807402773337,3.1042489924214105,0.39053174887191167,resnet32,0.1927,0.1924,3.5484122918410734,3.1169126250527124,0.43149966543371027,resnet32,0.2116,0.2068,3.116743878884749,2.935258329253305,0.18148555274290795,resnet32,0.1971,0.1976,3.151589421724731,2.990995830432935,0.16059358953498304,resnet32,0.2076,0.197,3.130850747904994,2.974141623824835,0.1567091273821213,resnet32,0.2023,0.2022,3.06642411141233,2.902838697487658,0.1635854146019979,resnet32,0.2027,0.1968,3.5472056124020708,3.1557898744940758,0.39141573824665765,resnet32,0.1974,0.19,3.145229035480456,2.9881410554728727,0.15708798049441117,13500000.0,0.0,54000000.0,270000000.0,3240000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,5,0.1,3,167.62,0.260125,0.08009483051358558,0.01,0.318,0.3253,0.06517499999999998,0.26228333333333337,0.321,0.6075121212121212,0.5060384591998723,0.6180136363636364,0.5063862394553411,0.2828636363636364,0.01,0.2828636363636364,0.2850727272727273,0.5443163636363636,0.5929486480550701,0.5319309090909091,0.594475655533541,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.2928,0.2946,2.983997182751244,2.77781161124056,0.20618557259017092,resnet32,0.2835,0.2862,2.933721763505177,2.7206307012926447,0.213091058741239,resnet32,0.2498,0.25,2.9713408574461937,2.7881490638987585,0.18319179172712294,resnet32,0.2976,0.2996,3.3161517097191378,2.8790502202781765,0.43710149193859915,resnet32,0.2994,0.2994,3.355326570909132,2.8716870586980474,0.48363951132209465,resnet32,0.3119,0.3108,2.9246253821660173,2.722471845082261,0.20215353996238924,resnet32,0.2173,0.2282,2.9328118335794318,2.7500418814068492,0.1827699471138079,resnet32,0.2932,0.3006,2.9284393306482923,2.7467866861684755,0.18165264232084155,resnet32,0.318,0.3178,2.8665591867809948,2.6847067258574744,0.1818524596747011,resnet32,0.2597,0.2602,3.3807619898156687,2.9396754035895523,0.4410865864801136,resnet32,0.2883,0.2884,2.9275220574980434,2.7492907328361813,0.17823132269338451,13500000.0,0.0,54000000.0,324000000.0,3888000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,6,0.1,3,167.55,0.27551666666666663,0.08454959918427896,0.01,0.3359,0.3451,0.06958333333333339,0.2719,0.3384,0.6189272727272727,0.47311693841827207,0.6219090909090906,0.4788923637816265,0.29965454545454545,0.01,0.29965454545454545,0.29556363636363636,0.5466672727272728,0.5808357027183741,0.5430290909090909,0.5768045385173034,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3153,0.3144,2.8421202332458715,2.619122522121126,0.2229977108707482,resnet32,0.3212,0.3224,2.7844502593983305,2.5512587306174366,0.23319152842106466,resnet32,0.3158,0.3004,2.8209770589389582,2.621427808295597,0.19954924751073122,resnet32,0.3286,0.32,3.1966278566555544,2.727801510217515,0.46882635194130917,resnet32,0.3359,0.332,3.2312471602450716,2.7143597223541955,0.5168874353932386,resnet32,0.2938,0.2992,2.80177980390462,2.582105313173749,0.21967449185269122,resnet32,0.2889,0.278,2.7775505506856875,2.57875028049404,0.1988002645613795,resnet32,0.3083,0.3062,2.7943244102326306,2.5970889333296907,0.19723547853275455,resnet32,0.2873,0.2812,2.739752137525515,2.54156781479039,0.1981843235394494,resnet32,0.2339,0.2304,3.271088071506132,2.7947335548021575,0.47635451619597996,resnet32,0.2672,0.267,2.7904071415012535,2.59616300531409,0.19424413798630916,13500000.0,0.0,54000000.0,378000000.0,4536000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,7,0.1,3,167.51,0.28430833333333333,0.08741235094208497,0.01,0.3425,0.3632,0.0788916666666667,0.28001666666666664,0.3506,0.6183212121212119,0.46408505148758417,0.6214469696969697,0.46832029388923985,0.30924545454545455,0.01,0.30924545454545455,0.30441818181818187,0.546318181818182,0.5647415567103243,0.5423781818181816,0.564918908763473,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3425,0.3386,2.722330139103261,2.482057432728735,0.24027270332656123,resnet32,0.2577,0.2522,2.6660792421210897,2.4146004251458426,0.25147881600159133,resnet32,0.2819,0.2798,2.7088325436819685,2.4924904485656456,0.21634209115820174,resnet32,0.3158,0.3044,3.1071598180993036,2.6135620092126457,0.4935978117652915,resnet32,0.2542,0.2532,3.137421255761927,2.5917484021999617,0.5456728532233022,resnet32,0.325,0.3222,2.699550995772535,2.4623105608942835,0.23724043354476718,resnet32,0.3213,0.3196,2.6661363298242744,2.450756408443505,0.21537991642782633,resnet32,0.3338,0.3308,2.6740950809961017,2.4631599937988953,0.21093508264642546,resnet32,0.3076,0.3066,2.6355257159606977,2.423113585534421,0.21241212924095718,resnet32,0.3246,0.3168,3.185523470017043,2.683116326616569,0.5024071426808157,resnet32,0.3373,0.3244,2.68948114968159,2.478660274804993,0.21082087779756298,13500000.0,0.0,54000000.0,432000000.0,5184000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,8,0.1,3,167.55,0.3112416666666667,0.09205196411387549,0.01,0.375,0.3902,0.0789583333333333,0.3089666666666667,0.3806,0.5823424242424241,0.5115796478578511,0.5877030303030305,0.5119808539788654,0.3386272727272728,0.01,0.3386272727272728,0.336,0.5120181818181818,0.5948844716454678,0.5062727272727272,0.5929819563749116,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3423,0.338,2.6262101636014203,2.375604198229584,0.2506059671921486,resnet32,0.3304,0.3252,2.578123988753015,2.314923447472128,0.263200537555597,resnet32,0.3338,0.33,2.6094640398567375,2.3814673444086853,0.22799669176509435,resnet32,0.3105,0.3166,3.0256816948002037,2.512808609076522,0.5128730860200118,resnet32,0.3303,0.3286,3.059454734352502,2.4949941503053363,0.5644605811261996,resnet32,0.3316,0.3258,2.614873256534338,2.3654902711171997,0.24938298981975426,resnet32,0.3568,0.3496,2.563912879844958,2.3383025112138554,0.2256103637204929,resnet32,0.375,0.371,2.577824592082338,2.3558918994597415,0.22193269418891182,resnet32,0.3382,0.337,2.5542947233400564,2.3322278733619233,0.22206685207360846,resnet32,0.341,0.3368,3.1103089174086396,2.5872262689200314,0.5230826520445672,resnet32,0.335,0.3374,2.5939436709000305,2.3705508461730047,0.22339282561601562,13500000.0,0.0,54000000.0,486000000.0,5832000000.0
resnet32x12_cifar100_K12_topo-rregular3-zomb0_seed0002_d015,d015,resnet32:12,cifar100,12,topology,topo-rregular3-zomb0,peers,2,200,64,0.1,0.9,0.0005,True,2,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,rregular:3,0.0,0.0,42,0,45000,5000,10000,5170044,0,9,0.1,3,167.68,0.30706666666666665,0.09110467727961184,0.01,0.3672,0.3811,0.07403333333333334,0.30344999999999994,0.3774,0.5867969696969697,0.48627507574170836,0.5919666666666668,0.4897843785743946,0.3340727272727273,0.01,0.3340727272727273,0.32998181818181815,0.5134527272727271,0.5711263770224723,0.5073745454545453,0.5678051190493262,zombie,0.01,0.0116,0.0,0.0,0.0,resnet32,0.3672,0.357,2.560624851252545,2.298714287748391,0.26191056187433953,resnet32,0.3268,0.3196,2.517885960977186,2.241392833434723,0.27649312843145296,resnet32,0.3385,0.3322,2.535940493033691,2.295616577802734,0.240323915082792,resnet32,0.3378,0.3344,2.9687537459487263,2.4379594109275122,0.5307943278246305,resnet32,0.2988,0.297,3.000121482393958,2.4205351307649505,0.579586357047612,resnet32,0.3365,0.3384,2.5578683486038987,2.296882389113307,0.26098595767027954,resnet32,0.3518,0.3514,2.4908213263208214,2.2542158465155144,0.23660548196428202,resnet32,0.3454,0.3412,2.511579979549755,2.2790086894211443,0.2325712928379124,resnet32,0.3308,0.3242,2.497911335561763,2.263519873842597,0.23439145934852687,resnet32,0.3143,0.3152,3.061322575265711,2.5219746834852477,0.5393478875471787,resnet32,0.3269,0.3192,2.5293803502890198,2.293679308484901,0.23570104684172707,13500000.0,0.0,54000000.0,540000000.0,6480000000.0
