run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,0,0.1,1,19.32,0.02305,0.0027500000000000007,0.0203,0.0258,0.0242,0.0011499999999999982,0.0221,0.0244,0.8976,0.17556784243438436,0.9029,0.1912650481827085,0.0203,0.0258,mobilenet,0.0203,0.018,4.638705466958609,4.557608267123049,0.08109720609834105,resnet32,0.0258,0.0262,4.72133806347847,4.61863949149847,0.10269856600461935,4500000.0,0.0,18000000.0,18000000.0,36000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,1,0.1,1,16.77,0.088,0.0075,0.0805,0.0955,0.0965,0.008500000000000008,0.0867,0.095,0.6396,0.4942132729031552,0.6434,0.466628929604229,0.0805,0.0955,mobilenet,0.0805,0.0784,4.154255235059694,4.083006952973929,0.0712482782652263,resnet32,0.0955,0.095,4.148000632158735,4.077347654510628,0.07065297846301374,4500000.0,0.0,18000000.0,36000000.0,72000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,2,0.1,1,16.7,0.137,0.00860000000000001,0.1284,0.1456,0.1506,0.013600000000000001,0.135,0.1474,0.644,0.5123761764913338,0.657,0.4932959673141157,0.1284,0.1456,mobilenet,0.1284,0.1252,3.839005130935799,3.707068684764884,0.13193644317586653,resnet32,0.1456,0.1448,3.723338543014093,3.5915800658139316,0.13175847837489776,4500000.0,0.0,18000000.0,54000000.0,108000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,3,0.1,1,16.55,0.18205,0.031149999999999997,0.1509,0.2132,0.1981,0.01605000000000001,0.175,0.1908,0.6686,0.46896800020280044,0.6702,0.4810746707550982,0.1509,0.2132,mobilenet,0.1509,0.1408,3.5727259885858405,3.385879434306513,0.18684655250134793,resnet32,0.2132,0.2092,3.4245918460867624,3.237876691940156,0.18671515056948093,4500000.0,0.0,18000000.0,72000000.0,144000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,4,0.1,1,16.84,0.1548,0.0701,0.0847,0.2249,0.17,0.015200000000000019,0.1494,0.1678,0.8514,0.23298708182340017,0.8557,0.22581267898843832,0.0847,0.2249,mobilenet,0.0847,0.0832,3.3600786213170397,3.121754765171896,0.2383238600397652,resnet32,0.2249,0.2156,3.1781438677148386,2.9394602863626047,0.23868357699195092,4500000.0,0.0,18000000.0,90000000.0,180000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,5,0.1,1,16.79,0.26705,0.02794999999999999,0.2391,0.295,0.2922,0.025150000000000006,0.2665,0.2944,0.5952,0.5424341687577892,0.6114,0.5370487878127194,0.2391,0.295,mobilenet,0.2391,0.2348,3.16787838190794,2.8970687755129556,0.27080960673364723,resnet32,0.295,0.2982,2.9702753773467108,2.6977047117596324,0.27257067092101683,4500000.0,0.0,18000000.0,108000000.0,216000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,6,0.1,1,16.65,0.2813,0.030899999999999983,0.2504,0.3122,0.3061,0.02479999999999999,0.2777,0.2996,0.5816,0.5494196847580721,0.5853,0.5340932073850476,0.2504,0.3122,mobilenet,0.2504,0.2488,3.0269666232846,2.7374361523173074,0.28953046567568724,resnet32,0.3122,0.3066,2.831693911755627,2.539116957986897,0.2925769507419318,4500000.0,0.0,18000000.0,126000000.0,252000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,7,0.1,1,16.51,0.30445,0.017849999999999977,0.2866,0.3223,0.3398,0.03534999999999999,0.2918,0.3238,0.6284,0.4981044556410331,0.6261,0.4870611085083927,0.2866,0.3223,mobilenet,0.2866,0.275,2.932674906131896,2.623339052904736,0.3093358558094637,resnet32,0.3223,0.3086,2.730966170741753,2.418873259289698,0.3120929151773453,4500000.0,0.0,18000000.0,144000000.0,288000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,8,0.1,1,16.77,0.3083,0.0174,0.2909,0.3257,0.342,0.03370000000000001,0.3085,0.3464,0.6266,0.4699393493200116,0.6161,0.5123656659185248,0.2909,0.3257,mobilenet,0.2909,0.2968,2.8562174419110473,2.5362091213464737,0.3200083166064525,resnet32,0.3257,0.3202,2.657113441012122,2.3339190916581587,0.323194350221787,4500000.0,0.0,18000000.0,162000000.0,324000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,9,0.1,1,16.73,0.3326,0.008300000000000002,0.3243,0.3409,0.3695,0.03689999999999999,0.3288,0.3696,0.6146,0.4913116127083278,0.6194,0.47386398513930567,0.3243,0.3409,mobilenet,0.3243,0.3196,2.8024850216778843,2.4704797823320734,0.3320052406792952,resnet32,0.3409,0.338,2.6083193147047,2.272479238835248,0.3358400783670897,4500000.0,0.0,18000000.0,180000000.0,360000000.0
