run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,0,0.1,0,19.3,0.09595000000000001,0.003950000000000002,0.092,0.0999,0.1123,0.01634999999999999,0.09540000000000001,0.1176,0.8148,0.2638494178896724,0.8177,0.2481757225101563,0.092,0.0999,mobilenet,0.092,0.0898,4.036305181004784,4.036305181004784,0.0,resnet32,0.0999,0.101,4.145192223516378,4.145192223516378,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,1,0.1,0,16.16,0.1643,0.016399999999999998,0.1479,0.1807,0.1841,0.019800000000000012,0.1592,0.1778,0.8026,0.31784727255174466,0.8054,0.3175442534256006,0.1479,0.1807,mobilenet,0.1479,0.14,3.553681693971157,3.553681693971157,0.0,resnet32,0.1807,0.1784,3.4592730826274916,3.4592730826274916,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,2,0.1,0,16.03,0.19490000000000002,0.0034000000000000002,0.1915,0.1983,0.2244,0.02949999999999997,0.1946,0.2254,0.7594,0.360996357313832,0.7496,0.36602728730389494,0.1983,0.1915,mobilenet,0.1983,0.1998,3.237357648936185,3.237357648936185,0.0,resnet32,0.1915,0.1894,3.017151355066083,3.017151355066083,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,3,0.1,0,15.97,0.21789999999999998,0.0286,0.1893,0.2465,0.2523,0.03440000000000004,0.2186,0.247,0.7824,0.4018026406793975,0.7871,0.39114291578604227,0.1893,0.2465,mobilenet,0.1893,0.1924,2.998544327576052,2.998544327576052,0.0,resnet32,0.2465,0.2448,2.710751037367366,2.710751037367366,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,4,0.1,0,16.27,0.2288,0.0267,0.2021,0.2555,0.2562,0.02739999999999998,0.2263,0.2544,0.75,0.35957584033988665,0.7458,0.3629294984786905,0.2021,0.2555,mobilenet,0.2021,0.2022,2.850778178057887,2.850778178057887,0.0,resnet32,0.2555,0.2504,2.5195856727659702,2.5195856727659702,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,5,0.1,0,16.67,0.2833,0.07990000000000001,0.2034,0.3632,0.3402,0.056900000000000006,0.2815,0.3404,0.7456,0.3495163501880594,0.7491,0.3777430817904718,0.2034,0.3632,mobilenet,0.2034,0.204,2.751471553675153,2.751471553675153,0.0,resnet32,0.3632,0.359,2.364316224543886,2.364316224543886,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,6,0.1,0,16.39,0.28659999999999997,0.0628,0.2238,0.3494,0.3322,0.04560000000000003,0.28559999999999997,0.3344,0.6982,0.40035833635060636,0.7038,0.4056231775592445,0.2238,0.3494,mobilenet,0.2238,0.2238,2.6986767155202953,2.6986767155202953,0.0,resnet32,0.3494,0.3474,2.2507913060147655,2.2507913060147655,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,7,0.1,0,16.19,0.3164,0.03509999999999999,0.2813,0.3515,0.3561,0.03970000000000001,0.3183,0.3636,0.6466,0.4551513050784807,0.6601,0.4570826069589598,0.2813,0.3515,mobilenet,0.2813,0.284,2.6318527311086655,2.6318527311086655,0.0,resnet32,0.3515,0.3526,2.1766053971580486,2.1766053971580486,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,8,0.1,0,16.24,0.3297,0.044800000000000006,0.2849,0.3745,0.3739,0.04420000000000002,0.3322,0.3836,0.6378,0.4504448457082811,0.6345,0.4509089682865969,0.2849,0.3745,mobilenet,0.2849,0.2864,2.593380704522133,2.593380704522133,0.0,resnet32,0.3745,0.378,2.111730583858761,2.111730583858761,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,9,0.1,0,16.86,0.31835,0.06605,0.2523,0.3844,0.3803,0.061950000000000005,0.308,0.3704,0.7214,0.3766452676686281,0.7262,0.36072991359666434,0.2523,0.3844,mobilenet,0.2523,0.2432,2.5503061073408886,2.5503061073408886,0.0,resnet32,0.3844,0.3728,2.062223991379142,2.062223991379142,0.0,0.0,0.0,0.0,0.0,0.0
