run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,0,0.1,0,15.61,0.06805,0.012050000000000002,0.056,0.0801,0.0802,0.012149999999999994,0.0645,0.0738,0.8838,0.16290144301525458,0.8815,0.17968402380239393,0.06805,mobilenet,0.0801,0.0738,4.049362238835204,4.049362238835204,0.0,mobilenet,0.056,0.0552,4.069267021661455,4.069267021661455,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,1,0.1,0,15.48,0.1222,0.020100000000000007,0.1021,0.1423,0.1392,0.016999999999999987,0.1277,0.1434,0.8004,0.3512365245242563,0.8069,0.31926337113716524,0.1222,mobilenet,0.1423,0.1492,3.5658382891931315,3.5658382891931315,0.0,mobilenet,0.1021,0.1062,3.6234183900735597,3.6234183900735597,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,2,0.1,0,13.87,0.195,0.0050000000000000044,0.19,0.2,0.219,0.023999999999999994,0.191,0.2136,0.6552,0.4766060814155473,0.6668,0.46074326552337963,0.195,mobilenet,0.19,0.1832,3.2031133090230552,3.2031133090230552,0.0,mobilenet,0.2,0.1988,3.276942728933963,3.276942728933963,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,3,0.1,0,13.79,0.20155,0.01475,0.1868,0.2163,0.2309,0.029349999999999987,0.1987,0.2282,0.813,0.31605212535184474,0.8101,0.3501939251415982,0.20155,mobilenet,0.1868,0.1832,2.974015102129091,2.974015102129091,0.0,mobilenet,0.2163,0.2142,3.0405412688851357,3.0405412688851357,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,4,0.1,0,15.15,0.20185,0.03545000000000001,0.1664,0.2373,0.2391,0.037250000000000005,0.2077,0.24,0.801,0.29528825232171385,0.8072,0.3124931060792563,0.20185,mobilenet,0.2373,0.2386,2.853641977025704,2.853641977025704,0.0,mobilenet,0.1664,0.1768,2.882531666958874,2.882531666958874,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,5,0.1,0,15.06,0.20685,0.008050000000000002,0.1988,0.2149,0.2219,0.01504999999999998,0.21400000000000002,0.23,0.6482,0.4842989503124131,0.6446,0.48665717921429447,0.20685,mobilenet,0.2149,0.2194,2.774564096534794,2.774564096534794,0.0,mobilenet,0.1988,0.2086,2.7900110225785864,2.7900110225785864,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,6,0.1,0,14.51,0.202,0.002699999999999994,0.1993,0.2047,0.2241,0.02209999999999998,0.1984,0.2208,0.7506,0.378944982408181,0.7438,0.3933678099406023,0.202,mobilenet,0.1993,0.1944,2.7061490748416293,2.7061490748416293,0.0,mobilenet,0.2047,0.2024,2.716475177894939,2.716475177894939,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,7,0.1,0,14.75,0.26839999999999997,0.006499999999999978,0.2619,0.2749,0.3016,0.03320000000000001,0.2645,0.3006,0.6752,0.44264150463774643,0.6873,0.40501920013458453,0.26839999999999997,mobilenet,0.2749,0.271,2.665997553955425,2.665997553955425,0.0,mobilenet,0.2619,0.258,2.66362528113479,2.66362528113479,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,8,0.1,0,15.87,0.24485,0.01365000000000001,0.2312,0.2585,0.2767,0.03184999999999999,0.2465,0.2836,0.723,0.39055332912960855,0.723,0.43793727784218067,0.24485,mobilenet,0.2312,0.233,2.6239762533117426,2.6239762533117426,0.0,mobilenet,0.2585,0.26,2.613860467618162,2.613860467618162,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,9,0.1,0,16.77,0.25265000000000004,0.0018499999999999905,0.2508,0.2545,0.2815,0.02884999999999993,0.2538,0.2826,0.7358,0.39172263810440977,0.7371,0.394420201502425,0.25265000000000004,mobilenet,0.2545,0.2546,2.5788025195625695,2.5788025195625695,0.0,mobilenet,0.2508,0.253,2.5741599042984573,2.5741599042984573,0.0,0.0,0.0,0.0,0.0,0.0
