run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,0,0.1,1,20.44,0.0145,0.0037,0.0108,0.0182,0.0175,0.003000000000000001,0.0154,0.018,0.8536,0.10946447789689231,0.8533,0.036437332801377766,0.0145,resnet32,0.0108,0.0108,4.783502378924326,4.670924152162942,0.11257822129714028,resnet32,0.0182,0.02,4.741332111033526,4.612428280440244,0.12890384006112238,4500000.0,0.0,18000000.0,18000000.0,36000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,1,0.1,1,18.85,0.0291,0.0165,0.0126,0.0456,0.0476,0.018500000000000003,0.0266,0.0424,0.7722,0.0884169446176825,0.7702,0.16869758789934536,0.0291,resnet32,0.0126,0.0098,4.6740684102882035,4.60614240643653,0.06792600504757668,resnet32,0.0456,0.0434,4.46859847009182,4.404440173371271,0.06415830089430198,4500000.0,0.0,18000000.0,36000000.0,72000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,2,0.1,1,18.8,0.061399999999999996,0.014099999999999998,0.0473,0.0755,0.068,0.006600000000000009,0.0597,0.0668,0.7612,0.34412265448153667,0.7557,0.3499929285336736,0.061399999999999996,resnet32,0.0473,0.0444,4.547286848452958,4.407722981477326,0.1395638752940365,resnet32,0.0755,0.075,4.158842498267239,4.025189829482273,0.13365267333574593,4500000.0,0.0,18000000.0,54000000.0,108000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,3,0.1,1,18.75,0.1265,0.004700000000000003,0.1218,0.1312,0.1337,0.007200000000000012,0.12029999999999999,0.127,0.452,0.6421913320373291,0.4631,0.6468024983408102,0.1265,resnet32,0.1218,0.112,3.8834204169159587,3.7842845534059135,0.09913585728711703,resnet32,0.1312,0.1286,3.723714606328444,3.6229900135235353,0.10072459213816645,4500000.0,0.0,18000000.0,72000000.0,144000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,4,0.1,1,18.93,0.15685,0.0028500000000000053,0.154,0.1597,0.1645,0.007650000000000018,0.1542,0.1626,0.4972,0.5798469152600436,0.499,0.5990236875316379,0.15685,resnet32,0.1597,0.1552,3.4541951858184556,3.3433316847817465,0.1108635018939491,resnet32,0.154,0.1532,3.388830803673376,3.276718155226924,0.11211265063717622,4500000.0,0.0,18000000.0,90000000.0,180000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,5,0.1,1,18.99,0.1953,0.0012999999999999956,0.194,0.1966,0.2091,0.013800000000000007,0.1899,0.2076,0.5946,0.5404372809806393,0.6044,0.5240686398284701,0.1953,resnet32,0.194,0.189,3.1767209138382566,3.041551109064709,0.13516980709127066,resnet32,0.1966,0.1908,3.119539037008177,2.9831591306084935,0.13637990614568646,4500000.0,0.0,18000000.0,108000000.0,216000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,6,0.1,1,18.84,0.29435,0.002950000000000008,0.2914,0.2973,0.3133,0.018950000000000022,0.2909,0.3078,0.4734,0.6417650740347369,0.4871,0.626236835885159,0.29435,resnet32,0.2914,0.2924,2.9847819676453415,2.8283481401475994,0.15643382212147117,resnet32,0.2973,0.2894,2.9205742742527616,2.7623169066553768,0.158257361787202,4500000.0,0.0,18000000.0,126000000.0,252000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,7,0.1,1,18.96,0.2777,0.006599999999999995,0.2711,0.2843,0.2872,0.009500000000000008,0.2749,0.2876,0.4264,0.6541641153514517,0.4136,0.694334133610823,0.2777,resnet32,0.2711,0.2658,2.8531479324129494,2.6769491867585615,0.1761987468926236,resnet32,0.2843,0.284,2.7814786031164904,2.603208275511861,0.17827032415450297,4500000.0,0.0,18000000.0,144000000.0,288000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,8,0.1,1,18.85,0.3247,0.006500000000000006,0.3182,0.3312,0.3433,0.018600000000000005,0.3151,0.3252,0.4486,0.627210208125742,0.4486,0.6487312972055389,0.3247,resnet32,0.3312,0.3202,2.7680303410372953,2.583026015961712,0.18500432729805735,resnet32,0.3182,0.31,2.685662465339357,2.4978326718238266,0.18782979192804883,4500000.0,0.0,18000000.0,162000000.0,324000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,9,0.1,1,19.08,0.30674999999999997,0.008650000000000019,0.2981,0.3154,0.3275,0.020750000000000046,0.3043,0.3192,0.4878,0.629075421957944,0.4901,0.6204525880556377,0.30674999999999997,resnet32,0.2981,0.2946,2.693467337299477,2.490710674192418,0.20275666109624912,resnet32,0.3154,0.314,2.61543875627897,2.4094324079765514,0.20600634908557616,4500000.0,0.0,18000000.0,180000000.0,360000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,10,0.1,1,18.74,0.29275,0.0019500000000000073,0.2908,0.2947,0.3098,0.01705000000000001,0.2815,0.2946,0.4832,0.631803265071846,0.4724,0.654462391727109,0.29275,resnet32,0.2947,0.2854,2.6473991254513916,2.435507966882803,0.21189115547829054,resnet32,0.2908,0.2776,2.553611289032481,2.338211366737431,0.21539992166005753,4500000.0,0.0,18000000.0,198000000.0,396000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,11,0.1,1,18.77,0.34199999999999997,0.021200000000000024,0.3208,0.3632,0.3615,0.019500000000000017,0.3336,0.3522,0.463,0.6306386422590275,0.4565,0.6387259893044014,0.34199999999999997,resnet32,0.3208,0.314,2.5882403193549677,2.367766749113798,0.22047356681220912,resnet32,0.3632,0.3532,2.5016219146888363,2.2775702491741288,0.22405166528187692,4500000.0,0.0,18000000.0,216000000.0,432000000.0
