run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,0,0.1,0,19.92,0.09240000000000001,0.018999999999999996,0.0734,0.1114,0.1015,0.009099999999999997,0.08990000000000001,0.0986,0.7004,0.4429743240244294,0.6952,0.41952883592355145,0.09240000000000001,resnet32,0.0734,0.0714,4.276728061451153,4.276728061451153,0.0,resnet32,0.1114,0.1084,4.143882100893692,4.143882100893692,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,1,0.1,0,18.17,0.1688,0.0015000000000000013,0.1673,0.1703,0.179,0.010199999999999987,0.1641,0.1794,0.661,0.494796080682211,0.6595,0.5132459275930608,0.1688,resnet32,0.1703,0.1636,3.5704348395493897,3.5704348395493897,0.0,resnet32,0.1673,0.1646,3.48748877780004,3.48748877780004,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,2,0.1,0,18.29,0.2112,0.010699999999999987,0.2005,0.2219,0.2273,0.016100000000000003,0.2094,0.23,0.5912,0.5165683622246792,0.595,0.524202121555607,0.2112,resnet32,0.2005,0.196,3.119494618678635,3.119494618678635,0.0,resnet32,0.2219,0.2228,3.024496854367581,3.024496854367581,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,3,0.1,0,18.36,0.2625,0.01150000000000001,0.251,0.274,0.2839,0.021399999999999975,0.2606,0.2848,0.5716,0.5720714686601368,0.5653,0.5803261257727784,0.2625,resnet32,0.274,0.274,2.7870700393210757,2.7870700393210757,0.0,resnet32,0.251,0.2472,2.7263582064346834,2.7263582064346834,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,4,0.1,0,18.37,0.2771,0.0050000000000000044,0.2721,0.2821,0.3017,0.02460000000000001,0.2741,0.3002,0.592,0.5265086779527325,0.5993,0.5084956667632748,0.2771,resnet32,0.2721,0.2614,2.585288642143661,2.585288642143661,0.0,resnet32,0.2821,0.2868,2.532833884724162,2.532833884724162,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,5,0.1,0,18.32,0.32320000000000004,0.010399999999999993,0.3128,0.3336,0.3538,0.03059999999999996,0.31520000000000004,0.3468,0.5624,0.5204622793375359,0.5726,0.5171479370273402,0.32320000000000004,resnet32,0.3336,0.3226,2.4385477155447006,2.4385477155447006,0.0,resnet32,0.3128,0.3078,2.396697213703936,2.396697213703936,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,6,0.1,0,18.57,0.36434999999999995,0.0007500000000000007,0.3636,0.3651,0.3907,0.02635000000000004,0.3549,0.3776,0.5366,0.5436484151714712,0.5173,0.5636896695319833,0.36434999999999995,resnet32,0.3651,0.3584,2.319720130075108,2.319720130075108,0.0,resnet32,0.3636,0.3514,2.2853568854995747,2.2853568854995747,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,7,0.1,0,18.01,0.3054,0.014600000000000002,0.2908,0.32,0.3336,0.028200000000000003,0.31389999999999996,0.3382,0.5862,0.5047241221910435,0.5783,0.5171036283381418,0.3054,resnet32,0.32,0.3334,2.2284619979221714,2.2284619979221714,0.0,resnet32,0.2908,0.2944,2.2028341057964345,2.2028341057964345,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,8,0.1,0,18.38,0.33865,0.020449999999999996,0.3182,0.3591,0.373,0.03434999999999999,0.3346,0.3662,0.5624,0.5205161364788389,0.571,0.526892330100867,0.33865,resnet32,0.3591,0.3544,2.1752463381060143,2.1752463381060143,0.0,resnet32,0.3182,0.3148,2.1444822697138246,2.1444822697138246,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0005_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,9,0.1,0,18.11,0.3778,0.0025000000000000022,0.3753,0.3803,0.4117,0.033899999999999986,0.37629999999999997,0.4126,0.5594,0.507511155555624,0.5537,0.5189030454216437,0.3778,resnet32,0.3753,0.3678,2.12854807773097,2.12854807773097,0.0,resnet32,0.3803,0.3848,2.095635414123535,2.095635414123535,0.0,0.0,0.0,0.0,0.0,0.0
