run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,0,0.1,0,36.43,0.11535000000000001,0.03285,0.0825,0.1482,0.1494,0.03405,0.11510000000000001,0.1478,0.8482,0.29387798784363167,0.8511,0.28719285451271875,0.0825,0.1482,wrn28x10,0.1482,0.1482,3.682195660065521,3.682195660065521,0.0,mobilenet,0.0825,0.082,4.059874607419426,4.059874607419426,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,1,0.1,0,32.84,0.19175,0.06215000000000001,0.1296,0.2539,0.2468,0.05504999999999999,0.1972,0.2576,0.832,0.3075562563408742,0.8461,0.2667547809762479,0.1296,0.2539,wrn28x10,0.2539,0.2598,2.896821990609169,2.896821990609169,0.0,mobilenet,0.1296,0.1346,3.584174772555178,3.584174772555178,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,2,0.1,0,32.38,0.1688,0.019100000000000006,0.1497,0.1879,0.2043,0.035500000000000004,0.17149999999999999,0.202,0.8274,0.30444283677523126,0.8259,0.32124416571150094,0.1497,0.1879,wrn28x10,0.1879,0.1878,2.5098400608721105,2.5098400608721105,0.0,mobilenet,0.1497,0.1552,3.266243310814554,3.266243310814554,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,3,0.1,0,32.35,0.22635,0.04465000000000001,0.1817,0.271,0.2781,0.05175000000000002,0.22719999999999999,0.2718,0.8228,0.3090187265278429,0.822,0.3154193039261602,0.1817,0.271,wrn28x10,0.271,0.2714,2.2933914314278145,2.2933914314278145,0.0,mobilenet,0.1817,0.183,2.999557960778475,2.999557960778475,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,4,0.1,0,32.73,0.2939,0.054900000000000004,0.239,0.3488,0.3661,0.07219999999999999,0.28759999999999997,0.3526,0.7492,0.33793434307160547,0.7458,0.3303116750306849,0.239,0.3488,wrn28x10,0.3488,0.3404,2.14873911999166,2.14873911999166,0.0,mobilenet,0.239,0.2348,2.850284995341843,2.850284995341843,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,5,0.1,0,32.77,0.27355,0.07555,0.198,0.3491,0.3484,0.07484999999999997,0.2682,0.3454,0.7968,0.3413947299214677,0.7947,0.3436499864319255,0.198,0.3491,wrn28x10,0.3491,0.3392,2.0353402466597883,2.0353402466597883,0.0,mobilenet,0.198,0.1972,2.7427529855207964,2.7427529855207964,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,6,0.1,0,32.5,0.274,0.06389999999999998,0.2101,0.3379,0.339,0.065,0.27290000000000003,0.3406,0.7826,0.2968634812704267,0.7822,0.30052296704760145,0.2101,0.3379,wrn28x10,0.3379,0.337,1.947629382156513,1.947629382156513,0.0,mobilenet,0.2101,0.2088,2.680463742464781,2.680463742464781,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,7,0.1,0,32.47,0.3106,0.06609999999999999,0.2445,0.3767,0.3765,0.06590000000000001,0.3074,0.3792,0.709,0.407426685871476,0.6984,0.41485360551675043,0.2445,0.3767,wrn28x10,0.3767,0.3766,1.8807672839611769,1.8807672839611769,0.0,mobilenet,0.2445,0.2382,2.630338121544231,2.630338121544231,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,8,0.1,0,32.6,0.35109999999999997,0.0668,0.2843,0.4179,0.4245,0.07340000000000002,0.3462,0.4188,0.6874,0.39680708235944223,0.6931,0.39010895414512975,0.2843,0.4179,wrn28x10,0.4179,0.4172,1.8158411476761103,1.8158411476761103,0.0,mobilenet,0.2843,0.2752,2.5795313881879505,2.5795313881879505,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,9,0.1,0,32.81,0.32320000000000004,0.0703,0.2529,0.3935,0.4041,0.08089999999999997,0.3352,0.4092,0.7592,0.3057119162260261,0.7666,0.2947207559721773,0.2529,0.3935,wrn28x10,0.3935,0.3982,1.7661008655347608,1.7661008655347608,0.0,mobilenet,0.2529,0.2722,2.537707542153922,2.537707542153922,0.0,0.0,0.0,0.0,0.0,0.0
