run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,0,0.1,1,36.95,0.0937,0.015,0.0787,0.1087,0.1077,0.013999999999999999,0.0913,0.104,0.656,0.465738911745756,0.6528,0.44199627197555563,0.0787,0.1087,wrn28x10,0.1087,0.1044,4.226770645854148,4.1122632920742035,0.1145073499541137,resnet32,0.0787,0.0782,4.349067321555181,4.220372350039807,0.12869497209215874,4500000.0,0.0,18000000.0,18000000.0,36000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,1,0.1,1,33.89,0.21805,0.020449999999999996,0.1976,0.2385,0.2294,0.011349999999999999,0.21300000000000002,0.225,0.5198,0.6195774895230306,0.5243,0.6227209767410917,0.1976,0.2385,wrn28x10,0.2385,0.2298,3.475046380338344,3.3443045020103455,0.13074187661351805,resnet32,0.1976,0.1962,3.6562555127523164,3.527427116916938,0.12882839075543664,4500000.0,0.0,18000000.0,36000000.0,72000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,2,0.1,1,34.0,0.2023,0.009800000000000003,0.1925,0.2121,0.22,0.017699999999999994,0.1988,0.2136,0.6386,0.5198884463982258,0.6341,0.5191359981656123,0.2121,0.1925,wrn28x10,0.1925,0.191,2.966513255441731,2.7926067381419917,0.17390651882372118,resnet32,0.2121,0.2066,3.146457610821182,2.9752563244917174,0.171201286054301,4500000.0,0.0,18000000.0,54000000.0,108000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,3,0.1,1,33.91,0.2259,0.007800000000000001,0.2181,0.2337,0.2467,0.020800000000000013,0.2248,0.2404,0.5962,0.5597145228511825,0.5994,0.5420701172062512,0.2337,0.2181,wrn28x10,0.2181,0.2188,2.685333040119572,2.4874858263541353,0.19784721255895088,resnet32,0.2337,0.2308,2.8365574316544966,2.6414034640924497,0.1951539660168981,4500000.0,0.0,18000000.0,72000000.0,144000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,4,0.1,1,33.99,0.326,0.015699999999999992,0.3103,0.3417,0.3593,0.033299999999999996,0.3212,0.3472,0.6312,0.4857682297077943,0.6281,0.4989323275584898,0.3417,0.3103,wrn28x10,0.3103,0.304,2.5309052684090356,2.3048294696279545,0.22607579844241793,resnet32,0.3417,0.3384,2.673590033907782,2.451344084841284,0.22224594561637126,4500000.0,0.0,18000000.0,90000000.0,180000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,5,0.1,1,34.86,0.3758,0.02780000000000002,0.348,0.4036,0.4048,0.02899999999999997,0.36960000000000004,0.3998,0.4832,0.602087060033272,0.4685,0.6202289224222408,0.348,0.4036,wrn28x10,0.4036,0.4012,2.4163578098470513,2.16930384866216,0.2470539605287327,resnet32,0.348,0.338,2.555233675817197,2.3128740072927694,0.24235966642895204,4500000.0,0.0,18000000.0,108000000.0,216000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,6,0.1,1,34.96,0.33935000000000004,0.016449999999999992,0.3229,0.3558,0.3737,0.034349999999999936,0.3396,0.3744,0.5768,0.5073078005856072,0.5711,0.5182386820879069,0.3229,0.3558,wrn28x10,0.3558,0.3572,2.330909065394239,2.068084355274385,0.2628247111781754,resnet32,0.3229,0.322,2.4628639172085305,2.2044746792790564,0.25838923623616045,4500000.0,0.0,18000000.0,126000000.0,252000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,7,0.1,1,34.85,0.37685,0.014149999999999996,0.3627,0.391,0.4042,0.027349999999999985,0.37539999999999996,0.402,0.4886,0.5941993835768811,0.4981,0.5898533621349553,0.3627,0.391,wrn28x10,0.391,0.3918,2.2568935188041492,1.984256754883311,0.27263676282018423,resnet32,0.3627,0.359,2.3902917842973364,2.1225310904397205,0.2677606956567615,4500000.0,0.0,18000000.0,144000000.0,288000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,8,0.1,1,35.0,0.439,0.005099999999999993,0.4339,0.4441,0.469,0.02999999999999997,0.43810000000000004,0.4648,0.4662,0.5916242949147773,0.4692,0.5868171235872741,0.4339,0.4441,wrn28x10,0.4441,0.4484,2.190720722925934,1.9060717482458462,0.2846489737064324,resnet32,0.4339,0.4278,2.329333380034024,2.0502288156951014,0.2791045671328902,4500000.0,0.0,18000000.0,162000000.0,324000000.0
wrn28x10x1-resnet32x1_cifar100_K2_dml_seed0003_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,dml,dml,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,9,0.1,1,34.88,0.3373,0.003400000000000014,0.3339,0.3407,0.3563,0.019000000000000017,0.3349,0.3602,0.5152,0.5761093510415335,0.5205,0.5862721285226675,0.3407,0.3339,wrn28x10,0.3339,0.3418,2.1386216690933164,1.8478595724498683,0.2907620931509882,resnet32,0.3407,0.328,2.286611108109355,2.0020069015974347,0.2846042080994018,4500000.0,0.0,18000000.0,180000000.0,360000000.0
