run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,0,0.1,0,40.61,0.1471,0.02670000000000001,0.1204,0.1738,0.1833,0.03619999999999998,0.14279999999999998,0.1818,0.8184,0.3144681739663837,0.8158,0.3144290380687093,0.1204,0.1738,wrn28x10,0.1738,0.1702,3.6483388187533077,3.6483388187533077,0.0,resnet32,0.1204,0.1154,4.096141426739368,4.096141426739368,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,1,0.1,0,33.86,0.18685000000000002,0.0011499999999999982,0.1857,0.188,0.2153,0.028449999999999975,0.19290000000000002,0.2194,0.7348,0.4380400270933597,0.7462,0.3915409405842819,0.188,0.1857,wrn28x10,0.1857,0.195,2.882957237010652,2.882957237010652,0.0,resnet32,0.188,0.1908,3.4379380921071228,3.4379380921071228,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,2,0.1,0,33.82,0.21175,0.00605,0.2057,0.2178,0.2405,0.028749999999999998,0.2076,0.2372,0.801,0.3624217891532267,0.8066,0.35422522215937907,0.2057,0.2178,wrn28x10,0.2178,0.2158,2.528818415139209,2.528818415139209,0.0,resnet32,0.2057,0.1994,3.0152468495070934,3.0152468495070934,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,3,0.1,0,33.9,0.22795,0.05215,0.1758,0.2801,0.2599,0.031950000000000006,0.2322,0.2566,0.7646,0.3535910458347957,0.7743,0.3226958912573695,0.2801,0.1758,wrn28x10,0.1758,0.187,2.312428310344165,2.312428310344165,0.0,resnet32,0.2801,0.2774,2.723139850930734,2.723139850930734,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,4,0.1,0,34.11,0.28064999999999996,0.03964999999999999,0.241,0.3203,0.304,0.023350000000000037,0.2751,0.2986,0.7256,0.38647865128756087,0.7304,0.40643918571736454,0.3203,0.241,wrn28x10,0.241,0.24,2.1750307362526655,2.1750307362526655,0.0,resnet32,0.3203,0.3102,2.520915324376388,2.520915324376388,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,5,0.1,0,34.15,0.352,0.005700000000000011,0.3463,0.3577,0.3947,0.042700000000000016,0.3567,0.4028,0.6176,0.45746343964471914,0.6223,0.4723747261651492,0.3577,0.3463,wrn28x10,0.3463,0.3588,2.065643872049722,2.065643872049722,0.0,resnet32,0.3577,0.3546,2.372247199273922,2.372247199273922,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,6,0.1,0,33.87,0.346,0.01570000000000002,0.3303,0.3617,0.3811,0.03510000000000002,0.3473,0.3854,0.645,0.433988045417575,0.6459,0.4439681552750861,0.3617,0.3303,wrn28x10,0.3303,0.3312,1.9791429422118447,1.9791429422118447,0.0,resnet32,0.3617,0.3634,2.284481182694435,2.284481182694435,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,7,0.1,0,34.06,0.35355,0.003049999999999997,0.3505,0.3566,0.3855,0.031950000000000034,0.3452,0.3766,0.6094,0.47180785761137256,0.6113,0.46605001879011626,0.3566,0.3505,wrn28x10,0.3505,0.3476,1.9046319904313846,1.9046319904313846,0.0,resnet32,0.3566,0.3428,2.1996825345876543,2.1996825345876543,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,8,0.1,0,35.4,0.3415,0.014200000000000018,0.3273,0.3557,0.3778,0.0363,0.3415,0.384,0.6308,0.48297656562217056,0.6323,0.4851484608427624,0.3273,0.3557,wrn28x10,0.3557,0.3536,1.845974229614843,1.845974229614843,0.0,resnet32,0.3273,0.3294,2.1331183793531223,2.1331183793531223,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-resnet32x1_cifar100_K2_indep_seed0002_d001,d001,"wrn28x10:1,resnet32:1",cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,37006888,9,0.1,0,35.6,0.3241,0.01429999999999998,0.3098,0.3384,0.3485,0.024399999999999977,0.3345,0.3622,0.6272,0.457337238984947,0.6286,0.45413665613743104,0.3384,0.3098,wrn28x10,0.3098,0.3266,1.7962010699239643,1.7962010699239643,0.0,resnet32,0.3384,0.3424,2.0938343913717703,2.0938343913717703,0.0,0.0,0.0,0.0,0.0,0.0
