run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,0,0.1,0,1.0,145.54,0.2871375,0.03465580533979841,0.2092,0.3222,0.3422,0.055062500000000014,0.2865,0.3426,0.5515357142857144,0.38332642579803516,0.5555964285714287,0.37876514485418317,0.2871375,resnet32,0.2092,0.2116,2.345182741568847,2.345182741568847,0.0,resnet32,0.2878,0.2884,2.293755156242035,2.293755156242035,0.0,resnet32,0.2593,0.2652,2.3291529955511745,2.3291529955511745,0.0,resnet32,0.3075,0.2968,2.3034539331089365,2.3034539331089365,0.0,resnet32,0.3222,0.327,2.3166388503529807,2.3166388503529807,0.0,resnet32,0.2912,0.2906,2.3318486552346838,2.3318486552346838,0.0,resnet32,0.3046,0.3098,2.2823022786866534,2.2823022786866534,0.0,resnet32,0.3153,0.3026,2.326595236631957,2.326595236631957,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,1,0.1,0,1.0,117.42,0.37070000000000003,0.028547153973732656,0.3207,0.4078,0.407,0.03629999999999994,0.37060000000000004,0.4,0.43031428571428576,0.5248179499494754,0.4257107142857143,0.5306522698623077,0.37070000000000003,resnet32,0.3207,0.3272,2.188997082581574,2.188997082581574,0.0,resnet32,0.4004,0.41,2.1281462919644336,2.1281462919644336,0.0,resnet32,0.3383,0.3356,2.1658445151353423,2.1658445151353423,0.0,resnet32,0.4078,0.3976,2.115942370485176,2.115942370485176,0.0,resnet32,0.3961,0.3904,2.1489267102019354,2.1489267102019354,0.0,resnet32,0.365,0.3592,2.1551817147569223,2.1551817147569223,0.0,resnet32,0.3722,0.3778,2.1354822524907915,2.1354822524907915,0.0,resnet32,0.3651,0.367,2.1461869984526527,2.1461869984526527,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,2,0.1,0,1.0,117.38,0.37870000000000004,0.051818288277402605,0.2557,0.4382,0.4318,0.05309999999999998,0.38144999999999996,0.4336,0.5405571428571428,0.3862429762562361,0.5330178571428572,0.40869611801939826,0.37870000000000004,resnet32,0.2557,0.2522,2.129889873449098,2.129889873449098,0.0,resnet32,0.4382,0.4468,2.0717293095182288,2.0717293095182288,0.0,resnet32,0.4007,0.4064,2.1124582190743904,2.1124582190743904,0.0,resnet32,0.3672,0.3594,2.0612406002526935,2.0612406002526935,0.0,resnet32,0.393,0.398,2.0990958611734887,2.0990958611734887,0.0,resnet32,0.3609,0.3622,2.0984176341444254,2.0984176341444254,0.0,resnet32,0.4007,0.4104,2.0676141140813176,2.0676141140813176,0.0,resnet32,0.4132,0.4162,2.099283542822708,2.099283542822708,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,3,0.1,0,1.0,117.38,0.477275,0.02687511627881821,0.4468,0.5325,0.5388,0.06152499999999994,0.478725,0.5408,0.4211642857142857,0.5117349759041134,0.4185857142857142,0.51070604531773,0.477275,resnet32,0.4468,0.4494,2.0758337842469867,2.0758337842469867,0.0,resnet32,0.4795,0.484,2.0250553681769152,2.0250553681769152,0.0,resnet32,0.4519,0.4504,2.067474728958173,2.067474728958173,0.0,resnet32,0.4623,0.4686,2.027004536410624,2.027004536410624,0.0,resnet32,0.488,0.4824,2.0597871343859215,2.0597871343859215,0.0,resnet32,0.4987,0.5058,2.0467125560072335,2.0467125560072335,0.0,resnet32,0.5325,0.5348,2.0218750846318225,2.0218750846318225,0.0,resnet32,0.4585,0.4544,2.065875904126601,2.065875904126601,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,4,0.1,0,1.0,117.33,0.4891625,0.037720582494839595,0.4222,0.5407,0.5608,0.07163749999999997,0.48655000000000004,0.5578,0.44107857142857154,0.45888685593148343,0.43199642857142856,0.47630098046076963,0.4891625,resnet32,0.5407,0.549,2.0283969911662014,2.0283969911662014,0.0,resnet32,0.5254,0.531,1.995808471840891,1.995808471840891,0.0,resnet32,0.4407,0.4328,2.039114819500934,2.039114819500934,0.0,resnet32,0.5,0.4942,2.004437291148034,2.004437291148034,0.0,resnet32,0.4904,0.485,2.0350842491130936,2.0350842491130936,0.0,resnet32,0.51,0.5078,2.0104588712142273,2.0104588712142273,0.0,resnet32,0.4839,0.4798,1.9948506263846701,1.9948506263846701,0.0,resnet32,0.4222,0.4128,2.042224393818866,2.042224393818866,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,5,0.1,0,1.0,117.31,0.5018875,0.01799113931217254,0.4662,0.5279,0.5541,0.052212499999999995,0.506925,0.5646,0.41687142857142867,0.4732287601926276,0.4204607142857144,0.4693100082461966,0.5018875,resnet32,0.5221,0.5288,1.9941257250241258,1.9941257250241258,0.0,resnet32,0.4952,0.5068,1.9696603498675607,1.9696603498675607,0.0,resnet32,0.4662,0.471,2.014909421347759,2.014909421347759,0.0,resnet32,0.4935,0.4954,1.9899693554775282,1.9899693554775282,0.0,resnet32,0.5279,0.5318,2.0178262775933202,2.0178262775933202,0.0,resnet32,0.5064,0.5,1.9882312411950394,1.9882312411950394,0.0,resnet32,0.495,0.5042,1.9778266975825483,1.9778266975825483,0.0,resnet32,0.5088,0.5174,2.022745344449173,2.022745344449173,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,6,0.1,0,1.0,117.35,0.5104625,0.03342768080124615,0.4664,0.5604,0.5758,0.06533749999999994,0.511675,0.5712,0.42666428571428566,0.4814580533821819,0.42495000000000005,0.4867126626473931,0.5104625,resnet32,0.5293,0.5294,1.9771517721766776,1.9771517721766776,0.0,resnet32,0.5604,0.5556,1.9495237046344713,1.9495237046344713,0.0,resnet32,0.4881,0.4728,1.9963367017494007,1.9963367017494007,0.0,resnet32,0.4664,0.4726,1.9737810859964653,1.9737810859964653,0.0,resnet32,0.483,0.4794,2.0079751558263195,2.0079751558263195,0.0,resnet32,0.4884,0.5022,1.9666783860461279,1.9666783860461279,0.0,resnet32,0.5595,0.5688,1.9634934452108361,1.9634934452108361,0.0,resnet32,0.5086,0.5126,2.006880398839712,2.006880398839712,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,7,0.1,0,1.0,117.34,0.4763125,0.042442886256120714,0.3861,0.5203,0.5238,0.047487500000000016,0.48362499999999997,0.5296,0.4287428571428572,0.4892876897055182,0.4311892857142857,0.4873560704841974,0.4763125,resnet32,0.3861,0.3908,1.9606811986728148,1.9606811986728148,0.0,resnet32,0.509,0.519,1.9337504079396075,1.9337504079396075,0.0,resnet32,0.4612,0.4718,1.9818567692894826,1.9818567692894826,0.0,resnet32,0.5203,0.5156,1.9593160592696883,1.9593160592696883,0.0,resnet32,0.4381,0.4442,1.9955499597232451,1.9955499597232451,0.0,resnet32,0.4923,0.509,1.950744197449901,1.950744197449901,0.0,resnet32,0.5057,0.5132,1.9502108852294358,1.9502108852294358,0.0,resnet32,0.4978,0.5054,1.9901298040693456,1.9901298040693456,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,8,0.1,0,1.0,117.32,0.5341374999999999,0.043523497604742174,0.4525,0.6001,0.5997,0.06556250000000008,0.524775,0.5854,0.40330714285714275,0.5167526357801712,0.4019714285714286,0.5064797858533935,0.5341374999999999,resnet32,0.6001,0.5854,1.946495745839043,1.946495745839043,0.0,resnet32,0.577,0.5662,1.9208835561505773,1.9208835561505773,0.0,resnet32,0.5098,0.5052,1.9696649760007858,1.9696649760007858,0.0,resnet32,0.514,0.5014,1.9459911410442807,1.9459911410442807,0.0,resnet32,0.5552,0.5412,1.9831015272912653,1.9831015272912653,0.0,resnet32,0.5529,0.5482,1.9344592356885022,1.9344592356885022,0.0,resnet32,0.5116,0.4986,1.9378957343711094,1.9378957343711094,0.0,resnet32,0.4525,0.452,1.9793019367551261,1.9793019367551261,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_noise40_seed0001_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,9,0.1,0,1.0,117.32,0.556825,0.04634786267995537,0.4714,0.6109,0.6147,0.05787500000000001,0.55975,0.616,0.37623571428571434,0.5166629775419445,0.37424642857142854,0.5219944724744999,0.556825,resnet32,0.5406,0.541,1.931257676333189,1.931257676333189,0.0,resnet32,0.5721,0.5832,1.9079024156724864,1.9079024156724864,0.0,resnet32,0.4978,0.5008,1.9492142041298477,1.9492142041298477,0.0,resnet32,0.6109,0.6206,1.9322040927681057,1.9322040927681057,0.0,resnet32,0.5894,0.5924,1.9679107825187119,1.9679107825187119,0.0,resnet32,0.5763,0.5798,1.9233464752747254,1.9233464752747254,0.0,resnet32,0.5961,0.5952,1.9264500677924266,1.9264500677924266,0.0,resnet32,0.4714,0.465,1.9667044368318536,1.9667044368318536,0.0,0.0,0.0,0.0,0.0,0.0
