run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,0,0.1,0,1.0,123.83,0.38083750000000005,0.03339015339512534,0.3329,0.4395,0.4177,0.036862499999999965,0.375875,0.4098,0.45045,0.49392290276373607,0.4440214285714285,0.5031729286048725,0.38083750000000005,resnet32,0.3647,0.3644,1.921777947213162,1.921777947213162,0.0,resnet32,0.37,0.358,1.7997686400670896,1.7997686400670896,0.0,resnet32,0.4395,0.4422,1.8776007784022526,1.8776007784022526,0.0,resnet32,0.353,0.3518,1.9251816015351901,1.9251816015351901,0.0,resnet32,0.3788,0.3662,1.9690567922185769,1.9690567922185769,0.0,resnet32,0.3329,0.324,1.8338730238716712,1.8338730238716712,0.0,resnet32,0.4258,0.4292,1.8346517781981013,1.8346517781981013,0.0,resnet32,0.382,0.3712,1.7926238123327494,1.7926238123327494,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,1,0.1,0,1.0,121.93,0.5437875000000001,0.06015501719516003,0.458,0.6389,0.6369,0.09311249999999993,0.5468,0.6444,0.4463785714285714,0.41409645650712784,0.44103571428571425,0.42330298231430935,0.5437875000000001,resnet32,0.458,0.4616,1.3378316098824143,1.3378316098824143,0.0,resnet32,0.5594,0.5644,1.2629461584782058,1.2629461584782058,0.0,resnet32,0.6043,0.6038,1.2677179054272445,1.2677179054272445,0.0,resnet32,0.5349,0.5384,1.3907304545017807,1.3907304545017807,0.0,resnet32,0.4616,0.4624,1.2172603668983688,1.2172603668983688,0.0,resnet32,0.5167,0.5256,1.3187466137619182,1.3187466137619182,0.0,resnet32,0.6389,0.6388,1.219329882667146,1.219329882667146,0.0,resnet32,0.5765,0.5794,1.1807806560431013,1.1807806560431013,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,2,0.1,0,1.0,118.46,0.566175,0.04730324381054644,0.4819,0.6149,0.6422,0.07602500000000001,0.56735,0.6406,0.38262142857142856,0.4868752192156334,0.3798178571428572,0.48947987438312385,0.566175,resnet32,0.4819,0.4776,1.0452746778557247,1.0452746778557247,0.0,resnet32,0.6149,0.6144,1.016378516923975,1.016378516923975,0.0,resnet32,0.5901,0.598,1.0104765016585588,1.0104765016585588,0.0,resnet32,0.5917,0.5974,1.1652818701483987,1.1652818701483987,0.0,resnet32,0.596,0.5998,0.9651329988952387,0.9651329988952387,0.0,resnet32,0.4901,0.4984,1.1191326504234562,1.1191326504234562,0.0,resnet32,0.582,0.5794,0.9459357702765953,0.9459357702765953,0.0,resnet32,0.5827,0.5738,0.9379441777074878,0.9379441777074878,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,3,0.1,0,1.0,118.3,0.6058000000000001,0.021985222309542383,0.5566,0.6284,0.672,0.06619999999999993,0.607675,0.6822,0.35625,0.4875882218015696,0.3554928571428571,0.4928205162902114,0.6058000000000001,resnet32,0.6083,0.6132,0.8964368735270744,0.8964368735270744,0.0,resnet32,0.6154,0.6182,0.9036701207303188,0.9036701207303188,0.0,resnet32,0.6267,0.6258,0.8823905508457259,0.8823905508457259,0.0,resnet32,0.5899,0.5864,1.035318904556334,1.035318904556334,0.0,resnet32,0.5566,0.562,0.8353378735482693,0.8353378735482693,0.0,resnet32,0.6034,0.5894,0.9815800571814179,0.9815800571814179,0.0,resnet32,0.6284,0.6332,0.8217002069577575,0.8217002069577575,0.0,resnet32,0.6177,0.6332,0.8227879350412298,0.8227879350412298,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,4,0.1,0,1.0,117.88,0.648675,0.019928983290674916,0.6047,0.6702,0.7186,0.06992500000000001,0.650875,0.7226,0.33299285714285715,0.4883882772650094,0.33220357142857143,0.49757992466535167,0.648675,resnet32,0.6434,0.6462,0.8218519276177342,0.8218519276177342,0.0,resnet32,0.6622,0.665,0.8467953184365549,0.8467953184365549,0.0,resnet32,0.6676,0.6732,0.8066739292222668,0.8066739292222668,0.0,resnet32,0.6487,0.6576,0.9461851194500923,0.9461851194500923,0.0,resnet32,0.6563,0.6556,0.770293484187939,0.770293484187939,0.0,resnet32,0.6363,0.6356,0.8971159846775911,0.8971159846775911,0.0,resnet32,0.6702,0.6696,0.7608255399814383,0.7608255399814383,0.0,resnet32,0.6047,0.6042,0.7660231530158357,0.7660231530158357,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,5,0.1,0,1.0,118.11,0.6954125,0.046534058427672095,0.597,0.7504,0.7779,0.08248750000000005,0.702925,0.7872,0.3150785714285715,0.4687387954140667,0.3158249999999999,0.47767796128447065,0.6954125,resnet32,0.7438,0.7554,0.7734158397228881,0.7734158397228881,0.0,resnet32,0.6877,0.699,0.7980336218395017,0.7980336218395017,0.0,resnet32,0.7174,0.726,0.7610771371982992,0.7610771371982992,0.0,resnet32,0.6951,0.706,0.8815692177635025,0.8815692177635025,0.0,resnet32,0.597,0.594,0.7270349138839678,0.7270349138839678,0.0,resnet32,0.7138,0.7204,0.8425407495180314,0.8425407495180314,0.0,resnet32,0.7504,0.7654,0.7178437278013338,0.7178437278013338,0.0,resnet32,0.6581,0.6572,0.726746409708126,0.726746409708126,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,6,0.1,0,1.0,118.52,0.6234625,0.04732327486290441,0.5526,0.68,0.705,0.08153749999999993,0.629675,0.7132,0.35591428571428574,0.4544330147382757,0.3565928571428572,0.4626693576517263,0.6234625,resnet32,0.68,0.6826,0.7327721458859742,0.7327721458859742,0.0,resnet32,0.6374,0.6444,0.761977609289302,0.761977609289302,0.0,resnet32,0.5526,0.5608,0.7181672928008166,0.7181672928008166,0.0,resnet32,0.6585,0.6608,0.8248117892071605,0.8248117892071605,0.0,resnet32,0.5774,0.5864,0.6962879373353313,0.6962879373353313,0.0,resnet32,0.6424,0.6574,0.7927017321979458,0.7927017321979458,0.0,resnet32,0.566,0.5642,0.6878571751188826,0.6878571751188826,0.0,resnet32,0.6734,0.6808,0.6974642642096363,0.6974642642096363,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,7,0.1,0,1.0,118.45,0.71315,0.017643624910998305,0.6911,0.7413,0.7816,0.06845000000000001,0.7187,0.7882,0.2736142857142857,0.49073260551478676,0.2767821428571428,0.49289563752164234,0.71315,resnet32,0.714,0.712,0.7075026247819717,0.7075026247819717,0.0,resnet32,0.7011,0.703,0.7346576898443428,0.7346576898443428,0.0,resnet32,0.7286,0.7358,0.6964339086870578,0.6964339086870578,0.0,resnet32,0.6967,0.702,0.7875070769593797,0.7875070769593797,0.0,resnet32,0.7413,0.7486,0.6762544076720421,0.6762544076720421,0.0,resnet32,0.6911,0.7028,0.7657682860100811,0.7657682860100811,0.0,resnet32,0.6998,0.707,0.672858886378394,0.672858886378394,0.0,resnet32,0.7326,0.7384,0.676724436269565,0.676724436269565,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,8,0.1,0,1.0,118.29,0.42295,0.1153121307582164,0.2323,0.5952,0.447,0.024050000000000016,0.418225,0.4362,0.42127857142857145,0.48245993953867367,0.42227500000000007,0.4797829153394074,0.42295,resnet32,0.2323,0.225,0.6941405384885994,0.6941405384885994,0.0,resnet32,0.4953,0.4844,0.7263236552561548,0.7263236552561548,0.0,resnet32,0.4246,0.4088,0.6821938036009669,0.6821938036009669,0.0,resnet32,0.303,0.3024,0.7620315328663723,0.7620315328663723,0.0,resnet32,0.5952,0.5914,0.662020003084432,0.662020003084432,0.0,resnet32,0.5567,0.5558,0.7385716382837431,0.7385716382837431,0.0,resnet32,0.3735,0.3768,0.6591466518372975,0.6591466518372975,0.0,resnet32,0.403,0.4012,0.6653796378523111,0.6653796378523111,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x8_cifar10_K8_indep_seed0005_d017,d017,resnet32:8,cifar10,8,indep,indep,peers,0,0,1.0,p2p,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,9,0.1,0,1.0,118.31,0.676175,0.031558071471495204,0.6361,0.7464,0.7378,0.06162500000000004,0.68895,0.7482,0.28659285714285715,0.5125866782420797,0.29375357142857145,0.5255955399570205,0.676175,resnet32,0.6361,0.6542,0.6882591040550985,0.6882591040550985,0.0,resnet32,0.6779,0.6938,0.7094660211269829,0.7094660211269829,0.0,resnet32,0.6615,0.6774,0.6710444340397689,0.6710444340397689,0.0,resnet32,0.6627,0.6712,0.7499256854961541,0.7499256854961541,0.0,resnet32,0.6997,0.7094,0.6526977946473793,0.6526977946473793,0.0,resnet32,0.7464,0.7462,0.7205355998805978,0.7205355998805978,0.0,resnet32,0.6698,0.6814,0.6502313075841151,0.6502313075841151,0.0,resnet32,0.6553,0.678,0.6626229027963497,0.6626229027963497,0.0,0.0,0.0,0.0,0.0,0.0
