run_id,run_tag,epoch,layer,i,j,arch_i,arch_j,weight,penalized_weight,weight_mode,solver,k
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,0,0,0,1,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,0,0,2,4,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,0,0,3,6,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,0,0,5,7,resnet32,resnet32,1.000000,1.000000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,1,0,0,2,resnet32,resnet32,0.394000,0.394000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,1,0,1,6,resnet32,resnet32,0.502800,0.502800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,1,0,3,7,resnet32,resnet32,0.633800,0.633800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,1,0,4,5,resnet32,resnet32,0.563000,0.563000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,2,0,0,4,resnet32,resnet32,0.562200,0.562200,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,2,0,1,7,resnet32,resnet32,0.608400,0.608400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,2,0,2,6,resnet32,resnet32,0.574600,0.574600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,2,0,3,5,resnet32,resnet32,0.512000,0.512000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,3,0,0,2,resnet32,resnet32,0.409800,0.409800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,3,0,1,6,resnet32,resnet32,0.564600,0.564600,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,3,0,3,4,resnet32,resnet32,0.462000,0.462000,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,3,0,5,7,resnet32,resnet32,0.471800,0.471800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,4,0,0,1,resnet32,resnet32,0.568400,0.568400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,4,0,2,4,resnet32,resnet32,0.568800,0.568800,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,4,0,3,5,resnet32,resnet32,0.510400,0.510400,disagreement,exact,1
resnet32x8_cifar10_K8_mwmd1_seed0005_d017,d017,4,0,6,7,resnet32,resnet32,0.375200,0.375200,disagreement,exact,1
