run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,0,0.1,1,1.0,121.14,0.1066,0.008780945279410412,0.0997,0.1247,0.1078,0.0012000000000000066,0.105925,0.1078,0.05354285714285716,0.915410389143488,0.053653571428571425,0.9114381748595435,0.1066,resnet32,0.0997,0.1002,2.5555621294135396,2.3915478837761013,0.16401425080452595,resnet32,0.1,0.1004,2.490578295493668,2.3758294192904774,0.11474887353994166,resnet32,0.1019,0.1016,2.5243015394292097,2.389348231594671,0.13495330680730563,resnet32,0.1128,0.1112,2.5577665987339886,2.3842247890477832,0.1735417952440912,resnet32,0.1137,0.1106,2.521345826373859,2.38748967342756,0.1338561595660973,resnet32,0.1,0.1004,2.5326757827265696,2.380296688526869,0.15237909262892077,resnet32,0.1,0.1004,2.506978144699877,2.3655762855302203,0.14140185723788984,resnet32,0.1247,0.1226,2.522237191823396,2.380172845992175,0.14206434731634296,450000.0,0.0,1800000.0,1800000.0,14400000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,1,0.1,1,1.0,118.7,0.12045,0.034822442476081426,0.0999,0.2102,0.1155,-0.004949999999999996,0.11707500000000001,0.1154,0.18919999999999998,0.7895796956801047,0.1885285714285714,0.7825405423396399,0.12045,resnet32,0.0999,0.0964,2.3058099441907625,2.3055551766671916,0.00025476696133740586,resnet32,0.1035,0.0986,2.3057733797891573,2.305528764020313,0.00024461536172153006,resnet32,0.1147,0.1104,2.306237608533014,2.304320115257393,0.0019174958605700258,resnet32,0.1126,0.1114,2.3128208196298643,2.2986584928902714,0.01416232657158451,resnet32,0.1227,0.1184,2.3011542904106053,2.2993312857367774,0.0018230012164250102,resnet32,0.1,0.0964,2.3065090789036318,2.306273148141124,0.00023592635261593387,resnet32,0.1,0.0964,2.3064970780502665,2.3062660470604897,0.00023103022381705657,resnet32,0.2102,0.2086,2.285533953119408,2.2712060382420365,0.014327916154301916,450000.0,0.0,1800000.0,3600000.0,28800000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,2,0.1,1,1.0,118.71,0.16733750000000003,0.06129689913649792,0.1,0.2817,0.2389,0.07156249999999997,0.16847499999999999,0.243,0.6458,0.3006778391853388,0.6464964285714286,0.29681809344181304,0.16733750000000003,resnet32,0.1116,0.1104,2.3079895194281232,2.303883635862307,0.00410588142271577,resnet32,0.1917,0.1868,2.2842193940146402,2.273172902789983,0.011046492426182587,resnet32,0.2035,0.208,2.3142270124094053,2.2841212038289416,0.030105806896410122,resnet32,0.1378,0.1426,2.299816161732782,2.295997782525691,0.00381838024341877,resnet32,0.2124,0.2158,2.286798271265897,2.2771300792016764,0.009668191418975104,resnet32,0.1,0.0982,2.3159651705487208,2.306206972084262,0.009758197718342259,resnet32,0.1,0.0982,2.317011932419105,2.3060999455099758,0.010911990850548715,resnet32,0.2817,0.2878,2.2419973340901462,2.212179576300762,0.029817757281390102,450000.0,0.0,1800000.0,5400000.0,43200000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,3,0.1,1,1.0,118.73,0.23135,0.0968472637713632,0.0998,0.3606,0.2642,0.03284999999999999,0.23065000000000002,0.2668,0.7433785714285716,0.1726046708824338,0.7436964285714287,0.17201690505856873,0.23135,resnet32,0.197,0.1938,2.2833958616988226,2.272371193902059,0.011024667838104175,resnet32,0.2599,0.2602,2.228663379495794,2.215357507494363,0.013305873919638212,resnet32,0.3485,0.3606,2.2416617460548878,2.2094216468659313,0.03224009703262709,resnet32,0.3049,0.2938,2.2307780774479564,2.2175100318748844,0.01326804963305635,resnet32,0.1802,0.1796,2.213951474563642,2.1878866121511567,0.026064867526821963,resnet32,0.0999,0.1054,2.3394966958598657,2.3065056811002167,0.032991019664967265,resnet32,0.0998,0.1,2.316944173791192,2.3059351959011773,0.011008980013436732,resnet32,0.3606,0.3518,2.1815015514465896,2.1554886588657443,0.026012892588782546,450000.0,0.0,1800000.0,7200000.0,57600000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,4,0.1,1,1.0,118.79,0.28462499999999996,0.07089176168639061,0.1547,0.3545,0.3611,0.07647500000000002,0.27959999999999996,0.3564,0.5813214285714287,0.4210185201564481,0.5790571428571427,0.4182605739080804,0.28462499999999996,resnet32,0.2787,0.2764,2.20702564580874,2.188106492669745,0.018919150898000225,resnet32,0.296,0.2978,2.2259209975600243,2.1921020217917184,0.0338189738183494,resnet32,0.3333,0.329,2.159564373506741,2.1356699732555584,0.02389439841631842,resnet32,0.3354,0.3386,2.17823651178994,2.159326899627393,0.018909609855406663,resnet32,0.3545,0.3356,2.147163000804457,2.123231213201176,0.023931786825414747,resnet32,0.1547,0.1488,2.359870186922225,2.304896993054585,0.05497319207378579,resnet32,0.1837,0.1808,2.3139732273464855,2.2796651731160553,0.034308055675038224,resnet32,0.3407,0.3298,2.200087910348719,2.1491381634365427,0.05094974597556178,450000.0,0.0,1800000.0,9000000.0,72000000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,5,0.1,1,1.0,118.9,0.32775,0.04752501972645567,0.242,0.3819,0.3925,0.06475000000000003,0.323325,0.381,0.6051928571428572,0.36791938257960827,0.601817857142857,0.3646248214856243,0.32775,resnet32,0.3627,0.3554,2.1625648179853503,2.130141296677969,0.03242352116847707,resnet32,0.3236,0.3188,2.1400537333366545,2.1127596793865617,0.027294056783747776,resnet32,0.3713,0.359,2.1283062154596504,2.1010429957373575,0.02726322279142385,resnet32,0.3819,0.3754,2.1458625466647474,2.119232750413093,0.02662979827304794,resnet32,0.299,0.2952,2.126155699687925,2.093836819753051,0.03231887871515937,resnet32,0.242,0.2468,2.2502741874618963,2.204876683991064,0.045397503780391577,resnet32,0.3639,0.3632,2.1854802663014694,2.1589385242286054,0.0265417428269178,resnet32,0.2776,0.2728,2.1519894544035196,2.1081524665721436,0.04383699038192968,450000.0,0.0,1800000.0,10800000.0,86400000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,6,0.1,1,1.0,118.91,0.4083375,0.037755394895961567,0.3372,0.463,0.4646,0.05626249999999999,0.4084,0.4702,0.4714071428571428,0.4729769943918644,0.4639607142857143,0.49226335964705187,0.4083375,resnet32,0.3847,0.3782,2.09973533062095,2.0699191728437487,0.02981615554414351,resnet32,0.4479,0.4484,2.0832000369714065,2.054172070358287,0.029027965261114085,resnet32,0.4245,0.4212,2.094018703495914,2.064170892773704,0.02984781157151288,resnet32,0.401,0.409,2.1013002397323195,2.0770469682121817,0.02425326949874447,resnet32,0.3832,0.3866,2.0858655317940493,2.0568675954233515,0.028997935867995362,resnet32,0.3372,0.3382,2.125783118504015,2.09438082084737,0.031402299437269736,resnet32,0.4252,0.419,2.116617791354656,2.092428327284076,0.024189464676469055,resnet32,0.463,0.4666,2.0974573982371525,2.0660008380020205,0.03145656080397947,450000.0,0.0,1800000.0,12600000.0,100800000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,7,0.1,1,1.0,118.79,0.444925,0.03478529682207699,0.4077,0.491,0.5065,0.061574999999999935,0.45025000000000004,0.5116,0.42118571428571433,0.506738211713573,0.4248785714285715,0.500638679616759,0.444925,resnet32,0.4845,0.4906,2.056567548689517,2.0265452319925483,0.03002231570743871,resnet32,0.491,0.4932,2.052823466333476,2.022788682783192,0.030034779488976874,resnet32,0.4899,0.4906,2.064994332295927,2.0351318290287796,0.029862505022637462,resnet32,0.4077,0.4128,2.0675217514349655,2.0375666596334088,0.029955092185198075,resnet32,0.4181,0.431,2.0617420334707606,2.0326458527283235,0.029096184160814366,resnet32,0.4205,0.4274,2.069922810759057,2.040864474055442,0.029058335679689084,resnet32,0.4376,0.447,2.077973257919604,2.04816051911224,0.029812739718842997,resnet32,0.4101,0.4094,2.056132739748467,2.0260571820492093,0.03007555458514782,450000.0,0.0,1800000.0,14400000.0,115200000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,8,0.1,1,1.0,118.8,0.4891875,0.02849133366043084,0.4227,0.5165,0.5251,0.035912500000000014,0.487225,0.5238,0.37412142857142855,0.575964824322156,0.3706892857142857,0.5846605474542681,0.4891875,resnet32,0.4721,0.4726,2.030230150134726,1.9990721692077138,0.031157977783798495,resnet32,0.5165,0.513,2.019555716690692,1.9908823689276522,0.02867335240642371,resnet32,0.4943,0.4888,2.0348292502828618,2.0037217417901214,0.031107506053310564,resnet32,0.4227,0.417,2.0309167880226267,2.002312484112653,0.02860430501327342,resnet32,0.506,0.509,2.0333454558117823,2.000319877808744,0.03302558040278117,resnet32,0.4858,0.4734,2.0371914726089346,2.0097337075593797,0.027457765308843755,resnet32,0.5094,0.5092,2.0426578010347756,2.0152715896679596,0.027386210390514778,resnet32,0.5067,0.5148,2.0317256455733017,1.998707405206832,0.033018238016996874,450000.0,0.0,1800000.0,16200000.0,129600000.0
resnet32x8_cifar10_K8_rand1_noise40_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.4,0.396156,42,0,45000,5000,10000,3713232,9,0.1,1,1.0,118.72,0.5764,0.035375521197573895,0.4961,0.6131,0.6318,0.055400000000000005,0.575325,0.629,0.3576214285714286,0.5126896708023599,0.3459392857142857,0.5280369948556983,0.5764,resnet32,0.6017,0.6052,2.010894162241708,1.9788780173456126,0.032016144946365704,resnet32,0.5952,0.581,2.0062272875485094,1.9741471201520076,0.032080170121678915,resnet32,0.4961,0.4956,2.0154797062277794,1.9857894779944962,0.029690225181349724,resnet32,0.6131,0.6128,2.0111780471422454,1.979834914038127,0.03134312981009399,resnet32,0.5832,0.5932,2.0096576579592447,1.9797980792143128,0.02985958134046417,resnet32,0.6001,0.5986,2.015150225975297,1.985312756658955,0.029837468117793007,resnet32,0.5527,0.5584,2.021025998009877,1.9914061325517567,0.029619864637921142,resnet32,0.5691,0.5578,2.0101809303530236,1.9788205840370872,0.03136034610691819,450000.0,0.0,1800000.0,18000000.0,144000000.0
