run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,0,0.1,1,1.0,150.47,0.20754999999999998,0.08842667866656533,0.1,0.3301,0.3258,0.11825,0.2072,0.3324,0.6461214285714286,0.37730148575118866,0.6422928571428571,0.3667000990745909,0.20754999999999998,resnet32,0.319,0.3196,2.50804363462058,2.214371233162555,0.2936723963876747,resnet32,0.2566,0.2556,2.413066158409823,2.2563219337978144,0.15674422338187552,resnet32,0.115,0.1126,2.5046533647586,2.370151797478849,0.13450157430071902,resnet32,0.2575,0.2622,2.5664039181376044,2.3140656521374527,0.25233826717191155,resnet32,0.1161,0.1128,2.5373980304734274,2.390219475396655,0.14717855881694544,resnet32,0.1,0.0964,2.521487120877613,2.3704863058572467,0.15100081442919458,resnet32,0.1661,0.1648,2.4670368006283585,2.3178903819485144,0.14914641273720586,resnet32,0.3301,0.3336,2.4301285339011387,2.257156392559409,0.17297213736541875,450000.0,0.0,1800000.0,1800000.0,14400000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,1,0.1,1,1.0,119.16,0.3388,0.10562313903686067,0.1,0.459,0.4572,0.1184,0.335,0.4504,0.6094285714285714,0.34450190117079943,0.6035464285714285,0.35477404476014485,0.3388,resnet32,0.4048,0.4014,2.021041626110673,1.8764691769399426,0.14457245099104263,resnet32,0.3688,0.369,1.8483499053188346,1.752871041440151,0.09547886603236706,resnet32,0.3,0.2902,2.1996623894030396,2.161182039163329,0.038480345320832304,resnet32,0.4379,0.4232,1.7740178357132457,1.6989814842289144,0.07503635143670677,resnet32,0.3044,0.306,2.1420069365677508,2.102596150372516,0.0394107854864904,resnet32,0.1,0.1004,2.45308115367185,2.307124445384199,0.1459567076103254,resnet32,0.3355,0.33,1.9724401738494635,1.8793729799376293,0.09306719060987234,resnet32,0.459,0.4598,1.7177467793226242,1.6414470300078392,0.07629974980690432,450000.0,0.0,1800000.0,3600000.0,28800000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,2,0.1,1,1.0,119.04,0.42710000000000004,0.0440549372942466,0.3765,0.524,0.4894,0.062299999999999967,0.43165,0.4976,0.4804785714285714,0.4083166496008653,0.48212857142857146,0.409437127115614,0.42710000000000004,resnet32,0.524,0.5236,1.5931399180130525,1.4763021870431574,0.11683773021848703,resnet32,0.401,0.4082,1.5456191631542011,1.4219416427341374,0.12367752054706216,resnet32,0.4633,0.477,1.6396279224956578,1.5254296496171842,0.11419827456120402,resnet32,0.424,0.4208,1.5272996747358278,1.407917564396154,0.11938211207002909,resnet32,0.4138,0.4062,1.8551247233355588,1.7238925099372864,0.13123221436134455,resnet32,0.3765,0.3856,2.144102481278506,2.015279197049412,0.12882328451484104,resnet32,0.3898,0.3996,1.534820693629709,1.409125487066128,0.12569520775948398,resnet32,0.4244,0.4322,1.511950445446101,1.3953902547840367,0.11656018789984625,450000.0,0.0,1800000.0,5400000.0,43200000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,3,0.1,1,1.0,118.93,0.5060749999999999,0.08580917418901081,0.3596,0.6083,0.5868,0.08072500000000005,0.508425,0.5888,0.4570428571428571,0.4307158880880949,0.4575999999999999,0.4269737037912128,0.5060749999999999,resnet32,0.5287,0.5322,1.393604394387115,1.2526253853839906,0.14097900960636747,resnet32,0.6008,0.6108,1.319940010085702,1.2004076240753585,0.1195323864019222,resnet32,0.4893,0.4966,1.39331960297105,1.265623037788001,0.12769656779710203,resnet32,0.3596,0.346,1.3378862219608643,1.219139680351046,0.11874654253055765,resnet32,0.5874,0.5986,1.3896438995884224,1.2618100261315703,0.12783387388018044,resnet32,0.4133,0.4086,1.4912422179159792,1.3662978908555075,0.12494432656306097,resnet32,0.6083,0.6128,1.303732110526074,1.1574041781608353,0.14632793428079988,resnet32,0.4612,0.4618,1.3561361193318258,1.2275549541650848,0.12858116560065272,450000.0,0.0,1800000.0,7200000.0,57600000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,4,0.1,1,1.0,119.19,0.5511375000000001,0.03925697191264246,0.4855,0.6123,0.6133,0.0621624999999999,0.549425,0.6102,0.39326428571428573,0.5134470309286492,0.3909285714285714,0.5119006681682894,0.5511375000000001,resnet32,0.6123,0.621,1.2173908326605505,1.0884594087573616,0.12893142578700048,resnet32,0.5586,0.5634,1.181680205193433,1.0500303870913656,0.131649816789749,resnet32,0.537,0.5314,1.1930200091817162,1.068446567197415,0.12457344193138521,resnet32,0.5274,0.5258,1.1992593235759572,1.0693469580093569,0.12991236525968733,resnet32,0.5484,0.5396,1.181190663694658,1.0560774157162418,0.1251132443907078,resnet32,0.4855,0.4888,1.2668247892605988,1.134263994595544,0.13256079631603576,resnet32,0.607,0.598,1.1410104355520823,1.0067480267448858,0.1342624110085043,resnet32,0.5329,0.5274,1.23755157366395,1.1049822402948684,0.13256933624771508,450000.0,0.0,1800000.0,9000000.0,72000000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,5,0.1,1,1.0,119.23,0.6230625,0.01841744672179073,0.5863,0.6459,0.6964,0.07333750000000006,0.6349,0.7068,0.33177142857142855,0.49599863283378237,0.34015000000000006,0.500121713767289,0.6230625,resnet32,0.6101,0.6186,1.1270363000644879,0.9879504056986083,0.13908589506437155,resnet32,0.6148,0.6302,1.078305365094407,0.9471693590114062,0.13113600690849125,resnet32,0.6248,0.639,1.0686090124601668,0.9370699137110602,0.13153909740503877,resnet32,0.6249,0.637,1.1005166479471056,0.9626186523078517,0.1378979965494099,resnet32,0.6318,0.646,1.0797066201709888,0.9377464209259911,0.14196020177438518,resnet32,0.6459,0.6466,1.117333397269249,0.9817143762484193,0.13561902070333334,resnet32,0.6459,0.656,1.0497662700204686,0.9083433820950714,0.14142288722690532,resnet32,0.5863,0.6058,1.135669307529249,1.0023321832784198,0.13333712590181016,450000.0,0.0,1800000.0,10800000.0,86400000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,6,0.1,1,1.0,119.39,0.59985,0.04433694847415639,0.5511,0.6768,0.6668,0.06694999999999995,0.6050249999999999,0.6758,0.3579499999999999,0.5148604364217013,0.35681071428571426,0.5248178632152712,0.59985,resnet32,0.6474,0.6538,1.0446745029396631,0.9038790712471713,0.14079543111041526,resnet32,0.6768,0.6812,1.001566819084639,0.8700066124173728,0.1315602070588449,resnet32,0.5575,0.5608,1.004126887175847,0.8604454923082482,0.14368139461360194,resnet32,0.5511,0.5658,0.9951433349739421,0.8606460610065948,0.13449727426367727,resnet32,0.6294,0.6276,0.9838263407688249,0.8511139779266986,0.13271236306437376,resnet32,0.5686,0.5666,1.0207701732658527,0.8850162704051896,0.13575390165417708,resnet32,0.5614,0.5718,0.9693102089857514,0.833181519611654,0.1361286892153492,resnet32,0.6066,0.6126,1.053339788520878,0.9195896464145996,0.1337501414607025,450000.0,0.0,1800000.0,12600000.0,100800000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,7,0.1,1,1.0,119.79,0.6497875,0.07182540354046053,0.48,0.732,0.7182,0.06841249999999999,0.65045,0.7144,0.31574285714285705,0.5393809986373451,0.3128857142857143,0.5387163642150247,0.6497875,resnet32,0.6523,0.655,0.9964109180833806,0.8548091754571281,0.14160174427723343,resnet32,0.6935,0.6954,0.9490966583517465,0.8139797960492697,0.13511686197439718,resnet32,0.6937,0.698,0.943833411755887,0.8041639366949146,0.1396694758229635,resnet32,0.677,0.6742,0.9411926108666442,0.8055406467650424,0.13565196494825862,resnet32,0.732,0.737,0.9387371917678551,0.8019596751017327,0.13677751636979255,resnet32,0.6168,0.6248,0.9544452116401358,0.8188349103385751,0.1356103014920584,resnet32,0.48,0.4728,0.9308641702783379,0.7901436705565588,0.1407204999546097,resnet32,0.653,0.6464,1.0047687756066972,0.8636575936424461,0.14111118233466352,450000.0,0.0,1800000.0,14400000.0,115200000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,8,0.1,1,1.0,119.13,0.6712499999999999,0.03037087420539621,0.6198,0.7116,0.7356,0.06435000000000013,0.6756,0.7358,0.2870714285714286,0.5380322279565746,0.29212857142857146,0.5305481161777507,0.6712499999999999,resnet32,0.6198,0.6212,0.953041810542345,0.8074755699119784,0.14556624048220163,resnet32,0.6615,0.6686,0.9057375492358749,0.7703834628601643,0.13535408582538366,resnet32,0.7005,0.7064,0.9142917480150407,0.765552469148216,0.14873927883507515,resnet32,0.6506,0.6564,0.8987699182365428,0.7627015136266974,0.1360684053295038,resnet32,0.6454,0.6394,0.915570287711241,0.7649466045708819,0.15062368268528106,resnet32,0.6774,0.682,0.9057565845379775,0.768018548715521,0.13773803626695139,resnet32,0.7116,0.7192,0.8890918518670581,0.7501075934110717,0.13898425774691117,resnet32,0.7032,0.7116,0.9681116973303936,0.82134127299386,0.14677042431536724,450000.0,0.0,1800000.0,16200000.0,129600000.0
resnet32x8_cifar10_K8_rand1_seed0004_d017,d017,resnet32:8,cifar10,8,matched,rand1,peers,0,0,1.0,p2p,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,random,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3713232,9,0.1,1,1.0,119.58,0.7255125,0.01619455444740609,0.6896,0.7479,0.7818,0.056287500000000046,0.72925,0.7862,0.24932857142857148,0.5400692937771729,0.24849642857142856,0.5479234286838178,0.7255125,resnet32,0.7479,0.752,0.9132699941030957,0.7713457961058752,0.1419241979548877,resnet32,0.7314,0.7326,0.8881001415747133,0.7442488699135456,0.1438512714812532,resnet32,0.7339,0.7328,0.8693898421796885,0.7321011802943592,0.1372886613561687,resnet32,0.6896,0.6878,0.8871794972060756,0.7400930174203082,0.14708647919310766,resnet32,0.7161,0.7182,0.8693113148381765,0.7284280090508136,0.1408833070150153,resnet32,0.7307,0.743,0.8658976576037027,0.7242293731224808,0.14166828395206144,resnet32,0.7336,0.7388,0.8551343088461594,0.7164635341191157,0.13867077406030148,resnet32,0.7209,0.7288,0.9322516775944016,0.7878749766810373,0.14437670170710507,450000.0,0.0,1800000.0,18000000.0,144000000.0
