run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,0,0.1,11,0.545455,103.45,0.031158333333333333,0.007814778556612395,0.0153,0.0473,0.0479,0.016741666666666665,0.03185,0.0482,0.8690303030303033,0.20845321582898763,0.8696151515151512,0.21288569181941658,0.031158333333333333,resnet32,0.0326,0.031,4.631249434568665,4.570197011936795,0.06105241930212783,resnet32,0.0326,0.0354,4.654508655044165,4.595964530652219,0.058544119103978366,resnet32,0.0323,0.0292,4.647945545613766,4.587699088860642,0.06024645445656709,resnet32,0.0295,0.0278,4.6097702262076465,4.5392872921445155,0.07048293394539294,resnet32,0.0296,0.0304,4.628398076377132,4.563682682812214,0.06471539466160307,resnet32,0.0277,0.0304,4.660276965661482,4.591638388281519,0.06863857876834861,resnet32,0.0314,0.0318,4.586456026543271,4.5328093062747605,0.05364672318649933,resnet32,0.0237,0.0266,4.6444022330370816,4.569965914569118,0.07443631590682674,resnet32,0.0429,0.0472,4.60538606277921,4.533276077021252,0.07210998978222381,resnet32,0.0153,0.0152,4.717711817811836,4.646844307130033,0.0708675032732241,resnet32,0.029,0.027,4.6013851504434236,4.539971516213634,0.06141363247165414,resnet32,0.0473,0.0502,4.5467995649034325,4.47959977523847,0.06719977982786739,4495333.333333333,0.0,17981333.333333332,17981333.333333332,215776000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,1,0.1,11,0.545455,101.16,0.07704166666666666,0.01338216838018247,0.0581,0.0982,0.0965,0.01945833333333334,0.0729,0.091,0.7077363636363637,0.37728866671007183,0.7065681818181815,0.38110226137574543,0.07704166666666666,resnet32,0.0874,0.0752,4.073969940570268,4.035600678487257,0.03836926650150086,resnet32,0.071,0.0682,4.105994976379654,4.06834152950482,0.037653445435518566,resnet32,0.0838,0.0812,4.050755081190304,4.010560566728765,0.04019451344025914,resnet32,0.0581,0.059,4.106520961292765,4.0660379092124375,0.040483051667582585,resnet32,0.0853,0.0836,4.133665163408626,4.088933790271932,0.044731376099992885,resnet32,0.0815,0.0762,4.066831384192813,4.026754292913458,0.04007709109414877,resnet32,0.0978,0.0924,4.032166742465713,3.9920461320064287,0.04012061340670863,resnet32,0.0601,0.0548,4.195753976364028,4.137098726901141,0.058655252045189794,resnet32,0.0698,0.066,4.042029349641367,4.000418290834535,0.041611062950158324,resnet32,0.0613,0.0582,4.4751013148237355,4.313041924752972,0.1620593902506781,resnet32,0.0702,0.0658,4.08900248394771,4.049385891041973,0.039616595440417186,resnet32,0.0982,0.0942,4.009022665294734,3.95956251160665,0.049460157826119525,4495333.333333333,0.0,17981333.333333332,35962666.666666664,431552000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,2,0.1,11,0.545455,101.59,0.14410833333333334,0.015187135912416874,0.1185,0.1645,0.1736,0.029491666666666666,0.14181666666666667,0.1714,0.6556272727272728,0.5051331638856316,0.6605348484848486,0.4885576338785091,0.14410833333333334,resnet32,0.1413,0.1368,3.642421114851128,3.5845641642808914,0.05785694953308187,resnet32,0.1185,0.1138,3.6918956884606318,3.632855559275909,0.05904012704691426,resnet32,0.1582,0.1544,3.6124017418108205,3.552409631962126,0.05999211074826731,resnet32,0.1584,0.1566,3.6723165285180914,3.613004235042767,0.059312293411825194,resnet32,0.1516,0.152,3.673988505520604,3.6131426238200883,0.06084588058927858,resnet32,0.1569,0.1518,3.6238615336743267,3.5668891475281934,0.05697238278067247,resnet32,0.1508,0.1504,3.5979436862875116,3.5384056690064343,0.05953801769382236,resnet32,0.1238,0.13,3.7674295214766804,3.694213257933205,0.07321626280265098,resnet32,0.1274,0.128,3.6444897658445616,3.5877695259722797,0.05672023750693453,resnet32,0.1272,0.1246,3.74908948791298,3.677540535276586,0.07154895708134229,resnet32,0.1507,0.1446,3.6807808601720766,3.6177469959313218,0.06303386173253371,resnet32,0.1645,0.1588,3.5813957798210057,3.5148814300244506,0.06651435056912967,4495333.333333333,0.0,17981333.333333332,53944000.0,647328000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,3,0.1,11,0.545455,101.06,0.20114999999999997,0.01731297682857187,0.1719,0.2289,0.2299,0.028750000000000026,0.19576666666666664,0.2252,0.5812151515151517,0.581682045760541,0.5795818181818181,0.5938166736585065,0.20114999999999997,resnet32,0.2065,0.2036,3.2637553448704155,3.183049763129516,0.08070557998408648,resnet32,0.2129,0.2004,3.3016717085106806,3.218024215237661,0.08364749671256339,resnet32,0.2289,0.2234,3.242872055281292,3.161623129113154,0.08124892879277468,resnet32,0.1993,0.1932,3.255095311525193,3.173799220811237,0.08129608841739934,resnet32,0.188,0.1836,3.2432312823154708,3.163124169138345,0.08010711066890508,resnet32,0.2249,0.2158,3.2540809478272092,3.173892056400126,0.08018888915169307,resnet32,0.2056,0.1976,3.2063263773240824,3.1299596303565935,0.07636674586683512,resnet32,0.1852,0.1854,3.3628823211924597,3.2657380320809106,0.09714428720657121,resnet32,0.192,0.1894,3.27685063670982,3.19900761002844,0.07784302685071122,resnet32,0.1806,0.1694,3.3388398269360717,3.252215187657963,0.08662463816687126,resnet32,0.1719,0.1678,3.327749598432671,3.2354237444021483,0.09232585157521746,resnet32,0.218,0.2196,3.186754346909848,3.0979383320293645,0.08881601399149407,4495333.333333333,0.0,17981333.333333332,71925333.33333333,863104000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,4,0.1,11,0.545455,101.56,0.24678333333333333,0.02277380927488612,0.2167,0.3012,0.2798,0.033016666666666666,0.24571666666666667,0.2826,0.5402666666666666,0.5759826699681738,0.5480999999999998,0.5648713835377821,0.24678333333333333,resnet32,0.2524,0.2588,2.9620043648914858,2.860392801802267,0.10161155959675935,resnet32,0.2268,0.2232,2.997786695645614,2.891295575621453,0.1064911217386411,resnet32,0.3012,0.3046,2.949730274690823,2.8533632061020895,0.09636706874748184,resnet32,0.2559,0.2566,2.951743024316701,2.8533967242322187,0.09834629829591987,resnet32,0.2658,0.264,2.9361141886223447,2.8387145447460087,0.0973996458448131,resnet32,0.249,0.2436,2.9636923552236776,2.8661119236864825,0.0975804332728413,resnet32,0.2236,0.224,2.9258075624027033,2.830866536294872,0.09494102521884171,resnet32,0.2362,0.2444,3.044662255455147,2.936035210097378,0.10862704410895029,resnet32,0.262,0.254,2.9807447391477497,2.883664911104874,0.09707982879428362,resnet32,0.2167,0.2062,3.0479630187831144,2.9403299540281296,0.10763306376016275,resnet32,0.2225,0.2192,3.023315182802352,2.9156007560139354,0.10771442589942705,resnet32,0.2493,0.25,2.890535901893269,2.7869149134917692,0.10362098755484278,4495333.333333333,0.0,17981333.333333332,89906666.66666666,1078880000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,5,0.1,11,0.545455,101.16,0.27138333333333337,0.026231527892129267,0.2168,0.3033,0.3087,0.03731666666666661,0.26585,0.3,0.5316636363636363,0.5809943449615036,0.5367939393939393,0.5720879692164872,0.27138333333333337,resnet32,0.2938,0.2838,2.761846513910727,2.6468759466978637,0.11497056996449828,resnet32,0.2945,0.2896,2.778463181446899,2.6574801955033434,0.12098298535089601,resnet32,0.2761,0.2694,2.7457498085092413,2.6382310810414227,0.10751872884363613,resnet32,0.2168,0.2224,2.7535393681715834,2.644733616912907,0.10880574865520677,resnet32,0.2957,0.2872,2.7321625362065705,2.6236038411205467,0.10855870035646314,resnet32,0.2503,0.2454,2.782253391363404,2.670996930111538,0.11125646273351529,resnet32,0.2897,0.2834,2.7496007687666197,2.6441390023312787,0.10546176749366251,resnet32,0.2706,0.2722,2.8565932122821156,2.734464252536947,0.12212896086698906,resnet32,0.2793,0.271,2.7946572056548162,2.6839152960614725,0.11074191084216264,resnet32,0.2337,0.2248,2.8402107561176475,2.7237345803190363,0.11647617662410167,resnet32,0.2528,0.2494,2.8371716666628015,2.716706379909407,0.12046528527174484,resnet32,0.3033,0.2916,2.7040017602795903,2.587974413213405,0.1160273445897143,4495333.333333333,0.0,17981333.333333332,107887999.99999999,1294655999.9999998
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,6,0.1,11,0.545455,100.82,0.32156666666666667,0.01772485699675897,0.2995,0.3512,0.3695,0.04793333333333333,0.31476666666666664,0.3614,0.5284272727272729,0.5785659925927327,0.5273787878787878,0.5811524133581704,0.32156666666666667,resnet32,0.3512,0.3416,2.6170539532534103,2.4925969654524867,0.12445698725059628,resnet32,0.35,0.3402,2.6242733294652267,2.4941685905849393,0.13010474012910642,resnet32,0.3213,0.3134,2.6073556271466343,2.488085414536975,0.11927021260965955,resnet32,0.3172,0.3176,2.6042227530005304,2.4848152221265165,0.11940753129734234,resnet32,0.3178,0.311,2.5928740768947383,2.4743991909040646,0.11847488704899495,resnet32,0.3072,0.3058,2.6503108983690087,2.52981434897943,0.12049655008807102,resnet32,0.3263,0.3168,2.6189481133425776,2.5016172177750957,0.1173308953981508,resnet32,0.3093,0.2994,2.726957382126288,2.5873354707251894,0.1396219154862179,resnet32,0.3034,0.303,2.6559756916355,2.536698679016395,0.11927701350809498,resnet32,0.2995,0.2946,2.7002607243643566,2.5727425449612467,0.1275181841867214,resnet32,0.3081,0.2982,2.6797861229966986,2.5525551191107794,0.12723100621422584,resnet32,0.3475,0.3356,2.5694742703979667,2.444823197851127,0.12465107030319897,4495333.333333333,0.0,17981333.333333332,125869333.33333331,1510431999.9999998
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,7,0.1,11,0.545455,101.33,0.2783,0.029497118503338592,0.23,0.3255,0.3107,0.032399999999999984,0.27295,0.306,0.5160242424242423,0.5951948749504904,0.5086818181818181,0.5997023568430323,0.2783,resnet32,0.2647,0.2622,2.507733654738827,2.375435273417018,0.13229838117364456,resnet32,0.2306,0.2272,2.5090976987372744,2.3738671629266306,0.13523053377866745,resnet32,0.2524,0.2502,2.499130456623706,2.3708639200776815,0.1282665389166637,resnet32,0.2829,0.279,2.4838135721669956,2.3541999186643143,0.12961365314285186,resnet32,0.3079,0.2938,2.4901987974616615,2.362409298731522,0.1277895005504516,resnet32,0.3255,0.3138,2.5357375737618315,2.4075664432550017,0.12817113040099767,resnet32,0.3124,0.3136,2.512863923880187,2.385814122686332,0.12704979755323043,resnet32,0.2915,0.2884,2.61886415630579,2.4666111545467917,0.15225300218232654,resnet32,0.2803,0.271,2.540542613037608,2.412715458734469,0.1278271517208354,resnet32,0.23,0.224,2.590822743759914,2.453118259595199,0.13770448251373388,resnet32,0.2649,0.2582,2.5629852314225654,2.425610111179677,0.13737512147054076,resnet32,0.2965,0.294,2.4611440690403636,2.3269967844879087,0.13414728387512945,4495333.333333333,0.0,17981333.333333332,143850666.66666666,1726208000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,8,0.1,11,0.545455,100.79,0.3244833333333333,0.02151367136393869,0.2932,0.3655,0.3809,0.056416666666666726,0.3163666666666667,0.3684,0.5256757575757577,0.5795930852582789,0.5320863636363636,0.5712317538647943,0.3244833333333333,resnet32,0.3158,0.3172,2.4384228236634624,2.2995705286210235,0.1388522969262505,resnet32,0.3599,0.3384,2.438333956694061,2.298604562539946,0.1397293929476291,resnet32,0.3113,0.304,2.4284793343394995,2.292727586559274,0.1357517511245202,resnet32,0.3361,0.3252,2.4069659796289424,2.271295031024651,0.13567094633948396,resnet32,0.3092,0.2994,2.419994567605582,2.2853104392574592,0.1346841242841699,resnet32,0.3161,0.3034,2.4543885270302948,2.3192148640413177,0.13517365989867935,resnet32,0.3325,0.3258,2.440630705519156,2.3073583101345734,0.13327239667573434,resnet32,0.2932,0.2926,2.5438424800945953,2.3853068648075517,0.15853561602786861,resnet32,0.2956,0.2906,2.4700086172670126,2.3341400672427635,0.1358685507439077,resnet32,0.3276,0.3172,2.508161585947329,2.3631982021033764,0.14496338439427994,resnet32,0.3655,0.3514,2.4878418418494137,2.342804618687792,0.14503722182813694,resnet32,0.331,0.3312,2.382723841308193,2.2428741536357184,0.13984968879429455,4495333.333333333,0.0,17981333.333333332,161832000.0,1941984000.0
resnet32x12_cifar100_K12_dmle-t6of11-dose_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11-dose,ensemble,6,11,1.833333333,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,9,0.1,11,0.545455,100.94,0.3420833333333333,0.022117143928535518,0.2954,0.3691,0.4021,0.06001666666666672,0.33785,0.3934,0.5318727272727272,0.5625548552860345,0.529789393939394,0.5700621315198056,0.3420833333333333,resnet32,0.3488,0.3446,2.3722888332876293,2.23022350770506,0.14206532225944102,resnet32,0.3163,0.3116,2.3676410893147644,2.2217166010629046,0.1459244861563837,resnet32,0.3691,0.3602,2.354620471596718,2.2138934289528565,0.14072703913023527,resnet32,0.3458,0.3442,2.337449799207124,2.195204565978863,0.14224523405375128,resnet32,0.3516,0.3536,2.34810188124803,2.2083967637948017,0.13970511925237422,resnet32,0.3561,0.3446,2.378674439239231,2.237295336682688,0.14137910486368294,resnet32,0.3612,0.3574,2.369526752863418,2.229663632979447,0.1398631183811548,resnet32,0.3593,0.3518,2.4652763810008764,2.3035860970955,0.16169028168290175,resnet32,0.3347,0.3356,2.403921584344723,2.2607168704271317,0.14320471116595648,resnet32,0.3566,0.355,2.4444728547876533,2.2901093326509,0.15436352338557216,resnet32,0.3101,0.3058,2.4076116994361985,2.258251417428255,0.14936028541573745,resnet32,0.2954,0.2898,2.3237013640728863,2.177351648665287,0.14634971807456829,4495333.333333333,0.0,17981333.333333332,179813333.33333334,2157760000.0
